State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,608.0,5738.0,0.0,0.0,0.0,SUB-DISTRICT,Edappadi,Total,60916.0,223756.0,116729.0,107027.0,22173.0,11679.0,10494.0,22758.0,11657.0,11101.0,287.0,109.0,178.0,127078.0,76102.0,50976.0,96678.0,40627.0,56051.0,125254.0,73599.0,51655.0,117247.0,70501.0,46746.0,17825.0,9977.0,7848.0,43612.0,20711.0,22901.0,8600.0,4860.0,3740.0,47210.0,34953.0,12257.0,8007.0,3098.0,4909.0,691.0,346.0,345.0,3674.0,1051.0,2623.0,750.0,258.0,492.0,2892.0,1443.0,1449.0,6546.0,2570.0,3976.0,637.0,314.0,323.0,3047.0,884.0,2163.0,624.0,227.0,397.0,2238.0,1145.0,1093.0,1461.0,528.0,933.0,54.0,32.0,22.0,627.0,167.0,460.0,126.0,31.0,95.0,654.0,298.0,356.0,98502.0,43130.0,55372.0,,
33.0,608.0,5738.0,0.0,0.0,0.0,SUB-DISTRICT,Edappadi,Rural,41044.0,150170.0,79070.0,71100.0,15035.0,8023.0,7012.0,13377.0,6858.0,6519.0,67.0,0.0,67.0,79762.0,49072.0,30690.0,70408.0,29998.0,40410.0,87919.0,50301.0,37618.0,81836.0,48057.0,33779.0,14602.0,8119.0,6483.0,36334.0,17093.0,19241.0,6273.0,3857.0,2416.0,24627.0,18988.0,5639.0,6083.0,2244.0,3839.0,614.0,298.0,316.0,2919.0,764.0,2155.0,606.0,221.0,385.0,1944.0,961.0,983.0,5069.0,1928.0,3141.0,582.0,286.0,296.0,2529.0,704.0,1825.0,503.0,194.0,309.0,1455.0,744.0,711.0,1014.0,316.0,698.0,32.0,12.0,20.0,390.0,60.0,330.0,103.0,27.0,76.0,489.0,217.0,272.0,62251.0,28769.0,33482.0,,
33.0,608.0,5738.0,0.0,0.0,0.0,SUB-DISTRICT,Edappadi,Urban,19872.0,73586.0,37659.0,35927.0,7138.0,3656.0,3482.0,9381.0,4799.0,4582.0,220.0,109.0,111.0,47316.0,27030.0,20286.0,26270.0,10629.0,15641.0,37335.0,23298.0,14037.0,35411.0,22444.0,12967.0,3223.0,1858.0,1365.0,7278.0,3618.0,3660.0,2327.0,1003.0,1324.0,22583.0,15965.0,6618.0,1924.0,854.0,1070.0,77.0,48.0,29.0,755.0,287.0,468.0,144.0,37.0,107.0,948.0,482.0,466.0,1477.0,642.0,835.0,55.0,28.0,27.0,518.0,180.0,338.0,121.0,33.0,88.0,783.0,401.0,382.0,447.0,212.0,235.0,22.0,20.0,2.0,237.0,107.0,130.0,23.0,4.0,19.0,165.0,81.0,84.0,36251.0,14361.0,21890.0,,
33.0,608.0,5738.0,633894.0,0.0,0.0,VILLAGE,Pakkanadu,Rural,1870.0,6842.0,3565.0,3277.0,812.0,423.0,389.0,756.0,384.0,372.0,0.0,0.0,0.0,3218.0,1965.0,1253.0,3624.0,1600.0,2024.0,4126.0,2271.0,1855.0,3797.0,2221.0,1576.0,630.0,389.0,241.0,1910.0,997.0,913.0,113.0,47.0,66.0,1144.0,788.0,356.0,329.0,50.0,279.0,17.0,5.0,12.0,256.0,18.0,238.0,12.0,4.0,8.0,44.0,23.0,21.0,137.0,43.0,94.0,8.0,4.0,4.0,81.0,13.0,68.0,6.0,3.0,3.0,42.0,23.0,19.0,192.0,7.0,185.0,9.0,1.0,8.0,175.0,5.0,170.0,6.0,1.0,5.0,2.0,0.0,2.0,2716.0,1294.0,1422.0,,
33.0,608.0,5738.0,633895.0,0.0,0.0,VILLAGE,Adaiyur,Rural,1006.0,3544.0,1869.0,1675.0,346.0,184.0,162.0,366.0,197.0,169.0,0.0,0.0,0.0,1979.0,1236.0,743.0,1565.0,633.0,932.0,2210.0,1205.0,1005.0,2104.0,1156.0,948.0,380.0,211.0,169.0,1214.0,548.0,666.0,31.0,18.0,13.0,479.0,379.0,100.0,106.0,49.0,57.0,1.0,0.0,1.0,80.0,31.0,49.0,1.0,0.0,1.0,24.0,18.0,6.0,102.0,48.0,54.0,1.0,0.0,1.0,78.0,31.0,47.0,0.0,0.0,0.0,23.0,17.0,6.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1334.0,664.0,670.0,,
33.0,608.0,5738.0,633896.0,0.0,0.0,VILLAGE,Idupali,Rural,3441.0,13152.0,6995.0,6157.0,1390.0,744.0,646.0,807.0,397.0,410.0,0.0,0.0,0.0,6787.0,4237.0,2550.0,6365.0,2758.0,3607.0,7496.0,4423.0,3073.0,6513.0,4072.0,2441.0,624.0,385.0,239.0,2410.0,1193.0,1217.0,1492.0,911.0,581.0,1987.0,1583.0,404.0,983.0,351.0,632.0,66.0,56.0,10.0,442.0,83.0,359.0,58.0,17.0,41.0,417.0,195.0,222.0,688.0,237.0,451.0,64.0,54.0,10.0,408.0,71.0,337.0,47.0,13.0,34.0,169.0,99.0,70.0,295.0,114.0,181.0,2.0,2.0,0.0,34.0,12.0,22.0,11.0,4.0,7.0,248.0,96.0,152.0,5656.0,2572.0,3084.0,,
33.0,608.0,5738.0,633897.0,0.0,0.0,VILLAGE,Samudram,Rural,1421.0,5515.0,2957.0,2558.0,514.0,264.0,250.0,534.0,282.0,252.0,0.0,0.0,0.0,2876.0,1817.0,1059.0,2639.0,1140.0,1499.0,3056.0,1786.0,1270.0,2901.0,1744.0,1157.0,464.0,261.0,203.0,1105.0,572.0,533.0,593.0,349.0,244.0,739.0,562.0,177.0,155.0,42.0,113.0,3.0,1.0,2.0,138.0,35.0,103.0,9.0,3.0,6.0,5.0,3.0,2.0,146.0,39.0,107.0,2.0,1.0,1.0,133.0,32.0,101.0,7.0,3.0,4.0,4.0,3.0,1.0,9.0,3.0,6.0,1.0,0.0,1.0,5.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2459.0,1171.0,1288.0,,
33.0,608.0,5738.0,633898.0,0.0,0.0,VILLAGE,Vellalapuram,Rural,3546.0,13143.0,6929.0,6214.0,1431.0,787.0,644.0,1318.0,683.0,635.0,0.0,0.0,0.0,7132.0,4303.0,2829.0,6011.0,2626.0,3385.0,7207.0,4316.0,2891.0,6741.0,4191.0,2550.0,1268.0,797.0,471.0,2323.0,891.0,1432.0,840.0,669.0,171.0,2310.0,1834.0,476.0,466.0,125.0,341.0,20.0,5.0,15.0,145.0,17.0,128.0,32.0,12.0,20.0,269.0,91.0,178.0,416.0,107.0,309.0,19.0,5.0,14.0,141.0,17.0,124.0,24.0,8.0,16.0,232.0,77.0,155.0,50.0,18.0,32.0,1.0,0.0,1.0,4.0,0.0,4.0,8.0,4.0,4.0,37.0,14.0,23.0,5936.0,2613.0,3323.0,,
33.0,608.0,5738.0,633899.0,0.0,0.0,VILLAGE,Kachchippalli,Rural,3261.0,11443.0,6038.0,5405.0,1153.0,621.0,532.0,505.0,259.0,246.0,6.0,0.0,6.0,6364.0,3931.0,2433.0,5079.0,2107.0,2972.0,6658.0,3814.0,2844.0,6176.0,3687.0,2489.0,1190.0,705.0,485.0,2370.0,881.0,1489.0,682.0,496.0,186.0,1934.0,1605.0,329.0,482.0,127.0,355.0,30.0,13.0,17.0,360.0,62.0,298.0,21.0,8.0,13.0,71.0,44.0,27.0,445.0,117.0,328.0,29.0,12.0,17.0,332.0,58.0,274.0,18.0,7.0,11.0,66.0,40.0,26.0,37.0,10.0,27.0,1.0,1.0,0.0,28.0,4.0,24.0,3.0,1.0,2.0,5.0,4.0,1.0,4785.0,2224.0,2561.0,,
33.0,608.0,5738.0,633900.0,0.0,0.0,VILLAGE,Koranampatti,Rural,2515.0,9385.0,4970.0,4415.0,956.0,505.0,451.0,330.0,167.0,163.0,0.0,0.0,0.0,5188.0,3235.0,1953.0,4197.0,1735.0,2462.0,5323.0,3053.0,2270.0,5229.0,3023.0,2206.0,784.0,424.0,360.0,2285.0,1019.0,1266.0,170.0,99.0,71.0,1990.0,1481.0,509.0,94.0,30.0,64.0,7.0,3.0,4.0,15.0,4.0,11.0,9.0,1.0,8.0,63.0,22.0,41.0,49.0,23.0,26.0,7.0,3.0,4.0,12.0,3.0,9.0,4.0,1.0,3.0,26.0,16.0,10.0,45.0,7.0,38.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,5.0,37.0,6.0,31.0,4062.0,1917.0,2145.0,,
