State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,608.0,5737.0,0.0,0.0,0.0,SUB-DISTRICT,Omalur,Total,125462.0,494355.0,258922.0,235433.0,51202.0,26782.0,24420.0,90446.0,47087.0,43359.0,5593.0,2922.0,2671.0,293904.0,172898.0,121006.0,200451.0,86024.0,114427.0,242915.0,154787.0,88128.0,222747.0,145186.0,77561.0,35008.0,22157.0,12851.0,68833.0,33891.0,34942.0,23122.0,14592.0,8530.0,95784.0,74546.0,21238.0,20168.0,9601.0,10567.0,1011.0,494.0,517.0,8714.0,3156.0,5558.0,1236.0,529.0,707.0,9207.0,5422.0,3785.0,16942.0,8123.0,8819.0,907.0,449.0,458.0,7564.0,2778.0,4786.0,930.0,364.0,566.0,7541.0,4532.0,3009.0,3226.0,1478.0,1748.0,104.0,45.0,59.0,1150.0,378.0,772.0,306.0,165.0,141.0,1666.0,890.0,776.0,251440.0,104135.0,147305.0,,
33.0,608.0,5737.0,0.0,0.0,0.0,SUB-DISTRICT,Omalur,Rural,99920.0,392042.0,206000.0,186042.0,40900.0,21445.0,19455.0,71946.0,37588.0,34358.0,5445.0,2866.0,2579.0,226345.0,134665.0,91680.0,165697.0,71335.0,94362.0,196871.0,124152.0,72719.0,179537.0,115922.0,63615.0,33081.0,20904.0,12177.0,62211.0,30508.0,31703.0,14756.0,9866.0,4890.0,69489.0,54644.0,14845.0,17334.0,8230.0,9104.0,958.0,455.0,503.0,8050.0,2878.0,5172.0,914.0,431.0,483.0,7412.0,4466.0,2946.0,14624.0,6966.0,7658.0,860.0,413.0,447.0,7033.0,2530.0,4503.0,682.0,285.0,397.0,6049.0,3738.0,2311.0,2710.0,1264.0,1446.0,98.0,42.0,56.0,1017.0,348.0,669.0,232.0,146.0,86.0,1363.0,728.0,635.0,195171.0,81848.0,113323.0,,
33.0,608.0,5737.0,0.0,0.0,0.0,SUB-DISTRICT,Omalur,Urban,25542.0,102313.0,52922.0,49391.0,10302.0,5337.0,4965.0,18500.0,9499.0,9001.0,148.0,56.0,92.0,67559.0,38233.0,29326.0,34754.0,14689.0,20065.0,46044.0,30635.0,15409.0,43210.0,29264.0,13946.0,1927.0,1253.0,674.0,6622.0,3383.0,3239.0,8366.0,4726.0,3640.0,26295.0,19902.0,6393.0,2834.0,1371.0,1463.0,53.0,39.0,14.0,664.0,278.0,386.0,322.0,98.0,224.0,1795.0,956.0,839.0,2318.0,1157.0,1161.0,47.0,36.0,11.0,531.0,248.0,283.0,248.0,79.0,169.0,1492.0,794.0,698.0,516.0,214.0,302.0,6.0,3.0,3.0,133.0,30.0,103.0,74.0,19.0,55.0,303.0,162.0,141.0,56269.0,22287.0,33982.0,,
33.0,608.0,5737.0,633800.0,0.0,0.0,VILLAGE,Sekkarapatti,Rural,525.0,2319.0,1285.0,1034.0,278.0,135.0,143.0,133.0,75.0,58.0,460.0,261.0,199.0,1291.0,816.0,475.0,1028.0,469.0,559.0,1171.0,732.0,439.0,1160.0,723.0,437.0,488.0,326.0,162.0,495.0,246.0,249.0,3.0,2.0,1.0,174.0,149.0,25.0,11.0,9.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,8.0,7.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1148.0,553.0,595.0,,
33.0,608.0,5737.0,633801.0,0.0,0.0,VILLAGE,Veppilai,Rural,1277.0,5031.0,2658.0,2373.0,582.0,332.0,250.0,391.0,190.0,201.0,38.0,22.0,16.0,2781.0,1620.0,1161.0,2250.0,1038.0,1212.0,3018.0,1609.0,1409.0,2803.0,1530.0,1273.0,975.0,699.0,276.0,1534.0,621.0,913.0,32.0,14.0,18.0,262.0,196.0,66.0,215.0,79.0,136.0,20.0,8.0,12.0,173.0,59.0,114.0,12.0,4.0,8.0,10.0,8.0,2.0,171.0,69.0,102.0,19.0,8.0,11.0,133.0,50.0,83.0,10.0,4.0,6.0,9.0,7.0,2.0,44.0,10.0,34.0,1.0,0.0,1.0,40.0,9.0,31.0,2.0,0.0,2.0,1.0,1.0,0.0,2013.0,1049.0,964.0,,
33.0,608.0,5737.0,633802.0,0.0,0.0,VILLAGE,Kodunaickenpatty pudur,Rural,1586.0,5929.0,3055.0,2874.0,536.0,274.0,262.0,359.0,187.0,172.0,171.0,95.0,76.0,3553.0,2072.0,1481.0,2376.0,983.0,1393.0,3523.0,1952.0,1571.0,3498.0,1933.0,1565.0,1500.0,781.0,719.0,1533.0,768.0,765.0,28.0,18.0,10.0,437.0,366.0,71.0,25.0,19.0,6.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,20.0,17.0,3.0,23.0,18.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,18.0,16.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2406.0,1103.0,1303.0,,
33.0,608.0,5737.0,633803.0,0.0,0.0,VILLAGE,Kanavoipudur,Rural,1999.0,8010.0,4112.0,3898.0,785.0,411.0,374.0,2177.0,1095.0,1082.0,2329.0,1221.0,1108.0,4296.0,2507.0,1789.0,3714.0,1605.0,2109.0,4523.0,2479.0,2044.0,4146.0,2287.0,1859.0,901.0,525.0,376.0,2712.0,1355.0,1357.0,24.0,15.0,9.0,509.0,392.0,117.0,377.0,192.0,185.0,2.0,2.0,0.0,358.0,178.0,180.0,1.0,1.0,0.0,16.0,11.0,5.0,373.0,188.0,185.0,2.0,2.0,0.0,357.0,177.0,180.0,0.0,0.0,0.0,14.0,9.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3487.0,1633.0,1854.0,,
33.0,608.0,5737.0,633804.0,0.0,0.0,VILLAGE,Gundikkal,Rural,1717.0,6676.0,3536.0,3140.0,689.0,364.0,325.0,1240.0,665.0,575.0,0.0,0.0,0.0,3709.0,2284.0,1425.0,2967.0,1252.0,1715.0,3497.0,2197.0,1300.0,3065.0,2003.0,1062.0,1057.0,689.0,368.0,1458.0,839.0,619.0,28.0,22.0,6.0,522.0,453.0,69.0,432.0,194.0,238.0,12.0,9.0,3.0,317.0,94.0,223.0,7.0,5.0,2.0,96.0,86.0,10.0,413.0,186.0,227.0,12.0,9.0,3.0,310.0,93.0,217.0,2.0,2.0,0.0,89.0,82.0,7.0,19.0,8.0,11.0,0.0,0.0,0.0,7.0,1.0,6.0,5.0,3.0,2.0,7.0,4.0,3.0,3179.0,1339.0,1840.0,,
33.0,608.0,5737.0,633805.0,0.0,0.0,VILLAGE,Kongupatti,Rural,2657.0,10400.0,5422.0,4978.0,1072.0,556.0,516.0,2628.0,1398.0,1230.0,7.0,4.0,3.0,6107.0,3651.0,2456.0,4293.0,1771.0,2522.0,5717.0,3311.0,2406.0,4623.0,2793.0,1830.0,680.0,479.0,201.0,2873.0,1398.0,1475.0,75.0,56.0,19.0,995.0,860.0,135.0,1094.0,518.0,576.0,86.0,49.0,37.0,791.0,306.0,485.0,7.0,4.0,3.0,210.0,159.0,51.0,1082.0,513.0,569.0,86.0,49.0,37.0,787.0,306.0,481.0,6.0,4.0,2.0,203.0,154.0,49.0,12.0,5.0,7.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,7.0,5.0,2.0,4683.0,2111.0,2572.0,,
33.0,608.0,5737.0,633806.0,0.0,0.0,VILLAGE,Mookanur,Rural,950.0,3754.0,1982.0,1772.0,402.0,211.0,191.0,580.0,302.0,278.0,0.0,0.0,0.0,1923.0,1171.0,752.0,1831.0,811.0,1020.0,2083.0,1181.0,902.0,1797.0,1097.0,700.0,790.0,457.0,333.0,536.0,262.0,274.0,77.0,54.0,23.0,394.0,324.0,70.0,286.0,84.0,202.0,10.0,2.0,8.0,172.0,43.0,129.0,1.0,0.0,1.0,103.0,39.0,64.0,252.0,69.0,183.0,8.0,1.0,7.0,146.0,33.0,113.0,1.0,0.0,1.0,97.0,35.0,62.0,34.0,15.0,19.0,2.0,1.0,1.0,26.0,10.0,16.0,0.0,0.0,0.0,6.0,4.0,2.0,1671.0,801.0,870.0,,
