State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,608.0,5742.0,0.0,0.0,0.0,SUB-DISTRICT,Vazhapadi,Total,50954.0,195412.0,98681.0,96731.0,20093.0,10388.0,9705.0,52370.0,26311.0,26059.0,10655.0,5443.0,5212.0,128139.0,71543.0,56596.0,67273.0,27138.0,40135.0,100483.0,60256.0,40227.0,90487.0,56026.0,34461.0,25085.0,14280.0,10805.0,32169.0,16018.0,16151.0,1667.0,927.0,740.0,31566.0,24801.0,6765.0,9996.0,4230.0,5766.0,551.0,256.0,295.0,5472.0,1960.0,3512.0,434.0,117.0,317.0,3539.0,1897.0,1642.0,8861.0,3831.0,5030.0,475.0,219.0,256.0,4829.0,1808.0,3021.0,378.0,99.0,279.0,3179.0,1705.0,1474.0,1135.0,399.0,736.0,76.0,37.0,39.0,643.0,152.0,491.0,56.0,18.0,38.0,360.0,192.0,168.0,94929.0,38425.0,56504.0,,
33.0,608.0,5742.0,0.0,0.0,0.0,SUB-DISTRICT,Vazhapadi,Rural,38784.0,148502.0,75050.0,73452.0,15627.0,8087.0,7540.0,42189.0,21201.0,20988.0,10465.0,5332.0,5133.0,94150.0,53057.0,41093.0,54352.0,21993.0,32359.0,79843.0,46324.0,33519.0,72008.0,43152.0,28856.0,22954.0,12908.0,10046.0,28177.0,13895.0,14282.0,1049.0,583.0,466.0,19828.0,15766.0,4062.0,7835.0,3172.0,4663.0,486.0,211.0,275.0,4804.0,1689.0,3115.0,251.0,67.0,184.0,2294.0,1205.0,1089.0,6948.0,2880.0,4068.0,414.0,175.0,239.0,4243.0,1556.0,2687.0,218.0,60.0,158.0,2073.0,1089.0,984.0,887.0,292.0,595.0,72.0,36.0,36.0,561.0,133.0,428.0,33.0,7.0,26.0,221.0,116.0,105.0,68659.0,28726.0,39933.0,,
33.0,608.0,5742.0,0.0,0.0,0.0,SUB-DISTRICT,Vazhapadi,Urban,12170.0,46910.0,23631.0,23279.0,4466.0,2301.0,2165.0,10181.0,5110.0,5071.0,190.0,111.0,79.0,33989.0,18486.0,15503.0,12921.0,5145.0,7776.0,20640.0,13932.0,6708.0,18479.0,12874.0,5605.0,2131.0,1372.0,759.0,3992.0,2123.0,1869.0,618.0,344.0,274.0,11738.0,9035.0,2703.0,2161.0,1058.0,1103.0,65.0,45.0,20.0,668.0,271.0,397.0,183.0,50.0,133.0,1245.0,692.0,553.0,1913.0,951.0,962.0,61.0,44.0,17.0,586.0,252.0,334.0,160.0,39.0,121.0,1106.0,616.0,490.0,248.0,107.0,141.0,4.0,1.0,3.0,82.0,19.0,63.0,23.0,11.0,12.0,139.0,76.0,63.0,26270.0,9699.0,16571.0,,
33.0,608.0,5742.0,634159.0,0.0,0.0,VILLAGE,Periakuttimaduvu,Rural,168.0,672.0,353.0,319.0,73.0,43.0,30.0,0.0,0.0,0.0,668.0,352.0,316.0,320.0,188.0,132.0,352.0,165.0,187.0,424.0,219.0,205.0,422.0,218.0,204.0,395.0,201.0,194.0,4.0,1.0,3.0,5.0,2.0,3.0,18.0,14.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,134.0,114.0,,
33.0,608.0,5742.0,634160.0,0.0,0.0,VILLAGE,Chinnakuttimaduvu,Rural,69.0,282.0,156.0,126.0,38.0,23.0,15.0,0.0,0.0,0.0,282.0,156.0,126.0,124.0,77.0,47.0,158.0,79.0,79.0,177.0,99.0,78.0,173.0,95.0,78.0,158.0,85.0,73.0,5.0,3.0,2.0,4.0,3.0,1.0,6.0,4.0,2.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,57.0,48.0,,
33.0,608.0,5742.0,634161.0,0.0,0.0,VILLAGE,Kankatti Ala,Rural,144.0,639.0,314.0,325.0,74.0,44.0,30.0,0.0,0.0,0.0,606.0,295.0,311.0,365.0,189.0,176.0,274.0,125.0,149.0,383.0,189.0,194.0,383.0,189.0,194.0,172.0,76.0,96.0,198.0,108.0,90.0,2.0,0.0,2.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,125.0,131.0,,
33.0,608.0,5742.0,634162.0,0.0,0.0,VILLAGE,Sandumalai,Rural,30.0,118.0,62.0,56.0,12.0,7.0,5.0,0.0,0.0,0.0,118.0,62.0,56.0,52.0,32.0,20.0,66.0,30.0,36.0,69.0,35.0,34.0,69.0,35.0,34.0,49.0,28.0,21.0,20.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,22.0,,
33.0,608.0,5742.0,634163.0,0.0,0.0,VILLAGE,Pungamaduvu,Rural,185.0,748.0,399.0,349.0,67.0,36.0,31.0,15.0,6.0,9.0,579.0,307.0,272.0,477.0,291.0,186.0,271.0,108.0,163.0,468.0,252.0,216.0,457.0,246.0,211.0,204.0,116.0,88.0,217.0,103.0,114.0,1.0,0.0,1.0,35.0,27.0,8.0,11.0,6.0,5.0,5.0,4.0,1.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,5.0,5.0,4.0,1.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,147.0,133.0,,
33.0,608.0,5742.0,634164.0,0.0,0.0,VILLAGE,Kiraipatti,Rural,72.0,282.0,151.0,131.0,29.0,16.0,13.0,0.0,0.0,0.0,235.0,125.0,110.0,173.0,104.0,69.0,109.0,47.0,62.0,183.0,92.0,91.0,183.0,92.0,91.0,179.0,88.0,91.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,59.0,40.0,,
33.0,608.0,5742.0,634165.0,0.0,0.0,VILLAGE,Chinnavelampatti,Rural,68.0,266.0,135.0,131.0,33.0,19.0,14.0,0.0,0.0,0.0,265.0,134.0,131.0,109.0,54.0,55.0,157.0,81.0,76.0,176.0,89.0,87.0,173.0,88.0,85.0,157.0,79.0,78.0,3.0,1.0,2.0,1.0,0.0,1.0,12.0,8.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,90.0,46.0,44.0,,
