State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,622.0,5831.0,0.0,0.0,0.0,SUB-DISTRICT,Devakottai,Total,39220.0,157631.0,79606.0,78025.0,14817.0,7540.0,7277.0,34224.0,17277.0,16947.0,282.0,145.0,137.0,116665.0,64400.0,52265.0,40966.0,15206.0,25760.0,77561.0,49333.0,28228.0,53765.0,36746.0,17019.0,22979.0,14423.0,8556.0,8395.0,4405.0,3990.0,991.0,483.0,508.0,21400.0,17435.0,3965.0,23796.0,12587.0,11209.0,7073.0,3738.0,3335.0,10496.0,5031.0,5465.0,595.0,223.0,372.0,5632.0,3595.0,2037.0,20911.0,10907.0,10004.0,6632.0,3537.0,3095.0,9058.0,4158.0,4900.0,398.0,165.0,233.0,4823.0,3047.0,1776.0,2885.0,1680.0,1205.0,441.0,201.0,240.0,1438.0,873.0,565.0,197.0,58.0,139.0,809.0,548.0,261.0,80070.0,30273.0,49797.0,,
33.0,622.0,5831.0,0.0,0.0,0.0,SUB-DISTRICT,Devakottai,Rural,26028.0,105766.0,53435.0,52331.0,9608.0,4864.0,4744.0,29815.0,15052.0,14763.0,200.0,99.0,101.0,74681.0,42281.0,32400.0,31085.0,11154.0,19931.0,58865.0,34387.0,24478.0,38210.0,23785.0,14425.0,22114.0,13654.0,8460.0,7980.0,4096.0,3884.0,772.0,339.0,433.0,7344.0,5696.0,1648.0,20655.0,10602.0,10053.0,7020.0,3708.0,3312.0,9485.0,4493.0,4992.0,537.0,198.0,339.0,3613.0,2203.0,1410.0,18804.0,9604.0,9200.0,6581.0,3507.0,3074.0,8708.0,4025.0,4683.0,355.0,152.0,203.0,3160.0,1920.0,1240.0,1851.0,998.0,853.0,439.0,201.0,238.0,777.0,468.0,309.0,182.0,46.0,136.0,453.0,283.0,170.0,46901.0,19048.0,27853.0,,
33.0,622.0,5831.0,0.0,0.0,0.0,SUB-DISTRICT,Devakottai,Urban,13192.0,51865.0,26171.0,25694.0,5209.0,2676.0,2533.0,4409.0,2225.0,2184.0,82.0,46.0,36.0,41984.0,22119.0,19865.0,9881.0,4052.0,5829.0,18696.0,14946.0,3750.0,15555.0,12961.0,2594.0,865.0,769.0,96.0,415.0,309.0,106.0,219.0,144.0,75.0,14056.0,11739.0,2317.0,3141.0,1985.0,1156.0,53.0,30.0,23.0,1011.0,538.0,473.0,58.0,25.0,33.0,2019.0,1392.0,627.0,2107.0,1303.0,804.0,51.0,30.0,21.0,350.0,133.0,217.0,43.0,13.0,30.0,1663.0,1127.0,536.0,1034.0,682.0,352.0,2.0,0.0,2.0,661.0,405.0,256.0,15.0,12.0,3.0,356.0,265.0,91.0,33169.0,11225.0,21944.0,,
33.0,622.0,5831.0,640127.0,0.0,0.0,VILLAGE,Unjanai ,Rural,601.0,2350.0,1169.0,1181.0,217.0,105.0,112.0,1007.0,495.0,512.0,0.0,0.0,0.0,1627.0,913.0,714.0,723.0,256.0,467.0,1315.0,729.0,586.0,952.0,539.0,413.0,450.0,236.0,214.0,324.0,150.0,174.0,22.0,21.0,1.0,156.0,132.0,24.0,363.0,190.0,173.0,200.0,95.0,105.0,93.0,40.0,53.0,7.0,5.0,2.0,63.0,50.0,13.0,361.0,188.0,173.0,200.0,95.0,105.0,93.0,40.0,53.0,7.0,5.0,2.0,61.0,48.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1035.0,440.0,595.0,,
33.0,622.0,5831.0,640128.0,0.0,0.0,VILLAGE,Iravinivayal ,Rural,464.0,1834.0,899.0,935.0,179.0,88.0,91.0,487.0,238.0,249.0,0.0,0.0,0.0,1328.0,722.0,606.0,506.0,177.0,329.0,833.0,557.0,276.0,512.0,390.0,122.0,331.0,260.0,71.0,42.0,13.0,29.0,2.0,1.0,1.0,137.0,116.0,21.0,321.0,167.0,154.0,39.0,22.0,17.0,64.0,28.0,36.0,8.0,6.0,2.0,210.0,111.0,99.0,210.0,93.0,117.0,27.0,11.0,16.0,31.0,13.0,18.0,0.0,0.0,0.0,152.0,69.0,83.0,111.0,74.0,37.0,12.0,11.0,1.0,33.0,15.0,18.0,8.0,6.0,2.0,58.0,42.0,16.0,1001.0,342.0,659.0,,
33.0,622.0,5831.0,640129.0,0.0,0.0,VILLAGE,Vengalore ,Rural,572.0,2281.0,1156.0,1125.0,227.0,122.0,105.0,1102.0,561.0,541.0,0.0,0.0,0.0,1558.0,906.0,652.0,723.0,250.0,473.0,1417.0,728.0,689.0,1354.0,703.0,651.0,1301.0,670.0,631.0,17.0,8.0,9.0,2.0,0.0,2.0,34.0,25.0,9.0,63.0,25.0,38.0,15.0,5.0,10.0,17.0,3.0,14.0,0.0,0.0,0.0,31.0,17.0,14.0,58.0,24.0,34.0,15.0,5.0,10.0,13.0,3.0,10.0,0.0,0.0,0.0,30.0,16.0,14.0,5.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,864.0,428.0,436.0,,
33.0,622.0,5831.0,640130.0,0.0,0.0,VILLAGE,Kandadevi  ,Rural,900.0,3781.0,1868.0,1913.0,343.0,175.0,168.0,1129.0,564.0,565.0,0.0,0.0,0.0,2810.0,1510.0,1300.0,971.0,358.0,613.0,1659.0,1100.0,559.0,1388.0,970.0,418.0,273.0,175.0,98.0,248.0,139.0,109.0,16.0,8.0,8.0,851.0,648.0,203.0,271.0,130.0,141.0,20.0,12.0,8.0,89.0,47.0,42.0,4.0,2.0,2.0,158.0,69.0,89.0,206.0,118.0,88.0,18.0,12.0,6.0,72.0,45.0,27.0,1.0,1.0,0.0,115.0,60.0,55.0,65.0,12.0,53.0,2.0,0.0,2.0,17.0,2.0,15.0,3.0,1.0,2.0,43.0,9.0,34.0,2122.0,768.0,1354.0,,
33.0,622.0,5831.0,640131.0,0.0,0.0,VILLAGE,Perattukkottai  ,Rural,440.0,1805.0,891.0,914.0,182.0,86.0,96.0,572.0,289.0,283.0,0.0,0.0,0.0,1382.0,746.0,636.0,423.0,145.0,278.0,666.0,529.0,137.0,596.0,481.0,115.0,202.0,178.0,24.0,62.0,44.0,18.0,0.0,0.0,0.0,332.0,259.0,73.0,70.0,48.0,22.0,8.0,8.0,0.0,7.0,1.0,6.0,0.0,0.0,0.0,55.0,39.0,16.0,60.0,42.0,18.0,8.0,8.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,46.0,33.0,13.0,10.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,6.0,3.0,1139.0,362.0,777.0,,
33.0,622.0,5831.0,640132.0,0.0,0.0,VILLAGE,Aravayal,Rural,192.0,789.0,406.0,383.0,79.0,37.0,42.0,184.0,88.0,96.0,0.0,0.0,0.0,594.0,333.0,261.0,195.0,73.0,122.0,346.0,247.0,99.0,40.0,29.0,11.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,32.0,24.0,8.0,306.0,218.0,88.0,179.0,130.0,49.0,67.0,31.0,36.0,2.0,1.0,1.0,58.0,56.0,2.0,301.0,215.0,86.0,177.0,129.0,48.0,65.0,30.0,35.0,2.0,1.0,1.0,57.0,55.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,443.0,159.0,284.0,,
33.0,622.0,5831.0,640133.0,0.0,0.0,VILLAGE,Melasembonmari  ,Rural,904.0,3551.0,1807.0,1744.0,332.0,165.0,167.0,980.0,500.0,480.0,0.0,0.0,0.0,2580.0,1438.0,1142.0,971.0,369.0,602.0,1428.0,1054.0,374.0,786.0,595.0,191.0,216.0,158.0,58.0,104.0,63.0,41.0,38.0,19.0,19.0,428.0,355.0,73.0,642.0,459.0,183.0,59.0,42.0,17.0,251.0,196.0,55.0,53.0,15.0,38.0,279.0,206.0,73.0,453.0,303.0,150.0,45.0,31.0,14.0,211.0,159.0,52.0,36.0,4.0,32.0,161.0,109.0,52.0,189.0,156.0,33.0,14.0,11.0,3.0,40.0,37.0,3.0,17.0,11.0,6.0,118.0,97.0,21.0,2123.0,753.0,1370.0,,
