State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,622.0,5833.0,0.0,0.0,0.0,SUB-DISTRICT,Manamadurai,Total,52131.0,207223.0,104428.0,102795.0,22403.0,11436.0,10967.0,46055.0,23118.0,22937.0,231.0,111.0,120.0,145052.0,81392.0,63660.0,62171.0,23036.0,39135.0,96480.0,59018.0,37462.0,70919.0,47744.0,23175.0,13354.0,9620.0,3734.0,23113.0,12350.0,10763.0,1197.0,601.0,596.0,33255.0,25173.0,8082.0,25561.0,11274.0,14287.0,1622.0,957.0,665.0,14008.0,6126.0,7882.0,688.0,245.0,443.0,9243.0,3946.0,5297.0,21190.0,9848.0,11342.0,1434.0,867.0,567.0,12845.0,5706.0,7139.0,553.0,212.0,341.0,6358.0,3063.0,3295.0,4371.0,1426.0,2945.0,188.0,90.0,98.0,1163.0,420.0,743.0,135.0,33.0,102.0,2885.0,883.0,2002.0,110743.0,45410.0,65333.0,,
33.0,622.0,5833.0,0.0,0.0,0.0,SUB-DISTRICT,Manamadurai,Rural,37859.0,150412.0,75957.0,74455.0,16445.0,8390.0,8055.0,38260.0,19206.0,19054.0,210.0,99.0,111.0,100248.0,57646.0,42602.0,50164.0,18311.0,31853.0,76780.0,43837.0,32943.0,54325.0,34486.0,19839.0,12701.0,9042.0,3659.0,22043.0,11486.0,10557.0,772.0,415.0,357.0,18809.0,13543.0,5266.0,22455.0,9351.0,13104.0,1511.0,866.0,645.0,13043.0,5578.0,7465.0,415.0,126.0,289.0,7486.0,2781.0,4705.0,18523.0,8198.0,10325.0,1332.0,782.0,550.0,11964.0,5209.0,6755.0,307.0,99.0,208.0,4920.0,2108.0,2812.0,3932.0,1153.0,2779.0,179.0,84.0,95.0,1079.0,369.0,710.0,108.0,27.0,81.0,2566.0,673.0,1893.0,73632.0,32120.0,41512.0,,
33.0,622.0,5833.0,0.0,0.0,0.0,SUB-DISTRICT,Manamadurai,Urban,14272.0,56811.0,28471.0,28340.0,5958.0,3046.0,2912.0,7795.0,3912.0,3883.0,21.0,12.0,9.0,44804.0,23746.0,21058.0,12007.0,4725.0,7282.0,19700.0,15181.0,4519.0,16594.0,13258.0,3336.0,653.0,578.0,75.0,1070.0,864.0,206.0,425.0,186.0,239.0,14446.0,11630.0,2816.0,3106.0,1923.0,1183.0,111.0,91.0,20.0,965.0,548.0,417.0,273.0,119.0,154.0,1757.0,1165.0,592.0,2667.0,1650.0,1017.0,102.0,85.0,17.0,881.0,497.0,384.0,246.0,113.0,133.0,1438.0,955.0,483.0,439.0,273.0,166.0,9.0,6.0,3.0,84.0,51.0,33.0,27.0,6.0,21.0,319.0,210.0,109.0,37111.0,13290.0,23821.0,,
33.0,622.0,5833.0,640348.0,0.0,0.0,VILLAGE,Sayanapuram,Rural,434.0,1657.0,827.0,830.0,227.0,113.0,114.0,1026.0,502.0,524.0,0.0,0.0,0.0,1062.0,587.0,475.0,595.0,240.0,355.0,846.0,484.0,362.0,832.0,482.0,350.0,22.0,16.0,6.0,63.0,34.0,29.0,34.0,11.0,23.0,713.0,421.0,292.0,14.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,12.0,14.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,343.0,468.0,,
33.0,622.0,5833.0,640349.0,0.0,0.0,VILLAGE,Sottathatti,Rural,286.0,1130.0,561.0,569.0,126.0,67.0,59.0,335.0,162.0,173.0,0.0,0.0,0.0,670.0,380.0,290.0,460.0,181.0,279.0,574.0,337.0,237.0,230.0,160.0,70.0,58.0,31.0,27.0,28.0,17.0,11.0,0.0,0.0,0.0,144.0,112.0,32.0,344.0,177.0,167.0,6.0,2.0,4.0,106.0,54.0,52.0,7.0,2.0,5.0,225.0,119.0,106.0,337.0,175.0,162.0,6.0,2.0,4.0,106.0,54.0,52.0,7.0,2.0,5.0,218.0,117.0,101.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,556.0,224.0,332.0,,
33.0,622.0,5833.0,640350.0,0.0,0.0,VILLAGE,Keeladi,Rural,1317.0,5140.0,2552.0,2588.0,554.0,299.0,255.0,1759.0,853.0,906.0,0.0,0.0,0.0,3721.0,1997.0,1724.0,1419.0,555.0,864.0,2344.0,1410.0,934.0,1772.0,1302.0,470.0,76.0,66.0,10.0,370.0,254.0,116.0,24.0,8.0,16.0,1302.0,974.0,328.0,572.0,108.0,464.0,8.0,6.0,2.0,34.0,14.0,20.0,1.0,0.0,1.0,529.0,88.0,441.0,145.0,59.0,86.0,7.0,5.0,2.0,26.0,12.0,14.0,1.0,0.0,1.0,111.0,42.0,69.0,427.0,49.0,378.0,1.0,1.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,418.0,46.0,372.0,2796.0,1142.0,1654.0,,
33.0,622.0,5833.0,640351.0,0.0,0.0,VILLAGE,Manalur,Rural,626.0,2463.0,1237.0,1226.0,242.0,108.0,134.0,665.0,357.0,308.0,0.0,0.0,0.0,1899.0,1043.0,856.0,564.0,194.0,370.0,1218.0,755.0,463.0,1021.0,699.0,322.0,95.0,77.0,18.0,176.0,100.0,76.0,7.0,4.0,3.0,743.0,518.0,225.0,197.0,56.0,141.0,1.0,0.0,1.0,38.0,16.0,22.0,9.0,2.0,7.0,149.0,38.0,111.0,182.0,53.0,129.0,1.0,0.0,1.0,35.0,15.0,20.0,7.0,2.0,5.0,139.0,36.0,103.0,15.0,3.0,12.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,10.0,2.0,8.0,1245.0,482.0,763.0,,
33.0,622.0,5833.0,640352.0,0.0,0.0,VILLAGE,Adikarai,Rural,115.0,442.0,212.0,230.0,50.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,177.0,144.0,121.0,35.0,86.0,250.0,135.0,115.0,84.0,48.0,36.0,60.0,30.0,30.0,20.0,16.0,4.0,0.0,0.0,0.0,4.0,2.0,2.0,166.0,87.0,79.0,3.0,2.0,1.0,163.0,85.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,87.0,79.0,3.0,2.0,1.0,163.0,85.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,77.0,115.0,,
33.0,622.0,5833.0,640353.0,0.0,0.0,VILLAGE,Puvandi,Rural,813.0,3655.0,1719.0,1936.0,371.0,187.0,184.0,595.0,295.0,300.0,0.0,0.0,0.0,2491.0,1310.0,1181.0,1164.0,409.0,755.0,1634.0,957.0,677.0,1512.0,904.0,608.0,298.0,203.0,95.0,699.0,318.0,381.0,31.0,27.0,4.0,484.0,356.0,128.0,122.0,53.0,69.0,7.0,1.0,6.0,70.0,32.0,38.0,1.0,0.0,1.0,44.0,20.0,24.0,117.0,51.0,66.0,6.0,0.0,6.0,68.0,32.0,36.0,0.0,0.0,0.0,43.0,19.0,24.0,5.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2021.0,762.0,1259.0,,
33.0,622.0,5833.0,640354.0,0.0,0.0,VILLAGE,Enathi ,Rural,727.0,3252.0,1791.0,1461.0,347.0,180.0,167.0,644.0,348.0,296.0,0.0,0.0,0.0,2173.0,1409.0,764.0,1079.0,382.0,697.0,1554.0,895.0,659.0,794.0,570.0,224.0,215.0,183.0,32.0,400.0,253.0,147.0,8.0,5.0,3.0,171.0,129.0,42.0,760.0,325.0,435.0,7.0,2.0,5.0,737.0,316.0,421.0,5.0,2.0,3.0,11.0,5.0,6.0,744.0,323.0,421.0,5.0,2.0,3.0,724.0,314.0,410.0,4.0,2.0,2.0,11.0,5.0,6.0,16.0,2.0,14.0,2.0,0.0,2.0,13.0,2.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1698.0,896.0,802.0,,
