State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,620.0,5811.0,0.0,0.0,0.0,SUB-DISTRICT,Kumbakonam,Total,110486.0,436592.0,216463.0,220129.0,43367.0,22116.0,21251.0,80045.0,40021.0,40024.0,349.0,176.0,173.0,336904.0,176821.0,160083.0,99688.0,39642.0,60046.0,165912.0,126380.0,39532.0,148514.0,116444.0,32070.0,9926.0,8959.0,967.0,39331.0,26350.0,12981.0,8305.0,5453.0,2852.0,90952.0,75682.0,15270.0,17398.0,9936.0,7462.0,902.0,643.0,259.0,9677.0,4938.0,4739.0,889.0,284.0,605.0,5930.0,4071.0,1859.0,13919.0,8082.0,5837.0,834.0,606.0,228.0,7401.0,3845.0,3556.0,734.0,246.0,488.0,4950.0,3385.0,1565.0,3479.0,1854.0,1625.0,68.0,37.0,31.0,2276.0,1093.0,1183.0,155.0,38.0,117.0,980.0,686.0,294.0,270680.0,90083.0,180597.0,,
33.0,620.0,5811.0,0.0,0.0,0.0,SUB-DISTRICT,Kumbakonam,Rural,53528.0,213009.0,105989.0,107020.0,22010.0,11273.0,10737.0,61299.0,30721.0,30578.0,198.0,97.0,101.0,154421.0,82843.0,71578.0,58588.0,23146.0,35442.0,87770.0,63332.0,24438.0,74962.0,56321.0,18641.0,8550.0,7660.0,890.0,35542.0,23495.0,12047.0,2087.0,1300.0,787.0,28783.0,23866.0,4917.0,12808.0,7011.0,5797.0,777.0,559.0,218.0,8876.0,4410.0,4466.0,441.0,168.0,273.0,2714.0,1874.0,840.0,10400.0,5845.0,4555.0,722.0,534.0,188.0,6961.0,3530.0,3431.0,365.0,151.0,214.0,2352.0,1630.0,722.0,2408.0,1166.0,1242.0,55.0,25.0,30.0,1915.0,880.0,1035.0,76.0,17.0,59.0,362.0,244.0,118.0,125239.0,42657.0,82582.0,,
33.0,620.0,5811.0,0.0,0.0,0.0,SUB-DISTRICT,Kumbakonam,Urban,56958.0,223583.0,110474.0,113109.0,21357.0,10843.0,10514.0,18746.0,9300.0,9446.0,151.0,79.0,72.0,182483.0,93978.0,88505.0,41100.0,16496.0,24604.0,78142.0,63048.0,15094.0,73552.0,60123.0,13429.0,1376.0,1299.0,77.0,3789.0,2855.0,934.0,6218.0,4153.0,2065.0,62169.0,51816.0,10353.0,4590.0,2925.0,1665.0,125.0,84.0,41.0,801.0,528.0,273.0,448.0,116.0,332.0,3216.0,2197.0,1019.0,3519.0,2237.0,1282.0,112.0,72.0,40.0,440.0,315.0,125.0,369.0,95.0,274.0,2598.0,1755.0,843.0,1071.0,688.0,383.0,13.0,12.0,1.0,361.0,213.0,148.0,79.0,21.0,58.0,618.0,442.0,176.0,145441.0,47426.0,98015.0,,
33.0,620.0,5811.0,638470.0,0.0,0.0,VILLAGE,Athiyur ,Rural,666.0,2633.0,1344.0,1289.0,281.0,148.0,133.0,932.0,463.0,469.0,55.0,27.0,28.0,1743.0,1001.0,742.0,890.0,343.0,547.0,1014.0,783.0,231.0,751.0,643.0,108.0,189.0,176.0,13.0,372.0,307.0,65.0,10.0,6.0,4.0,180.0,154.0,26.0,263.0,140.0,123.0,131.0,103.0,28.0,120.0,28.0,92.0,0.0,0.0,0.0,12.0,9.0,3.0,219.0,135.0,84.0,124.0,103.0,21.0,85.0,24.0,61.0,0.0,0.0,0.0,10.0,8.0,2.0,44.0,5.0,39.0,7.0,0.0,7.0,35.0,4.0,31.0,0.0,0.0,0.0,2.0,1.0,1.0,1619.0,561.0,1058.0,,
33.0,620.0,5811.0,638471.0,0.0,0.0,VILLAGE,Vilandakandam,Rural,493.0,2129.0,1043.0,1086.0,242.0,111.0,131.0,1041.0,541.0,500.0,0.0,0.0,0.0,1626.0,849.0,777.0,503.0,194.0,309.0,616.0,533.0,83.0,590.0,519.0,71.0,65.0,61.0,4.0,277.0,239.0,38.0,10.0,6.0,4.0,238.0,213.0,25.0,26.0,14.0,12.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,21.0,13.0,8.0,25.0,14.0,11.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,21.0,13.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1513.0,510.0,1003.0,,
33.0,620.0,5811.0,638472.0,0.0,0.0,VILLAGE,Kovilacheri,Rural,420.0,1700.0,842.0,858.0,183.0,97.0,86.0,957.0,470.0,487.0,0.0,0.0,0.0,1220.0,650.0,570.0,480.0,192.0,288.0,758.0,511.0,247.0,311.0,232.0,79.0,50.0,44.0,6.0,156.0,99.0,57.0,8.0,6.0,2.0,97.0,83.0,14.0,447.0,279.0,168.0,106.0,77.0,29.0,283.0,154.0,129.0,13.0,7.0,6.0,45.0,41.0,4.0,401.0,263.0,138.0,103.0,76.0,27.0,248.0,146.0,102.0,11.0,6.0,5.0,39.0,35.0,4.0,46.0,16.0,30.0,3.0,1.0,2.0,35.0,8.0,27.0,2.0,1.0,1.0,6.0,6.0,0.0,942.0,331.0,611.0,,
33.0,620.0,5811.0,638473.0,0.0,0.0,VILLAGE,Kumarankudi,Rural,374.0,1554.0,770.0,784.0,188.0,105.0,83.0,1041.0,512.0,529.0,0.0,0.0,0.0,992.0,543.0,449.0,562.0,227.0,335.0,756.0,463.0,293.0,557.0,384.0,173.0,64.0,53.0,11.0,314.0,199.0,115.0,8.0,1.0,7.0,171.0,131.0,40.0,199.0,79.0,120.0,2.0,0.0,2.0,177.0,62.0,115.0,0.0,0.0,0.0,20.0,17.0,3.0,177.0,75.0,102.0,0.0,0.0,0.0,160.0,60.0,100.0,0.0,0.0,0.0,17.0,15.0,2.0,22.0,4.0,18.0,2.0,0.0,2.0,17.0,2.0,15.0,0.0,0.0,0.0,3.0,2.0,1.0,798.0,307.0,491.0,,
33.0,620.0,5811.0,638474.0,0.0,0.0,VILLAGE,Uthamadani,Rural,313.0,1342.0,678.0,664.0,128.0,66.0,62.0,676.0,342.0,334.0,0.0,0.0,0.0,853.0,486.0,367.0,489.0,192.0,297.0,681.0,413.0,268.0,645.0,391.0,254.0,47.0,41.0,6.0,470.0,238.0,232.0,10.0,9.0,1.0,118.0,103.0,15.0,36.0,22.0,14.0,5.0,5.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,22.0,13.0,9.0,35.0,21.0,14.0,5.0,5.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,21.0,12.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,661.0,265.0,396.0,,
33.0,620.0,5811.0,638475.0,0.0,0.0,VILLAGE,Devanancheri,Rural,746.0,2991.0,1485.0,1506.0,310.0,145.0,165.0,1072.0,521.0,551.0,0.0,0.0,0.0,2059.0,1137.0,922.0,932.0,348.0,584.0,1433.0,953.0,480.0,1336.0,899.0,437.0,95.0,85.0,10.0,884.0,492.0,392.0,16.0,13.0,3.0,341.0,309.0,32.0,97.0,54.0,43.0,8.0,7.0,1.0,82.0,44.0,38.0,1.0,0.0,1.0,6.0,3.0,3.0,97.0,54.0,43.0,8.0,7.0,1.0,82.0,44.0,38.0,1.0,0.0,1.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558.0,532.0,1026.0,,
33.0,620.0,5811.0,638476.0,0.0,0.0,VILLAGE,Neerathanallur,Rural,910.0,3651.0,1813.0,1838.0,394.0,194.0,200.0,1049.0,515.0,534.0,0.0,0.0,0.0,2315.0,1284.0,1031.0,1336.0,529.0,807.0,1592.0,1123.0,469.0,1251.0,940.0,311.0,177.0,155.0,22.0,750.0,506.0,244.0,8.0,2.0,6.0,316.0,277.0,39.0,341.0,183.0,158.0,8.0,4.0,4.0,313.0,166.0,147.0,2.0,0.0,2.0,18.0,13.0,5.0,328.0,178.0,150.0,6.0,3.0,3.0,307.0,164.0,143.0,1.0,0.0,1.0,14.0,11.0,3.0,13.0,5.0,8.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,0.0,1.0,4.0,2.0,2.0,2059.0,690.0,1369.0,,
