State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,620.0,5815.0,0.0,0.0,0.0,SUB-DISTRICT,Orathanadu,Total,61409.0,246871.0,120073.0,126798.0,24781.0,12643.0,12138.0,42326.0,20757.0,21569.0,78.0,41.0,37.0,166777.0,90508.0,76269.0,80094.0,29565.0,50529.0,119586.0,71925.0,47661.0,102072.0,63942.0,38130.0,30266.0,22059.0,8207.0,54513.0,28933.0,25580.0,1571.0,930.0,641.0,15722.0,12020.0,3702.0,17514.0,7983.0,9531.0,2730.0,1457.0,1273.0,12814.0,5409.0,7405.0,402.0,156.0,246.0,1568.0,961.0,607.0,14679.0,6566.0,8113.0,2572.0,1386.0,1186.0,10352.0,4180.0,6172.0,349.0,143.0,206.0,1406.0,857.0,549.0,2835.0,1417.0,1418.0,158.0,71.0,87.0,2462.0,1229.0,1233.0,53.0,13.0,40.0,162.0,104.0,58.0,127285.0,48148.0,79137.0,,
33.0,620.0,5815.0,0.0,0.0,0.0,SUB-DISTRICT,Orathanadu,Rural,58776.0,236624.0,115186.0,121438.0,23703.0,12132.0,11571.0,41742.0,20461.0,21281.0,72.0,38.0,34.0,159004.0,86574.0,72430.0,77620.0,28612.0,49008.0,116003.0,69211.0,46792.0,98679.0,61306.0,37373.0,30066.0,21878.0,8188.0,54181.0,28741.0,25440.0,1501.0,906.0,595.0,12931.0,9781.0,3150.0,17324.0,7905.0,9419.0,2724.0,1452.0,1272.0,12687.0,5373.0,7314.0,397.0,154.0,243.0,1516.0,926.0,590.0,14561.0,6521.0,8040.0,2567.0,1382.0,1185.0,10283.0,4164.0,6119.0,346.0,143.0,203.0,1365.0,832.0,533.0,2763.0,1384.0,1379.0,157.0,70.0,87.0,2404.0,1209.0,1195.0,51.0,11.0,40.0,151.0,94.0,57.0,120621.0,45975.0,74646.0,,
33.0,620.0,5815.0,0.0,0.0,0.0,SUB-DISTRICT,Orathanadu,Urban,2633.0,10247.0,4887.0,5360.0,1078.0,511.0,567.0,584.0,296.0,288.0,6.0,3.0,3.0,7773.0,3934.0,3839.0,2474.0,953.0,1521.0,3583.0,2714.0,869.0,3393.0,2636.0,757.0,200.0,181.0,19.0,332.0,192.0,140.0,70.0,24.0,46.0,2791.0,2239.0,552.0,190.0,78.0,112.0,6.0,5.0,1.0,127.0,36.0,91.0,5.0,2.0,3.0,52.0,35.0,17.0,118.0,45.0,73.0,5.0,4.0,1.0,69.0,16.0,53.0,3.0,0.0,3.0,41.0,25.0,16.0,72.0,33.0,39.0,1.0,1.0,0.0,58.0,20.0,38.0,2.0,2.0,0.0,11.0,10.0,1.0,6664.0,2173.0,4491.0,,
33.0,620.0,5815.0,638849.0,0.0,0.0,VILLAGE,Karaimeendarkottai,Rural,296.0,1168.0,567.0,601.0,109.0,57.0,52.0,435.0,219.0,216.0,0.0,0.0,0.0,733.0,391.0,342.0,435.0,176.0,259.0,528.0,331.0,197.0,525.0,330.0,195.0,81.0,70.0,11.0,358.0,192.0,166.0,16.0,12.0,4.0,70.0,56.0,14.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,236.0,404.0,,
33.0,620.0,5815.0,638850.0,0.0,0.0,VILLAGE,Vandayarriruppu,Rural,425.0,1784.0,871.0,913.0,174.0,85.0,89.0,398.0,203.0,195.0,0.0,0.0,0.0,1298.0,703.0,595.0,486.0,168.0,318.0,773.0,534.0,239.0,721.0,500.0,221.0,221.0,199.0,22.0,322.0,151.0,171.0,7.0,7.0,0.0,171.0,143.0,28.0,52.0,34.0,18.0,2.0,2.0,0.0,30.0,18.0,12.0,6.0,3.0,3.0,14.0,11.0,3.0,50.0,32.0,18.0,2.0,2.0,0.0,29.0,17.0,12.0,6.0,3.0,3.0,13.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1011.0,337.0,674.0,,
33.0,620.0,5815.0,638851.0,0.0,0.0,VILLAGE,Raghavambalpuram Part,Rural,1025.0,4055.0,2022.0,2033.0,359.0,182.0,177.0,744.0,361.0,383.0,0.0,0.0,0.0,2971.0,1613.0,1358.0,1084.0,409.0,675.0,1941.0,1270.0,671.0,1789.0,1187.0,602.0,354.0,303.0,51.0,1269.0,748.0,521.0,6.0,5.0,1.0,160.0,131.0,29.0,152.0,83.0,69.0,6.0,2.0,4.0,126.0,67.0,59.0,3.0,3.0,0.0,17.0,11.0,6.0,147.0,81.0,66.0,5.0,2.0,3.0,122.0,65.0,57.0,3.0,3.0,0.0,17.0,11.0,6.0,5.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.0,752.0,1362.0,,
33.0,620.0,5815.0,638852.0,0.0,0.0,VILLAGE,Sadaiyarkoil,Rural,489.0,1974.0,1007.0,967.0,207.0,104.0,103.0,137.0,70.0,67.0,0.0,0.0,0.0,1270.0,728.0,542.0,704.0,279.0,425.0,1188.0,733.0,455.0,1182.0,733.0,449.0,123.0,109.0,14.0,877.0,510.0,367.0,57.0,8.0,49.0,125.0,106.0,19.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,274.0,512.0,,
33.0,620.0,5815.0,638853.0,0.0,0.0,VILLAGE,Moorthiambalpuram,Rural,367.0,1377.0,657.0,720.0,118.0,54.0,64.0,6.0,3.0,3.0,0.0,0.0,0.0,923.0,493.0,430.0,454.0,164.0,290.0,631.0,373.0,258.0,410.0,261.0,149.0,95.0,83.0,12.0,200.0,97.0,103.0,0.0,0.0,0.0,115.0,81.0,34.0,221.0,112.0,109.0,7.0,7.0,0.0,187.0,86.0,101.0,3.0,1.0,2.0,24.0,18.0,6.0,214.0,110.0,104.0,6.0,6.0,0.0,181.0,85.0,96.0,3.0,1.0,2.0,24.0,18.0,6.0,7.0,2.0,5.0,1.0,1.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,284.0,462.0,,
33.0,620.0,5815.0,638854.0,0.0,0.0,VILLAGE,Panayakottai,Rural,441.0,1746.0,844.0,902.0,168.0,82.0,86.0,315.0,151.0,164.0,0.0,0.0,0.0,1271.0,671.0,600.0,475.0,173.0,302.0,713.0,497.0,216.0,599.0,432.0,167.0,115.0,99.0,16.0,328.0,204.0,124.0,14.0,8.0,6.0,142.0,121.0,21.0,114.0,65.0,49.0,15.0,13.0,2.0,56.0,23.0,33.0,1.0,1.0,0.0,42.0,28.0,14.0,92.0,56.0,36.0,14.0,12.0,2.0,40.0,18.0,22.0,0.0,0.0,0.0,38.0,26.0,12.0,22.0,9.0,13.0,1.0,1.0,0.0,16.0,5.0,11.0,1.0,1.0,0.0,4.0,2.0,2.0,1033.0,347.0,686.0,,
33.0,620.0,5815.0,638855.0,0.0,0.0,VILLAGE,Arasapattu,Rural,719.0,2866.0,1413.0,1453.0,288.0,138.0,150.0,234.0,109.0,125.0,0.0,0.0,0.0,1760.0,983.0,777.0,1106.0,430.0,676.0,1485.0,869.0,616.0,979.0,717.0,262.0,58.0,56.0,2.0,790.0,555.0,235.0,27.0,13.0,14.0,104.0,93.0,11.0,506.0,152.0,354.0,15.0,10.0,5.0,455.0,117.0,338.0,1.0,0.0,1.0,35.0,25.0,10.0,386.0,85.0,301.0,13.0,10.0,3.0,341.0,52.0,289.0,1.0,0.0,1.0,31.0,23.0,8.0,120.0,67.0,53.0,2.0,0.0,2.0,114.0,65.0,49.0,0.0,0.0,0.0,4.0,2.0,2.0,1381.0,544.0,837.0,,
