State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,620.0,5817.0,0.0,0.0,0.0,SUB-DISTRICT,Peravurani,Total,32535.0,123861.0,60326.0,63535.0,12276.0,6215.0,6061.0,12149.0,5980.0,6169.0,26.0,14.0,12.0,87448.0,46672.0,40776.0,36413.0,13654.0,22759.0,56079.0,35777.0,20302.0,50032.0,32933.0,17099.0,10840.0,8108.0,2732.0,25031.0,13559.0,11472.0,669.0,344.0,325.0,13492.0,10922.0,2570.0,6047.0,2844.0,3203.0,734.0,364.0,370.0,4308.0,1852.0,2456.0,128.0,55.0,73.0,877.0,573.0,304.0,5419.0,2589.0,2830.0,689.0,343.0,346.0,3901.0,1714.0,2187.0,90.0,40.0,50.0,739.0,492.0,247.0,628.0,255.0,373.0,45.0,21.0,24.0,407.0,138.0,269.0,38.0,15.0,23.0,138.0,81.0,57.0,67782.0,24549.0,43233.0,,
33.0,620.0,5817.0,0.0,0.0,0.0,SUB-DISTRICT,Peravurani,Rural,25146.0,96173.0,46918.0,49255.0,9644.0,4857.0,4787.0,9851.0,4878.0,4973.0,17.0,8.0,9.0,66771.0,35898.0,30873.0,29402.0,11020.0,18382.0,44998.0,28044.0,16954.0,40275.0,25978.0,14297.0,8651.0,6512.0,2139.0,21569.0,11346.0,10223.0,435.0,233.0,202.0,9620.0,7887.0,1733.0,4723.0,2066.0,2657.0,636.0,282.0,354.0,3469.0,1429.0,2040.0,79.0,38.0,41.0,539.0,317.0,222.0,4345.0,1921.0,2424.0,597.0,267.0,330.0,3270.0,1376.0,1894.0,53.0,24.0,29.0,425.0,254.0,171.0,378.0,145.0,233.0,39.0,15.0,24.0,199.0,53.0,146.0,26.0,14.0,12.0,114.0,63.0,51.0,51175.0,18874.0,32301.0,,
33.0,620.0,5817.0,0.0,0.0,0.0,SUB-DISTRICT,Peravurani,Urban,7389.0,27688.0,13408.0,14280.0,2632.0,1358.0,1274.0,2298.0,1102.0,1196.0,9.0,6.0,3.0,20677.0,10774.0,9903.0,7011.0,2634.0,4377.0,11081.0,7733.0,3348.0,9757.0,6955.0,2802.0,2189.0,1596.0,593.0,3462.0,2213.0,1249.0,234.0,111.0,123.0,3872.0,3035.0,837.0,1324.0,778.0,546.0,98.0,82.0,16.0,839.0,423.0,416.0,49.0,17.0,32.0,338.0,256.0,82.0,1074.0,668.0,406.0,92.0,76.0,16.0,631.0,338.0,293.0,37.0,16.0,21.0,314.0,238.0,76.0,250.0,110.0,140.0,6.0,6.0,0.0,208.0,85.0,123.0,12.0,1.0,11.0,24.0,18.0,6.0,16607.0,5675.0,10932.0,,
33.0,620.0,5817.0,639133.0,0.0,0.0,VILLAGE,Periyanayagipuram,Rural,907.0,3311.0,1561.0,1750.0,378.0,188.0,190.0,745.0,359.0,386.0,0.0,0.0,0.0,2109.0,1074.0,1035.0,1202.0,487.0,715.0,1404.0,902.0,502.0,1386.0,889.0,497.0,209.0,170.0,39.0,958.0,533.0,425.0,6.0,2.0,4.0,213.0,184.0,29.0,18.0,13.0,5.0,8.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,17.0,12.0,5.0,8.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1907.0,659.0,1248.0,,
33.0,620.0,5817.0,639134.0,0.0,0.0,VILLAGE,Chettivayal,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,620.0,5817.0,639135.0,0.0,0.0,VILLAGE,Arasalamkarambai,Rural,2.0,5.0,3.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,
33.0,620.0,5817.0,639136.0,0.0,0.0,VILLAGE,Palayanagaram,Rural,160.0,643.0,301.0,342.0,59.0,35.0,24.0,78.0,33.0,45.0,0.0,0.0,0.0,457.0,232.0,225.0,186.0,69.0,117.0,313.0,169.0,144.0,309.0,167.0,142.0,69.0,43.0,26.0,206.0,103.0,103.0,0.0,0.0,0.0,34.0,21.0,13.0,4.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,132.0,198.0,,
33.0,620.0,5817.0,639137.0,0.0,0.0,VILLAGE,Thonthupullikkadu,Rural,180.0,738.0,362.0,376.0,97.0,48.0,49.0,11.0,4.0,7.0,0.0,0.0,0.0,427.0,236.0,191.0,311.0,126.0,185.0,398.0,229.0,169.0,398.0,229.0,169.0,23.0,17.0,6.0,330.0,176.0,154.0,0.0,0.0,0.0,45.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,133.0,207.0,,
33.0,620.0,5817.0,639138.0,0.0,0.0,VILLAGE,Kalluranikkadu,Rural,305.0,1174.0,566.0,608.0,128.0,57.0,71.0,526.0,248.0,278.0,0.0,0.0,0.0,852.0,468.0,384.0,322.0,98.0,224.0,539.0,288.0,251.0,535.0,286.0,249.0,114.0,69.0,45.0,325.0,155.0,170.0,3.0,2.0,1.0,93.0,60.0,33.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,278.0,357.0,,
33.0,620.0,5817.0,639139.0,0.0,0.0,VILLAGE,Kalagam II,Rural,746.0,2747.0,1348.0,1399.0,246.0,123.0,123.0,49.0,18.0,31.0,0.0,0.0,0.0,1982.0,1090.0,892.0,765.0,258.0,507.0,1489.0,832.0,657.0,914.0,643.0,271.0,203.0,166.0,37.0,414.0,256.0,158.0,28.0,13.0,15.0,269.0,208.0,61.0,575.0,189.0,386.0,119.0,22.0,97.0,389.0,122.0,267.0,8.0,4.0,4.0,59.0,41.0,18.0,495.0,172.0,323.0,100.0,18.0,82.0,337.0,112.0,225.0,7.0,4.0,3.0,51.0,38.0,13.0,80.0,17.0,63.0,19.0,4.0,15.0,52.0,10.0,42.0,1.0,0.0,1.0,8.0,3.0,5.0,1258.0,516.0,742.0,,
33.0,620.0,5817.0,639140.0,0.0,0.0,VILLAGE,Kalagam I,Rural,727.0,2631.0,1304.0,1327.0,246.0,129.0,117.0,115.0,57.0,58.0,0.0,0.0,0.0,1860.0,1002.0,858.0,771.0,302.0,469.0,1097.0,732.0,365.0,894.0,679.0,215.0,126.0,98.0,28.0,535.0,388.0,147.0,22.0,19.0,3.0,211.0,174.0,37.0,203.0,53.0,150.0,5.0,2.0,3.0,166.0,33.0,133.0,7.0,4.0,3.0,25.0,14.0,11.0,175.0,48.0,127.0,5.0,2.0,3.0,144.0,31.0,113.0,3.0,2.0,1.0,23.0,13.0,10.0,28.0,5.0,23.0,0.0,0.0,0.0,22.0,2.0,20.0,4.0,2.0,2.0,2.0,1.0,1.0,1534.0,572.0,962.0,,
33.0,620.0,5817.0,639141.0,0.0,0.0,VILLAGE,Kottaikadu,Rural,111.0,401.0,206.0,195.0,27.0,18.0,9.0,380.0,194.0,186.0,0.0,0.0,0.0,304.0,167.0,137.0,97.0,39.0,58.0,192.0,117.0,75.0,190.0,116.0,74.0,35.0,22.0,13.0,88.0,47.0,41.0,0.0,0.0,0.0,67.0,47.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,89.0,120.0,,
33.0,620.0,5817.0,639142.0,0.0,0.0,VILLAGE,Gangadharapuram,Rural,200.0,738.0,346.0,392.0,72.0,36.0,36.0,11.0,6.0,5.0,0.0,0.0,0.0,546.0,288.0,258.0,192.0,58.0,134.0,351.0,195.0,156.0,338.0,189.0,149.0,30.0,24.0,6.0,185.0,83.0,102.0,2.0,1.0,1.0,121.0,81.0,40.0,13.0,6.0,7.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,5.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,11.0,6.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,5.0,3.0,387.0,151.0,236.0,,
33.0,620.0,5817.0,639143.0,0.0,0.0,VILLAGE,Seruvalakkadu,Rural,363.0,1331.0,640.0,691.0,134.0,68.0,66.0,9.0,3.0,6.0,0.0,0.0,0.0,683.0,373.0,310.0,648.0,267.0,381.0,816.0,414.0,402.0,436.0,204.0,232.0,18.0,10.0,8.0,394.0,178.0,216.0,3.0,1.0,2.0,21.0,15.0,6.0,380.0,210.0,170.0,29.0,18.0,11.0,342.0,184.0,158.0,3.0,3.0,0.0,6.0,5.0,1.0,378.0,209.0,169.0,29.0,18.0,11.0,341.0,184.0,157.0,3.0,3.0,0.0,5.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,515.0,226.0,289.0,,
