State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,611.0,5759.0,0.0,0.0,0.0,SUB-DISTRICT,Kundah,Total,13831.0,46307.0,22335.0,23972.0,3270.0,1630.0,1640.0,16830.0,8331.0,8499.0,521.0,249.0,272.0,35916.0,18896.0,17020.0,10391.0,3439.0,6952.0,26819.0,14099.0,12720.0,25268.0,13348.0,11920.0,1930.0,1018.0,912.0,8730.0,4237.0,4493.0,316.0,100.0,216.0,14292.0,7993.0,6299.0,1551.0,751.0,800.0,131.0,59.0,72.0,309.0,131.0,178.0,108.0,3.0,105.0,1003.0,558.0,445.0,1470.0,706.0,764.0,127.0,57.0,70.0,290.0,123.0,167.0,101.0,2.0,99.0,952.0,524.0,428.0,81.0,45.0,36.0,4.0,2.0,2.0,19.0,8.0,11.0,7.0,1.0,6.0,51.0,34.0,17.0,19488.0,8236.0,11252.0,,
33.0,611.0,5759.0,0.0,0.0,0.0,SUB-DISTRICT,Kundah,Rural,9398.0,31557.0,15231.0,16326.0,2221.0,1101.0,1120.0,11474.0,5709.0,5765.0,367.0,171.0,196.0,24224.0,12800.0,11424.0,7333.0,2431.0,4902.0,18803.0,9694.0,9109.0,17605.0,9135.0,8470.0,1870.0,975.0,895.0,7881.0,3785.0,4096.0,277.0,79.0,198.0,7577.0,4296.0,3281.0,1198.0,559.0,639.0,122.0,52.0,70.0,265.0,109.0,156.0,106.0,2.0,104.0,705.0,396.0,309.0,1136.0,530.0,606.0,118.0,50.0,68.0,247.0,101.0,146.0,99.0,1.0,98.0,672.0,378.0,294.0,62.0,29.0,33.0,4.0,2.0,2.0,18.0,8.0,10.0,7.0,1.0,6.0,33.0,18.0,15.0,12754.0,5537.0,7217.0,,
33.0,611.0,5759.0,0.0,0.0,0.0,SUB-DISTRICT,Kundah,Urban,4433.0,14750.0,7104.0,7646.0,1049.0,529.0,520.0,5356.0,2622.0,2734.0,154.0,78.0,76.0,11692.0,6096.0,5596.0,3058.0,1008.0,2050.0,8016.0,4405.0,3611.0,7663.0,4213.0,3450.0,60.0,43.0,17.0,849.0,452.0,397.0,39.0,21.0,18.0,6715.0,3697.0,3018.0,353.0,192.0,161.0,9.0,7.0,2.0,44.0,22.0,22.0,2.0,1.0,1.0,298.0,162.0,136.0,334.0,176.0,158.0,9.0,7.0,2.0,43.0,22.0,21.0,2.0,1.0,1.0,280.0,146.0,134.0,19.0,16.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,16.0,2.0,6734.0,2699.0,4035.0,,
33.0,611.0,5759.0,635117.0,0.0,0.0,VILLAGE,Ithalar,Rural,2814.0,9876.0,4760.0,5116.0,712.0,342.0,370.0,2968.0,1434.0,1534.0,68.0,32.0,36.0,7485.0,3998.0,3487.0,2391.0,762.0,1629.0,6426.0,3276.0,3150.0,5758.0,2972.0,2786.0,890.0,474.0,416.0,3379.0,1630.0,1749.0,122.0,19.0,103.0,1367.0,849.0,518.0,668.0,304.0,364.0,23.0,9.0,14.0,137.0,60.0,77.0,93.0,1.0,92.0,415.0,234.0,181.0,638.0,293.0,345.0,21.0,8.0,13.0,121.0,53.0,68.0,89.0,1.0,88.0,407.0,231.0,176.0,30.0,11.0,19.0,2.0,1.0,1.0,16.0,7.0,9.0,4.0,0.0,4.0,8.0,3.0,5.0,3450.0,1484.0,1966.0,,
33.0,611.0,5759.0,635118.0,0.0,0.0,VILLAGE,Mulligoor,Rural,1363.0,4647.0,2301.0,2346.0,433.0,204.0,229.0,2511.0,1297.0,1214.0,88.0,41.0,47.0,3411.0,1850.0,1561.0,1236.0,451.0,785.0,2559.0,1391.0,1168.0,2524.0,1377.0,1147.0,220.0,109.0,111.0,1268.0,640.0,628.0,23.0,10.0,13.0,1013.0,618.0,395.0,35.0,14.0,21.0,2.0,0.0,2.0,8.0,4.0,4.0,1.0,0.0,1.0,24.0,10.0,14.0,35.0,14.0,21.0,2.0,0.0,2.0,8.0,4.0,4.0,1.0,0.0,1.0,24.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088.0,910.0,1178.0,,
33.0,611.0,5759.0,635119.0,0.0,0.0,VILLAGE,Balacola,Rural,4097.0,13622.0,6515.0,7107.0,871.0,446.0,425.0,4253.0,2105.0,2148.0,55.0,23.0,32.0,10923.0,5633.0,5290.0,2699.0,882.0,1817.0,7863.0,3989.0,3874.0,7421.0,3776.0,3645.0,743.0,381.0,362.0,2939.0,1366.0,1573.0,127.0,49.0,78.0,3612.0,1980.0,1632.0,442.0,213.0,229.0,94.0,41.0,53.0,110.0,41.0,69.0,10.0,1.0,9.0,228.0,130.0,98.0,412.0,196.0,216.0,92.0,40.0,52.0,108.0,40.0,68.0,7.0,0.0,7.0,205.0,116.0,89.0,30.0,17.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,23.0,14.0,9.0,5759.0,2526.0,3233.0,,
33.0,611.0,5759.0,635120.0,0.0,0.0,VILLAGE,Melkundah,Rural,649.0,2106.0,1050.0,1056.0,143.0,82.0,61.0,1426.0,717.0,709.0,72.0,31.0,41.0,1428.0,806.0,622.0,678.0,244.0,434.0,1249.0,654.0,595.0,1214.0,637.0,577.0,8.0,6.0,2.0,262.0,133.0,129.0,4.0,1.0,3.0,940.0,497.0,443.0,35.0,17.0,18.0,2.0,1.0,1.0,8.0,3.0,5.0,0.0,0.0,0.0,25.0,13.0,12.0,33.0,16.0,17.0,2.0,1.0,1.0,8.0,3.0,5.0,0.0,0.0,0.0,23.0,12.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,857.0,396.0,461.0,,
33.0,611.0,5759.0,635121.0,0.0,0.0,VILLAGE,Kinnakkorai,Rural,475.0,1306.0,605.0,701.0,62.0,27.0,35.0,316.0,156.0,160.0,84.0,44.0,40.0,977.0,513.0,464.0,329.0,92.0,237.0,706.0,384.0,322.0,688.0,373.0,315.0,9.0,5.0,4.0,33.0,16.0,17.0,1.0,0.0,1.0,645.0,352.0,293.0,18.0,11.0,7.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,13.0,9.0,4.0,18.0,11.0,7.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,13.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,221.0,379.0,,
33.0,611.0,5759.0,803572.0,0.0,0.0,TOWN,Bikketti (TP),Urban,1797.0,5864.0,2824.0,3040.0,411.0,208.0,203.0,2028.0,988.0,1040.0,7.0,2.0,5.0,4620.0,2426.0,2194.0,1244.0,398.0,846.0,3319.0,1768.0,1551.0,3220.0,1708.0,1512.0,34.0,24.0,10.0,178.0,106.0,72.0,21.0,13.0,8.0,2987.0,1565.0,1422.0,99.0,60.0,39.0,1.0,1.0,0.0,12.0,8.0,4.0,1.0,0.0,1.0,85.0,51.0,34.0,94.0,55.0,39.0,1.0,1.0,0.0,12.0,8.0,4.0,1.0,0.0,1.0,80.0,46.0,34.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2545.0,1056.0,1489.0,,
33.0,611.0,5759.0,803572.0,1.0,0.0,WARD,Bikketti (TP) WARD NO.-0001,Urban,93.0,289.0,138.0,151.0,12.0,6.0,6.0,99.0,45.0,54.0,0.0,0.0,0.0,232.0,121.0,111.0,57.0,17.0,40.0,205.0,98.0,107.0,204.0,97.0,107.0,15.0,10.0,5.0,3.0,0.0,3.0,2.0,1.0,1.0,184.0,86.0,98.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,40.0,44.0,,
