State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,624.0,5846.0,0.0,0.0,0.0,SUB-DISTRICT,Andipatti,Total,58902.0,212700.0,107856.0,104844.0,21939.0,11386.0,10553.0,50267.0,25455.0,24812.0,366.0,193.0,173.0,136329.0,77768.0,58561.0,76371.0,30088.0,46283.0,115823.0,64780.0,51043.0,96755.0,55662.0,41093.0,10579.0,6298.0,4281.0,53977.0,26734.0,27243.0,3238.0,1622.0,1616.0,28961.0,21008.0,7953.0,19068.0,9118.0,9950.0,755.0,377.0,378.0,13896.0,6195.0,7701.0,755.0,342.0,413.0,3662.0,2204.0,1458.0,16623.0,8131.0,8492.0,632.0,326.0,306.0,12100.0,5485.0,6615.0,631.0,301.0,330.0,3260.0,2019.0,1241.0,2445.0,987.0,1458.0,123.0,51.0,72.0,1796.0,710.0,1086.0,124.0,41.0,83.0,402.0,185.0,217.0,96877.0,43076.0,53801.0,,
33.0,624.0,5846.0,0.0,0.0,0.0,SUB-DISTRICT,Andipatti,Rural,51390.0,185413.0,94232.0,91181.0,19169.0,9946.0,9223.0,47581.0,24101.0,23480.0,363.0,191.0,172.0,115403.0,66504.0,48899.0,70010.0,27728.0,42282.0,104227.0,57022.0,47205.0,86622.0,48674.0,37948.0,10455.0,6196.0,4259.0,53194.0,26275.0,26919.0,2082.0,1088.0,994.0,20891.0,15115.0,5776.0,17605.0,8348.0,9257.0,726.0,353.0,373.0,13399.0,5979.0,7420.0,426.0,193.0,233.0,3054.0,1823.0,1231.0,15334.0,7438.0,7896.0,604.0,303.0,301.0,11673.0,5300.0,6373.0,325.0,157.0,168.0,2732.0,1678.0,1054.0,2271.0,910.0,1361.0,122.0,50.0,72.0,1726.0,679.0,1047.0,101.0,36.0,65.0,322.0,145.0,177.0,81186.0,37210.0,43976.0,,
33.0,624.0,5846.0,0.0,0.0,0.0,SUB-DISTRICT,Andipatti,Urban,7512.0,27287.0,13624.0,13663.0,2770.0,1440.0,1330.0,2686.0,1354.0,1332.0,3.0,2.0,1.0,20926.0,11264.0,9662.0,6361.0,2360.0,4001.0,11596.0,7758.0,3838.0,10133.0,6988.0,3145.0,124.0,102.0,22.0,783.0,459.0,324.0,1156.0,534.0,622.0,8070.0,5893.0,2177.0,1463.0,770.0,693.0,29.0,24.0,5.0,497.0,216.0,281.0,329.0,149.0,180.0,608.0,381.0,227.0,1289.0,693.0,596.0,28.0,23.0,5.0,427.0,185.0,242.0,306.0,144.0,162.0,528.0,341.0,187.0,174.0,77.0,97.0,1.0,1.0,0.0,70.0,31.0,39.0,23.0,5.0,18.0,80.0,40.0,40.0,15691.0,5866.0,9825.0,,
33.0,624.0,5846.0,641146.0,0.0,0.0,VILLAGE,Pulimancombai,Rural,951.0,3607.0,1826.0,1781.0,372.0,205.0,167.0,372.0,191.0,181.0,0.0,0.0,0.0,1967.0,1124.0,843.0,1640.0,702.0,938.0,2256.0,1160.0,1096.0,1666.0,877.0,789.0,82.0,63.0,19.0,1326.0,659.0,667.0,110.0,50.0,60.0,148.0,105.0,43.0,590.0,283.0,307.0,19.0,2.0,17.0,539.0,270.0,269.0,8.0,1.0,7.0,24.0,10.0,14.0,583.0,281.0,302.0,19.0,2.0,17.0,533.0,268.0,265.0,7.0,1.0,6.0,24.0,10.0,14.0,7.0,2.0,5.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1351.0,666.0,685.0,,
33.0,624.0,5846.0,641147.0,0.0,0.0,VILLAGE,Timmarasanayakkanur    ,Rural,5552.0,20218.0,10354.0,9864.0,2117.0,1146.0,971.0,4769.0,2391.0,2378.0,0.0,0.0,0.0,13431.0,7718.0,5713.0,6787.0,2636.0,4151.0,11016.0,6112.0,4904.0,9580.0,5406.0,4174.0,832.0,480.0,352.0,4132.0,2059.0,2073.0,665.0,336.0,329.0,3951.0,2531.0,1420.0,1436.0,706.0,730.0,60.0,29.0,31.0,1081.0,506.0,575.0,91.0,51.0,40.0,204.0,120.0,84.0,1031.0,522.0,509.0,48.0,25.0,23.0,738.0,346.0,392.0,74.0,42.0,32.0,171.0,109.0,62.0,405.0,184.0,221.0,12.0,4.0,8.0,343.0,160.0,183.0,17.0,9.0,8.0,33.0,11.0,22.0,9202.0,4242.0,4960.0,,
33.0,624.0,5846.0,641148.0,0.0,0.0,VILLAGE,Kovilpatti ,Rural,2666.0,10072.0,5144.0,4928.0,1080.0,597.0,483.0,1724.0,892.0,832.0,0.0,0.0,0.0,6570.0,3829.0,2741.0,3502.0,1315.0,2187.0,5184.0,3019.0,2165.0,4576.0,2744.0,1832.0,568.0,354.0,214.0,2156.0,913.0,1243.0,53.0,29.0,24.0,1799.0,1448.0,351.0,608.0,275.0,333.0,19.0,7.0,12.0,381.0,126.0,255.0,5.0,2.0,3.0,203.0,140.0,63.0,336.0,165.0,171.0,13.0,4.0,9.0,181.0,42.0,139.0,0.0,0.0,0.0,142.0,119.0,23.0,272.0,110.0,162.0,6.0,3.0,3.0,200.0,84.0,116.0,5.0,2.0,3.0,61.0,21.0,40.0,4888.0,2125.0,2763.0,,
33.0,624.0,5846.0,641149.0,0.0,0.0,VILLAGE,Shanmugasundarapuram ,Rural,2682.0,10680.0,5478.0,5202.0,1172.0,593.0,579.0,3676.0,1890.0,1786.0,0.0,0.0,0.0,7238.0,4176.0,3062.0,3442.0,1302.0,2140.0,5871.0,3279.0,2592.0,5453.0,3080.0,2373.0,745.0,413.0,332.0,3070.0,1465.0,1605.0,71.0,36.0,35.0,1567.0,1166.0,401.0,418.0,199.0,219.0,21.0,8.0,13.0,175.0,61.0,114.0,14.0,7.0,7.0,208.0,123.0,85.0,363.0,173.0,190.0,20.0,8.0,12.0,145.0,51.0,94.0,5.0,1.0,4.0,193.0,113.0,80.0,55.0,26.0,29.0,1.0,0.0,1.0,30.0,10.0,20.0,9.0,6.0,3.0,15.0,10.0,5.0,4809.0,2199.0,2610.0,,
33.0,624.0,5846.0,641150.0,0.0,0.0,VILLAGE,Kunnur ,Rural,1461.0,5387.0,2768.0,2619.0,562.0,285.0,277.0,4098.0,2113.0,1985.0,1.0,0.0,1.0,3298.0,1878.0,1420.0,2089.0,890.0,1199.0,2868.0,1593.0,1275.0,2281.0,1280.0,1001.0,227.0,133.0,94.0,1599.0,805.0,794.0,27.0,19.0,8.0,428.0,323.0,105.0,587.0,313.0,274.0,17.0,10.0,7.0,497.0,261.0,236.0,14.0,6.0,8.0,59.0,36.0,23.0,540.0,290.0,250.0,10.0,5.0,5.0,461.0,246.0,215.0,12.0,5.0,7.0,57.0,34.0,23.0,47.0,23.0,24.0,7.0,5.0,2.0,36.0,15.0,21.0,2.0,1.0,1.0,2.0,2.0,0.0,2519.0,1175.0,1344.0,,
33.0,624.0,5846.0,641151.0,0.0,0.0,VILLAGE,Marikkundu,Rural,1185.0,4317.0,2168.0,2149.0,426.0,212.0,214.0,396.0,194.0,202.0,0.0,0.0,0.0,2845.0,1633.0,1212.0,1472.0,535.0,937.0,2472.0,1328.0,1144.0,2399.0,1296.0,1103.0,156.0,94.0,62.0,1619.0,700.0,919.0,18.0,11.0,7.0,606.0,491.0,115.0,73.0,32.0,41.0,2.0,0.0,2.0,35.0,13.0,22.0,4.0,1.0,3.0,32.0,18.0,14.0,67.0,28.0,39.0,2.0,0.0,2.0,31.0,10.0,21.0,3.0,1.0,2.0,31.0,17.0,14.0,6.0,4.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1845.0,840.0,1005.0,,
33.0,624.0,5846.0,641152.0,0.0,0.0,VILLAGE,Tekkampatti,Rural,702.0,2611.0,1299.0,1312.0,297.0,157.0,140.0,2056.0,1021.0,1035.0,0.0,0.0,0.0,1734.0,974.0,760.0,877.0,325.0,552.0,1364.0,709.0,655.0,749.0,432.0,317.0,163.0,88.0,75.0,284.0,113.0,171.0,15.0,9.0,6.0,287.0,222.0,65.0,615.0,277.0,338.0,8.0,4.0,4.0,585.0,261.0,324.0,5.0,1.0,4.0,17.0,11.0,6.0,530.0,237.0,293.0,8.0,4.0,4.0,502.0,223.0,279.0,4.0,0.0,4.0,16.0,10.0,6.0,85.0,40.0,45.0,0.0,0.0,0.0,83.0,38.0,45.0,1.0,1.0,0.0,1.0,1.0,0.0,1247.0,590.0,657.0,,
