State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,624.0,5843.0,0.0,0.0,0.0,SUB-DISTRICT,Periyakulam,Total,57001.0,217358.0,109907.0,107451.0,21825.0,11298.0,10527.0,58057.0,29538.0,28519.0,431.0,232.0,199.0,151321.0,83524.0,67797.0,66037.0,26383.0,39654.0,93127.0,63395.0,29732.0,84743.0,58938.0,25805.0,5797.0,4779.0,1018.0,42630.0,25397.0,17233.0,1850.0,1020.0,830.0,34466.0,27742.0,6724.0,8384.0,4457.0,3927.0,232.0,136.0,96.0,5302.0,2664.0,2638.0,326.0,135.0,191.0,2524.0,1522.0,1002.0,7302.0,3894.0,3408.0,208.0,122.0,86.0,4670.0,2378.0,2292.0,271.0,120.0,151.0,2153.0,1274.0,879.0,1082.0,563.0,519.0,24.0,14.0,10.0,632.0,286.0,346.0,55.0,15.0,40.0,371.0,248.0,123.0,124231.0,46512.0,77719.0,,
33.0,624.0,5843.0,0.0,0.0,0.0,SUB-DISTRICT,Periyakulam,Rural,27208.0,102741.0,52232.0,50509.0,10335.0,5400.0,4935.0,26402.0,13624.0,12778.0,342.0,187.0,155.0,67943.0,38211.0,29732.0,34798.0,14021.0,20777.0,47827.0,30940.0,16887.0,43606.0,28829.0,14777.0,3932.0,3188.0,744.0,25214.0,14193.0,11021.0,738.0,442.0,296.0,13722.0,11006.0,2716.0,4221.0,2111.0,2110.0,152.0,88.0,64.0,2987.0,1394.0,1593.0,162.0,87.0,75.0,920.0,542.0,378.0,3834.0,1929.0,1905.0,133.0,77.0,56.0,2807.0,1328.0,1479.0,135.0,83.0,52.0,759.0,441.0,318.0,387.0,182.0,205.0,19.0,11.0,8.0,180.0,66.0,114.0,27.0,4.0,23.0,161.0,101.0,60.0,54914.0,21292.0,33622.0,,
33.0,624.0,5843.0,0.0,0.0,0.0,SUB-DISTRICT,Periyakulam,Urban,29793.0,114617.0,57675.0,56942.0,11490.0,5898.0,5592.0,31655.0,15914.0,15741.0,89.0,45.0,44.0,83378.0,45313.0,38065.0,31239.0,12362.0,18877.0,45300.0,32455.0,12845.0,41137.0,30109.0,11028.0,1865.0,1591.0,274.0,17416.0,11204.0,6212.0,1112.0,578.0,534.0,20744.0,16736.0,4008.0,4163.0,2346.0,1817.0,80.0,48.0,32.0,2315.0,1270.0,1045.0,164.0,48.0,116.0,1604.0,980.0,624.0,3468.0,1965.0,1503.0,75.0,45.0,30.0,1863.0,1050.0,813.0,136.0,37.0,99.0,1394.0,833.0,561.0,695.0,381.0,314.0,5.0,3.0,2.0,452.0,220.0,232.0,28.0,11.0,17.0,210.0,147.0,63.0,69317.0,25220.0,44097.0,,
33.0,624.0,5843.0,641084.0,0.0,0.0,VILLAGE,Vadagarai ,Rural,1668.0,6367.0,3163.0,3204.0,609.0,296.0,313.0,1739.0,872.0,867.0,29.0,14.0,15.0,4495.0,2426.0,2069.0,1872.0,737.0,1135.0,2648.0,1885.0,763.0,2477.0,1765.0,712.0,60.0,45.0,15.0,1324.0,825.0,499.0,41.0,29.0,12.0,1052.0,866.0,186.0,171.0,120.0,51.0,4.0,4.0,0.0,110.0,76.0,34.0,4.0,3.0,1.0,53.0,37.0,16.0,169.0,118.0,51.0,4.0,4.0,0.0,110.0,76.0,34.0,4.0,3.0,1.0,51.0,35.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3719.0,1278.0,2441.0,,
33.0,624.0,5843.0,641085.0,0.0,0.0,VILLAGE,Keelavadagarai ,Rural,1519.0,5952.0,3071.0,2881.0,590.0,322.0,268.0,784.0,408.0,376.0,23.0,14.0,9.0,4342.0,2391.0,1951.0,1610.0,680.0,930.0,2461.0,1747.0,714.0,1921.0,1395.0,526.0,82.0,67.0,15.0,686.0,409.0,277.0,44.0,28.0,16.0,1109.0,891.0,218.0,540.0,352.0,188.0,8.0,7.0,1.0,410.0,273.0,137.0,16.0,7.0,9.0,106.0,65.0,41.0,480.0,312.0,168.0,5.0,5.0,0.0,387.0,257.0,130.0,10.0,5.0,5.0,78.0,45.0,33.0,60.0,40.0,20.0,3.0,2.0,1.0,23.0,16.0,7.0,6.0,2.0,4.0,28.0,20.0,8.0,3491.0,1324.0,2167.0,,
33.0,624.0,5843.0,641086.0,0.0,0.0,VILLAGE,E.Pudukottai,Rural,1120.0,4427.0,2244.0,2183.0,541.0,274.0,267.0,2801.0,1436.0,1365.0,43.0,24.0,19.0,2613.0,1477.0,1136.0,1814.0,767.0,1047.0,2064.0,1305.0,759.0,2046.0,1297.0,749.0,50.0,47.0,3.0,1622.0,948.0,674.0,16.0,11.0,5.0,358.0,291.0,67.0,18.0,8.0,10.0,2.0,0.0,2.0,9.0,3.0,6.0,1.0,0.0,1.0,6.0,5.0,1.0,16.0,6.0,10.0,2.0,0.0,2.0,9.0,3.0,6.0,1.0,0.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2363.0,939.0,1424.0,,
33.0,624.0,5843.0,641087.0,0.0,0.0,VILLAGE,Genguvarpatty ,Rural,1863.0,7219.0,3472.0,3747.0,753.0,396.0,357.0,1471.0,717.0,754.0,0.0,0.0,0.0,4863.0,2546.0,2317.0,2356.0,926.0,1430.0,3238.0,1992.0,1246.0,3138.0,1944.0,1194.0,153.0,131.0,22.0,1818.0,992.0,826.0,38.0,20.0,18.0,1129.0,801.0,328.0,100.0,48.0,52.0,9.0,8.0,1.0,28.0,10.0,18.0,10.0,2.0,8.0,53.0,28.0,25.0,79.0,40.0,39.0,7.0,6.0,1.0,23.0,8.0,15.0,8.0,2.0,6.0,41.0,24.0,17.0,21.0,8.0,13.0,2.0,2.0,0.0,5.0,2.0,3.0,2.0,0.0,2.0,12.0,4.0,8.0,3981.0,1480.0,2501.0,,
33.0,624.0,5843.0,641088.0,0.0,0.0,VILLAGE,D.Vadipatty,Rural,322.0,1227.0,624.0,603.0,134.0,79.0,55.0,226.0,111.0,115.0,0.0,0.0,0.0,749.0,445.0,304.0,478.0,179.0,299.0,561.0,348.0,213.0,556.0,344.0,212.0,26.0,16.0,10.0,347.0,174.0,173.0,4.0,3.0,1.0,179.0,151.0,28.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,276.0,390.0,,
33.0,624.0,5843.0,641089.0,0.0,0.0,VILLAGE,Silvarpatty,Rural,1784.0,6630.0,3378.0,3252.0,711.0,378.0,333.0,1347.0,708.0,639.0,10.0,4.0,6.0,4435.0,2544.0,1891.0,2195.0,834.0,1361.0,3520.0,2110.0,1410.0,3075.0,1981.0,1094.0,292.0,240.0,52.0,1848.0,995.0,853.0,58.0,27.0,31.0,877.0,719.0,158.0,445.0,129.0,316.0,14.0,6.0,8.0,346.0,70.0,276.0,3.0,0.0,3.0,82.0,53.0,29.0,407.0,116.0,291.0,14.0,6.0,8.0,323.0,68.0,255.0,2.0,0.0,2.0,68.0,42.0,26.0,38.0,13.0,25.0,0.0,0.0,0.0,23.0,2.0,21.0,1.0,0.0,1.0,14.0,11.0,3.0,3110.0,1268.0,1842.0,,
33.0,624.0,5843.0,641090.0,0.0,0.0,VILLAGE,Kamatchipuram,Rural,886.0,3253.0,1672.0,1581.0,310.0,149.0,161.0,258.0,138.0,120.0,0.0,0.0,0.0,2369.0,1330.0,1039.0,884.0,342.0,542.0,1249.0,930.0,319.0,1206.0,917.0,289.0,143.0,133.0,10.0,420.0,252.0,168.0,41.0,28.0,13.0,602.0,504.0,98.0,43.0,13.0,30.0,1.0,1.0,0.0,21.0,4.0,17.0,3.0,0.0,3.0,18.0,8.0,10.0,35.0,11.0,24.0,1.0,1.0,0.0,17.0,3.0,14.0,2.0,0.0,2.0,15.0,7.0,8.0,8.0,2.0,6.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,2004.0,742.0,1262.0,,
