State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,624.0,5844.0,0.0,0.0,0.0,SUB-DISTRICT,Theni ,Total,54239.0,199983.0,100352.0,99631.0,19455.0,10036.0,9419.0,47453.0,23848.0,23605.0,43.0,20.0,23.0,148172.0,80153.0,68019.0,51811.0,20199.0,31612.0,87964.0,58519.0,29445.0,81057.0,54821.0,26236.0,4088.0,2858.0,1230.0,25303.0,12832.0,12471.0,1621.0,841.0,780.0,50045.0,38290.0,11755.0,6907.0,3698.0,3209.0,187.0,103.0,84.0,3168.0,1486.0,1682.0,243.0,81.0,162.0,3309.0,2028.0,1281.0,5889.0,3146.0,2743.0,173.0,96.0,77.0,2857.0,1357.0,1500.0,181.0,64.0,117.0,2678.0,1629.0,1049.0,1018.0,552.0,466.0,14.0,7.0,7.0,311.0,129.0,182.0,62.0,17.0,45.0,631.0,399.0,232.0,112019.0,41833.0,70186.0,,
33.0,624.0,5844.0,0.0,0.0,0.0,SUB-DISTRICT,Theni ,Rural,20411.0,74493.0,37343.0,37150.0,7264.0,3671.0,3593.0,25311.0,12740.0,12571.0,8.0,3.0,5.0,51788.0,28928.0,22860.0,22705.0,8415.0,14290.0,37689.0,21934.0,15755.0,34499.0,20501.0,13998.0,2974.0,1984.0,990.0,19507.0,9522.0,9985.0,789.0,456.0,333.0,11229.0,8539.0,2690.0,3190.0,1433.0,1757.0,124.0,64.0,60.0,2390.0,1015.0,1375.0,118.0,53.0,65.0,558.0,301.0,257.0,2910.0,1324.0,1586.0,117.0,60.0,57.0,2203.0,955.0,1248.0,95.0,45.0,50.0,495.0,264.0,231.0,280.0,109.0,171.0,7.0,4.0,3.0,187.0,60.0,127.0,23.0,8.0,15.0,63.0,37.0,26.0,36804.0,15409.0,21395.0,,
33.0,624.0,5844.0,0.0,0.0,0.0,SUB-DISTRICT,Theni ,Urban,33828.0,125490.0,63009.0,62481.0,12191.0,6365.0,5826.0,22142.0,11108.0,11034.0,35.0,17.0,18.0,96384.0,51225.0,45159.0,29106.0,11784.0,17322.0,50275.0,36585.0,13690.0,46558.0,34320.0,12238.0,1114.0,874.0,240.0,5796.0,3310.0,2486.0,832.0,385.0,447.0,38816.0,29751.0,9065.0,3717.0,2265.0,1452.0,63.0,39.0,24.0,778.0,471.0,307.0,125.0,28.0,97.0,2751.0,1727.0,1024.0,2979.0,1822.0,1157.0,56.0,36.0,20.0,654.0,402.0,252.0,86.0,19.0,67.0,2183.0,1365.0,818.0,738.0,443.0,295.0,7.0,3.0,4.0,124.0,69.0,55.0,39.0,9.0,30.0,568.0,362.0,206.0,75215.0,26424.0,48791.0,,
33.0,624.0,5844.0,641100.0,0.0,0.0,VILLAGE,Unjampatty,Rural,2463.0,9118.0,4590.0,4528.0,954.0,467.0,487.0,1357.0,697.0,660.0,0.0,0.0,0.0,6443.0,3545.0,2898.0,2675.0,1045.0,1630.0,4099.0,2758.0,1341.0,3951.0,2687.0,1264.0,171.0,147.0,24.0,1309.0,717.0,592.0,276.0,152.0,124.0,2195.0,1671.0,524.0,148.0,71.0,77.0,4.0,1.0,3.0,39.0,12.0,27.0,51.0,25.0,26.0,54.0,33.0,21.0,138.0,66.0,72.0,3.0,0.0,3.0,36.0,11.0,25.0,50.0,25.0,25.0,49.0,30.0,19.0,10.0,5.0,5.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,5.0,3.0,2.0,5019.0,1832.0,3187.0,,
33.0,624.0,5844.0,641101.0,0.0,0.0,VILLAGE,Koduvilarpatty  ,Rural,5542.0,21119.0,10643.0,10476.0,2102.0,1056.0,1046.0,7925.0,3966.0,3959.0,5.0,2.0,3.0,15046.0,8346.0,6700.0,6073.0,2297.0,3776.0,9784.0,5928.0,3856.0,9541.0,5852.0,3689.0,908.0,602.0,306.0,4361.0,2083.0,2278.0,150.0,83.0,67.0,4122.0,3084.0,1038.0,243.0,76.0,167.0,9.0,2.0,7.0,82.0,25.0,57.0,10.0,1.0,9.0,142.0,48.0,94.0,208.0,68.0,140.0,8.0,2.0,6.0,66.0,23.0,43.0,4.0,1.0,3.0,130.0,42.0,88.0,35.0,8.0,27.0,1.0,0.0,1.0,16.0,2.0,14.0,6.0,0.0,6.0,12.0,6.0,6.0,11335.0,4715.0,6620.0,,
33.0,624.0,5844.0,641102.0,0.0,0.0,VILLAGE,Govindanagaram ,Rural,1823.0,6452.0,3160.0,3292.0,594.0,299.0,295.0,1883.0,932.0,951.0,1.0,1.0,0.0,4722.0,2541.0,2181.0,1730.0,619.0,1111.0,3319.0,1932.0,1387.0,3248.0,1896.0,1352.0,423.0,276.0,147.0,1964.0,973.0,991.0,89.0,61.0,28.0,772.0,586.0,186.0,71.0,36.0,35.0,5.0,3.0,2.0,24.0,9.0,15.0,8.0,3.0,5.0,34.0,21.0,13.0,59.0,29.0,30.0,5.0,3.0,2.0,21.0,7.0,14.0,7.0,2.0,5.0,26.0,17.0,9.0,12.0,7.0,5.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,8.0,4.0,4.0,3133.0,1228.0,1905.0,,
33.0,624.0,5844.0,641103.0,0.0,0.0,VILLAGE,Thadicheri ,Rural,1244.0,4235.0,2115.0,2120.0,407.0,218.0,189.0,1115.0,608.0,507.0,0.0,0.0,0.0,2864.0,1604.0,1260.0,1371.0,511.0,860.0,2138.0,1213.0,925.0,1832.0,1091.0,741.0,195.0,133.0,62.0,1046.0,517.0,529.0,10.0,3.0,7.0,581.0,438.0,143.0,306.0,122.0,184.0,12.0,8.0,4.0,251.0,83.0,168.0,2.0,1.0,1.0,41.0,30.0,11.0,266.0,108.0,158.0,12.0,8.0,4.0,216.0,72.0,144.0,2.0,1.0,1.0,36.0,27.0,9.0,40.0,14.0,26.0,0.0,0.0,0.0,35.0,11.0,24.0,0.0,0.0,0.0,5.0,3.0,2.0,2097.0,902.0,1195.0,,
33.0,624.0,5844.0,641104.0,0.0,0.0,VILLAGE,Thappukundu,Rural,519.0,1723.0,872.0,851.0,113.0,62.0,51.0,231.0,121.0,110.0,0.0,0.0,0.0,1227.0,721.0,506.0,496.0,151.0,345.0,991.0,529.0,462.0,797.0,509.0,288.0,56.0,39.0,17.0,570.0,325.0,245.0,3.0,2.0,1.0,168.0,143.0,25.0,194.0,20.0,174.0,3.0,1.0,2.0,186.0,15.0,171.0,0.0,0.0,0.0,5.0,4.0,1.0,169.0,12.0,157.0,3.0,1.0,2.0,163.0,8.0,155.0,0.0,0.0,0.0,3.0,3.0,0.0,25.0,8.0,17.0,0.0,0.0,0.0,23.0,7.0,16.0,0.0,0.0,0.0,2.0,1.0,1.0,732.0,343.0,389.0,,
33.0,624.0,5844.0,641105.0,0.0,0.0,VILLAGE,Upparpatty,Rural,853.0,3165.0,1553.0,1612.0,316.0,153.0,163.0,947.0,473.0,474.0,1.0,0.0,1.0,2258.0,1206.0,1052.0,907.0,347.0,560.0,1855.0,995.0,860.0,1808.0,973.0,835.0,170.0,93.0,77.0,1124.0,491.0,633.0,46.0,26.0,20.0,468.0,363.0,105.0,47.0,22.0,25.0,8.0,3.0,5.0,17.0,6.0,11.0,5.0,0.0,5.0,17.0,13.0,4.0,42.0,18.0,24.0,8.0,3.0,5.0,16.0,6.0,10.0,5.0,0.0,5.0,13.0,9.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1310.0,558.0,752.0,,
33.0,624.0,5844.0,641106.0,0.0,0.0,VILLAGE,Kottur,Rural,1904.0,6735.0,3360.0,3375.0,598.0,298.0,300.0,5493.0,2748.0,2745.0,1.0,0.0,1.0,4842.0,2689.0,2153.0,1893.0,671.0,1222.0,3486.0,1887.0,1599.0,2667.0,1498.0,1169.0,185.0,125.0,60.0,1848.0,917.0,931.0,30.0,19.0,11.0,604.0,437.0,167.0,819.0,389.0,430.0,23.0,13.0,10.0,738.0,344.0,394.0,12.0,6.0,6.0,46.0,26.0,20.0,758.0,369.0,389.0,23.0,13.0,10.0,682.0,328.0,354.0,11.0,6.0,5.0,42.0,22.0,20.0,61.0,20.0,41.0,0.0,0.0,0.0,56.0,16.0,40.0,1.0,0.0,1.0,4.0,4.0,0.0,3249.0,1473.0,1776.0,,
