State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,602.0,5700.0,0.0,0.0,0.0,SUB-DISTRICT,Ambattur,Total,231525.0,906580.0,457820.0,448760.0,98839.0,50683.0,48156.0,109785.0,55099.0,54686.0,3780.0,1904.0,1876.0,735126.0,385011.0,350115.0,171454.0,72809.0,98645.0,357439.0,267651.0,89788.0,310877.0,241372.0,69505.0,4866.0,3387.0,1479.0,4858.0,3134.0,1724.0,5065.0,2955.0,2110.0,296088.0,231896.0,64192.0,46562.0,26279.0,20283.0,1467.0,831.0,636.0,2094.0,1152.0,942.0,2272.0,1009.0,1263.0,40729.0,23287.0,17442.0,41554.0,23579.0,17975.0,1317.0,771.0,546.0,1665.0,956.0,709.0,1748.0,814.0,934.0,36824.0,21038.0,15786.0,5008.0,2700.0,2308.0,150.0,60.0,90.0,429.0,196.0,233.0,524.0,195.0,329.0,3905.0,2249.0,1656.0,549141.0,190169.0,358972.0,,
33.0,602.0,5700.0,0.0,0.0,0.0,SUB-DISTRICT,Ambattur,Rural,13518.0,54085.0,27585.0,26500.0,5670.0,2908.0,2762.0,15071.0,7461.0,7610.0,1135.0,548.0,587.0,39615.0,21786.0,17829.0,14470.0,5799.0,8671.0,21771.0,15453.0,6318.0,16994.0,12774.0,4220.0,1915.0,1402.0,513.0,2524.0,1642.0,882.0,603.0,363.0,240.0,11952.0,9367.0,2585.0,4777.0,2679.0,2098.0,411.0,170.0,241.0,1027.0,545.0,482.0,299.0,103.0,196.0,3040.0,1861.0,1179.0,3535.0,2014.0,1521.0,289.0,129.0,160.0,689.0,387.0,302.0,170.0,59.0,111.0,2387.0,1439.0,948.0,1242.0,665.0,577.0,122.0,41.0,81.0,338.0,158.0,180.0,129.0,44.0,85.0,653.0,422.0,231.0,32314.0,12132.0,20182.0,,
33.0,602.0,5700.0,0.0,0.0,0.0,SUB-DISTRICT,Ambattur,Urban,218007.0,852495.0,430235.0,422260.0,93169.0,47775.0,45394.0,94714.0,47638.0,47076.0,2645.0,1356.0,1289.0,695511.0,363225.0,332286.0,156984.0,67010.0,89974.0,335668.0,252198.0,83470.0,293883.0,228598.0,65285.0,2951.0,1985.0,966.0,2334.0,1492.0,842.0,4462.0,2592.0,1870.0,284136.0,222529.0,61607.0,41785.0,23600.0,18185.0,1056.0,661.0,395.0,1067.0,607.0,460.0,1973.0,906.0,1067.0,37689.0,21426.0,16263.0,38019.0,21565.0,16454.0,1028.0,642.0,386.0,976.0,569.0,407.0,1578.0,755.0,823.0,34437.0,19599.0,14838.0,3766.0,2035.0,1731.0,28.0,19.0,9.0,91.0,38.0,53.0,395.0,151.0,244.0,3252.0,1827.0,1425.0,516827.0,178037.0,338790.0,,
33.0,602.0,5700.0,629159.0,0.0,0.0,VILLAGE,Kilakondaiyur,Rural,696.0,2525.0,1264.0,1261.0,261.0,127.0,134.0,291.0,149.0,142.0,0.0,0.0,0.0,1554.0,871.0,683.0,971.0,393.0,578.0,1227.0,817.0,410.0,1106.0,755.0,351.0,209.0,170.0,39.0,679.0,403.0,276.0,29.0,15.0,14.0,189.0,167.0,22.0,121.0,62.0,59.0,12.0,4.0,8.0,86.0,41.0,45.0,2.0,1.0,1.0,21.0,16.0,5.0,108.0,54.0,54.0,9.0,2.0,7.0,78.0,36.0,42.0,0.0,0.0,0.0,21.0,16.0,5.0,13.0,8.0,5.0,3.0,2.0,1.0,8.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1298.0,447.0,851.0,,
33.0,602.0,5700.0,629160.0,0.0,0.0,VILLAGE,Alathur ,Rural,973.0,3636.0,1808.0,1828.0,438.0,219.0,219.0,900.0,426.0,474.0,152.0,70.0,82.0,2387.0,1328.0,1059.0,1249.0,480.0,769.0,1901.0,1113.0,788.0,1532.0,914.0,618.0,401.0,205.0,196.0,285.0,113.0,172.0,35.0,15.0,20.0,811.0,581.0,230.0,369.0,199.0,170.0,15.0,8.0,7.0,67.0,25.0,42.0,14.0,7.0,7.0,273.0,159.0,114.0,296.0,171.0,125.0,10.0,6.0,4.0,47.0,22.0,25.0,12.0,7.0,5.0,227.0,136.0,91.0,73.0,28.0,45.0,5.0,2.0,3.0,20.0,3.0,17.0,2.0,0.0,2.0,46.0,23.0,23.0,1735.0,695.0,1040.0,,
33.0,602.0,5700.0,629161.0,0.0,0.0,VILLAGE,Pandeswaram,Rural,592.0,2310.0,1099.0,1211.0,229.0,121.0,108.0,1005.0,480.0,525.0,120.0,52.0,68.0,1724.0,872.0,852.0,586.0,227.0,359.0,1280.0,682.0,598.0,1091.0,604.0,487.0,134.0,89.0,45.0,126.0,72.0,54.0,113.0,52.0,61.0,718.0,391.0,327.0,189.0,78.0,111.0,15.0,9.0,6.0,20.0,4.0,16.0,10.0,4.0,6.0,144.0,61.0,83.0,179.0,73.0,106.0,11.0,6.0,5.0,18.0,4.0,14.0,7.0,2.0,5.0,143.0,61.0,82.0,10.0,5.0,5.0,4.0,3.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,1030.0,417.0,613.0,,
33.0,602.0,5700.0,629162.0,0.0,0.0,VILLAGE,Arakkambakkam,Rural,374.0,1402.0,700.0,702.0,137.0,78.0,59.0,1085.0,531.0,554.0,8.0,5.0,3.0,1012.0,545.0,467.0,390.0,155.0,235.0,624.0,412.0,212.0,213.0,154.0,59.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,206.0,150.0,56.0,411.0,258.0,153.0,14.0,12.0,2.0,162.0,85.0,77.0,9.0,4.0,5.0,226.0,157.0,69.0,354.0,232.0,122.0,14.0,12.0,2.0,140.0,79.0,61.0,8.0,4.0,4.0,192.0,137.0,55.0,57.0,26.0,31.0,0.0,0.0,0.0,22.0,6.0,16.0,1.0,0.0,1.0,34.0,20.0,14.0,778.0,288.0,490.0,,
33.0,602.0,5700.0,629163.0,0.0,0.0,VILLAGE,Morai ,Rural,2718.0,10873.0,5462.0,5411.0,1158.0,614.0,544.0,2992.0,1489.0,1503.0,102.0,51.0,51.0,8042.0,4312.0,3730.0,2831.0,1150.0,1681.0,4249.0,3091.0,1158.0,3325.0,2634.0,691.0,268.0,222.0,46.0,184.0,145.0,39.0,92.0,66.0,26.0,2781.0,2201.0,580.0,924.0,457.0,467.0,112.0,27.0,85.0,117.0,94.0,23.0,78.0,33.0,45.0,617.0,303.0,314.0,672.0,344.0,328.0,57.0,23.0,34.0,99.0,81.0,18.0,45.0,16.0,29.0,471.0,224.0,247.0,252.0,113.0,139.0,55.0,4.0,51.0,18.0,13.0,5.0,33.0,17.0,16.0,146.0,79.0,67.0,6624.0,2371.0,4253.0,,
33.0,602.0,5700.0,629164.0,0.0,0.0,VILLAGE,Melpakkam,Rural,140.0,518.0,259.0,259.0,52.0,29.0,23.0,176.0,83.0,93.0,0.0,0.0,0.0,377.0,202.0,175.0,141.0,57.0,84.0,246.0,165.0,81.0,64.0,42.0,22.0,10.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,50.0,34.0,16.0,182.0,123.0,59.0,21.0,6.0,15.0,16.0,9.0,7.0,4.0,2.0,2.0,141.0,106.0,35.0,94.0,66.0,28.0,6.0,1.0,5.0,3.0,3.0,0.0,3.0,2.0,1.0,82.0,60.0,22.0,88.0,57.0,31.0,15.0,5.0,10.0,13.0,6.0,7.0,1.0,0.0,1.0,59.0,46.0,13.0,272.0,94.0,178.0,,
33.0,602.0,5700.0,629165.0,0.0,0.0,VILLAGE,Kadavur,Rural,214.0,800.0,406.0,394.0,72.0,36.0,36.0,319.0,163.0,156.0,35.0,19.0,16.0,513.0,289.0,224.0,287.0,117.0,170.0,274.0,231.0,43.0,258.0,227.0,31.0,39.0,33.0,6.0,5.0,5.0,0.0,9.0,0.0,9.0,205.0,189.0,16.0,16.0,4.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,10.0,3.0,7.0,14.0,3.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,8.0,2.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,526.0,175.0,351.0,,
