State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,602.0,5693.0,0.0,0.0,0.0,SUB-DISTRICT,Gummidipoondi,Total,50144.0,190541.0,95799.0,94742.0,21584.0,10952.0,10632.0,49849.0,24815.0,25034.0,5100.0,2518.0,2582.0,121410.0,67899.0,53511.0,69131.0,27900.0,41231.0,85410.0,57666.0,27744.0,65422.0,47297.0,18125.0,7396.0,5463.0,1933.0,22967.0,13444.0,9523.0,1380.0,889.0,491.0,33679.0,27501.0,6178.0,19988.0,10369.0,9619.0,1391.0,804.0,587.0,11901.0,5781.0,6120.0,496.0,169.0,327.0,6200.0,3615.0,2585.0,16530.0,8726.0,7804.0,1151.0,684.0,467.0,10189.0,5040.0,5149.0,314.0,129.0,185.0,4876.0,2873.0,2003.0,3458.0,1643.0,1815.0,240.0,120.0,120.0,1712.0,741.0,971.0,182.0,40.0,142.0,1324.0,742.0,582.0,105131.0,38133.0,66998.0,,
33.0,602.0,5693.0,0.0,0.0,0.0,SUB-DISTRICT,Gummidipoondi,Rural,42148.0,159356.0,80046.0,79310.0,17868.0,9091.0,8777.0,46740.0,23256.0,23484.0,4659.0,2306.0,2353.0,98479.0,55469.0,43010.0,60877.0,24577.0,36300.0,74061.0,48582.0,25479.0,55535.0,39233.0,16302.0,7058.0,5220.0,1838.0,22045.0,12786.0,9259.0,1124.0,724.0,400.0,25308.0,20503.0,4805.0,18526.0,9349.0,9177.0,1326.0,750.0,576.0,11478.0,5481.0,5997.0,440.0,140.0,300.0,5282.0,2978.0,2304.0,15369.0,7910.0,7459.0,1092.0,635.0,457.0,9878.0,4816.0,5062.0,270.0,103.0,167.0,4129.0,2356.0,1773.0,3157.0,1439.0,1718.0,234.0,115.0,119.0,1600.0,665.0,935.0,170.0,37.0,133.0,1153.0,622.0,531.0,85295.0,31464.0,53831.0,,
33.0,602.0,5693.0,0.0,0.0,0.0,SUB-DISTRICT,Gummidipoondi,Urban,7996.0,31185.0,15753.0,15432.0,3716.0,1861.0,1855.0,3109.0,1559.0,1550.0,441.0,212.0,229.0,22931.0,12430.0,10501.0,8254.0,3323.0,4931.0,11349.0,9084.0,2265.0,9887.0,8064.0,1823.0,338.0,243.0,95.0,922.0,658.0,264.0,256.0,165.0,91.0,8371.0,6998.0,1373.0,1462.0,1020.0,442.0,65.0,54.0,11.0,423.0,300.0,123.0,56.0,29.0,27.0,918.0,637.0,281.0,1161.0,816.0,345.0,59.0,49.0,10.0,311.0,224.0,87.0,44.0,26.0,18.0,747.0,517.0,230.0,301.0,204.0,97.0,6.0,5.0,1.0,112.0,76.0,36.0,12.0,3.0,9.0,171.0,120.0,51.0,19836.0,6669.0,13167.0,,
33.0,602.0,5693.0,628548.0,0.0,0.0,VILLAGE,Egumadurai,Rural,227.0,831.0,421.0,410.0,84.0,42.0,42.0,514.0,260.0,254.0,34.0,17.0,17.0,389.0,227.0,162.0,442.0,194.0,248.0,508.0,278.0,230.0,455.0,253.0,202.0,228.0,141.0,87.0,147.0,85.0,62.0,50.0,3.0,47.0,30.0,24.0,6.0,53.0,25.0,28.0,23.0,10.0,13.0,8.0,4.0,4.0,7.0,2.0,5.0,15.0,9.0,6.0,47.0,24.0,23.0,19.0,9.0,10.0,7.0,4.0,3.0,6.0,2.0,4.0,15.0,9.0,6.0,6.0,1.0,5.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,323.0,143.0,180.0,,
33.0,602.0,5693.0,628549.0,0.0,0.0,VILLAGE,Naidukuppam,Rural,203.0,706.0,354.0,352.0,79.0,39.0,40.0,594.0,295.0,299.0,0.0,0.0,0.0,327.0,187.0,140.0,379.0,167.0,212.0,342.0,173.0,169.0,14.0,6.0,8.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,11.0,5.0,6.0,328.0,167.0,161.0,15.0,10.0,5.0,304.0,153.0,151.0,2.0,0.0,2.0,7.0,4.0,3.0,298.0,155.0,143.0,15.0,10.0,5.0,276.0,142.0,134.0,2.0,0.0,2.0,5.0,3.0,2.0,30.0,12.0,18.0,0.0,0.0,0.0,28.0,11.0,17.0,0.0,0.0,0.0,2.0,1.0,1.0,364.0,181.0,183.0,,
33.0,602.0,5693.0,628550.0,0.0,0.0,VILLAGE,Arambakkam ,Rural,2798.0,11363.0,5609.0,5754.0,1309.0,649.0,660.0,1288.0,602.0,686.0,233.0,112.0,121.0,6625.0,3622.0,3003.0,4738.0,1987.0,2751.0,4820.0,3406.0,1414.0,4425.0,3211.0,1214.0,162.0,137.0,25.0,1410.0,929.0,481.0,46.0,19.0,27.0,2807.0,2126.0,681.0,395.0,195.0,200.0,11.0,6.0,5.0,222.0,110.0,112.0,6.0,1.0,5.0,156.0,78.0,78.0,365.0,190.0,175.0,11.0,6.0,5.0,212.0,109.0,103.0,6.0,1.0,5.0,136.0,74.0,62.0,30.0,5.0,25.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,0.0,0.0,20.0,4.0,16.0,6543.0,2203.0,4340.0,,
33.0,602.0,5693.0,628551.0,0.0,0.0,VILLAGE,Poovalai,Rural,235.0,1033.0,523.0,510.0,158.0,81.0,77.0,447.0,234.0,213.0,93.0,48.0,45.0,486.0,266.0,220.0,547.0,257.0,290.0,579.0,323.0,256.0,574.0,319.0,255.0,12.0,7.0,5.0,500.0,266.0,234.0,7.0,4.0,3.0,55.0,42.0,13.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,200.0,254.0,,
33.0,602.0,5693.0,628552.0,0.0,0.0,VILLAGE,Kannambakkam,Rural,317.0,1161.0,586.0,575.0,106.0,56.0,50.0,786.0,402.0,384.0,82.0,40.0,42.0,634.0,366.0,268.0,527.0,220.0,307.0,576.0,357.0,219.0,563.0,351.0,212.0,39.0,37.0,2.0,402.0,217.0,185.0,13.0,9.0,4.0,109.0,88.0,21.0,13.0,6.0,7.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,7.0,4.0,3.0,13.0,6.0,7.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,229.0,356.0,,
33.0,602.0,5693.0,628553.0,0.0,0.0,VILLAGE,Pallavada,Rural,512.0,1709.0,833.0,876.0,161.0,85.0,76.0,785.0,390.0,395.0,103.0,52.0,51.0,979.0,540.0,439.0,730.0,293.0,437.0,1038.0,575.0,463.0,940.0,566.0,374.0,95.0,75.0,20.0,696.0,366.0,330.0,3.0,2.0,1.0,146.0,123.0,23.0,98.0,9.0,89.0,3.0,0.0,3.0,67.0,2.0,65.0,0.0,0.0,0.0,28.0,7.0,21.0,91.0,9.0,82.0,3.0,0.0,3.0,67.0,2.0,65.0,0.0,0.0,0.0,21.0,7.0,14.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,671.0,258.0,413.0,,
33.0,602.0,5693.0,628554.0,0.0,0.0,VILLAGE,Sanaputhur,Rural,750.0,2891.0,1473.0,1418.0,340.0,181.0,159.0,1794.0,916.0,878.0,166.0,81.0,85.0,1589.0,900.0,689.0,1302.0,573.0,729.0,1608.0,877.0,731.0,1249.0,714.0,535.0,215.0,137.0,78.0,852.0,433.0,419.0,7.0,4.0,3.0,175.0,140.0,35.0,359.0,163.0,196.0,2.0,0.0,2.0,282.0,108.0,174.0,0.0,0.0,0.0,75.0,55.0,20.0,355.0,161.0,194.0,2.0,0.0,2.0,281.0,108.0,173.0,0.0,0.0,0.0,72.0,53.0,19.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1283.0,596.0,687.0,,
