State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,602.0,5701.0,0.0,0.0,0.0,SUB-DISTRICT,Mathavaram,Total,150990.0,596156.0,301303.0,294853.0,65581.0,33906.0,31675.0,107253.0,53837.0,53416.0,1700.0,815.0,885.0,468761.0,247563.0,221198.0,127395.0,53740.0,73655.0,222993.0,177266.0,45727.0,189789.0,155472.0,34317.0,1554.0,1089.0,465.0,2380.0,1482.0,898.0,3682.0,2060.0,1622.0,182173.0,150841.0,31332.0,33204.0,21794.0,11410.0,596.0,320.0,276.0,767.0,470.0,297.0,1747.0,748.0,999.0,30094.0,20256.0,9838.0,27707.0,17879.0,9828.0,551.0,297.0,254.0,674.0,414.0,260.0,1108.0,406.0,702.0,25374.0,16762.0,8612.0,5497.0,3915.0,1582.0,45.0,23.0,22.0,93.0,56.0,37.0,639.0,342.0,297.0,4720.0,3494.0,1226.0,373163.0,124037.0,249126.0,,
33.0,602.0,5701.0,0.0,0.0,0.0,SUB-DISTRICT,Mathavaram,Rural,7597.0,29360.0,14752.0,14608.0,3232.0,1651.0,1581.0,13026.0,6477.0,6549.0,374.0,186.0,188.0,21938.0,11825.0,10113.0,7422.0,2927.0,4495.0,11581.0,8688.0,2893.0,8871.0,6982.0,1889.0,690.0,508.0,182.0,1090.0,670.0,420.0,297.0,194.0,103.0,6794.0,5610.0,1184.0,2710.0,1706.0,1004.0,216.0,115.0,101.0,228.0,163.0,65.0,168.0,75.0,93.0,2098.0,1353.0,745.0,2104.0,1318.0,786.0,185.0,100.0,85.0,184.0,133.0,51.0,131.0,54.0,77.0,1604.0,1031.0,573.0,606.0,388.0,218.0,31.0,15.0,16.0,44.0,30.0,14.0,37.0,21.0,16.0,494.0,322.0,172.0,17779.0,6064.0,11715.0,,
33.0,602.0,5701.0,0.0,0.0,0.0,SUB-DISTRICT,Mathavaram,Urban,143393.0,566796.0,286551.0,280245.0,62349.0,32255.0,30094.0,94227.0,47360.0,46867.0,1326.0,629.0,697.0,446823.0,235738.0,211085.0,119973.0,50813.0,69160.0,211412.0,168578.0,42834.0,180918.0,148490.0,32428.0,864.0,581.0,283.0,1290.0,812.0,478.0,3385.0,1866.0,1519.0,175379.0,145231.0,30148.0,30494.0,20088.0,10406.0,380.0,205.0,175.0,539.0,307.0,232.0,1579.0,673.0,906.0,27996.0,18903.0,9093.0,25603.0,16561.0,9042.0,366.0,197.0,169.0,490.0,281.0,209.0,977.0,352.0,625.0,23770.0,15731.0,8039.0,4891.0,3527.0,1364.0,14.0,8.0,6.0,49.0,26.0,23.0,602.0,321.0,281.0,4226.0,3172.0,1054.0,355384.0,117973.0,237411.0,,
33.0,602.0,5701.0,629178.0,0.0,0.0,VILLAGE,Vilangadupakkam,Rural,1481.0,5668.0,2864.0,2804.0,619.0,332.0,287.0,4033.0,2016.0,2017.0,67.0,34.0,33.0,4090.0,2195.0,1895.0,1578.0,669.0,909.0,2193.0,1617.0,576.0,1377.0,1080.0,297.0,48.0,30.0,18.0,356.0,237.0,119.0,61.0,42.0,19.0,912.0,771.0,141.0,816.0,537.0,279.0,37.0,18.0,19.0,37.0,25.0,12.0,32.0,20.0,12.0,710.0,474.0,236.0,641.0,416.0,225.0,32.0,16.0,16.0,30.0,20.0,10.0,23.0,14.0,9.0,556.0,366.0,190.0,175.0,121.0,54.0,5.0,2.0,3.0,7.0,5.0,2.0,9.0,6.0,3.0,154.0,108.0,46.0,3475.0,1247.0,2228.0,,
33.0,602.0,5701.0,629179.0,0.0,0.0,VILLAGE,Sirugavur,Rural,31.0,99.0,56.0,43.0,0.0,0.0,0.0,16.0,9.0,7.0,0.0,0.0,0.0,83.0,51.0,32.0,16.0,5.0,11.0,31.0,26.0,5.0,26.0,24.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,5.0,2.0,17.0,17.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,30.0,38.0,,
33.0,602.0,5701.0,629180.0,0.0,0.0,VILLAGE,Ariyalur ,Rural,697.0,2693.0,1357.0,1336.0,284.0,138.0,146.0,1716.0,869.0,847.0,0.0,0.0,0.0,1975.0,1088.0,887.0,718.0,269.0,449.0,1046.0,751.0,295.0,646.0,541.0,105.0,27.0,21.0,6.0,39.0,30.0,9.0,7.0,5.0,2.0,573.0,485.0,88.0,400.0,210.0,190.0,22.0,17.0,5.0,62.0,52.0,10.0,7.0,4.0,3.0,309.0,137.0,172.0,281.0,155.0,126.0,16.0,12.0,4.0,54.0,45.0,9.0,3.0,1.0,2.0,208.0,97.0,111.0,119.0,55.0,64.0,6.0,5.0,1.0,8.0,7.0,1.0,4.0,3.0,1.0,101.0,40.0,61.0,1647.0,606.0,1041.0,,
33.0,602.0,5701.0,629181.0,0.0,0.0,VILLAGE,Kadapakkam,Rural,787.0,2941.0,1436.0,1505.0,306.0,141.0,165.0,825.0,400.0,425.0,0.0,0.0,0.0,2196.0,1194.0,1002.0,745.0,242.0,503.0,1318.0,916.0,402.0,1164.0,828.0,336.0,132.0,121.0,11.0,495.0,289.0,206.0,42.0,20.0,22.0,495.0,398.0,97.0,154.0,88.0,66.0,7.0,6.0,1.0,56.0,44.0,12.0,24.0,0.0,24.0,67.0,38.0,29.0,122.0,66.0,56.0,6.0,5.0,1.0,38.0,31.0,7.0,22.0,0.0,22.0,56.0,30.0,26.0,32.0,22.0,10.0,1.0,1.0,0.0,18.0,13.0,5.0,2.0,0.0,2.0,11.0,8.0,3.0,1623.0,520.0,1103.0,,
33.0,602.0,5701.0,629182.0,0.0,0.0,VILLAGE,Sadayankuppam,Rural,1355.0,5348.0,2704.0,2644.0,616.0,321.0,295.0,1406.0,715.0,691.0,165.0,78.0,87.0,4021.0,2126.0,1895.0,1327.0,578.0,749.0,1942.0,1602.0,340.0,1708.0,1507.0,201.0,62.0,55.0,7.0,25.0,19.0,6.0,33.0,24.0,9.0,1588.0,1409.0,179.0,234.0,95.0,139.0,49.0,6.0,43.0,17.0,5.0,12.0,36.0,10.0,26.0,132.0,74.0,58.0,194.0,82.0,112.0,40.0,4.0,36.0,10.0,2.0,8.0,26.0,6.0,20.0,118.0,70.0,48.0,40.0,13.0,27.0,9.0,2.0,7.0,7.0,3.0,4.0,10.0,4.0,6.0,14.0,4.0,10.0,3406.0,1102.0,2304.0,,
33.0,602.0,5701.0,629183.0,0.0,0.0,VILLAGE,Elandancheri,Rural,201.0,685.0,356.0,329.0,67.0,36.0,31.0,69.0,40.0,29.0,0.0,0.0,0.0,466.0,272.0,194.0,219.0,84.0,135.0,309.0,218.0,91.0,236.0,168.0,68.0,12.0,4.0,8.0,19.0,5.0,14.0,24.0,13.0,11.0,181.0,146.0,35.0,73.0,50.0,23.0,8.0,5.0,3.0,1.0,0.0,1.0,5.0,3.0,2.0,59.0,42.0,17.0,61.0,40.0,21.0,7.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,50.0,34.0,16.0,12.0,10.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,8.0,1.0,376.0,138.0,238.0,,
33.0,602.0,5701.0,629184.0,0.0,0.0,VILLAGE,Kosapur,Rural,190.0,780.0,358.0,422.0,93.0,46.0,47.0,713.0,327.0,386.0,8.0,6.0,2.0,541.0,277.0,264.0,239.0,81.0,158.0,291.0,219.0,72.0,149.0,110.0,39.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,146.0,107.0,39.0,142.0,109.0,33.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,136.0,107.0,29.0,97.0,86.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,96.0,86.0,10.0,45.0,23.0,22.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,21.0,19.0,489.0,139.0,350.0,,
