State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,602.0,5698.0,0.0,0.0,0.0,SUB-DISTRICT,Thiruvallur,Total,103241.0,407048.0,203911.0,203137.0,41871.0,21594.0,20277.0,138049.0,68840.0,69209.0,7057.0,3600.0,3457.0,292841.0,158836.0,134005.0,114207.0,45075.0,69132.0,178511.0,120701.0,57810.0,130973.0,95169.0,35804.0,9666.0,7066.0,2600.0,31402.0,17508.0,13894.0,3490.0,2046.0,1444.0,86415.0,68549.0,17866.0,47538.0,25532.0,22006.0,2866.0,1733.0,1133.0,22492.0,11059.0,11433.0,2251.0,1058.0,1193.0,19929.0,11682.0,8247.0,38413.0,20869.0,17544.0,2101.0,1259.0,842.0,18331.0,9239.0,9092.0,1759.0,822.0,937.0,16222.0,9549.0,6673.0,9125.0,4663.0,4462.0,765.0,474.0,291.0,4161.0,1820.0,2341.0,492.0,236.0,256.0,3707.0,2133.0,1574.0,228537.0,83210.0,145327.0,,
33.0,602.0,5698.0,0.0,0.0,0.0,SUB-DISTRICT,Thiruvallur,Rural,73778.0,289759.0,144915.0,144844.0,29626.0,15214.0,14412.0,112753.0,56220.0,56533.0,5809.0,2956.0,2853.0,200172.0,109746.0,90426.0,89587.0,35169.0,54418.0,134496.0,86510.0,47986.0,93922.0,65069.0,28853.0,9134.0,6616.0,2518.0,30116.0,16665.0,13451.0,2835.0,1673.0,1162.0,51837.0,40115.0,11722.0,40574.0,21441.0,19133.0,2764.0,1663.0,1101.0,21359.0,10475.0,10884.0,1713.0,792.0,921.0,14738.0,8511.0,6227.0,32681.0,17547.0,15134.0,2004.0,1194.0,810.0,17315.0,8719.0,8596.0,1316.0,610.0,706.0,12046.0,7024.0,5022.0,7893.0,3894.0,3999.0,760.0,469.0,291.0,4044.0,1756.0,2288.0,397.0,182.0,215.0,2692.0,1487.0,1205.0,155263.0,58405.0,96858.0,,
33.0,602.0,5698.0,0.0,0.0,0.0,SUB-DISTRICT,Thiruvallur,Urban,29463.0,117289.0,58996.0,58293.0,12245.0,6380.0,5865.0,25296.0,12620.0,12676.0,1248.0,644.0,604.0,92669.0,49090.0,43579.0,24620.0,9906.0,14714.0,44015.0,34191.0,9824.0,37051.0,30100.0,6951.0,532.0,450.0,82.0,1286.0,843.0,443.0,655.0,373.0,282.0,34578.0,28434.0,6144.0,6964.0,4091.0,2873.0,102.0,70.0,32.0,1133.0,584.0,549.0,538.0,266.0,272.0,5191.0,3171.0,2020.0,5732.0,3322.0,2410.0,97.0,65.0,32.0,1016.0,520.0,496.0,443.0,212.0,231.0,4176.0,2525.0,1651.0,1232.0,769.0,463.0,5.0,5.0,0.0,117.0,64.0,53.0,95.0,54.0,41.0,1015.0,646.0,369.0,73274.0,24805.0,48469.0,,
33.0,602.0,5698.0,628981.0,0.0,0.0,VILLAGE,Hudsonpuram,Rural,92.0,396.0,199.0,197.0,46.0,20.0,26.0,106.0,47.0,59.0,0.0,0.0,0.0,200.0,118.0,82.0,196.0,81.0,115.0,237.0,124.0,113.0,235.0,124.0,111.0,33.0,15.0,18.0,190.0,101.0,89.0,2.0,2.0,0.0,10.0,6.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,75.0,84.0,,
33.0,602.0,5698.0,628982.0,0.0,0.0,VILLAGE,Placepalayam,Rural,157.0,604.0,299.0,305.0,60.0,31.0,29.0,71.0,37.0,34.0,60.0,29.0,31.0,364.0,203.0,161.0,240.0,96.0,144.0,372.0,203.0,169.0,113.0,80.0,33.0,35.0,21.0,14.0,24.0,15.0,9.0,7.0,4.0,3.0,47.0,40.0,7.0,259.0,123.0,136.0,16.0,8.0,8.0,226.0,104.0,122.0,4.0,1.0,3.0,13.0,10.0,3.0,204.0,108.0,96.0,13.0,7.0,6.0,179.0,94.0,85.0,2.0,0.0,2.0,10.0,7.0,3.0,55.0,15.0,40.0,3.0,1.0,2.0,47.0,10.0,37.0,2.0,1.0,1.0,3.0,3.0,0.0,232.0,96.0,136.0,,
33.0,602.0,5698.0,628983.0,0.0,0.0,VILLAGE,Gengulukandigai,Rural,80.0,314.0,151.0,163.0,40.0,24.0,16.0,120.0,61.0,59.0,2.0,1.0,1.0,136.0,69.0,67.0,178.0,82.0,96.0,132.0,82.0,50.0,6.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,126.0,79.0,47.0,1.0,1.0,0.0,121.0,77.0,44.0,2.0,1.0,1.0,2.0,0.0,2.0,113.0,71.0,42.0,1.0,1.0,0.0,108.0,69.0,39.0,2.0,1.0,1.0,2.0,0.0,2.0,13.0,8.0,5.0,0.0,0.0,0.0,13.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,69.0,113.0,,
33.0,602.0,5698.0,628984.0,0.0,0.0,VILLAGE,Abrahampuram,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,602.0,5698.0,628985.0,0.0,0.0,VILLAGE,Hudson Nagaram,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,602.0,5698.0,628986.0,0.0,0.0,VILLAGE,Allikuzhi,Rural,629.0,2555.0,1305.0,1250.0,287.0,156.0,131.0,1056.0,532.0,524.0,42.0,23.0,19.0,1419.0,808.0,611.0,1136.0,497.0,639.0,1580.0,807.0,773.0,1028.0,529.0,499.0,89.0,46.0,43.0,802.0,396.0,406.0,25.0,7.0,18.0,112.0,80.0,32.0,552.0,278.0,274.0,8.0,6.0,2.0,497.0,251.0,246.0,14.0,2.0,12.0,33.0,19.0,14.0,436.0,247.0,189.0,8.0,6.0,2.0,398.0,225.0,173.0,9.0,2.0,7.0,21.0,14.0,7.0,116.0,31.0,85.0,0.0,0.0,0.0,99.0,26.0,73.0,5.0,0.0,5.0,12.0,5.0,7.0,975.0,498.0,477.0,,
33.0,602.0,5698.0,628987.0,0.0,0.0,VILLAGE,Greenvelnatham,Rural,36.0,160.0,87.0,73.0,16.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,43.0,36.0,81.0,44.0,37.0,110.0,58.0,52.0,100.0,56.0,44.0,11.0,6.0,5.0,81.0,42.0,39.0,1.0,1.0,0.0,7.0,7.0,0.0,10.0,2.0,8.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,0.0,0.0,0.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.0,21.0,,
