State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,619.0,5803.0,0.0,0.0,0.0,SUB-DISTRICT,Valangaiman,Total,25114.0,100645.0,50209.0,50436.0,10249.0,5365.0,4884.0,42546.0,21301.0,21245.0,57.0,28.0,29.0,71453.0,38477.0,32976.0,29192.0,11732.0,17460.0,45374.0,30182.0,15192.0,38636.0,26869.0,11767.0,6010.0,5050.0,960.0,22819.0,13694.0,9125.0,500.0,316.0,184.0,9307.0,7809.0,1498.0,6738.0,3313.0,3425.0,468.0,288.0,180.0,5165.0,2373.0,2792.0,199.0,50.0,149.0,906.0,602.0,304.0,5366.0,2728.0,2638.0,411.0,255.0,156.0,3999.0,1909.0,2090.0,160.0,40.0,120.0,796.0,524.0,272.0,1372.0,585.0,787.0,57.0,33.0,24.0,1166.0,464.0,702.0,39.0,10.0,29.0,110.0,78.0,32.0,55271.0,20027.0,35244.0,,
33.0,619.0,5803.0,0.0,0.0,0.0,SUB-DISTRICT,Valangaiman,Rural,22166.0,88891.0,44394.0,44497.0,9182.0,4807.0,4375.0,40423.0,20274.0,20149.0,56.0,28.0,28.0,62183.0,33675.0,28508.0,26708.0,10719.0,15989.0,40916.0,26712.0,14204.0,34956.0,23782.0,11174.0,5768.0,4826.0,942.0,22054.0,13086.0,8968.0,381.0,248.0,133.0,6753.0,5622.0,1131.0,5960.0,2930.0,3030.0,459.0,284.0,175.0,4561.0,2078.0,2483.0,174.0,42.0,132.0,766.0,526.0,240.0,4732.0,2419.0,2313.0,402.0,251.0,151.0,3517.0,1678.0,1839.0,141.0,35.0,106.0,672.0,455.0,217.0,1228.0,511.0,717.0,57.0,33.0,24.0,1044.0,400.0,644.0,33.0,7.0,26.0,94.0,71.0,23.0,47975.0,17682.0,30293.0,,
33.0,619.0,5803.0,0.0,0.0,0.0,SUB-DISTRICT,Valangaiman,Urban,2948.0,11754.0,5815.0,5939.0,1067.0,558.0,509.0,2123.0,1027.0,1096.0,1.0,0.0,1.0,9270.0,4802.0,4468.0,2484.0,1013.0,1471.0,4458.0,3470.0,988.0,3680.0,3087.0,593.0,242.0,224.0,18.0,765.0,608.0,157.0,119.0,68.0,51.0,2554.0,2187.0,367.0,778.0,383.0,395.0,9.0,4.0,5.0,604.0,295.0,309.0,25.0,8.0,17.0,140.0,76.0,64.0,634.0,309.0,325.0,9.0,4.0,5.0,482.0,231.0,251.0,19.0,5.0,14.0,124.0,69.0,55.0,144.0,74.0,70.0,0.0,0.0,0.0,122.0,64.0,58.0,6.0,3.0,3.0,16.0,7.0,9.0,7296.0,2345.0,4951.0,,
33.0,619.0,5803.0,637848.0,0.0,0.0,VILLAGE,Annukkudi,Rural,405.0,1716.0,828.0,888.0,195.0,110.0,85.0,311.0,154.0,157.0,0.0,0.0,0.0,1257.0,627.0,630.0,459.0,201.0,258.0,963.0,524.0,439.0,485.0,303.0,182.0,54.0,43.0,11.0,367.0,208.0,159.0,2.0,2.0,0.0,62.0,50.0,12.0,478.0,221.0,257.0,7.0,4.0,3.0,371.0,171.0,200.0,31.0,7.0,24.0,69.0,39.0,30.0,465.0,219.0,246.0,7.0,4.0,3.0,371.0,171.0,200.0,19.0,6.0,13.0,68.0,38.0,30.0,13.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,1.0,1.0,0.0,753.0,304.0,449.0,,
33.0,619.0,5803.0,637849.0,0.0,0.0,VILLAGE,Uthamadhanapuram,Rural,226.0,912.0,464.0,448.0,89.0,49.0,40.0,231.0,128.0,103.0,0.0,0.0,0.0,706.0,384.0,322.0,206.0,80.0,126.0,452.0,307.0,145.0,446.0,304.0,142.0,156.0,111.0,45.0,186.0,108.0,78.0,5.0,4.0,1.0,99.0,81.0,18.0,6.0,3.0,3.0,2.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,157.0,303.0,,
33.0,619.0,5803.0,637850.0,0.0,0.0,VILLAGE,Salabogam,Rural,172.0,733.0,353.0,380.0,94.0,44.0,50.0,336.0,165.0,171.0,0.0,0.0,0.0,445.0,247.0,198.0,288.0,106.0,182.0,350.0,213.0,137.0,348.0,213.0,135.0,148.0,107.0,41.0,178.0,87.0,91.0,0.0,0.0,0.0,22.0,19.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,140.0,243.0,,
33.0,619.0,5803.0,637851.0,0.0,0.0,VILLAGE,Nallur,Rural,585.0,2392.0,1213.0,1179.0,256.0,131.0,125.0,523.0,259.0,264.0,0.0,0.0,0.0,1647.0,934.0,713.0,745.0,279.0,466.0,1069.0,785.0,284.0,806.0,622.0,184.0,27.0,27.0,0.0,582.0,422.0,160.0,13.0,10.0,3.0,184.0,163.0,21.0,263.0,163.0,100.0,2.0,1.0,1.0,208.0,115.0,93.0,1.0,0.0,1.0,52.0,47.0,5.0,258.0,160.0,98.0,2.0,1.0,1.0,205.0,113.0,92.0,1.0,0.0,1.0,50.0,46.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1323.0,428.0,895.0,,
33.0,619.0,5803.0,637852.0,0.0,0.0,VILLAGE,Renganathapuram,Rural,196.0,828.0,417.0,411.0,91.0,51.0,40.0,232.0,113.0,119.0,0.0,0.0,0.0,568.0,293.0,275.0,260.0,124.0,136.0,488.0,267.0,221.0,486.0,266.0,220.0,10.0,7.0,3.0,452.0,242.0,210.0,0.0,0.0,0.0,24.0,17.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,150.0,190.0,,
33.0,619.0,5803.0,637853.0,0.0,0.0,VILLAGE,Inamkiliyur,Rural,438.0,1662.0,808.0,854.0,140.0,67.0,73.0,884.0,418.0,466.0,0.0,0.0,0.0,1225.0,632.0,593.0,437.0,176.0,261.0,797.0,504.0,293.0,795.0,502.0,293.0,83.0,76.0,7.0,608.0,340.0,268.0,4.0,1.0,3.0,100.0,85.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,304.0,561.0,,
33.0,619.0,5803.0,637854.0,0.0,0.0,VILLAGE,Kiliyur,Rural,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,,
