State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,627.0,5863.0,0.0,0.0,0.0,SUB-DISTRICT,Ettayapuram,Total,22161.0,74991.0,36490.0,38501.0,7265.0,3671.0,3594.0,19409.0,9431.0,9978.0,47.0,20.0,27.0,51864.0,28148.0,23716.0,23127.0,8342.0,14785.0,40149.0,22538.0,17611.0,33453.0,19815.0,13638.0,4524.0,2693.0,1831.0,12349.0,5856.0,6493.0,959.0,355.0,604.0,15621.0,10911.0,4710.0,6696.0,2723.0,3973.0,337.0,209.0,128.0,4202.0,1517.0,2685.0,152.0,51.0,101.0,2005.0,946.0,1059.0,6050.0,2505.0,3545.0,327.0,207.0,120.0,3951.0,1450.0,2501.0,107.0,41.0,66.0,1665.0,807.0,858.0,646.0,218.0,428.0,10.0,2.0,8.0,251.0,67.0,184.0,45.0,10.0,35.0,340.0,139.0,201.0,34842.0,13952.0,20890.0,,
33.0,627.0,5863.0,0.0,0.0,0.0,SUB-DISTRICT,Ettayapuram,Rural,18515.0,62219.0,30187.0,32032.0,6180.0,3111.0,3069.0,17874.0,8658.0,9216.0,7.0,3.0,4.0,42220.0,22927.0,19293.0,19999.0,7260.0,12739.0,34624.0,18889.0,15735.0,28466.0,16434.0,12032.0,4494.0,2665.0,1829.0,12106.0,5724.0,6382.0,411.0,223.0,188.0,11455.0,7822.0,3633.0,6158.0,2455.0,3703.0,330.0,204.0,126.0,4117.0,1494.0,2623.0,97.0,39.0,58.0,1614.0,718.0,896.0,5565.0,2260.0,3305.0,320.0,202.0,118.0,3873.0,1429.0,2444.0,68.0,33.0,35.0,1304.0,596.0,708.0,593.0,195.0,398.0,10.0,2.0,8.0,244.0,65.0,179.0,29.0,6.0,23.0,310.0,122.0,188.0,27595.0,11298.0,16297.0,,
33.0,627.0,5863.0,0.0,0.0,0.0,SUB-DISTRICT,Ettayapuram,Urban,3646.0,12772.0,6303.0,6469.0,1085.0,560.0,525.0,1535.0,773.0,762.0,40.0,17.0,23.0,9644.0,5221.0,4423.0,3128.0,1082.0,2046.0,5525.0,3649.0,1876.0,4987.0,3381.0,1606.0,30.0,28.0,2.0,243.0,132.0,111.0,548.0,132.0,416.0,4166.0,3089.0,1077.0,538.0,268.0,270.0,7.0,5.0,2.0,85.0,23.0,62.0,55.0,12.0,43.0,391.0,228.0,163.0,485.0,245.0,240.0,7.0,5.0,2.0,78.0,21.0,57.0,39.0,8.0,31.0,361.0,211.0,150.0,53.0,23.0,30.0,0.0,0.0,0.0,7.0,2.0,5.0,16.0,4.0,12.0,30.0,17.0,13.0,7247.0,2654.0,4593.0,,
33.0,627.0,5863.0,642245.0,0.0,0.0,VILLAGE,Ayan Karisalkulam ,Rural,720.0,2286.0,1086.0,1200.0,201.0,94.0,107.0,381.0,177.0,204.0,0.0,0.0,0.0,1516.0,837.0,679.0,770.0,249.0,521.0,1300.0,674.0,626.0,1000.0,526.0,474.0,107.0,58.0,49.0,614.0,252.0,362.0,4.0,3.0,1.0,275.0,213.0,62.0,300.0,148.0,152.0,11.0,6.0,5.0,272.0,128.0,144.0,9.0,8.0,1.0,8.0,6.0,2.0,288.0,142.0,146.0,10.0,5.0,5.0,262.0,124.0,138.0,9.0,8.0,1.0,7.0,5.0,2.0,12.0,6.0,6.0,1.0,1.0,0.0,10.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,986.0,412.0,574.0,,
33.0,627.0,5863.0,642246.0,0.0,0.0,VILLAGE,Kodangipatti (Vembur),Rural,80.0,295.0,154.0,141.0,32.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,112.0,68.0,115.0,42.0,73.0,166.0,91.0,75.0,165.0,91.0,74.0,38.0,20.0,18.0,85.0,46.0,39.0,0.0,0.0,0.0,42.0,25.0,17.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,63.0,66.0,,
33.0,627.0,5863.0,642247.0,0.0,0.0,VILLAGE,Vembur,Rural,688.0,2359.0,1182.0,1177.0,250.0,129.0,121.0,512.0,249.0,263.0,0.0,0.0,0.0,1528.0,865.0,663.0,831.0,317.0,514.0,1348.0,722.0,626.0,1219.0,677.0,542.0,208.0,122.0,86.0,820.0,423.0,397.0,7.0,3.0,4.0,184.0,129.0,55.0,129.0,45.0,84.0,7.0,3.0,4.0,111.0,34.0,77.0,0.0,0.0,0.0,11.0,8.0,3.0,107.0,38.0,69.0,7.0,3.0,4.0,89.0,27.0,62.0,0.0,0.0,0.0,11.0,8.0,3.0,22.0,7.0,15.0,0.0,0.0,0.0,22.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,460.0,551.0,,
33.0,627.0,5863.0,642248.0,0.0,0.0,VILLAGE,Melakarandai,Rural,452.0,1491.0,738.0,753.0,138.0,66.0,72.0,325.0,161.0,164.0,0.0,0.0,0.0,1051.0,571.0,480.0,440.0,167.0,273.0,799.0,444.0,355.0,770.0,436.0,334.0,113.0,66.0,47.0,350.0,145.0,205.0,23.0,12.0,11.0,284.0,213.0,71.0,29.0,8.0,21.0,3.0,1.0,2.0,23.0,5.0,18.0,0.0,0.0,0.0,3.0,2.0,1.0,27.0,7.0,20.0,3.0,1.0,2.0,21.0,4.0,17.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,294.0,398.0,,
33.0,627.0,5863.0,642249.0,0.0,0.0,VILLAGE,Rajapatti,Rural,212.0,772.0,365.0,407.0,93.0,40.0,53.0,409.0,199.0,210.0,0.0,0.0,0.0,485.0,273.0,212.0,287.0,92.0,195.0,436.0,241.0,195.0,434.0,239.0,195.0,32.0,20.0,12.0,256.0,136.0,120.0,5.0,2.0,3.0,141.0,81.0,60.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,124.0,212.0,,
33.0,627.0,5863.0,642250.0,0.0,0.0,VILLAGE,Masarpatti,Rural,250.0,713.0,346.0,367.0,65.0,33.0,32.0,242.0,121.0,121.0,0.0,0.0,0.0,460.0,263.0,197.0,253.0,83.0,170.0,425.0,229.0,196.0,357.0,219.0,138.0,20.0,14.0,6.0,13.0,1.0,12.0,4.0,2.0,2.0,320.0,202.0,118.0,68.0,10.0,58.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,9.0,56.0,67.0,9.0,58.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,288.0,117.0,171.0,,
33.0,627.0,5863.0,642251.0,0.0,0.0,VILLAGE,Keelakarandai,Rural,317.0,1049.0,514.0,535.0,103.0,55.0,48.0,312.0,161.0,151.0,0.0,0.0,0.0,781.0,419.0,362.0,268.0,95.0,173.0,611.0,348.0,263.0,580.0,335.0,245.0,68.0,51.0,17.0,325.0,152.0,173.0,9.0,5.0,4.0,178.0,127.0,51.0,31.0,13.0,18.0,0.0,0.0,0.0,25.0,10.0,15.0,0.0,0.0,0.0,6.0,3.0,3.0,29.0,12.0,17.0,0.0,0.0,0.0,25.0,10.0,15.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,438.0,166.0,272.0,,
