State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,627.0,5867.0,0.0,0.0,0.0,SUB-DISTRICT,Srivaikuntam,Total,52689.0,202962.0,100416.0,102546.0,22272.0,11377.0,10895.0,47082.0,23342.0,23740.0,1274.0,636.0,638.0,154113.0,81193.0,72920.0,48849.0,19223.0,29626.0,88560.0,58633.0,29927.0,78931.0,53945.0,24986.0,8802.0,6729.0,2073.0,28413.0,16525.0,11888.0,3351.0,1241.0,2110.0,38365.0,29450.0,8915.0,9629.0,4688.0,4941.0,439.0,239.0,200.0,4234.0,1918.0,2316.0,808.0,259.0,549.0,4148.0,2272.0,1876.0,8215.0,4109.0,4106.0,408.0,227.0,181.0,3816.0,1767.0,2049.0,541.0,169.0,372.0,3450.0,1946.0,1504.0,1414.0,579.0,835.0,31.0,12.0,19.0,418.0,151.0,267.0,267.0,90.0,177.0,698.0,326.0,372.0,114402.0,41783.0,72619.0,,
33.0,627.0,5867.0,0.0,0.0,0.0,SUB-DISTRICT,Srivaikuntam,Rural,41151.0,157642.0,78006.0,79636.0,17515.0,8960.0,8555.0,41993.0,20807.0,21186.0,730.0,355.0,375.0,117178.0,62271.0,54907.0,40464.0,15735.0,24729.0,71368.0,45734.0,25634.0,63140.0,41860.0,21280.0,7875.0,5901.0,1974.0,25299.0,14550.0,10749.0,2665.0,932.0,1733.0,27301.0,20477.0,6824.0,8228.0,3874.0,4354.0,407.0,222.0,185.0,3861.0,1736.0,2125.0,691.0,217.0,474.0,3269.0,1699.0,1570.0,7014.0,3400.0,3614.0,376.0,210.0,166.0,3479.0,1605.0,1874.0,449.0,137.0,312.0,2710.0,1448.0,1262.0,1214.0,474.0,740.0,31.0,12.0,19.0,382.0,131.0,251.0,242.0,80.0,162.0,559.0,251.0,308.0,86274.0,32272.0,54002.0,,
33.0,627.0,5867.0,0.0,0.0,0.0,SUB-DISTRICT,Srivaikuntam,Urban,11538.0,45320.0,22410.0,22910.0,4757.0,2417.0,2340.0,5089.0,2535.0,2554.0,544.0,281.0,263.0,36935.0,18922.0,18013.0,8385.0,3488.0,4897.0,17192.0,12899.0,4293.0,15791.0,12085.0,3706.0,927.0,828.0,99.0,3114.0,1975.0,1139.0,686.0,309.0,377.0,11064.0,8973.0,2091.0,1401.0,814.0,587.0,32.0,17.0,15.0,373.0,182.0,191.0,117.0,42.0,75.0,879.0,573.0,306.0,1201.0,709.0,492.0,32.0,17.0,15.0,337.0,162.0,175.0,92.0,32.0,60.0,740.0,498.0,242.0,200.0,105.0,95.0,0.0,0.0,0.0,36.0,20.0,16.0,25.0,10.0,15.0,139.0,75.0,64.0,28128.0,9511.0,18617.0,,
33.0,627.0,5867.0,642481.0,0.0,0.0,VILLAGE,Alanda,Rural,680.0,2513.0,1245.0,1268.0,290.0,148.0,142.0,2224.0,1107.0,1117.0,0.0,0.0,0.0,1690.0,924.0,766.0,823.0,321.0,502.0,1445.0,738.0,707.0,1330.0,691.0,639.0,97.0,52.0,45.0,1027.0,506.0,521.0,15.0,9.0,6.0,191.0,124.0,67.0,115.0,47.0,68.0,7.0,3.0,4.0,86.0,27.0,59.0,5.0,3.0,2.0,17.0,14.0,3.0,99.0,40.0,59.0,7.0,3.0,4.0,73.0,23.0,50.0,5.0,3.0,2.0,14.0,11.0,3.0,16.0,7.0,9.0,0.0,0.0,0.0,13.0,4.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,1068.0,507.0,561.0,,
33.0,627.0,5867.0,642482.0,0.0,0.0,VILLAGE,Poovani,Rural,797.0,2914.0,1432.0,1482.0,231.0,116.0,115.0,1866.0,935.0,931.0,0.0,0.0,0.0,2058.0,1112.0,946.0,856.0,320.0,536.0,1482.0,828.0,654.0,1182.0,699.0,483.0,140.0,114.0,26.0,875.0,467.0,408.0,14.0,12.0,2.0,153.0,106.0,47.0,300.0,129.0,171.0,20.0,8.0,12.0,230.0,90.0,140.0,4.0,2.0,2.0,46.0,29.0,17.0,289.0,127.0,162.0,18.0,7.0,11.0,224.0,90.0,134.0,4.0,2.0,2.0,43.0,28.0,15.0,11.0,2.0,9.0,2.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,2.0,1432.0,604.0,828.0,,
33.0,627.0,5867.0,642483.0,0.0,0.0,VILLAGE,Meenakshipuram Sekkarakkudi,Rural,391.0,1186.0,539.0,647.0,152.0,72.0,80.0,5.0,2.0,3.0,0.0,0.0,0.0,947.0,457.0,490.0,239.0,82.0,157.0,495.0,255.0,240.0,213.0,152.0,61.0,7.0,5.0,2.0,12.0,7.0,5.0,13.0,8.0,5.0,181.0,132.0,49.0,282.0,103.0,179.0,33.0,10.0,23.0,210.0,68.0,142.0,4.0,1.0,3.0,35.0,24.0,11.0,268.0,94.0,174.0,32.0,10.0,22.0,201.0,63.0,138.0,4.0,1.0,3.0,31.0,20.0,11.0,14.0,9.0,5.0,1.0,0.0,1.0,9.0,5.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,691.0,284.0,407.0,,
33.0,627.0,5867.0,642484.0,0.0,0.0,VILLAGE,Sekkarakkudi,Rural,1446.0,5166.0,2600.0,2566.0,623.0,323.0,300.0,683.0,338.0,345.0,2.0,2.0,0.0,3488.0,2066.0,1422.0,1678.0,534.0,1144.0,2529.0,1442.0,1087.0,2040.0,1216.0,824.0,139.0,76.0,63.0,995.0,427.0,568.0,25.0,15.0,10.0,881.0,698.0,183.0,489.0,226.0,263.0,7.0,2.0,5.0,247.0,77.0,170.0,11.0,6.0,5.0,224.0,141.0,83.0,454.0,205.0,249.0,6.0,1.0,5.0,232.0,73.0,159.0,6.0,2.0,4.0,210.0,129.0,81.0,35.0,21.0,14.0,1.0,1.0,0.0,15.0,4.0,11.0,5.0,4.0,1.0,14.0,12.0,2.0,2637.0,1158.0,1479.0,,
33.0,627.0,5867.0,642485.0,0.0,0.0,VILLAGE,Vadakkukariseri,Rural,341.0,1189.0,576.0,613.0,126.0,55.0,71.0,666.0,326.0,340.0,0.0,0.0,0.0,840.0,449.0,391.0,349.0,127.0,222.0,500.0,318.0,182.0,484.0,312.0,172.0,41.0,36.0,5.0,312.0,175.0,137.0,7.0,6.0,1.0,124.0,95.0,29.0,16.0,6.0,10.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,8.0,4.0,4.0,15.0,6.0,9.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,7.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,689.0,258.0,431.0,,
33.0,627.0,5867.0,642486.0,0.0,0.0,VILLAGE,Singathakurichi,Rural,742.0,2624.0,1288.0,1336.0,290.0,138.0,152.0,1190.0,593.0,597.0,0.0,0.0,0.0,1872.0,1006.0,866.0,752.0,282.0,470.0,1408.0,812.0,596.0,937.0,589.0,348.0,521.0,290.0,231.0,97.0,52.0,45.0,33.0,14.0,19.0,286.0,233.0,53.0,471.0,223.0,248.0,9.0,4.0,5.0,405.0,184.0,221.0,15.0,6.0,9.0,42.0,29.0,13.0,470.0,223.0,247.0,9.0,4.0,5.0,405.0,184.0,221.0,14.0,6.0,8.0,42.0,29.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1216.0,476.0,740.0,,
33.0,627.0,5867.0,642487.0,0.0,0.0,VILLAGE,Ulakkudi,Rural,189.0,759.0,373.0,386.0,68.0,31.0,37.0,743.0,365.0,378.0,0.0,0.0,0.0,517.0,278.0,239.0,242.0,95.0,147.0,437.0,242.0,195.0,437.0,242.0,195.0,2.0,1.0,1.0,412.0,230.0,182.0,3.0,1.0,2.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,131.0,191.0,,
