State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,627.0,5866.0,0.0,0.0,0.0,SUB-DISTRICT,Thoothukkudi,Total,122574.0,478328.0,239342.0,238986.0,53393.0,27156.0,26237.0,70573.0,35576.0,34997.0,999.0,515.0,484.0,386541.0,199537.0,187004.0,91787.0,39805.0,51982.0,175902.0,137366.0,38536.0,160261.0,127987.0,32274.0,1959.0,1403.0,556.0,5350.0,3205.0,2145.0,2946.0,1472.0,1474.0,150006.0,121907.0,28099.0,15641.0,9379.0,6262.0,458.0,193.0,265.0,1641.0,765.0,876.0,675.0,179.0,496.0,12867.0,8242.0,4625.0,13951.0,8381.0,5570.0,434.0,182.0,252.0,1497.0,709.0,788.0,556.0,148.0,408.0,11464.0,7342.0,4122.0,1690.0,998.0,692.0,24.0,11.0,13.0,144.0,56.0,88.0,119.0,31.0,88.0,1403.0,900.0,503.0,302426.0,101976.0,200450.0,,
33.0,627.0,5866.0,0.0,0.0,0.0,SUB-DISTRICT,Thoothukkudi,Rural,17497.0,66700.0,33384.0,33316.0,7824.0,4025.0,3799.0,17623.0,8884.0,8739.0,49.0,26.0,23.0,51341.0,26867.0,24474.0,15359.0,6517.0,8842.0,27133.0,18790.0,8343.0,21777.0,15674.0,6103.0,1474.0,1029.0,445.0,3685.0,2028.0,1657.0,618.0,356.0,262.0,16000.0,12261.0,3739.0,5356.0,3116.0,2240.0,333.0,130.0,203.0,1262.0,581.0,681.0,177.0,64.0,113.0,3584.0,2341.0,1243.0,4910.0,2875.0,2035.0,312.0,120.0,192.0,1147.0,534.0,613.0,157.0,59.0,98.0,3294.0,2162.0,1132.0,446.0,241.0,205.0,21.0,10.0,11.0,115.0,47.0,68.0,20.0,5.0,15.0,290.0,179.0,111.0,39567.0,14594.0,24973.0,,
33.0,627.0,5866.0,0.0,0.0,0.0,SUB-DISTRICT,Thoothukkudi,Urban,105077.0,411628.0,205958.0,205670.0,45569.0,23131.0,22438.0,52950.0,26692.0,26258.0,950.0,489.0,461.0,335200.0,172670.0,162530.0,76428.0,33288.0,43140.0,148769.0,118576.0,30193.0,138484.0,112313.0,26171.0,485.0,374.0,111.0,1665.0,1177.0,488.0,2328.0,1116.0,1212.0,134006.0,109646.0,24360.0,10285.0,6263.0,4022.0,125.0,63.0,62.0,379.0,184.0,195.0,498.0,115.0,383.0,9283.0,5901.0,3382.0,9041.0,5506.0,3535.0,122.0,62.0,60.0,350.0,175.0,175.0,399.0,89.0,310.0,8170.0,5180.0,2990.0,1244.0,757.0,487.0,3.0,1.0,2.0,29.0,9.0,20.0,99.0,26.0,73.0,1113.0,721.0,392.0,262859.0,87382.0,175477.0,,
33.0,627.0,5866.0,642450.0,0.0,0.0,VILLAGE,Umarikottai,Rural,506.0,1838.0,904.0,934.0,195.0,103.0,92.0,607.0,275.0,332.0,0.0,0.0,0.0,1279.0,700.0,579.0,559.0,204.0,355.0,1025.0,521.0,504.0,902.0,489.0,413.0,213.0,109.0,104.0,450.0,201.0,249.0,5.0,4.0,1.0,234.0,175.0,59.0,123.0,32.0,91.0,5.0,4.0,1.0,90.0,23.0,67.0,1.0,1.0,0.0,27.0,4.0,23.0,121.0,31.0,90.0,4.0,3.0,1.0,89.0,23.0,66.0,1.0,1.0,0.0,27.0,4.0,23.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,813.0,383.0,430.0,,
33.0,627.0,5866.0,642451.0,0.0,0.0,VILLAGE,Mela Thattaparai,Rural,617.0,2154.0,1066.0,1088.0,263.0,128.0,135.0,493.0,245.0,248.0,0.0,0.0,0.0,1595.0,858.0,737.0,559.0,208.0,351.0,1068.0,664.0,404.0,166.0,117.0,49.0,6.0,5.0,1.0,21.0,10.0,11.0,0.0,0.0,0.0,139.0,102.0,37.0,902.0,547.0,355.0,40.0,27.0,13.0,164.0,79.0,85.0,5.0,3.0,2.0,693.0,438.0,255.0,901.0,547.0,354.0,40.0,27.0,13.0,164.0,79.0,85.0,5.0,3.0,2.0,692.0,438.0,254.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1086.0,402.0,684.0,,
33.0,627.0,5866.0,642452.0,0.0,0.0,VILLAGE,Vadakkusilukkanpatti,Rural,123.0,473.0,247.0,226.0,71.0,40.0,31.0,140.0,65.0,75.0,0.0,0.0,0.0,341.0,196.0,145.0,132.0,51.0,81.0,211.0,128.0,83.0,74.0,59.0,15.0,7.0,6.0,1.0,6.0,4.0,2.0,1.0,1.0,0.0,60.0,48.0,12.0,137.0,69.0,68.0,8.0,6.0,2.0,83.0,24.0,59.0,0.0,0.0,0.0,46.0,39.0,7.0,100.0,63.0,37.0,5.0,5.0,0.0,54.0,23.0,31.0,0.0,0.0,0.0,41.0,35.0,6.0,37.0,6.0,31.0,3.0,1.0,2.0,29.0,1.0,28.0,0.0,0.0,0.0,5.0,4.0,1.0,262.0,119.0,143.0,,
33.0,627.0,5866.0,642453.0,0.0,0.0,VILLAGE,Pulippanjankulam,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,627.0,5866.0,642454.0,0.0,0.0,VILLAGE,Thoothukudi,Rural,3516.0,14159.0,7145.0,7014.0,1906.0,967.0,939.0,2289.0,1174.0,1115.0,6.0,2.0,4.0,10303.0,5357.0,4946.0,3856.0,1788.0,2068.0,4991.0,4008.0,983.0,4366.0,3562.0,804.0,31.0,22.0,9.0,19.0,15.0,4.0,64.0,23.0,41.0,4252.0,3502.0,750.0,625.0,446.0,179.0,15.0,4.0,11.0,1.0,0.0,1.0,23.0,8.0,15.0,586.0,434.0,152.0,585.0,432.0,153.0,14.0,4.0,10.0,1.0,0.0,1.0,18.0,8.0,10.0,552.0,420.0,132.0,40.0,14.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,34.0,14.0,20.0,9168.0,3137.0,6031.0,,
33.0,627.0,5866.0,642455.0,0.0,0.0,VILLAGE,Ayyanadaippu,Rural,1168.0,4693.0,2380.0,2313.0,634.0,332.0,302.0,2661.0,1346.0,1315.0,21.0,10.0,11.0,3416.0,1820.0,1596.0,1277.0,560.0,717.0,1752.0,1344.0,408.0,1416.0,1103.0,313.0,8.0,5.0,3.0,3.0,2.0,1.0,15.0,7.0,8.0,1390.0,1089.0,301.0,336.0,241.0,95.0,18.0,13.0,5.0,14.0,11.0,3.0,5.0,2.0,3.0,299.0,215.0,84.0,333.0,240.0,93.0,18.0,13.0,5.0,14.0,11.0,3.0,5.0,2.0,3.0,296.0,214.0,82.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2941.0,1036.0,1905.0,,
33.0,627.0,5866.0,642456.0,0.0,0.0,VILLAGE,Muthuswamipuram ,Rural,244.0,886.0,421.0,465.0,103.0,51.0,52.0,377.0,180.0,197.0,0.0,0.0,0.0,615.0,325.0,290.0,271.0,96.0,175.0,408.0,242.0,166.0,346.0,226.0,120.0,35.0,20.0,15.0,42.0,20.0,22.0,7.0,1.0,6.0,262.0,185.0,77.0,62.0,16.0,46.0,14.0,11.0,3.0,33.0,2.0,31.0,0.0,0.0,0.0,15.0,3.0,12.0,49.0,16.0,33.0,14.0,11.0,3.0,28.0,2.0,26.0,0.0,0.0,0.0,7.0,3.0,4.0,13.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,8.0,478.0,179.0,299.0,,
