State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,627.0,5868.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchendur,Total,78321.0,310945.0,152066.0,158879.0,32685.0,16679.0,16006.0,49549.0,24417.0,25132.0,957.0,478.0,479.0,252182.0,126568.0,125614.0,58763.0,25498.0,33265.0,111332.0,84352.0,26980.0,101190.0,78895.0,22295.0,4813.0,4186.0,627.0,17894.0,11690.0,6204.0,3195.0,1279.0,1916.0,75288.0,61740.0,13548.0,10142.0,5457.0,4685.0,338.0,214.0,124.0,2803.0,1314.0,1489.0,775.0,141.0,634.0,6226.0,3788.0,2438.0,8375.0,4539.0,3836.0,294.0,189.0,105.0,2539.0,1224.0,1315.0,587.0,117.0,470.0,4955.0,3009.0,1946.0,1767.0,918.0,849.0,44.0,25.0,19.0,264.0,90.0,174.0,188.0,24.0,164.0,1271.0,779.0,492.0,199613.0,67714.0,131899.0,,
33.0,627.0,5868.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchendur,Rural,36002.0,141088.0,68596.0,72492.0,14231.0,7271.0,6960.0,29550.0,14522.0,15028.0,182.0,92.0,90.0,113135.0,56663.0,56472.0,27953.0,11933.0,16020.0,53708.0,38700.0,15008.0,47431.0,35673.0,11758.0,3585.0,3085.0,500.0,13353.0,8626.0,4727.0,1622.0,588.0,1034.0,28871.0,23374.0,5497.0,6277.0,3027.0,3250.0,267.0,166.0,101.0,2345.0,1106.0,1239.0,493.0,65.0,428.0,3172.0,1690.0,1482.0,5301.0,2617.0,2684.0,228.0,144.0,84.0,2159.0,1033.0,1126.0,368.0,50.0,318.0,2546.0,1390.0,1156.0,976.0,410.0,566.0,39.0,22.0,17.0,186.0,73.0,113.0,125.0,15.0,110.0,626.0,300.0,326.0,87380.0,29896.0,57484.0,,
33.0,627.0,5868.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchendur,Urban,42319.0,169857.0,83470.0,86387.0,18454.0,9408.0,9046.0,19999.0,9895.0,10104.0,775.0,386.0,389.0,139047.0,69905.0,69142.0,30810.0,13565.0,17245.0,57624.0,45652.0,11972.0,53759.0,43222.0,10537.0,1228.0,1101.0,127.0,4541.0,3064.0,1477.0,1573.0,691.0,882.0,46417.0,38366.0,8051.0,3865.0,2430.0,1435.0,71.0,48.0,23.0,458.0,208.0,250.0,282.0,76.0,206.0,3054.0,2098.0,956.0,3074.0,1922.0,1152.0,66.0,45.0,21.0,380.0,191.0,189.0,219.0,67.0,152.0,2409.0,1619.0,790.0,791.0,508.0,283.0,5.0,3.0,2.0,78.0,17.0,61.0,63.0,9.0,54.0,645.0,479.0,166.0,112233.0,37818.0,74415.0,,
33.0,627.0,5868.0,642546.0,0.0,0.0,VILLAGE,Malavarayanatham,Rural,241.0,984.0,483.0,501.0,95.0,49.0,46.0,342.0,170.0,172.0,0.0,0.0,0.0,764.0,398.0,366.0,220.0,85.0,135.0,525.0,295.0,230.0,481.0,285.0,196.0,98.0,86.0,12.0,276.0,143.0,133.0,2.0,0.0,2.0,105.0,56.0,49.0,44.0,10.0,34.0,1.0,0.0,1.0,41.0,8.0,33.0,0.0,0.0,0.0,2.0,2.0,0.0,44.0,10.0,34.0,1.0,0.0,1.0,41.0,8.0,33.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,188.0,271.0,,
33.0,627.0,5868.0,642547.0,0.0,0.0,VILLAGE,Athinathapuram,Rural,326.0,1412.0,713.0,699.0,157.0,83.0,74.0,823.0,420.0,403.0,0.0,0.0,0.0,1049.0,559.0,490.0,363.0,154.0,209.0,646.0,422.0,224.0,594.0,402.0,192.0,151.0,115.0,36.0,357.0,228.0,129.0,7.0,0.0,7.0,79.0,59.0,20.0,52.0,20.0,32.0,20.0,11.0,9.0,27.0,9.0,18.0,0.0,0.0,0.0,5.0,0.0,5.0,24.0,12.0,12.0,7.0,7.0,0.0,13.0,5.0,8.0,0.0,0.0,0.0,4.0,0.0,4.0,28.0,8.0,20.0,13.0,4.0,9.0,14.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,766.0,291.0,475.0,,
33.0,627.0,5868.0,642548.0,0.0,0.0,VILLAGE,Thirukalore  ,Rural,1231.0,4840.0,2345.0,2495.0,570.0,280.0,290.0,1326.0,653.0,673.0,0.0,0.0,0.0,3690.0,1872.0,1818.0,1150.0,473.0,677.0,1842.0,1305.0,537.0,1728.0,1258.0,470.0,130.0,121.0,9.0,390.0,211.0,179.0,50.0,19.0,31.0,1158.0,907.0,251.0,114.0,47.0,67.0,21.0,13.0,8.0,26.0,9.0,17.0,6.0,0.0,6.0,61.0,25.0,36.0,82.0,35.0,47.0,10.0,5.0,5.0,21.0,6.0,15.0,3.0,0.0,3.0,48.0,24.0,24.0,32.0,12.0,20.0,11.0,8.0,3.0,5.0,3.0,2.0,3.0,0.0,3.0,13.0,1.0,12.0,2998.0,1040.0,1958.0,,
33.0,627.0,5868.0,642549.0,0.0,0.0,VILLAGE,Maveedupannai  ,Rural,262.0,893.0,427.0,466.0,86.0,48.0,38.0,80.0,39.0,41.0,0.0,0.0,0.0,665.0,330.0,335.0,228.0,97.0,131.0,393.0,254.0,139.0,260.0,213.0,47.0,31.0,30.0,1.0,129.0,107.0,22.0,5.0,2.0,3.0,95.0,74.0,21.0,133.0,41.0,92.0,0.0,0.0,0.0,99.0,20.0,79.0,10.0,6.0,4.0,24.0,15.0,9.0,117.0,34.0,83.0,0.0,0.0,0.0,92.0,18.0,74.0,9.0,6.0,3.0,16.0,10.0,6.0,16.0,7.0,9.0,0.0,0.0,0.0,7.0,2.0,5.0,1.0,0.0,1.0,8.0,5.0,3.0,500.0,173.0,327.0,,
33.0,627.0,5868.0,642550.0,0.0,0.0,VILLAGE,Thenthiruperai (Kurukatur),Rural,398.0,1578.0,757.0,821.0,177.0,92.0,85.0,992.0,481.0,511.0,0.0,0.0,0.0,1275.0,637.0,638.0,303.0,120.0,183.0,796.0,459.0,337.0,709.0,455.0,254.0,18.0,13.0,5.0,433.0,285.0,148.0,24.0,10.0,14.0,234.0,147.0,87.0,87.0,4.0,83.0,3.0,0.0,3.0,81.0,4.0,77.0,1.0,0.0,1.0,2.0,0.0,2.0,69.0,2.0,67.0,3.0,0.0,3.0,65.0,2.0,63.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,2.0,16.0,0.0,0.0,0.0,16.0,2.0,14.0,0.0,0.0,0.0,2.0,0.0,2.0,782.0,298.0,484.0,,
33.0,627.0,5868.0,642551.0,0.0,0.0,VILLAGE,Thenthiruperai (Rajapathi),Rural,319.0,1317.0,683.0,634.0,158.0,82.0,76.0,1043.0,550.0,493.0,9.0,3.0,6.0,1006.0,550.0,456.0,311.0,133.0,178.0,714.0,432.0,282.0,616.0,389.0,227.0,179.0,105.0,74.0,236.0,138.0,98.0,1.0,1.0,0.0,200.0,145.0,55.0,98.0,43.0,55.0,0.0,0.0,0.0,82.0,33.0,49.0,2.0,0.0,2.0,14.0,10.0,4.0,92.0,40.0,52.0,0.0,0.0,0.0,80.0,32.0,48.0,1.0,0.0,1.0,11.0,8.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,603.0,251.0,352.0,,
33.0,627.0,5868.0,642552.0,0.0,0.0,VILLAGE,Sethukkuvaithan,Rural,751.0,2924.0,1446.0,1478.0,330.0,176.0,154.0,739.0,368.0,371.0,20.0,9.0,11.0,2247.0,1159.0,1088.0,677.0,287.0,390.0,1245.0,841.0,404.0,1158.0,820.0,338.0,63.0,54.0,9.0,407.0,252.0,155.0,49.0,14.0,35.0,639.0,500.0,139.0,87.0,21.0,66.0,5.0,3.0,2.0,60.0,7.0,53.0,5.0,0.0,5.0,17.0,11.0,6.0,73.0,20.0,53.0,5.0,3.0,2.0,53.0,7.0,46.0,3.0,0.0,3.0,12.0,10.0,2.0,14.0,1.0,13.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,2.0,5.0,1.0,4.0,1679.0,605.0,1074.0,,
33.0,627.0,5868.0,642553.0,0.0,0.0,VILLAGE,Mela Authoor,Rural,1547.0,6210.0,3126.0,3084.0,638.0,355.0,283.0,1003.0,491.0,512.0,0.0,0.0,0.0,4881.0,2570.0,2311.0,1329.0,556.0,773.0,2316.0,1774.0,542.0,1908.0,1560.0,348.0,78.0,76.0,2.0,755.0,605.0,150.0,46.0,9.0,37.0,1029.0,870.0,159.0,408.0,214.0,194.0,5.0,2.0,3.0,306.0,190.0,116.0,54.0,0.0,54.0,43.0,22.0,21.0,377.0,201.0,176.0,4.0,2.0,2.0,296.0,183.0,113.0,43.0,0.0,43.0,34.0,16.0,18.0,31.0,13.0,18.0,1.0,0.0,1.0,10.0,7.0,3.0,11.0,0.0,11.0,9.0,6.0,3.0,3894.0,1352.0,2542.0,,
33.0,627.0,5868.0,642554.0,0.0,0.0,VILLAGE,Senthamangalam,Rural,610.0,2423.0,1187.0,1236.0,276.0,126.0,150.0,1169.0,550.0,619.0,0.0,0.0,0.0,1827.0,969.0,858.0,596.0,218.0,378.0,1047.0,728.0,319.0,839.0,564.0,275.0,64.0,45.0,19.0,523.0,312.0,211.0,18.0,6.0,12.0,234.0,201.0,33.0,208.0,164.0,44.0,27.0,24.0,3.0,44.0,31.0,13.0,1.0,0.0,1.0,136.0,109.0,27.0,198.0,159.0,39.0,27.0,24.0,3.0,41.0,30.0,11.0,1.0,0.0,1.0,129.0,105.0,24.0,10.0,5.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,7.0,4.0,3.0,1376.0,459.0,917.0,,
33.0,627.0,5868.0,642555.0,0.0,0.0,VILLAGE,Punnakayal,Rural,1744.0,7684.0,3975.0,3709.0,909.0,469.0,440.0,96.0,48.0,48.0,0.0,0.0,0.0,5717.0,2926.0,2791.0,1967.0,1049.0,918.0,2444.0,2261.0,183.0,2354.0,2240.0,114.0,6.0,4.0,2.0,2.0,2.0,0.0,11.0,7.0,4.0,2335.0,2227.0,108.0,90.0,21.0,69.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,84.0,20.0,64.0,73.0,20.0,53.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,67.0,19.0,48.0,17.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,16.0,5240.0,1714.0,3526.0,,
33.0,627.0,5868.0,642556.0,0.0,0.0,VILLAGE,Suganthalai   ,Rural,898.0,3437.0,1722.0,1715.0,300.0,161.0,139.0,417.0,214.0,203.0,0.0,0.0,0.0,2818.0,1468.0,1350.0,619.0,254.0,365.0,1533.0,1076.0,457.0,1153.0,874.0,279.0,145.0,142.0,3.0,320.0,210.0,110.0,64.0,11.0,53.0,624.0,511.0,113.0,380.0,202.0,178.0,30.0,23.0,7.0,246.0,127.0,119.0,22.0,2.0,20.0,82.0,50.0,32.0,344.0,189.0,155.0,30.0,23.0,7.0,242.0,127.0,115.0,16.0,2.0,14.0,56.0,37.0,19.0,36.0,13.0,23.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0,6.0,26.0,13.0,13.0,1904.0,646.0,1258.0,,
33.0,627.0,5868.0,642557.0,0.0,0.0,VILLAGE,Angamangalam  ,Rural,1054.0,4086.0,2017.0,2069.0,464.0,243.0,221.0,646.0,318.0,328.0,4.0,2.0,2.0,3435.0,1719.0,1716.0,651.0,298.0,353.0,1432.0,1126.0,306.0,1417.0,1117.0,300.0,129.0,115.0,14.0,275.0,152.0,123.0,36.0,20.0,16.0,977.0,830.0,147.0,15.0,9.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,8.0,5.0,10.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,6.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,2654.0,891.0,1763.0,,
33.0,627.0,5868.0,642558.0,0.0,0.0,VILLAGE,Puraiyoor,Rural,310.0,1325.0,659.0,666.0,124.0,63.0,61.0,431.0,207.0,224.0,0.0,0.0,0.0,1144.0,585.0,559.0,181.0,74.0,107.0,543.0,392.0,151.0,541.0,391.0,150.0,4.0,4.0,0.0,491.0,353.0,138.0,1.0,1.0,0.0,45.0,33.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,267.0,515.0,,
33.0,627.0,5868.0,642559.0,0.0,0.0,VILLAGE,Kadayanodai,Rural,362.0,1207.0,575.0,632.0,119.0,63.0,56.0,232.0,114.0,118.0,6.0,3.0,3.0,974.0,481.0,493.0,233.0,94.0,139.0,531.0,314.0,217.0,421.0,285.0,136.0,29.0,28.0,1.0,156.0,101.0,55.0,34.0,12.0,22.0,202.0,144.0,58.0,110.0,29.0,81.0,0.0,0.0,0.0,44.0,16.0,28.0,7.0,0.0,7.0,59.0,13.0,46.0,102.0,26.0,76.0,0.0,0.0,0.0,44.0,16.0,28.0,5.0,0.0,5.0,53.0,10.0,43.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,3.0,3.0,676.0,261.0,415.0,,
33.0,627.0,5868.0,642560.0,0.0,0.0,VILLAGE,Themankulam,Rural,586.0,2161.0,1048.0,1113.0,243.0,124.0,119.0,800.0,388.0,412.0,12.0,8.0,4.0,1679.0,854.0,825.0,482.0,194.0,288.0,1035.0,606.0,429.0,883.0,596.0,287.0,64.0,54.0,10.0,539.0,332.0,207.0,25.0,16.0,9.0,255.0,194.0,61.0,152.0,10.0,142.0,1.0,1.0,0.0,146.0,6.0,140.0,0.0,0.0,0.0,5.0,3.0,2.0,151.0,9.0,142.0,1.0,1.0,0.0,146.0,6.0,140.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1126.0,442.0,684.0,,
33.0,627.0,5868.0,642561.0,0.0,0.0,VILLAGE,Thirunaveerudayarpuram,Rural,129.0,506.0,251.0,255.0,48.0,23.0,25.0,452.0,226.0,226.0,0.0,0.0,0.0,420.0,222.0,198.0,86.0,29.0,57.0,252.0,139.0,113.0,105.0,69.0,36.0,23.0,17.0,6.0,56.0,32.0,24.0,0.0,0.0,0.0,26.0,20.0,6.0,147.0,70.0,77.0,6.0,3.0,3.0,137.0,66.0,71.0,0.0,0.0,0.0,4.0,1.0,3.0,130.0,64.0,66.0,6.0,3.0,3.0,121.0,61.0,60.0,0.0,0.0,0.0,3.0,0.0,3.0,17.0,6.0,11.0,0.0,0.0,0.0,16.0,5.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,254.0,112.0,142.0,,
33.0,627.0,5868.0,642562.0,0.0,0.0,VILLAGE,Alagiamanavalapuram ,Rural,201.0,777.0,363.0,414.0,64.0,27.0,37.0,392.0,184.0,208.0,0.0,0.0,0.0,655.0,322.0,333.0,122.0,41.0,81.0,405.0,214.0,191.0,392.0,209.0,183.0,130.0,117.0,13.0,189.0,38.0,151.0,0.0,0.0,0.0,73.0,54.0,19.0,13.0,5.0,8.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,9.0,4.0,5.0,12.0,5.0,7.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,8.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,372.0,149.0,223.0,,
33.0,627.0,5868.0,642563.0,0.0,0.0,VILLAGE,Udayarkulam,Rural,373.0,1347.0,674.0,673.0,131.0,57.0,74.0,748.0,380.0,368.0,0.0,0.0,0.0,1067.0,570.0,497.0,280.0,104.0,176.0,659.0,391.0,268.0,656.0,390.0,266.0,50.0,42.0,8.0,461.0,232.0,229.0,1.0,1.0,0.0,144.0,115.0,29.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,283.0,405.0,,
33.0,627.0,5868.0,642564.0,0.0,0.0,VILLAGE,Kurippankulam,Rural,465.0,1668.0,796.0,872.0,172.0,87.0,85.0,191.0,96.0,95.0,0.0,0.0,0.0,1269.0,647.0,622.0,399.0,149.0,250.0,736.0,448.0,288.0,698.0,443.0,255.0,93.0,87.0,6.0,311.0,157.0,154.0,32.0,3.0,29.0,262.0,196.0,66.0,38.0,5.0,33.0,0.0,0.0,0.0,15.0,2.0,13.0,2.0,0.0,2.0,21.0,3.0,18.0,34.0,5.0,29.0,0.0,0.0,0.0,11.0,2.0,9.0,2.0,0.0,2.0,21.0,3.0,18.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,932.0,348.0,584.0,,
33.0,627.0,5868.0,642565.0,0.0,0.0,VILLAGE,Vellamadam,Rural,952.0,3511.0,1717.0,1794.0,367.0,182.0,185.0,589.0,288.0,301.0,17.0,9.0,8.0,2798.0,1424.0,1374.0,713.0,293.0,420.0,1388.0,966.0,422.0,873.0,642.0,231.0,126.0,106.0,20.0,308.0,196.0,112.0,20.0,10.0,10.0,419.0,330.0,89.0,515.0,324.0,191.0,29.0,26.0,3.0,195.0,126.0,69.0,11.0,5.0,6.0,280.0,167.0,113.0,449.0,300.0,149.0,27.0,24.0,3.0,180.0,120.0,60.0,9.0,4.0,5.0,233.0,152.0,81.0,66.0,24.0,42.0,2.0,2.0,0.0,15.0,6.0,9.0,2.0,1.0,1.0,47.0,15.0,32.0,2123.0,751.0,1372.0,,
33.0,627.0,5868.0,642566.0,0.0,0.0,VILLAGE,Mukkuperi,Rural,955.0,3505.0,1644.0,1861.0,312.0,166.0,146.0,132.0,62.0,70.0,18.0,10.0,8.0,2996.0,1407.0,1589.0,509.0,237.0,272.0,1089.0,855.0,234.0,905.0,709.0,196.0,13.0,13.0,0.0,95.0,87.0,8.0,35.0,30.0,5.0,762.0,579.0,183.0,184.0,146.0,38.0,1.0,1.0,0.0,19.0,16.0,3.0,4.0,2.0,2.0,160.0,127.0,33.0,179.0,143.0,36.0,1.0,1.0,0.0,15.0,14.0,1.0,4.0,2.0,2.0,159.0,126.0,33.0,5.0,3.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2416.0,789.0,1627.0,,
