State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,627.0,5864.0,0.0,0.0,0.0,SUB-DISTRICT,Vilathikulam,Total,38335.0,139581.0,69556.0,70025.0,14139.0,7228.0,6911.0,31703.0,15795.0,15908.0,49.0,21.0,28.0,99879.0,54659.0,45220.0,39702.0,14897.0,24805.0,75594.0,43090.0,32504.0,62776.0,37915.0,24861.0,8386.0,5472.0,2914.0,28334.0,13371.0,14963.0,800.0,404.0,396.0,25256.0,18668.0,6588.0,12818.0,5175.0,7643.0,615.0,299.0,316.0,8810.0,3130.0,5680.0,312.0,73.0,239.0,3081.0,1673.0,1408.0,11970.0,4906.0,7064.0,583.0,291.0,292.0,8350.0,3026.0,5324.0,247.0,58.0,189.0,2790.0,1531.0,1259.0,848.0,269.0,579.0,32.0,8.0,24.0,460.0,104.0,356.0,65.0,15.0,50.0,291.0,142.0,149.0,63987.0,26466.0,37521.0,,
33.0,627.0,5864.0,0.0,0.0,0.0,SUB-DISTRICT,Vilathikulam,Rural,31924.0,115413.0,57493.0,57920.0,11586.0,5949.0,5637.0,27278.0,13606.0,13672.0,29.0,11.0,18.0,81353.0,44810.0,36543.0,34060.0,12683.0,21377.0,65062.0,35982.0,29080.0,53588.0,31402.0,22186.0,7952.0,5142.0,2810.0,26578.0,12482.0,14096.0,630.0,346.0,284.0,18428.0,13432.0,4996.0,11474.0,4580.0,6894.0,591.0,285.0,306.0,8186.0,2950.0,5236.0,260.0,66.0,194.0,2437.0,1279.0,1158.0,10738.0,4363.0,6375.0,560.0,277.0,283.0,7763.0,2854.0,4909.0,200.0,51.0,149.0,2215.0,1181.0,1034.0,736.0,217.0,519.0,31.0,8.0,23.0,423.0,96.0,327.0,60.0,15.0,45.0,222.0,98.0,124.0,50351.0,21511.0,28840.0,,
33.0,627.0,5864.0,0.0,0.0,0.0,SUB-DISTRICT,Vilathikulam,Urban,6411.0,24168.0,12063.0,12105.0,2553.0,1279.0,1274.0,4425.0,2189.0,2236.0,20.0,10.0,10.0,18526.0,9849.0,8677.0,5642.0,2214.0,3428.0,10532.0,7108.0,3424.0,9188.0,6513.0,2675.0,434.0,330.0,104.0,1756.0,889.0,867.0,170.0,58.0,112.0,6828.0,5236.0,1592.0,1344.0,595.0,749.0,24.0,14.0,10.0,624.0,180.0,444.0,52.0,7.0,45.0,644.0,394.0,250.0,1232.0,543.0,689.0,23.0,14.0,9.0,587.0,172.0,415.0,47.0,7.0,40.0,575.0,350.0,225.0,112.0,52.0,60.0,1.0,0.0,1.0,37.0,8.0,29.0,5.0,0.0,5.0,69.0,44.0,25.0,13636.0,4955.0,8681.0,,
33.0,627.0,5864.0,642300.0,0.0,0.0,VILLAGE,Mettilpatti ,Rural,768.0,2696.0,1364.0,1332.0,178.0,89.0,89.0,223.0,113.0,110.0,0.0,0.0,0.0,2020.0,1121.0,899.0,676.0,243.0,433.0,1688.0,907.0,781.0,1602.0,888.0,714.0,568.0,432.0,136.0,674.0,156.0,518.0,8.0,6.0,2.0,352.0,294.0,58.0,86.0,19.0,67.0,17.0,1.0,16.0,46.0,7.0,39.0,2.0,0.0,2.0,21.0,11.0,10.0,79.0,19.0,60.0,13.0,1.0,12.0,43.0,7.0,36.0,2.0,0.0,2.0,21.0,11.0,10.0,7.0,0.0,7.0,4.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,457.0,551.0,,
33.0,627.0,5864.0,642301.0,0.0,0.0,VILLAGE,Muthusamypuram,Rural,496.0,1645.0,808.0,837.0,150.0,79.0,71.0,461.0,233.0,228.0,0.0,0.0,0.0,1126.0,618.0,508.0,519.0,190.0,329.0,1009.0,554.0,455.0,472.0,323.0,149.0,41.0,28.0,13.0,210.0,118.0,92.0,5.0,2.0,3.0,216.0,175.0,41.0,537.0,231.0,306.0,6.0,3.0,3.0,494.0,201.0,293.0,3.0,2.0,1.0,34.0,25.0,9.0,514.0,221.0,293.0,6.0,3.0,3.0,474.0,193.0,281.0,3.0,2.0,1.0,31.0,23.0,8.0,23.0,10.0,13.0,0.0,0.0,0.0,20.0,8.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,636.0,254.0,382.0,,
33.0,627.0,5864.0,642302.0,0.0,0.0,VILLAGE,Maniakaranpatti,Rural,325.0,1028.0,505.0,523.0,81.0,38.0,43.0,73.0,31.0,42.0,0.0,0.0,0.0,658.0,376.0,282.0,370.0,129.0,241.0,623.0,344.0,279.0,529.0,283.0,246.0,28.0,25.0,3.0,463.0,235.0,228.0,0.0,0.0,0.0,38.0,23.0,15.0,94.0,61.0,33.0,3.0,1.0,2.0,90.0,59.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,58.0,43.0,15.0,0.0,0.0,0.0,58.0,43.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,18.0,3.0,1.0,2.0,32.0,16.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,405.0,161.0,244.0,,
33.0,627.0,5864.0,642303.0,0.0,0.0,VILLAGE,Vannipatti,Rural,185.0,575.0,296.0,279.0,49.0,24.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,401.0,239.0,162.0,174.0,57.0,117.0,332.0,184.0,148.0,231.0,134.0,97.0,44.0,24.0,20.0,115.0,51.0,64.0,1.0,0.0,1.0,71.0,59.0,12.0,101.0,50.0,51.0,3.0,2.0,1.0,94.0,44.0,50.0,0.0,0.0,0.0,4.0,4.0,0.0,101.0,50.0,51.0,3.0,2.0,1.0,94.0,44.0,50.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,112.0,131.0,,
33.0,627.0,5864.0,642304.0,0.0,0.0,VILLAGE,Nadukattur,Rural,461.0,1565.0,769.0,796.0,149.0,72.0,77.0,187.0,91.0,96.0,0.0,0.0,0.0,1084.0,603.0,481.0,481.0,166.0,315.0,935.0,493.0,442.0,790.0,476.0,314.0,188.0,129.0,59.0,470.0,252.0,218.0,7.0,3.0,4.0,125.0,92.0,33.0,145.0,17.0,128.0,12.0,6.0,6.0,116.0,7.0,109.0,5.0,0.0,5.0,12.0,4.0,8.0,144.0,17.0,127.0,12.0,6.0,6.0,116.0,7.0,109.0,4.0,0.0,4.0,12.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,630.0,276.0,354.0,,
33.0,627.0,5864.0,642305.0,0.0,0.0,VILLAGE,Sennampatti,Rural,147.0,548.0,284.0,264.0,40.0,15.0,25.0,7.0,6.0,1.0,0.0,0.0,0.0,405.0,233.0,172.0,143.0,51.0,92.0,313.0,179.0,134.0,248.0,164.0,84.0,173.0,116.0,57.0,4.0,0.0,4.0,0.0,0.0,0.0,71.0,48.0,23.0,65.0,15.0,50.0,1.0,0.0,1.0,63.0,15.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,65.0,15.0,50.0,1.0,0.0,1.0,63.0,15.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,105.0,130.0,,
33.0,627.0,5864.0,642306.0,0.0,0.0,VILLAGE,Sivalarpatti,Rural,685.0,2430.0,1223.0,1207.0,223.0,122.0,101.0,431.0,221.0,210.0,0.0,0.0,0.0,1764.0,969.0,795.0,666.0,254.0,412.0,1560.0,839.0,721.0,1174.0,653.0,521.0,38.0,28.0,10.0,892.0,459.0,433.0,7.0,4.0,3.0,237.0,162.0,75.0,386.0,186.0,200.0,26.0,14.0,12.0,288.0,129.0,159.0,7.0,5.0,2.0,65.0,38.0,27.0,382.0,183.0,199.0,25.0,14.0,11.0,287.0,128.0,159.0,6.0,4.0,2.0,64.0,37.0,27.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,870.0,384.0,486.0,,
33.0,627.0,5864.0,642307.0,0.0,0.0,VILLAGE,Pattithevanpatti,Rural,270.0,974.0,492.0,482.0,103.0,57.0,46.0,83.0,41.0,42.0,0.0,0.0,0.0,689.0,391.0,298.0,285.0,101.0,184.0,498.0,279.0,219.0,472.0,269.0,203.0,78.0,51.0,27.0,257.0,144.0,113.0,23.0,10.0,13.0,114.0,64.0,50.0,26.0,10.0,16.0,0.0,0.0,0.0,15.0,6.0,9.0,4.0,0.0,4.0,7.0,4.0,3.0,22.0,10.0,12.0,0.0,0.0,0.0,15.0,6.0,9.0,0.0,0.0,0.0,7.0,4.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,476.0,213.0,263.0,,
33.0,627.0,5864.0,642308.0,0.0,0.0,VILLAGE,Shencottai,Rural,208.0,676.0,333.0,343.0,66.0,37.0,29.0,128.0,64.0,64.0,0.0,0.0,0.0,461.0,255.0,206.0,215.0,78.0,137.0,332.0,189.0,143.0,328.0,188.0,140.0,22.0,16.0,6.0,182.0,91.0,91.0,7.0,1.0,6.0,117.0,80.0,37.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,144.0,200.0,,
33.0,627.0,5864.0,642309.0,0.0,0.0,VILLAGE,Madalapuram,Rural,573.0,2310.0,1150.0,1160.0,249.0,128.0,121.0,74.0,32.0,42.0,0.0,0.0,0.0,1518.0,868.0,650.0,792.0,282.0,510.0,1449.0,753.0,696.0,511.0,340.0,171.0,96.0,70.0,26.0,314.0,191.0,123.0,9.0,6.0,3.0,92.0,73.0,19.0,938.0,413.0,525.0,2.0,0.0,2.0,888.0,388.0,500.0,3.0,1.0,2.0,45.0,24.0,21.0,936.0,411.0,525.0,2.0,0.0,2.0,886.0,386.0,500.0,3.0,1.0,2.0,45.0,24.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.0,397.0,464.0,,
33.0,627.0,5864.0,642310.0,0.0,0.0,VILLAGE,Kumaralingapuram,Rural,40.0,181.0,89.0,92.0,24.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,65.0,45.0,71.0,24.0,47.0,110.0,54.0,56.0,110.0,54.0,56.0,9.0,7.0,2.0,101.0,47.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,35.0,36.0,,
33.0,627.0,5864.0,642311.0,0.0,0.0,VILLAGE,P.Jagaveerapuram,Rural,73.0,281.0,131.0,150.0,24.0,12.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,198.0,104.0,94.0,83.0,27.0,56.0,182.0,88.0,94.0,181.0,87.0,94.0,30.0,27.0,3.0,138.0,53.0,85.0,0.0,0.0,0.0,13.0,7.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,43.0,56.0,,
33.0,627.0,5864.0,642312.0,0.0,0.0,VILLAGE,Kandasamypuram,Rural,317.0,1184.0,592.0,592.0,133.0,60.0,73.0,97.0,48.0,49.0,0.0,0.0,0.0,746.0,430.0,316.0,438.0,162.0,276.0,728.0,386.0,342.0,720.0,384.0,336.0,188.0,116.0,72.0,464.0,230.0,234.0,4.0,1.0,3.0,64.0,37.0,27.0,8.0,2.0,6.0,1.0,1.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,2.0,6.0,1.0,1.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,206.0,250.0,,
33.0,627.0,5864.0,642313.0,0.0,0.0,VILLAGE,N.Jagaveerapuram,Rural,373.0,1461.0,745.0,716.0,175.0,84.0,91.0,125.0,61.0,64.0,0.0,0.0,0.0,1021.0,588.0,433.0,440.0,157.0,283.0,902.0,502.0,400.0,840.0,499.0,341.0,157.0,102.0,55.0,664.0,390.0,274.0,2.0,1.0,1.0,17.0,6.0,11.0,62.0,3.0,59.0,2.0,0.0,2.0,60.0,3.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,58.0,2.0,0.0,2.0,58.0,2.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,243.0,316.0,,
33.0,627.0,5864.0,642314.0,0.0,0.0,VILLAGE,Boothalapuram,Rural,486.0,1637.0,806.0,831.0,151.0,87.0,64.0,319.0,163.0,156.0,0.0,0.0,0.0,1219.0,662.0,557.0,418.0,144.0,274.0,1081.0,543.0,538.0,1009.0,511.0,498.0,211.0,103.0,108.0,686.0,336.0,350.0,32.0,16.0,16.0,80.0,56.0,24.0,72.0,32.0,40.0,2.0,2.0,0.0,53.0,23.0,30.0,6.0,2.0,4.0,11.0,5.0,6.0,72.0,32.0,40.0,2.0,2.0,0.0,53.0,23.0,30.0,6.0,2.0,4.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,263.0,293.0,,
33.0,627.0,5864.0,642315.0,0.0,0.0,VILLAGE,Melakallurani,Rural,281.0,1076.0,527.0,549.0,90.0,47.0,43.0,59.0,32.0,27.0,0.0,0.0,0.0,781.0,425.0,356.0,295.0,102.0,193.0,739.0,368.0,371.0,392.0,206.0,186.0,5.0,2.0,3.0,337.0,168.0,169.0,0.0,0.0,0.0,50.0,36.0,14.0,347.0,162.0,185.0,15.0,14.0,1.0,324.0,144.0,180.0,4.0,3.0,1.0,4.0,1.0,3.0,346.0,161.0,185.0,15.0,14.0,1.0,323.0,143.0,180.0,4.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,159.0,178.0,,
33.0,627.0,5864.0,642316.0,0.0,0.0,VILLAGE,Shankaralinapuram ,Rural,988.0,3801.0,1865.0,1936.0,386.0,189.0,197.0,445.0,220.0,225.0,0.0,0.0,0.0,2494.0,1418.0,1076.0,1307.0,447.0,860.0,2329.0,1203.0,1126.0,2215.0,1177.0,1038.0,255.0,138.0,117.0,1190.0,518.0,672.0,15.0,6.0,9.0,755.0,515.0,240.0,114.0,26.0,88.0,0.0,0.0,0.0,87.0,8.0,79.0,0.0,0.0,0.0,27.0,18.0,9.0,111.0,24.0,87.0,0.0,0.0,0.0,86.0,7.0,79.0,0.0,0.0,0.0,25.0,17.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1472.0,662.0,810.0,,
33.0,627.0,5864.0,642317.0,0.0,0.0,VILLAGE,Goundampatti,Rural,620.0,2260.0,1104.0,1156.0,231.0,107.0,124.0,854.0,405.0,449.0,2.0,2.0,0.0,1613.0,865.0,748.0,647.0,239.0,408.0,1270.0,676.0,594.0,949.0,626.0,323.0,8.0,8.0,0.0,678.0,412.0,266.0,2.0,1.0,1.0,261.0,205.0,56.0,321.0,50.0,271.0,0.0,0.0,0.0,310.0,43.0,267.0,0.0,0.0,0.0,11.0,7.0,4.0,319.0,48.0,271.0,0.0,0.0,0.0,310.0,43.0,267.0,0.0,0.0,0.0,9.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,990.0,428.0,562.0,,
33.0,627.0,5864.0,642318.0,0.0,0.0,VILLAGE,Vowalthothi,Rural,673.0,2351.0,1163.0,1188.0,190.0,96.0,94.0,1190.0,612.0,578.0,0.0,0.0,0.0,1652.0,930.0,722.0,699.0,233.0,466.0,1218.0,671.0,547.0,1194.0,664.0,530.0,162.0,123.0,39.0,864.0,424.0,440.0,9.0,5.0,4.0,159.0,112.0,47.0,24.0,7.0,17.0,3.0,1.0,2.0,21.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,17.0,3.0,1.0,2.0,21.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.0,492.0,641.0,,
33.0,627.0,5864.0,642319.0,0.0,0.0,VILLAGE,Nagalapuram,Rural,1212.0,4552.0,2310.0,2242.0,480.0,260.0,220.0,1774.0,876.0,898.0,4.0,1.0,3.0,3467.0,1891.0,1576.0,1085.0,419.0,666.0,2152.0,1315.0,837.0,1509.0,1012.0,497.0,198.0,110.0,88.0,407.0,185.0,222.0,41.0,29.0,12.0,863.0,688.0,175.0,643.0,303.0,340.0,20.0,9.0,11.0,374.0,180.0,194.0,28.0,8.0,20.0,221.0,106.0,115.0,608.0,291.0,317.0,17.0,9.0,8.0,364.0,177.0,187.0,17.0,6.0,11.0,210.0,99.0,111.0,35.0,12.0,23.0,3.0,0.0,3.0,10.0,3.0,7.0,11.0,2.0,9.0,11.0,7.0,4.0,2400.0,995.0,1405.0,,
33.0,627.0,5864.0,642320.0,0.0,0.0,VILLAGE,M.Kodangipatti,Rural,388.0,1300.0,633.0,667.0,102.0,50.0,52.0,102.0,49.0,53.0,0.0,0.0,0.0,953.0,529.0,424.0,347.0,104.0,243.0,646.0,400.0,246.0,568.0,378.0,190.0,27.0,25.0,2.0,389.0,234.0,155.0,1.0,0.0,1.0,151.0,119.0,32.0,78.0,22.0,56.0,2.0,2.0,0.0,61.0,13.0,48.0,2.0,0.0,2.0,13.0,7.0,6.0,77.0,22.0,55.0,2.0,2.0,0.0,60.0,13.0,47.0,2.0,0.0,2.0,13.0,7.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,233.0,421.0,,
33.0,627.0,5864.0,642321.0,0.0,0.0,VILLAGE,K.Duraisamipuram,Rural,450.0,1653.0,826.0,827.0,142.0,79.0,63.0,311.0,156.0,155.0,0.0,0.0,0.0,1300.0,706.0,594.0,353.0,120.0,233.0,1131.0,587.0,544.0,907.0,514.0,393.0,252.0,190.0,62.0,475.0,192.0,283.0,3.0,1.0,2.0,177.0,131.0,46.0,224.0,73.0,151.0,1.0,1.0,0.0,206.0,59.0,147.0,0.0,0.0,0.0,17.0,13.0,4.0,224.0,73.0,151.0,1.0,1.0,0.0,206.0,59.0,147.0,0.0,0.0,0.0,17.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,239.0,283.0,,
33.0,627.0,5864.0,642322.0,0.0,0.0,VILLAGE,Mavilodai,Rural,171.0,665.0,319.0,346.0,73.0,35.0,38.0,124.0,55.0,69.0,0.0,0.0,0.0,398.0,217.0,181.0,267.0,102.0,165.0,423.0,215.0,208.0,352.0,198.0,154.0,81.0,60.0,21.0,226.0,107.0,119.0,4.0,4.0,0.0,41.0,27.0,14.0,71.0,17.0,54.0,1.0,0.0,1.0,56.0,12.0,44.0,3.0,0.0,3.0,11.0,5.0,6.0,68.0,16.0,52.0,1.0,0.0,1.0,53.0,11.0,42.0,3.0,0.0,3.0,11.0,5.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,104.0,138.0,,
33.0,627.0,5864.0,642323.0,0.0,0.0,VILLAGE,Kadalgudi,Rural,221.0,766.0,356.0,410.0,105.0,51.0,54.0,323.0,154.0,169.0,0.0,0.0,0.0,484.0,263.0,221.0,282.0,93.0,189.0,453.0,225.0,228.0,422.0,206.0,216.0,252.0,116.0,136.0,94.0,36.0,58.0,1.0,1.0,0.0,75.0,53.0,22.0,31.0,19.0,12.0,6.0,2.0,4.0,12.0,6.0,6.0,1.0,0.0,1.0,12.0,11.0,1.0,29.0,19.0,10.0,4.0,2.0,2.0,12.0,6.0,6.0,1.0,0.0,1.0,12.0,11.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,131.0,182.0,,
33.0,627.0,5864.0,642324.0,0.0,0.0,VILLAGE,Chinnoor,Rural,220.0,808.0,407.0,401.0,78.0,41.0,37.0,98.0,48.0,50.0,0.0,0.0,0.0,504.0,302.0,202.0,304.0,105.0,199.0,509.0,275.0,234.0,509.0,275.0,234.0,99.0,60.0,39.0,351.0,187.0,164.0,1.0,0.0,1.0,58.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,132.0,167.0,,
33.0,627.0,5864.0,642325.0,0.0,0.0,VILLAGE,Malleswarapuram,Rural,126.0,490.0,256.0,234.0,47.0,27.0,20.0,31.0,17.0,14.0,0.0,0.0,0.0,309.0,189.0,120.0,181.0,67.0,114.0,321.0,170.0,151.0,315.0,168.0,147.0,25.0,18.0,7.0,271.0,139.0,132.0,3.0,1.0,2.0,16.0,10.0,6.0,6.0,2.0,4.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,86.0,83.0,,
33.0,627.0,5864.0,642326.0,0.0,0.0,VILLAGE,Kumarasakkanapuram,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
