State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,614.0,5777.0,0.0,0.0,0.0,SUB-DISTRICT,Lalgudi,Total,67722.0,254865.0,125070.0,129795.0,24709.0,12749.0,11960.0,53391.0,26094.0,27297.0,713.0,377.0,336.0,190592.0,100882.0,89710.0,64273.0,24188.0,40085.0,121435.0,73218.0,48217.0,102078.0,64000.0,38078.0,20757.0,13746.0,7011.0,43283.0,21447.0,21836.0,1844.0,959.0,885.0,36194.0,27848.0,8346.0,19357.0,9218.0,10139.0,811.0,451.0,360.0,12471.0,5244.0,7227.0,512.0,198.0,314.0,5563.0,3325.0,2238.0,16374.0,7863.0,8511.0,728.0,400.0,328.0,10515.0,4458.0,6057.0,346.0,155.0,191.0,4785.0,2850.0,1935.0,2983.0,1355.0,1628.0,83.0,51.0,32.0,1956.0,786.0,1170.0,166.0,43.0,123.0,778.0,475.0,303.0,133430.0,51852.0,81578.0,,
33.0,614.0,5777.0,0.0,0.0,0.0,SUB-DISTRICT,Lalgudi,Rural,52205.0,195635.0,96031.0,99604.0,18908.0,9739.0,9169.0,45082.0,22000.0,23082.0,596.0,320.0,276.0,142905.0,76351.0,66554.0,52730.0,19680.0,33050.0,98270.0,56609.0,41661.0,82099.0,49250.0,32849.0,19556.0,12708.0,6848.0,39011.0,19131.0,19880.0,1260.0,647.0,613.0,22272.0,16764.0,5508.0,16171.0,7359.0,8812.0,735.0,399.0,336.0,11343.0,4696.0,6647.0,401.0,148.0,253.0,3692.0,2116.0,1576.0,13666.0,6275.0,7391.0,656.0,351.0,305.0,9558.0,3989.0,5569.0,261.0,116.0,145.0,3191.0,1819.0,1372.0,2505.0,1084.0,1421.0,79.0,48.0,31.0,1785.0,707.0,1078.0,140.0,32.0,108.0,501.0,297.0,204.0,97365.0,39422.0,57943.0,,
33.0,614.0,5777.0,0.0,0.0,0.0,SUB-DISTRICT,Lalgudi,Urban,15517.0,59230.0,29039.0,30191.0,5801.0,3010.0,2791.0,8309.0,4094.0,4215.0,117.0,57.0,60.0,47687.0,24531.0,23156.0,11543.0,4508.0,7035.0,23165.0,16609.0,6556.0,19979.0,14750.0,5229.0,1201.0,1038.0,163.0,4272.0,2316.0,1956.0,584.0,312.0,272.0,13922.0,11084.0,2838.0,3186.0,1859.0,1327.0,76.0,52.0,24.0,1128.0,548.0,580.0,111.0,50.0,61.0,1871.0,1209.0,662.0,2708.0,1588.0,1120.0,72.0,49.0,23.0,957.0,469.0,488.0,85.0,39.0,46.0,1594.0,1031.0,563.0,478.0,271.0,207.0,4.0,3.0,1.0,171.0,79.0,92.0,26.0,11.0,15.0,277.0,178.0,99.0,36065.0,12430.0,23635.0,,
33.0,614.0,5777.0,635875.0,0.0,0.0,VILLAGE,Neikulam ,Rural,753.0,2523.0,1213.0,1310.0,263.0,130.0,133.0,726.0,350.0,376.0,0.0,0.0,0.0,1574.0,860.0,714.0,949.0,353.0,596.0,1464.0,761.0,703.0,1404.0,729.0,675.0,327.0,205.0,122.0,790.0,304.0,486.0,0.0,0.0,0.0,287.0,220.0,67.0,60.0,32.0,28.0,7.0,5.0,2.0,30.0,9.0,21.0,7.0,3.0,4.0,16.0,15.0,1.0,58.0,31.0,27.0,7.0,5.0,2.0,29.0,9.0,20.0,7.0,3.0,4.0,15.0,14.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1059.0,452.0,607.0,,
33.0,614.0,5777.0,635876.0,0.0,0.0,VILLAGE,Oottathur,Rural,1078.0,3741.0,1944.0,1797.0,450.0,246.0,204.0,574.0,308.0,266.0,0.0,0.0,0.0,2072.0,1237.0,835.0,1669.0,707.0,962.0,2169.0,1184.0,985.0,1927.0,1140.0,787.0,496.0,342.0,154.0,897.0,354.0,543.0,13.0,12.0,1.0,521.0,432.0,89.0,242.0,44.0,198.0,3.0,0.0,3.0,213.0,27.0,186.0,0.0,0.0,0.0,26.0,17.0,9.0,238.0,44.0,194.0,3.0,0.0,3.0,209.0,27.0,182.0,0.0,0.0,0.0,26.0,17.0,9.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.0,760.0,812.0,,
33.0,614.0,5777.0,635877.0,0.0,0.0,VILLAGE,Thiranipalayam,Rural,560.0,2030.0,990.0,1040.0,235.0,121.0,114.0,135.0,64.0,71.0,0.0,0.0,0.0,1067.0,620.0,447.0,963.0,370.0,593.0,1265.0,605.0,660.0,1261.0,603.0,658.0,971.0,535.0,436.0,235.0,32.0,203.0,5.0,1.0,4.0,50.0,35.0,15.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,765.0,385.0,380.0,,
33.0,614.0,5777.0,635878.0,0.0,0.0,VILLAGE,Garudamangalam (North),Rural,304.0,995.0,472.0,523.0,125.0,67.0,58.0,455.0,214.0,241.0,8.0,6.0,2.0,569.0,308.0,261.0,426.0,164.0,262.0,537.0,279.0,258.0,226.0,135.0,91.0,119.0,76.0,43.0,41.0,15.0,26.0,6.0,3.0,3.0,60.0,41.0,19.0,311.0,144.0,167.0,12.0,9.0,3.0,286.0,125.0,161.0,1.0,0.0,1.0,12.0,10.0,2.0,307.0,144.0,163.0,12.0,9.0,3.0,282.0,125.0,157.0,1.0,0.0,1.0,12.0,10.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,193.0,265.0,,
33.0,614.0,5777.0,635879.0,0.0,0.0,VILLAGE,Garudamangalam (South),Rural,532.0,1969.0,964.0,1005.0,227.0,126.0,101.0,659.0,345.0,314.0,5.0,4.0,1.0,1253.0,666.0,587.0,716.0,298.0,418.0,907.0,565.0,342.0,888.0,558.0,330.0,415.0,297.0,118.0,375.0,179.0,196.0,21.0,17.0,4.0,77.0,65.0,12.0,19.0,7.0,12.0,1.0,1.0,0.0,9.0,1.0,8.0,2.0,0.0,2.0,7.0,5.0,2.0,15.0,5.0,10.0,1.0,1.0,0.0,7.0,0.0,7.0,1.0,0.0,1.0,6.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1062.0,399.0,663.0,,
33.0,614.0,5777.0,635880.0,0.0,0.0,VILLAGE,Saradamangalam,Rural,391.0,1372.0,647.0,725.0,167.0,91.0,76.0,383.0,175.0,208.0,0.0,0.0,0.0,741.0,390.0,351.0,631.0,257.0,374.0,800.0,412.0,388.0,781.0,401.0,380.0,679.0,346.0,333.0,70.0,31.0,39.0,0.0,0.0,0.0,32.0,24.0,8.0,19.0,11.0,8.0,9.0,5.0,4.0,4.0,1.0,3.0,1.0,1.0,0.0,5.0,4.0,1.0,15.0,8.0,7.0,7.0,3.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,572.0,235.0,337.0,,
33.0,614.0,5777.0,635881.0,0.0,0.0,VILLAGE,M. Kannanoor,Rural,491.0,1557.0,755.0,802.0,190.0,112.0,78.0,385.0,203.0,182.0,0.0,0.0,0.0,993.0,546.0,447.0,564.0,209.0,355.0,958.0,453.0,505.0,810.0,387.0,423.0,348.0,167.0,181.0,411.0,179.0,232.0,8.0,8.0,0.0,43.0,33.0,10.0,148.0,66.0,82.0,17.0,8.0,9.0,128.0,55.0,73.0,0.0,0.0,0.0,3.0,3.0,0.0,148.0,66.0,82.0,17.0,8.0,9.0,128.0,55.0,73.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,302.0,297.0,,
