State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,614.0,5776.0,0.0,0.0,0.0,SUB-DISTRICT,Manachanallur,Total,49878.0,192869.0,96154.0,96715.0,19366.0,9936.0,9430.0,36477.0,18009.0,18468.0,224.0,126.0,98.0,142366.0,76837.0,65529.0,50503.0,19317.0,31186.0,89022.0,55287.0,33735.0,79660.0,51041.0,28619.0,11024.0,7017.0,4007.0,26583.0,13327.0,13256.0,2033.0,1002.0,1031.0,40020.0,29695.0,10325.0,9362.0,4246.0,5116.0,518.0,277.0,241.0,4805.0,1952.0,2853.0,430.0,116.0,314.0,3609.0,1901.0,1708.0,8224.0,3710.0,4514.0,482.0,257.0,225.0,4265.0,1711.0,2554.0,335.0,95.0,240.0,3142.0,1647.0,1495.0,1138.0,536.0,602.0,36.0,20.0,16.0,540.0,241.0,299.0,95.0,21.0,74.0,467.0,254.0,213.0,103847.0,40867.0,62980.0,,
33.0,614.0,5776.0,0.0,0.0,0.0,SUB-DISTRICT,Manachanallur,Rural,35234.0,136608.0,68395.0,68213.0,14006.0,7227.0,6779.0,25956.0,12844.0,13112.0,96.0,58.0,38.0,97597.0,53556.0,44041.0,39011.0,14839.0,24172.0,67264.0,39491.0,27773.0,58981.0,35782.0,23199.0,10557.0,6625.0,3932.0,23828.0,11783.0,12045.0,1518.0,754.0,764.0,23078.0,16620.0,6458.0,8283.0,3709.0,4574.0,471.0,239.0,232.0,4729.0,1918.0,2811.0,343.0,102.0,241.0,2740.0,1450.0,1290.0,7272.0,3240.0,4032.0,435.0,219.0,216.0,4194.0,1680.0,2514.0,266.0,84.0,182.0,2377.0,1257.0,1120.0,1011.0,469.0,542.0,36.0,20.0,16.0,535.0,238.0,297.0,77.0,18.0,59.0,363.0,193.0,170.0,69344.0,28904.0,40440.0,,
33.0,614.0,5776.0,0.0,0.0,0.0,SUB-DISTRICT,Manachanallur,Urban,14644.0,56261.0,27759.0,28502.0,5360.0,2709.0,2651.0,10521.0,5165.0,5356.0,128.0,68.0,60.0,44769.0,23281.0,21488.0,11492.0,4478.0,7014.0,21758.0,15796.0,5962.0,20679.0,15259.0,5420.0,467.0,392.0,75.0,2755.0,1544.0,1211.0,515.0,248.0,267.0,16942.0,13075.0,3867.0,1079.0,537.0,542.0,47.0,38.0,9.0,76.0,34.0,42.0,87.0,14.0,73.0,869.0,451.0,418.0,952.0,470.0,482.0,47.0,38.0,9.0,71.0,31.0,40.0,69.0,11.0,58.0,765.0,390.0,375.0,127.0,67.0,60.0,0.0,0.0,0.0,5.0,3.0,2.0,18.0,3.0,15.0,104.0,61.0,43.0,34503.0,11963.0,22540.0,,
33.0,614.0,5776.0,635834.0,0.0,0.0,VILLAGE,Perakambi,Rural,813.0,2632.0,1272.0,1360.0,254.0,138.0,116.0,1295.0,625.0,670.0,2.0,1.0,1.0,1912.0,983.0,929.0,720.0,289.0,431.0,1430.0,794.0,636.0,1417.0,784.0,633.0,296.0,231.0,65.0,918.0,397.0,521.0,4.0,2.0,2.0,199.0,154.0,45.0,13.0,10.0,3.0,3.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,12.0,9.0,3.0,3.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.0,478.0,724.0,,
33.0,614.0,5776.0,635835.0,0.0,0.0,VILLAGE,Seedevimangalam (North),Rural,423.0,1562.0,790.0,772.0,151.0,82.0,69.0,222.0,115.0,107.0,0.0,0.0,0.0,1012.0,579.0,433.0,550.0,211.0,339.0,958.0,502.0,456.0,941.0,499.0,442.0,291.0,160.0,131.0,592.0,287.0,305.0,3.0,3.0,0.0,55.0,49.0,6.0,17.0,3.0,14.0,5.0,1.0,4.0,10.0,2.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,14.0,3.0,11.0,4.0,1.0,3.0,8.0,2.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,288.0,316.0,,
33.0,614.0,5776.0,635836.0,0.0,0.0,VILLAGE,Seedevimangalam (South)  ,Rural,299.0,1064.0,550.0,514.0,104.0,61.0,43.0,388.0,207.0,181.0,0.0,0.0,0.0,808.0,436.0,372.0,256.0,114.0,142.0,676.0,394.0,282.0,671.0,393.0,278.0,372.0,224.0,148.0,216.0,95.0,121.0,4.0,3.0,1.0,79.0,71.0,8.0,5.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,156.0,232.0,,
33.0,614.0,5776.0,635837.0,0.0,0.0,VILLAGE,Shanamangalam  ,Rural,649.0,2381.0,1186.0,1195.0,244.0,115.0,129.0,708.0,354.0,354.0,1.0,0.0,1.0,1619.0,905.0,714.0,762.0,281.0,481.0,1327.0,717.0,610.0,571.0,336.0,235.0,101.0,82.0,19.0,305.0,128.0,177.0,10.0,6.0,4.0,155.0,120.0,35.0,756.0,381.0,375.0,133.0,73.0,60.0,486.0,218.0,268.0,5.0,2.0,3.0,132.0,88.0,44.0,720.0,367.0,353.0,132.0,73.0,59.0,458.0,208.0,250.0,3.0,2.0,1.0,127.0,84.0,43.0,36.0,14.0,22.0,1.0,0.0,1.0,28.0,10.0,18.0,2.0,0.0,2.0,5.0,4.0,1.0,1054.0,469.0,585.0,,
33.0,614.0,5776.0,635838.0,0.0,0.0,VILLAGE,Vazhaiyur,Rural,505.0,1736.0,869.0,867.0,194.0,85.0,109.0,697.0,346.0,351.0,5.0,2.0,3.0,1164.0,646.0,518.0,572.0,223.0,349.0,1070.0,549.0,521.0,826.0,440.0,386.0,495.0,247.0,248.0,204.0,99.0,105.0,8.0,3.0,5.0,119.0,91.0,28.0,244.0,109.0,135.0,13.0,6.0,7.0,177.0,75.0,102.0,6.0,2.0,4.0,48.0,26.0,22.0,219.0,98.0,121.0,11.0,5.0,6.0,168.0,73.0,95.0,4.0,2.0,2.0,36.0,18.0,18.0,25.0,11.0,14.0,2.0,1.0,1.0,9.0,2.0,7.0,2.0,0.0,2.0,12.0,8.0,4.0,666.0,320.0,346.0,,
33.0,614.0,5776.0,635839.0,0.0,0.0,VILLAGE,Edumalai ,Rural,1074.0,3916.0,1967.0,1949.0,388.0,185.0,203.0,741.0,368.0,373.0,5.0,3.0,2.0,2633.0,1504.0,1129.0,1283.0,463.0,820.0,2291.0,1315.0,976.0,2251.0,1298.0,953.0,266.0,213.0,53.0,1607.0,788.0,819.0,52.0,24.0,28.0,326.0,273.0,53.0,40.0,17.0,23.0,14.0,7.0,7.0,14.0,5.0,9.0,2.0,2.0,0.0,10.0,3.0,7.0,36.0,15.0,21.0,13.0,7.0,6.0,12.0,4.0,8.0,1.0,1.0,0.0,10.0,3.0,7.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1625.0,652.0,973.0,,
33.0,614.0,5776.0,635840.0,0.0,0.0,VILLAGE,Omandhur  ,Rural,630.0,2093.0,1031.0,1062.0,208.0,102.0,106.0,317.0,140.0,177.0,0.0,0.0,0.0,1499.0,821.0,678.0,594.0,210.0,384.0,1144.0,647.0,497.0,911.0,608.0,303.0,120.0,88.0,32.0,367.0,212.0,155.0,10.0,5.0,5.0,414.0,303.0,111.0,233.0,39.0,194.0,20.0,3.0,17.0,78.0,12.0,66.0,9.0,2.0,7.0,126.0,22.0,104.0,220.0,36.0,184.0,20.0,3.0,17.0,73.0,11.0,62.0,9.0,2.0,7.0,118.0,20.0,98.0,13.0,3.0,10.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,8.0,2.0,6.0,949.0,384.0,565.0,,
33.0,614.0,5776.0,635841.0,0.0,0.0,VILLAGE,Sirugudi   ,Rural,417.0,1472.0,730.0,742.0,172.0,88.0,84.0,140.0,71.0,69.0,0.0,0.0,0.0,945.0,542.0,403.0,527.0,188.0,339.0,750.0,445.0,305.0,546.0,330.0,216.0,217.0,122.0,95.0,191.0,84.0,107.0,5.0,4.0,1.0,133.0,120.0,13.0,204.0,115.0,89.0,20.0,14.0,6.0,132.0,62.0,70.0,4.0,3.0,1.0,48.0,36.0,12.0,194.0,114.0,80.0,20.0,14.0,6.0,124.0,62.0,62.0,3.0,2.0,1.0,47.0,36.0,11.0,10.0,1.0,9.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,722.0,285.0,437.0,,
33.0,614.0,5776.0,635842.0,0.0,0.0,VILLAGE,Valaiyur  ,Rural,1075.0,3916.0,1915.0,2001.0,452.0,237.0,215.0,316.0,146.0,170.0,0.0,0.0,0.0,2455.0,1357.0,1098.0,1461.0,558.0,903.0,2174.0,1162.0,1012.0,2117.0,1139.0,978.0,754.0,407.0,347.0,737.0,327.0,410.0,66.0,31.0,35.0,560.0,374.0,186.0,57.0,23.0,34.0,4.0,2.0,2.0,34.0,12.0,22.0,6.0,2.0,4.0,13.0,7.0,6.0,49.0,20.0,29.0,4.0,2.0,2.0,28.0,9.0,19.0,4.0,2.0,2.0,13.0,7.0,6.0,8.0,3.0,5.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1742.0,753.0,989.0,,
33.0,614.0,5776.0,635843.0,0.0,0.0,VILLAGE,Palaiyur,Rural,668.0,2303.0,1183.0,1120.0,217.0,123.0,94.0,786.0,396.0,390.0,0.0,0.0,0.0,1579.0,872.0,707.0,724.0,311.0,413.0,1238.0,711.0,527.0,1214.0,700.0,514.0,106.0,57.0,49.0,530.0,272.0,258.0,3.0,3.0,0.0,575.0,368.0,207.0,24.0,11.0,13.0,0.0,0.0,0.0,10.0,6.0,4.0,0.0,0.0,0.0,14.0,5.0,9.0,24.0,11.0,13.0,0.0,0.0,0.0,10.0,6.0,4.0,0.0,0.0,0.0,14.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.0,472.0,593.0,,
33.0,614.0,5776.0,635844.0,0.0,0.0,VILLAGE,Thiruppattur,Rural,735.0,2737.0,1385.0,1352.0,276.0,139.0,137.0,327.0,163.0,164.0,0.0,0.0,0.0,1867.0,1042.0,825.0,870.0,343.0,527.0,1384.0,857.0,527.0,1307.0,834.0,473.0,446.0,327.0,119.0,574.0,291.0,283.0,12.0,6.0,6.0,275.0,210.0,65.0,77.0,23.0,54.0,0.0,0.0,0.0,48.0,6.0,42.0,0.0,0.0,0.0,29.0,17.0,12.0,76.0,22.0,54.0,0.0,0.0,0.0,48.0,6.0,42.0,0.0,0.0,0.0,28.0,16.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1353.0,528.0,825.0,,
33.0,614.0,5776.0,635845.0,0.0,0.0,VILLAGE,Siruganur,Rural,1032.0,5010.0,2829.0,2181.0,454.0,229.0,225.0,1714.0,884.0,830.0,26.0,15.0,11.0,3860.0,2365.0,1495.0,1150.0,464.0,686.0,1890.0,1086.0,804.0,1780.0,1044.0,736.0,281.0,177.0,104.0,1031.0,546.0,485.0,17.0,14.0,3.0,451.0,307.0,144.0,110.0,42.0,68.0,3.0,2.0,1.0,35.0,6.0,29.0,5.0,1.0,4.0,67.0,33.0,34.0,101.0,37.0,64.0,3.0,2.0,1.0,35.0,6.0,29.0,3.0,1.0,2.0,60.0,28.0,32.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,5.0,2.0,3120.0,1743.0,1377.0,,
33.0,614.0,5776.0,635846.0,0.0,0.0,VILLAGE,Konalai,Rural,1109.0,4291.0,2088.0,2203.0,425.0,228.0,197.0,316.0,161.0,155.0,3.0,1.0,2.0,3356.0,1717.0,1639.0,935.0,371.0,564.0,1887.0,1123.0,764.0,1803.0,1087.0,716.0,390.0,233.0,157.0,847.0,440.0,407.0,8.0,5.0,3.0,558.0,409.0,149.0,84.0,36.0,48.0,4.0,2.0,2.0,57.0,26.0,31.0,0.0,0.0,0.0,23.0,8.0,15.0,75.0,33.0,42.0,2.0,1.0,1.0,57.0,26.0,31.0,0.0,0.0,0.0,16.0,6.0,10.0,9.0,3.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,2404.0,965.0,1439.0,,
33.0,614.0,5776.0,635847.0,0.0,0.0,VILLAGE,Avaravelli ,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,614.0,5776.0,635848.0,0.0,0.0,VILLAGE,Kariyamanickam,Rural,638.0,2220.0,1112.0,1108.0,225.0,119.0,106.0,669.0,335.0,334.0,0.0,0.0,0.0,1577.0,895.0,682.0,643.0,217.0,426.0,1172.0,683.0,489.0,1024.0,657.0,367.0,207.0,146.0,61.0,343.0,151.0,192.0,3.0,0.0,3.0,471.0,360.0,111.0,148.0,26.0,122.0,8.0,1.0,7.0,97.0,15.0,82.0,10.0,1.0,9.0,33.0,9.0,24.0,129.0,21.0,108.0,8.0,1.0,7.0,90.0,15.0,75.0,7.0,0.0,7.0,24.0,5.0,19.0,19.0,5.0,14.0,0.0,0.0,0.0,7.0,0.0,7.0,3.0,1.0,2.0,9.0,4.0,5.0,1048.0,429.0,619.0,,
