State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,614.0,5781.0,0.0,0.0,0.0,SUB-DISTRICT,Manapparai,Total,87298.0,375370.0,186964.0,188406.0,43109.0,22136.0,20973.0,66557.0,33136.0,33421.0,234.0,132.0,102.0,244916.0,138226.0,106690.0,130454.0,48738.0,81716.0,192372.0,110167.0,82205.0,170317.0,100410.0,69907.0,46794.0,27713.0,19081.0,70045.0,32033.0,38012.0,2990.0,1418.0,1572.0,50488.0,39246.0,11242.0,22055.0,9757.0,12298.0,2578.0,1398.0,1180.0,13417.0,4771.0,8646.0,638.0,209.0,429.0,5422.0,3379.0,2043.0,18941.0,8519.0,10422.0,2008.0,1117.0,891.0,11865.0,4345.0,7520.0,456.0,161.0,295.0,4612.0,2896.0,1716.0,3114.0,1238.0,1876.0,570.0,281.0,289.0,1552.0,426.0,1126.0,182.0,48.0,134.0,810.0,483.0,327.0,182998.0,76797.0,106201.0,,
33.0,614.0,5781.0,0.0,0.0,0.0,SUB-DISTRICT,Manapparai,Rural,74678.0,322693.0,160727.0,161966.0,37465.0,19252.0,18213.0,59326.0,29518.0,29808.0,161.0,98.0,63.0,204160.0,116611.0,87549.0,118533.0,44116.0,74417.0,172736.0,95817.0,76919.0,153173.0,87412.0,65761.0,45648.0,26960.0,18688.0,68944.0,31470.0,37474.0,2344.0,1237.0,1107.0,36237.0,27745.0,8492.0,19563.0,8405.0,11158.0,2522.0,1359.0,1163.0,12488.0,4392.0,8096.0,497.0,177.0,320.0,4056.0,2477.0,1579.0,16929.0,7369.0,9560.0,1965.0,1090.0,875.0,11135.0,4025.0,7110.0,382.0,140.0,242.0,3447.0,2114.0,1333.0,2634.0,1036.0,1598.0,557.0,269.0,288.0,1353.0,367.0,986.0,115.0,37.0,78.0,609.0,363.0,246.0,149957.0,64910.0,85047.0,,
33.0,614.0,5781.0,0.0,0.0,0.0,SUB-DISTRICT,Manapparai,Urban,12620.0,52677.0,26237.0,26440.0,5644.0,2884.0,2760.0,7231.0,3618.0,3613.0,73.0,34.0,39.0,40756.0,21615.0,19141.0,11921.0,4622.0,7299.0,19636.0,14350.0,5286.0,17144.0,12998.0,4146.0,1146.0,753.0,393.0,1101.0,563.0,538.0,646.0,181.0,465.0,14251.0,11501.0,2750.0,2492.0,1352.0,1140.0,56.0,39.0,17.0,929.0,379.0,550.0,141.0,32.0,109.0,1366.0,902.0,464.0,2012.0,1150.0,862.0,43.0,27.0,16.0,730.0,320.0,410.0,74.0,21.0,53.0,1165.0,782.0,383.0,480.0,202.0,278.0,13.0,12.0,1.0,199.0,59.0,140.0,67.0,11.0,56.0,201.0,120.0,81.0,33041.0,11887.0,21154.0,,
33.0,614.0,5781.0,636039.0,0.0,0.0,VILLAGE,Inam Pudur,Rural,179.0,797.0,412.0,385.0,89.0,46.0,43.0,12.0,5.0,7.0,0.0,0.0,0.0,444.0,265.0,179.0,353.0,147.0,206.0,544.0,273.0,271.0,541.0,271.0,270.0,375.0,186.0,189.0,140.0,69.0,71.0,0.0,0.0,0.0,26.0,16.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,139.0,114.0,,
33.0,614.0,5781.0,636040.0,0.0,0.0,VILLAGE,Vaiyamalaipalayam ,Rural,194.0,867.0,425.0,442.0,74.0,29.0,45.0,248.0,122.0,126.0,2.0,2.0,0.0,690.0,386.0,304.0,177.0,39.0,138.0,656.0,333.0,323.0,650.0,329.0,321.0,33.0,18.0,15.0,602.0,302.0,300.0,2.0,1.0,1.0,13.0,8.0,5.0,6.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,92.0,119.0,,
33.0,614.0,5781.0,636041.0,0.0,0.0,VILLAGE,Vellalapatti,Rural,1154.0,4942.0,2497.0,2445.0,524.0,244.0,280.0,915.0,430.0,485.0,0.0,0.0,0.0,2687.0,1616.0,1071.0,2255.0,881.0,1374.0,3051.0,1562.0,1489.0,2434.0,1252.0,1182.0,962.0,546.0,416.0,1181.0,482.0,699.0,9.0,1.0,8.0,282.0,223.0,59.0,617.0,310.0,307.0,296.0,145.0,151.0,314.0,162.0,152.0,5.0,1.0,4.0,2.0,2.0,0.0,307.0,160.0,147.0,1.0,0.0,1.0,299.0,157.0,142.0,5.0,1.0,4.0,2.0,2.0,0.0,310.0,150.0,160.0,295.0,145.0,150.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,935.0,956.0,,
33.0,614.0,5781.0,636042.0,0.0,0.0,VILLAGE,Aniyappur,Rural,1469.0,6272.0,3174.0,3098.0,701.0,374.0,327.0,1180.0,576.0,604.0,0.0,0.0,0.0,3909.0,2240.0,1669.0,2363.0,934.0,1429.0,3755.0,1967.0,1788.0,3686.0,1942.0,1744.0,1173.0,712.0,461.0,1842.0,668.0,1174.0,36.0,24.0,12.0,635.0,538.0,97.0,69.0,25.0,44.0,14.0,6.0,8.0,33.0,7.0,26.0,4.0,3.0,1.0,18.0,9.0,9.0,65.0,24.0,41.0,12.0,6.0,6.0,32.0,6.0,26.0,3.0,3.0,0.0,18.0,9.0,9.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2517.0,1207.0,1310.0,,
33.0,614.0,5781.0,636043.0,0.0,0.0,VILLAGE,Thoppampatti,Rural,1259.0,5553.0,2779.0,2774.0,659.0,321.0,338.0,1742.0,901.0,841.0,0.0,0.0,0.0,3237.0,1874.0,1363.0,2316.0,905.0,1411.0,3150.0,1629.0,1521.0,3117.0,1613.0,1504.0,959.0,472.0,487.0,1738.0,830.0,908.0,22.0,15.0,7.0,398.0,296.0,102.0,33.0,16.0,17.0,14.0,5.0,9.0,2.0,1.0,1.0,6.0,3.0,3.0,11.0,7.0,4.0,28.0,13.0,15.0,14.0,5.0,9.0,2.0,1.0,1.0,1.0,0.0,1.0,11.0,7.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,2403.0,1150.0,1253.0,,
33.0,614.0,5781.0,636044.0,0.0,0.0,VILLAGE,Mandipatti,Rural,769.0,2930.0,1395.0,1535.0,339.0,179.0,160.0,653.0,325.0,328.0,0.0,0.0,0.0,1840.0,997.0,843.0,1090.0,398.0,692.0,1542.0,830.0,712.0,935.0,573.0,362.0,353.0,191.0,162.0,118.0,60.0,58.0,34.0,15.0,19.0,430.0,307.0,123.0,607.0,257.0,350.0,58.0,26.0,32.0,450.0,184.0,266.0,21.0,9.0,12.0,78.0,38.0,40.0,585.0,252.0,333.0,58.0,26.0,32.0,431.0,180.0,251.0,19.0,9.0,10.0,77.0,37.0,40.0,22.0,5.0,17.0,0.0,0.0,0.0,19.0,4.0,15.0,2.0,0.0,2.0,1.0,1.0,0.0,1388.0,565.0,823.0,,
33.0,614.0,5781.0,636045.0,0.0,0.0,VILLAGE,K.Periapatti North,Rural,1062.0,4454.0,2200.0,2254.0,511.0,262.0,249.0,819.0,407.0,412.0,0.0,0.0,0.0,2696.0,1579.0,1117.0,1758.0,621.0,1137.0,2676.0,1376.0,1300.0,2485.0,1319.0,1166.0,717.0,420.0,297.0,1049.0,453.0,596.0,54.0,22.0,32.0,665.0,424.0,241.0,191.0,57.0,134.0,29.0,12.0,17.0,96.0,19.0,77.0,11.0,0.0,11.0,55.0,26.0,29.0,179.0,56.0,123.0,29.0,12.0,17.0,91.0,18.0,73.0,8.0,0.0,8.0,51.0,26.0,25.0,12.0,1.0,11.0,0.0,0.0,0.0,5.0,1.0,4.0,3.0,0.0,3.0,4.0,0.0,4.0,1778.0,824.0,954.0,,
