State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,614.0,5778.0,0.0,0.0,0.0,SUB-DISTRICT,Srirangam,Total,51860.0,207494.0,103262.0,104232.0,22274.0,11388.0,10886.0,45392.0,22247.0,23145.0,543.0,271.0,272.0,149955.0,81417.0,68538.0,57539.0,21845.0,35694.0,95113.0,60885.0,34228.0,83742.0,55260.0,28482.0,10536.0,7251.0,3285.0,31666.0,16209.0,15457.0,1606.0,778.0,828.0,39934.0,31022.0,8912.0,11371.0,5625.0,5746.0,564.0,307.0,257.0,5831.0,2552.0,3279.0,329.0,111.0,218.0,4647.0,2655.0,1992.0,9737.0,4962.0,4775.0,528.0,287.0,241.0,4955.0,2245.0,2710.0,224.0,87.0,137.0,4030.0,2343.0,1687.0,1634.0,663.0,971.0,36.0,20.0,16.0,876.0,307.0,569.0,105.0,24.0,81.0,617.0,312.0,305.0,112381.0,42377.0,70004.0,,
33.0,614.0,5778.0,0.0,0.0,0.0,SUB-DISTRICT,Srirangam,Rural,44926.0,179883.0,89664.0,90219.0,19004.0,9718.0,9286.0,39798.0,19515.0,20283.0,85.0,51.0,34.0,130322.0,70826.0,59496.0,49561.0,18838.0,30723.0,83695.0,53096.0,30599.0,73401.0,48046.0,25355.0,10125.0,6962.0,3163.0,29499.0,15059.0,14440.0,1101.0,567.0,534.0,32676.0,25458.0,7218.0,10294.0,5050.0,5244.0,551.0,301.0,250.0,5707.0,2511.0,3196.0,225.0,78.0,147.0,3811.0,2160.0,1651.0,8909.0,4476.0,4433.0,517.0,282.0,235.0,4862.0,2213.0,2649.0,155.0,65.0,90.0,3375.0,1916.0,1459.0,1385.0,574.0,811.0,34.0,19.0,15.0,845.0,298.0,547.0,70.0,13.0,57.0,436.0,244.0,192.0,96188.0,36568.0,59620.0,,
33.0,614.0,5778.0,0.0,0.0,0.0,SUB-DISTRICT,Srirangam,Urban,6934.0,27611.0,13598.0,14013.0,3270.0,1670.0,1600.0,5594.0,2732.0,2862.0,458.0,220.0,238.0,19633.0,10591.0,9042.0,7978.0,3007.0,4971.0,11418.0,7789.0,3629.0,10341.0,7214.0,3127.0,411.0,289.0,122.0,2167.0,1150.0,1017.0,505.0,211.0,294.0,7258.0,5564.0,1694.0,1077.0,575.0,502.0,13.0,6.0,7.0,124.0,41.0,83.0,104.0,33.0,71.0,836.0,495.0,341.0,828.0,486.0,342.0,11.0,5.0,6.0,93.0,32.0,61.0,69.0,22.0,47.0,655.0,427.0,228.0,249.0,89.0,160.0,2.0,1.0,1.0,31.0,9.0,22.0,35.0,11.0,24.0,181.0,68.0,113.0,16193.0,5809.0,10384.0,,
33.0,614.0,5778.0,635963.0,0.0,0.0,VILLAGE,Pettavathalai ,Rural,2558.0,9594.0,4702.0,4892.0,907.0,488.0,419.0,1528.0,729.0,799.0,3.0,2.0,1.0,7359.0,3888.0,3471.0,2235.0,814.0,1421.0,4346.0,2784.0,1562.0,4084.0,2648.0,1436.0,356.0,263.0,93.0,1627.0,862.0,765.0,138.0,63.0,75.0,1963.0,1460.0,503.0,262.0,136.0,126.0,23.0,4.0,19.0,163.0,82.0,81.0,12.0,5.0,7.0,64.0,45.0,19.0,254.0,131.0,123.0,22.0,3.0,19.0,162.0,81.0,81.0,11.0,5.0,6.0,59.0,42.0,17.0,8.0,5.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,2.0,5248.0,1918.0,3330.0,,
33.0,614.0,5778.0,635964.0,0.0,0.0,VILLAGE,Perugamani,Rural,932.0,3748.0,2081.0,1667.0,299.0,164.0,135.0,759.0,413.0,346.0,1.0,1.0,0.0,2937.0,1770.0,1167.0,811.0,311.0,500.0,1652.0,1069.0,583.0,1562.0,1011.0,551.0,100.0,91.0,9.0,865.0,500.0,365.0,102.0,20.0,82.0,495.0,400.0,95.0,90.0,58.0,32.0,5.0,2.0,3.0,58.0,41.0,17.0,9.0,1.0,8.0,18.0,14.0,4.0,32.0,21.0,11.0,1.0,1.0,0.0,16.0,10.0,6.0,2.0,0.0,2.0,13.0,10.0,3.0,58.0,37.0,21.0,4.0,1.0,3.0,42.0,31.0,11.0,7.0,1.0,6.0,5.0,4.0,1.0,2096.0,1012.0,1084.0,,
33.0,614.0,5778.0,635965.0,0.0,0.0,VILLAGE,Tirupparaithurai ,Rural,917.0,3403.0,1679.0,1724.0,302.0,141.0,161.0,1382.0,667.0,715.0,0.0,0.0,0.0,2626.0,1420.0,1206.0,777.0,259.0,518.0,1577.0,985.0,592.0,1351.0,904.0,447.0,85.0,72.0,13.0,625.0,336.0,289.0,23.0,12.0,11.0,618.0,484.0,134.0,226.0,81.0,145.0,11.0,5.0,6.0,149.0,36.0,113.0,5.0,3.0,2.0,61.0,37.0,24.0,197.0,72.0,125.0,10.0,5.0,5.0,131.0,34.0,97.0,5.0,3.0,2.0,51.0,30.0,21.0,29.0,9.0,20.0,1.0,0.0,1.0,18.0,2.0,16.0,0.0,0.0,0.0,10.0,7.0,3.0,1826.0,694.0,1132.0,,
33.0,614.0,5778.0,635966.0,0.0,0.0,VILLAGE,Andanallur ,Rural,1137.0,4923.0,2743.0,2180.0,408.0,221.0,187.0,1267.0,661.0,606.0,1.0,1.0,0.0,3963.0,2385.0,1578.0,960.0,358.0,602.0,1901.0,1267.0,634.0,1696.0,1156.0,540.0,116.0,101.0,15.0,812.0,457.0,355.0,16.0,7.0,9.0,752.0,591.0,161.0,205.0,111.0,94.0,7.0,5.0,2.0,164.0,89.0,75.0,0.0,0.0,0.0,34.0,17.0,17.0,70.0,35.0,35.0,7.0,5.0,2.0,35.0,17.0,18.0,0.0,0.0,0.0,28.0,13.0,15.0,135.0,76.0,59.0,0.0,0.0,0.0,129.0,72.0,57.0,0.0,0.0,0.0,6.0,4.0,2.0,3022.0,1476.0,1546.0,,
33.0,614.0,5778.0,635967.0,0.0,0.0,VILLAGE,Kodiyalam,Rural,1088.0,4323.0,2159.0,2164.0,392.0,209.0,183.0,1784.0,891.0,893.0,0.0,0.0,0.0,3414.0,1819.0,1595.0,909.0,340.0,569.0,2271.0,1351.0,920.0,1484.0,1012.0,472.0,150.0,122.0,28.0,707.0,420.0,287.0,16.0,14.0,2.0,611.0,456.0,155.0,787.0,339.0,448.0,41.0,36.0,5.0,561.0,208.0,353.0,23.0,9.0,14.0,162.0,86.0,76.0,624.0,299.0,325.0,34.0,30.0,4.0,431.0,182.0,249.0,9.0,6.0,3.0,150.0,81.0,69.0,163.0,40.0,123.0,7.0,6.0,1.0,130.0,26.0,104.0,14.0,3.0,11.0,12.0,5.0,7.0,2052.0,808.0,1244.0,,
33.0,614.0,5778.0,635968.0,0.0,0.0,VILLAGE,Kulumani,Rural,1215.0,4887.0,2394.0,2493.0,525.0,269.0,256.0,1943.0,965.0,978.0,4.0,2.0,2.0,3674.0,1961.0,1713.0,1213.0,433.0,780.0,2233.0,1426.0,807.0,1926.0,1272.0,654.0,136.0,114.0,22.0,947.0,507.0,440.0,65.0,40.0,25.0,778.0,611.0,167.0,307.0,154.0,153.0,11.0,2.0,9.0,239.0,125.0,114.0,2.0,1.0,1.0,55.0,26.0,29.0,254.0,134.0,120.0,10.0,2.0,8.0,211.0,112.0,99.0,2.0,1.0,1.0,31.0,19.0,12.0,53.0,20.0,33.0,1.0,0.0,1.0,28.0,13.0,15.0,0.0,0.0,0.0,24.0,7.0,17.0,2654.0,968.0,1686.0,,
33.0,614.0,5778.0,635969.0,0.0,0.0,VILLAGE,Periakaruppur,Rural,381.0,1482.0,740.0,742.0,161.0,74.0,87.0,506.0,255.0,251.0,0.0,0.0,0.0,1090.0,601.0,489.0,392.0,139.0,253.0,732.0,449.0,283.0,730.0,448.0,282.0,63.0,52.0,11.0,475.0,236.0,239.0,8.0,6.0,2.0,184.0,154.0,30.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,291.0,459.0,,
