State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,614.0,5780.0,0.0,0.0,0.0,SUB-DISTRICT,Thiruverumbur,Total,56678.0,225517.0,114753.0,110764.0,21460.0,11016.0,10444.0,43481.0,21969.0,21512.0,1151.0,630.0,521.0,181940.0,97399.0,84541.0,43577.0,17354.0,26223.0,88622.0,65261.0,23361.0,73706.0,56858.0,16848.0,3132.0,2454.0,678.0,7202.0,3862.0,3340.0,2178.0,1098.0,1080.0,61194.0,49444.0,11750.0,14916.0,8403.0,6513.0,931.0,667.0,264.0,3712.0,1665.0,2047.0,632.0,169.0,463.0,9641.0,5902.0,3739.0,12965.0,7550.0,5415.0,887.0,658.0,229.0,3210.0,1571.0,1639.0,487.0,128.0,359.0,8381.0,5193.0,3188.0,1951.0,853.0,1098.0,44.0,9.0,35.0,502.0,94.0,408.0,145.0,41.0,104.0,1260.0,709.0,551.0,136895.0,49492.0,87403.0,,
33.0,614.0,5780.0,0.0,0.0,0.0,SUB-DISTRICT,Thiruverumbur,Rural,13513.0,54659.0,27265.0,27394.0,5484.0,2852.0,2632.0,11192.0,5546.0,5646.0,252.0,137.0,115.0,41626.0,22117.0,19509.0,13033.0,5148.0,7885.0,24750.0,16214.0,8536.0,19561.0,13656.0,5905.0,2109.0,1590.0,519.0,5038.0,2596.0,2442.0,1023.0,540.0,483.0,11391.0,8930.0,2461.0,5189.0,2558.0,2631.0,643.0,457.0,186.0,2429.0,1006.0,1423.0,255.0,71.0,184.0,1862.0,1024.0,838.0,4526.0,2367.0,2159.0,613.0,451.0,162.0,2097.0,942.0,1155.0,205.0,60.0,145.0,1611.0,914.0,697.0,663.0,191.0,472.0,30.0,6.0,24.0,332.0,64.0,268.0,50.0,11.0,39.0,251.0,110.0,141.0,29909.0,11051.0,18858.0,,
33.0,614.0,5780.0,0.0,0.0,0.0,SUB-DISTRICT,Thiruverumbur,Urban,43165.0,170858.0,87488.0,83370.0,15976.0,8164.0,7812.0,32289.0,16423.0,15866.0,899.0,493.0,406.0,140314.0,75282.0,65032.0,30544.0,12206.0,18338.0,63872.0,49047.0,14825.0,54145.0,43202.0,10943.0,1023.0,864.0,159.0,2164.0,1266.0,898.0,1155.0,558.0,597.0,49803.0,40514.0,9289.0,9727.0,5845.0,3882.0,288.0,210.0,78.0,1283.0,659.0,624.0,377.0,98.0,279.0,7779.0,4878.0,2901.0,8439.0,5183.0,3256.0,274.0,207.0,67.0,1113.0,629.0,484.0,282.0,68.0,214.0,6770.0,4279.0,2491.0,1288.0,662.0,626.0,14.0,3.0,11.0,170.0,30.0,140.0,95.0,30.0,65.0,1009.0,599.0,410.0,106986.0,38441.0,68545.0,,
33.0,614.0,5780.0,636015.0,0.0,0.0,VILLAGE,Panayakurichy,Rural,512.0,2071.0,1059.0,1012.0,243.0,131.0,112.0,338.0,161.0,177.0,3.0,1.0,2.0,1550.0,851.0,699.0,521.0,208.0,313.0,934.0,623.0,311.0,709.0,514.0,195.0,24.0,19.0,5.0,139.0,72.0,67.0,14.0,8.0,6.0,532.0,415.0,117.0,225.0,109.0,116.0,23.0,17.0,6.0,65.0,25.0,40.0,49.0,16.0,33.0,88.0,51.0,37.0,203.0,102.0,101.0,22.0,16.0,6.0,53.0,23.0,30.0,46.0,16.0,30.0,82.0,47.0,35.0,22.0,7.0,15.0,1.0,1.0,0.0,12.0,2.0,10.0,3.0,0.0,3.0,6.0,4.0,2.0,1137.0,436.0,701.0,,
33.0,614.0,5780.0,636016.0,0.0,0.0,VILLAGE,Kilamullakudy ,Rural,477.0,1908.0,952.0,956.0,188.0,92.0,96.0,111.0,60.0,51.0,1.0,1.0,0.0,1407.0,769.0,638.0,501.0,183.0,318.0,1037.0,575.0,462.0,787.0,545.0,242.0,52.0,49.0,3.0,243.0,144.0,99.0,39.0,17.0,22.0,453.0,335.0,118.0,250.0,30.0,220.0,4.0,1.0,3.0,216.0,15.0,201.0,1.0,0.0,1.0,29.0,14.0,15.0,167.0,24.0,143.0,1.0,1.0,0.0,144.0,12.0,132.0,1.0,0.0,1.0,21.0,11.0,10.0,83.0,6.0,77.0,3.0,0.0,3.0,72.0,3.0,69.0,0.0,0.0,0.0,8.0,3.0,5.0,871.0,377.0,494.0,,
33.0,614.0,5780.0,636017.0,0.0,0.0,VILLAGE,Kuvalakkudy,Rural,565.0,2174.0,1086.0,1088.0,206.0,110.0,96.0,875.0,444.0,431.0,0.0,0.0,0.0,1628.0,885.0,743.0,546.0,201.0,345.0,1094.0,670.0,424.0,957.0,633.0,324.0,93.0,71.0,22.0,455.0,232.0,223.0,3.0,0.0,3.0,406.0,330.0,76.0,137.0,37.0,100.0,2.0,1.0,1.0,39.0,8.0,31.0,2.0,1.0,1.0,94.0,27.0,67.0,108.0,23.0,85.0,2.0,1.0,1.0,19.0,1.0,18.0,0.0,0.0,0.0,87.0,21.0,66.0,29.0,14.0,15.0,0.0,0.0,0.0,20.0,7.0,13.0,2.0,1.0,1.0,7.0,6.0,1.0,1080.0,416.0,664.0,,
33.0,614.0,5780.0,636018.0,0.0,0.0,VILLAGE,Vengur ,Rural,875.0,3487.0,1721.0,1766.0,330.0,154.0,176.0,932.0,459.0,473.0,7.0,2.0,5.0,2769.0,1484.0,1285.0,718.0,237.0,481.0,1632.0,1037.0,595.0,1385.0,918.0,467.0,138.0,124.0,14.0,620.0,301.0,319.0,31.0,21.0,10.0,596.0,472.0,124.0,247.0,119.0,128.0,13.0,10.0,3.0,116.0,54.0,62.0,14.0,6.0,8.0,104.0,49.0,55.0,225.0,110.0,115.0,13.0,10.0,3.0,105.0,49.0,56.0,13.0,6.0,7.0,94.0,45.0,49.0,22.0,9.0,13.0,0.0,0.0,0.0,11.0,5.0,6.0,1.0,0.0,1.0,10.0,4.0,6.0,1855.0,684.0,1171.0,,
33.0,614.0,5780.0,636019.0,0.0,0.0,VILLAGE,Natarajapuram,Rural,321.0,1294.0,668.0,626.0,122.0,77.0,45.0,228.0,114.0,114.0,0.0,0.0,0.0,1110.0,569.0,541.0,184.0,99.0,85.0,693.0,407.0,286.0,377.0,237.0,140.0,49.0,34.0,15.0,197.0,102.0,95.0,1.0,0.0,1.0,130.0,101.0,29.0,316.0,170.0,146.0,14.0,8.0,6.0,252.0,128.0,124.0,4.0,4.0,0.0,46.0,30.0,16.0,313.0,168.0,145.0,14.0,8.0,6.0,249.0,126.0,123.0,4.0,4.0,0.0,46.0,30.0,16.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,261.0,340.0,,
33.0,614.0,5780.0,636020.0,0.0,0.0,VILLAGE,Arasangudy,Rural,423.0,1745.0,864.0,881.0,180.0,92.0,88.0,363.0,172.0,191.0,0.0,0.0,0.0,1229.0,659.0,570.0,516.0,205.0,311.0,825.0,495.0,330.0,566.0,327.0,239.0,182.0,102.0,80.0,154.0,57.0,97.0,16.0,9.0,7.0,214.0,159.0,55.0,259.0,168.0,91.0,49.0,42.0,7.0,119.0,60.0,59.0,4.0,2.0,2.0,87.0,64.0,23.0,230.0,155.0,75.0,49.0,42.0,7.0,99.0,53.0,46.0,4.0,2.0,2.0,78.0,58.0,20.0,29.0,13.0,16.0,0.0,0.0,0.0,20.0,7.0,13.0,0.0,0.0,0.0,9.0,6.0,3.0,920.0,369.0,551.0,,
33.0,614.0,5780.0,636021.0,0.0,0.0,VILLAGE,Kiliyur,Rural,428.0,1720.0,818.0,902.0,173.0,85.0,88.0,363.0,168.0,195.0,0.0,0.0,0.0,1239.0,645.0,594.0,481.0,173.0,308.0,809.0,495.0,314.0,450.0,272.0,178.0,7.0,5.0,2.0,76.0,38.0,38.0,15.0,8.0,7.0,352.0,221.0,131.0,359.0,223.0,136.0,88.0,70.0,18.0,227.0,119.0,108.0,0.0,0.0,0.0,44.0,34.0,10.0,358.0,222.0,136.0,88.0,70.0,18.0,226.0,118.0,108.0,0.0,0.0,0.0,44.0,34.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,323.0,588.0,,
