State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,614.0,5779.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchirappalli,Total,215194.0,850073.0,419751.0,430322.0,79987.0,40813.0,39174.0,89478.0,44507.0,44971.0,2378.0,1172.0,1206.0,703702.0,359462.0,344240.0,146371.0,60289.0,86082.0,303526.0,237984.0,65542.0,278923.0,222862.0,56061.0,2027.0,1647.0,380.0,5231.0,3181.0,2050.0,6473.0,3241.0,3232.0,265192.0,214793.0,50399.0,24603.0,15122.0,9481.0,399.0,213.0,186.0,1133.0,622.0,511.0,1127.0,338.0,789.0,21944.0,13949.0,7995.0,21605.0,13376.0,8229.0,371.0,198.0,173.0,892.0,525.0,367.0,887.0,289.0,598.0,19455.0,12364.0,7091.0,2998.0,1746.0,1252.0,28.0,15.0,13.0,241.0,97.0,144.0,240.0,49.0,191.0,2489.0,1585.0,904.0,546547.0,181767.0,364780.0,,
33.0,614.0,5779.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchirappalli,Rural,665.0,2686.0,1351.0,1335.0,264.0,132.0,132.0,645.0,324.0,321.0,25.0,12.0,13.0,2243.0,1186.0,1057.0,443.0,165.0,278.0,1084.0,814.0,270.0,887.0,703.0,184.0,87.0,51.0,36.0,113.0,69.0,44.0,14.0,10.0,4.0,673.0,573.0,100.0,197.0,111.0,86.0,20.0,11.0,9.0,64.0,30.0,34.0,2.0,0.0,2.0,111.0,70.0,41.0,177.0,100.0,77.0,18.0,9.0,9.0,55.0,28.0,27.0,2.0,0.0,2.0,102.0,63.0,39.0,20.0,11.0,9.0,2.0,2.0,0.0,9.0,2.0,7.0,0.0,0.0,0.0,9.0,7.0,2.0,1602.0,537.0,1065.0,,
33.0,614.0,5779.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchirappalli,Urban,214529.0,847387.0,418400.0,428987.0,79723.0,40681.0,39042.0,88833.0,44183.0,44650.0,2353.0,1160.0,1193.0,701459.0,358276.0,343183.0,145928.0,60124.0,85804.0,302442.0,237170.0,65272.0,278036.0,222159.0,55877.0,1940.0,1596.0,344.0,5118.0,3112.0,2006.0,6459.0,3231.0,3228.0,264519.0,214220.0,50299.0,24406.0,15011.0,9395.0,379.0,202.0,177.0,1069.0,592.0,477.0,1125.0,338.0,787.0,21833.0,13879.0,7954.0,21428.0,13276.0,8152.0,353.0,189.0,164.0,837.0,497.0,340.0,885.0,289.0,596.0,19353.0,12301.0,7052.0,2978.0,1735.0,1243.0,26.0,13.0,13.0,232.0,95.0,137.0,240.0,49.0,191.0,2480.0,1578.0,902.0,544945.0,181230.0,363715.0,,
33.0,614.0,5779.0,636014.0,0.0,0.0,VILLAGE,Alathur,Rural,665.0,2686.0,1351.0,1335.0,264.0,132.0,132.0,645.0,324.0,321.0,25.0,12.0,13.0,2243.0,1186.0,1057.0,443.0,165.0,278.0,1084.0,814.0,270.0,887.0,703.0,184.0,87.0,51.0,36.0,113.0,69.0,44.0,14.0,10.0,4.0,673.0,573.0,100.0,197.0,111.0,86.0,20.0,11.0,9.0,64.0,30.0,34.0,2.0,0.0,2.0,111.0,70.0,41.0,177.0,100.0,77.0,18.0,9.0,9.0,55.0,28.0,27.0,2.0,0.0,2.0,102.0,63.0,39.0,20.0,11.0,9.0,2.0,2.0,0.0,9.0,2.0,7.0,0.0,0.0,0.0,9.0,7.0,2.0,1602.0,537.0,1065.0,,
33.0,614.0,5779.0,803631.0,0.0,0.0,TOWN,Tiruchirappalli (M Corp.),Urban,214529.0,847387.0,418400.0,428987.0,79723.0,40681.0,39042.0,88833.0,44183.0,44650.0,2353.0,1160.0,1193.0,701459.0,358276.0,343183.0,145928.0,60124.0,85804.0,302442.0,237170.0,65272.0,278036.0,222159.0,55877.0,1940.0,1596.0,344.0,5118.0,3112.0,2006.0,6459.0,3231.0,3228.0,264519.0,214220.0,50299.0,24406.0,15011.0,9395.0,379.0,202.0,177.0,1069.0,592.0,477.0,1125.0,338.0,787.0,21833.0,13879.0,7954.0,21428.0,13276.0,8152.0,353.0,189.0,164.0,837.0,497.0,340.0,885.0,289.0,596.0,19353.0,12301.0,7052.0,2978.0,1735.0,1243.0,26.0,13.0,13.0,232.0,95.0,137.0,240.0,49.0,191.0,2480.0,1578.0,902.0,544945.0,181230.0,363715.0,,
33.0,614.0,5779.0,803631.0,1.0,0.0,WARD,Tiruchirappalli (M Corp.) WARD NO.-0001,Urban,5270.0,18551.0,9192.0,9359.0,1329.0,657.0,672.0,1534.0,749.0,785.0,9.0,5.0,4.0,15693.0,8061.0,7632.0,2858.0,1131.0,1727.0,6496.0,5037.0,1459.0,6267.0,4901.0,1366.0,158.0,156.0,2.0,657.0,424.0,233.0,122.0,61.0,61.0,5330.0,4260.0,1070.0,229.0,136.0,93.0,6.0,5.0,1.0,6.0,3.0,3.0,19.0,4.0,15.0,198.0,124.0,74.0,195.0,112.0,83.0,5.0,5.0,0.0,5.0,3.0,2.0,18.0,3.0,15.0,167.0,101.0,66.0,34.0,24.0,10.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,31.0,23.0,8.0,12055.0,4155.0,7900.0,,
33.0,614.0,5779.0,803631.0,2.0,0.0,WARD,Tiruchirappalli (M Corp.) WARD NO.-0002,Urban,4096.0,14462.0,7173.0,7289.0,951.0,476.0,475.0,161.0,88.0,73.0,13.0,7.0,6.0,12853.0,6530.0,6323.0,1609.0,643.0,966.0,4795.0,3812.0,983.0,4511.0,3616.0,895.0,23.0,23.0,0.0,43.0,36.0,7.0,222.0,126.0,96.0,4223.0,3431.0,792.0,284.0,196.0,88.0,5.0,4.0,1.0,5.0,3.0,2.0,38.0,26.0,12.0,236.0,163.0,73.0,243.0,165.0,78.0,5.0,4.0,1.0,3.0,2.0,1.0,35.0,23.0,12.0,200.0,136.0,64.0,41.0,31.0,10.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0,36.0,27.0,9.0,9667.0,3361.0,6306.0,,
33.0,614.0,5779.0,803631.0,3.0,0.0,WARD,Tiruchirappalli (M Corp.) WARD NO.-0003,Urban,3683.0,13426.0,6453.0,6973.0,1043.0,503.0,540.0,352.0,163.0,189.0,107.0,51.0,56.0,11334.0,5647.0,5687.0,2092.0,806.0,1286.0,4711.0,3622.0,1089.0,4049.0,3174.0,875.0,22.0,18.0,4.0,19.0,13.0,6.0,128.0,86.0,42.0,3880.0,3057.0,823.0,662.0,448.0,214.0,8.0,5.0,3.0,4.0,3.0,1.0,98.0,55.0,43.0,552.0,385.0,167.0,620.0,433.0,187.0,6.0,4.0,2.0,3.0,2.0,1.0,78.0,52.0,26.0,533.0,375.0,158.0,42.0,15.0,27.0,2.0,1.0,1.0,1.0,1.0,0.0,20.0,3.0,17.0,19.0,10.0,9.0,8715.0,2831.0,5884.0,,
33.0,614.0,5779.0,803631.0,4.0,0.0,WARD,Tiruchirappalli (M Corp.) WARD NO.-0004,Urban,4919.0,18624.0,9341.0,9283.0,1701.0,945.0,756.0,1948.0,986.0,962.0,8.0,3.0,5.0,15021.0,7815.0,7206.0,3603.0,1526.0,2077.0,7063.0,5304.0,1759.0,6897.0,5214.0,1683.0,52.0,45.0,7.0,61.0,45.0,16.0,287.0,102.0,185.0,6497.0,5022.0,1475.0,166.0,90.0,76.0,6.0,5.0,1.0,8.0,6.0,2.0,6.0,0.0,6.0,146.0,79.0,67.0,128.0,65.0,63.0,6.0,5.0,1.0,5.0,3.0,2.0,3.0,0.0,3.0,114.0,57.0,57.0,38.0,25.0,13.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,32.0,22.0,10.0,11561.0,4037.0,7524.0,,
33.0,614.0,5779.0,803631.0,5.0,0.0,WARD,Tiruchirappalli (M Corp.) WARD NO.-0005,Urban,5816.0,20883.0,10296.0,10587.0,1649.0,811.0,838.0,427.0,208.0,219.0,21.0,9.0,12.0,18193.0,9178.0,9015.0,2690.0,1118.0,1572.0,7064.0,5582.0,1482.0,6704.0,5336.0,1368.0,56.0,40.0,16.0,35.0,26.0,9.0,92.0,45.0,47.0,6521.0,5225.0,1296.0,360.0,246.0,114.0,5.0,4.0,1.0,6.0,4.0,2.0,37.0,18.0,19.0,312.0,220.0,92.0,299.0,207.0,92.0,2.0,2.0,0.0,6.0,4.0,2.0,25.0,11.0,14.0,266.0,190.0,76.0,61.0,39.0,22.0,3.0,2.0,1.0,0.0,0.0,0.0,12.0,7.0,5.0,46.0,30.0,16.0,13819.0,4714.0,9105.0,,
