State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,628.0,5878.0,0.0,0.0,0.0,SUB-DISTRICT,Ambasamudram,Total,116698.0,428031.0,210447.0,217584.0,43962.0,22431.0,21531.0,75049.0,36634.0,38415.0,1643.0,815.0,828.0,327743.0,172066.0,155677.0,100288.0,38381.0,61907.0,207603.0,123384.0,84219.0,185311.0,111422.0,73889.0,12424.0,10467.0,1957.0,34962.0,23591.0,11371.0,44108.0,4831.0,39277.0,93817.0,72533.0,21284.0,22292.0,11962.0,10330.0,657.0,484.0,173.0,4915.0,2879.0,2036.0,4675.0,675.0,4000.0,12045.0,7924.0,4121.0,18084.0,9829.0,8255.0,611.0,452.0,159.0,4201.0,2499.0,1702.0,3712.0,536.0,3176.0,9560.0,6342.0,3218.0,4208.0,2133.0,2075.0,46.0,32.0,14.0,714.0,380.0,334.0,963.0,139.0,824.0,2485.0,1582.0,903.0,220428.0,87063.0,133365.0,,
33.0,628.0,5878.0,0.0,0.0,0.0,SUB-DISTRICT,Ambasamudram,Rural,49139.0,182786.0,90253.0,92533.0,20046.0,10203.0,9843.0,38157.0,18695.0,19462.0,599.0,304.0,295.0,133747.0,71364.0,62383.0,49039.0,18889.0,30150.0,96048.0,53900.0,42148.0,86789.0,48963.0,37826.0,7948.0,6767.0,1181.0,21474.0,14735.0,6739.0,25645.0,2506.0,23139.0,31722.0,24955.0,6767.0,9259.0,4937.0,4322.0,418.0,294.0,124.0,2618.0,1561.0,1057.0,1915.0,281.0,1634.0,4308.0,2801.0,1507.0,7781.0,4226.0,3555.0,386.0,273.0,113.0,2235.0,1345.0,890.0,1555.0,234.0,1321.0,3605.0,2374.0,1231.0,1478.0,711.0,767.0,32.0,21.0,11.0,383.0,216.0,167.0,360.0,47.0,313.0,703.0,427.0,276.0,86738.0,36353.0,50385.0,,
33.0,628.0,5878.0,0.0,0.0,0.0,SUB-DISTRICT,Ambasamudram,Urban,67559.0,245245.0,120194.0,125051.0,23916.0,12228.0,11688.0,36892.0,17939.0,18953.0,1044.0,511.0,533.0,193996.0,100702.0,93294.0,51249.0,19492.0,31757.0,111555.0,69484.0,42071.0,98522.0,62459.0,36063.0,4476.0,3700.0,776.0,13488.0,8856.0,4632.0,18463.0,2325.0,16138.0,62095.0,47578.0,14517.0,13033.0,7025.0,6008.0,239.0,190.0,49.0,2297.0,1318.0,979.0,2760.0,394.0,2366.0,7737.0,5123.0,2614.0,10303.0,5603.0,4700.0,225.0,179.0,46.0,1966.0,1154.0,812.0,2157.0,302.0,1855.0,5955.0,3968.0,1987.0,2730.0,1422.0,1308.0,14.0,11.0,3.0,331.0,164.0,167.0,603.0,92.0,511.0,1782.0,1155.0,627.0,133690.0,50710.0,82980.0,,
33.0,628.0,5878.0,642927.0,0.0,0.0,VILLAGE,Kadayam Perumpattu,Rural,1814.0,6861.0,3444.0,3417.0,788.0,404.0,384.0,481.0,235.0,246.0,0.0,0.0,0.0,4810.0,2592.0,2218.0,2051.0,852.0,1199.0,3968.0,2070.0,1898.0,3681.0,1906.0,1775.0,262.0,222.0,40.0,508.0,356.0,152.0,1385.0,56.0,1329.0,1526.0,1272.0,254.0,287.0,164.0,123.0,12.0,9.0,3.0,39.0,18.0,21.0,80.0,9.0,71.0,156.0,128.0,28.0,252.0,137.0,115.0,12.0,9.0,3.0,37.0,16.0,21.0,73.0,9.0,64.0,130.0,103.0,27.0,35.0,27.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,7.0,26.0,25.0,1.0,2893.0,1374.0,1519.0,,
33.0,628.0,5878.0,642928.0,0.0,0.0,VILLAGE,Kilakadayam ,Rural,4119.0,15135.0,7444.0,7691.0,1630.0,839.0,791.0,2503.0,1214.0,1289.0,50.0,23.0,27.0,11267.0,5940.0,5327.0,3868.0,1504.0,2364.0,8244.0,4303.0,3941.0,7752.0,3974.0,3778.0,437.0,387.0,50.0,1380.0,1003.0,377.0,2878.0,184.0,2694.0,3057.0,2400.0,657.0,492.0,329.0,163.0,17.0,13.0,4.0,135.0,119.0,16.0,91.0,14.0,77.0,249.0,183.0,66.0,452.0,318.0,134.0,17.0,13.0,4.0,132.0,117.0,15.0,74.0,12.0,62.0,229.0,176.0,53.0,40.0,11.0,29.0,0.0,0.0,0.0,3.0,2.0,1.0,17.0,2.0,15.0,20.0,7.0,13.0,6891.0,3141.0,3750.0,,
33.0,628.0,5878.0,642929.0,0.0,0.0,VILLAGE,Vadakku Ariyanayakipuram ,Rural,2208.0,8426.0,4081.0,4345.0,952.0,465.0,487.0,1157.0,561.0,596.0,0.0,0.0,0.0,6333.0,3274.0,3059.0,2093.0,807.0,1286.0,4198.0,2299.0,1899.0,3991.0,2189.0,1802.0,158.0,142.0,16.0,382.0,289.0,93.0,1474.0,132.0,1342.0,1977.0,1626.0,351.0,207.0,110.0,97.0,19.0,11.0,8.0,21.0,16.0,5.0,39.0,6.0,33.0,128.0,77.0,51.0,178.0,96.0,82.0,16.0,9.0,7.0,18.0,14.0,4.0,31.0,4.0,27.0,113.0,69.0,44.0,29.0,14.0,15.0,3.0,2.0,1.0,3.0,2.0,1.0,8.0,2.0,6.0,15.0,8.0,7.0,4228.0,1782.0,2446.0,,
33.0,628.0,5878.0,642930.0,0.0,0.0,VILLAGE,Pappakudi,Rural,1855.0,6651.0,3227.0,3424.0,679.0,342.0,337.0,1302.0,620.0,682.0,87.0,48.0,39.0,4610.0,2468.0,2142.0,2041.0,759.0,1282.0,3484.0,1886.0,1598.0,3133.0,1638.0,1495.0,493.0,432.0,61.0,847.0,531.0,316.0,1023.0,61.0,962.0,770.0,614.0,156.0,351.0,248.0,103.0,13.0,9.0,4.0,34.0,25.0,9.0,57.0,2.0,55.0,247.0,212.0,35.0,322.0,228.0,94.0,12.0,8.0,4.0,34.0,25.0,9.0,54.0,2.0,52.0,222.0,193.0,29.0,29.0,20.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,25.0,19.0,6.0,3167.0,1341.0,1826.0,,
33.0,628.0,5878.0,642931.0,0.0,0.0,VILLAGE,Kasidharmam,Rural,1281.0,4664.0,2293.0,2371.0,536.0,262.0,274.0,631.0,301.0,330.0,91.0,51.0,40.0,3185.0,1752.0,1433.0,1479.0,541.0,938.0,2658.0,1310.0,1348.0,2493.0,1250.0,1243.0,157.0,139.0,18.0,204.0,173.0,31.0,1190.0,90.0,1100.0,942.0,848.0,94.0,165.0,60.0,105.0,13.0,4.0,9.0,15.0,13.0,2.0,88.0,4.0,84.0,49.0,39.0,10.0,158.0,55.0,103.0,11.0,2.0,9.0,15.0,13.0,2.0,86.0,4.0,82.0,46.0,36.0,10.0,7.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,2006.0,983.0,1023.0,,
33.0,628.0,5878.0,642932.0,0.0,0.0,VILLAGE,Idaikkal,Rural,1576.0,5733.0,2863.0,2870.0,664.0,326.0,338.0,1339.0,687.0,652.0,4.0,3.0,1.0,4111.0,2258.0,1853.0,1622.0,605.0,1017.0,3228.0,1755.0,1473.0,3133.0,1715.0,1418.0,276.0,246.0,30.0,1054.0,861.0,193.0,1190.0,98.0,1092.0,613.0,510.0,103.0,95.0,40.0,55.0,3.0,2.0,1.0,33.0,15.0,18.0,32.0,4.0,28.0,27.0,19.0,8.0,80.0,33.0,47.0,2.0,1.0,1.0,27.0,13.0,14.0,29.0,3.0,26.0,22.0,16.0,6.0,15.0,7.0,8.0,1.0,1.0,0.0,6.0,2.0,4.0,3.0,1.0,2.0,5.0,3.0,2.0,2505.0,1108.0,1397.0,,
33.0,628.0,5878.0,642933.0,0.0,0.0,VILLAGE,Therkumadathur,Rural,1057.0,3964.0,1944.0,2020.0,427.0,189.0,238.0,81.0,39.0,42.0,0.0,0.0,0.0,2961.0,1598.0,1363.0,1003.0,346.0,657.0,2292.0,1164.0,1128.0,2232.0,1120.0,1112.0,158.0,149.0,9.0,515.0,454.0,61.0,978.0,11.0,967.0,581.0,506.0,75.0,60.0,44.0,16.0,1.0,1.0,0.0,14.0,11.0,3.0,10.0,1.0,9.0,35.0,31.0,4.0,51.0,38.0,13.0,1.0,1.0,0.0,10.0,8.0,2.0,8.0,1.0,7.0,32.0,28.0,4.0,9.0,6.0,3.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,2.0,3.0,3.0,0.0,1672.0,780.0,892.0,,
33.0,628.0,5878.0,642934.0,0.0,0.0,VILLAGE,Potta Pudur(I),Rural,1697.0,6622.0,3144.0,3478.0,734.0,373.0,361.0,1138.0,553.0,585.0,9.0,2.0,7.0,4766.0,2477.0,2289.0,1856.0,667.0,1189.0,2740.0,1679.0,1061.0,2647.0,1630.0,1017.0,80.0,63.0,17.0,390.0,241.0,149.0,538.0,36.0,502.0,1639.0,1290.0,349.0,93.0,49.0,44.0,1.0,0.0,1.0,14.0,9.0,5.0,17.0,3.0,14.0,61.0,37.0,24.0,39.0,19.0,20.0,1.0,0.0,1.0,3.0,3.0,0.0,10.0,2.0,8.0,25.0,14.0,11.0,54.0,30.0,24.0,0.0,0.0,0.0,11.0,6.0,5.0,7.0,1.0,6.0,36.0,23.0,13.0,3882.0,1465.0,2417.0,,
33.0,628.0,5878.0,642935.0,0.0,0.0,VILLAGE,Therku Kadayam (Part),Rural,1273.0,5059.0,2469.0,2590.0,551.0,283.0,268.0,233.0,105.0,128.0,2.0,1.0,1.0,3935.0,2072.0,1863.0,1124.0,397.0,727.0,2370.0,1439.0,931.0,2059.0,1228.0,831.0,21.0,17.0,4.0,17.0,13.0,4.0,593.0,27.0,566.0,1428.0,1171.0,257.0,311.0,211.0,100.0,1.0,0.0,1.0,3.0,2.0,1.0,43.0,4.0,39.0,264.0,205.0,59.0,252.0,168.0,84.0,0.0,0.0,0.0,3.0,2.0,1.0,39.0,4.0,35.0,210.0,162.0,48.0,59.0,43.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,54.0,43.0,11.0,2689.0,1030.0,1659.0,,
33.0,628.0,5878.0,642936.0,0.0,0.0,VILLAGE,Ravanasamudram ,Rural,1881.0,7455.0,3707.0,3748.0,762.0,397.0,365.0,2347.0,1180.0,1167.0,0.0,0.0,0.0,5559.0,2974.0,2585.0,1896.0,733.0,1163.0,3512.0,2218.0,1294.0,2717.0,1762.0,955.0,255.0,193.0,62.0,767.0,513.0,254.0,339.0,28.0,311.0,1356.0,1028.0,328.0,795.0,456.0,339.0,25.0,18.0,7.0,150.0,85.0,65.0,225.0,15.0,210.0,395.0,338.0,57.0,589.0,339.0,250.0,23.0,16.0,7.0,141.0,81.0,60.0,145.0,8.0,137.0,280.0,234.0,46.0,206.0,117.0,89.0,2.0,2.0,0.0,9.0,4.0,5.0,80.0,7.0,73.0,115.0,104.0,11.0,3943.0,1489.0,2454.0,,
