State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,628.0,5879.0,0.0,0.0,0.0,SUB-DISTRICT,Nanguneri,Total,58730.0,225602.0,110908.0,114694.0,24103.0,12379.0,11724.0,39354.0,19144.0,20210.0,663.0,350.0,313.0,172885.0,89505.0,83380.0,52717.0,21403.0,31314.0,102374.0,64198.0,38176.0,80477.0,52614.0,27863.0,12329.0,9774.0,2555.0,29771.0,17936.0,11835.0,7480.0,1328.0,6152.0,30897.0,23576.0,7321.0,21897.0,11584.0,10313.0,1600.0,1087.0,513.0,9791.0,5362.0,4429.0,2531.0,361.0,2170.0,7975.0,4774.0,3201.0,18923.0,10235.0,8688.0,1391.0,937.0,454.0,8617.0,4773.0,3844.0,1999.0,321.0,1678.0,6916.0,4204.0,2712.0,2974.0,1349.0,1625.0,209.0,150.0,59.0,1174.0,589.0,585.0,532.0,40.0,492.0,1059.0,570.0,489.0,123228.0,46710.0,76518.0,,
33.0,628.0,5879.0,0.0,0.0,0.0,SUB-DISTRICT,Nanguneri,Rural,39165.0,149520.0,73486.0,76034.0,16097.0,8216.0,7881.0,25856.0,12618.0,13238.0,262.0,138.0,124.0,113345.0,58797.0,54548.0,36175.0,14689.0,21486.0,71349.0,42642.0,28707.0,55465.0,34665.0,20800.0,9850.0,7652.0,2198.0,22899.0,13375.0,9524.0,5159.0,927.0,4232.0,17557.0,12711.0,4846.0,15884.0,7977.0,7907.0,1468.0,987.0,481.0,7384.0,3870.0,3514.0,1862.0,247.0,1615.0,5170.0,2873.0,2297.0,13591.0,6968.0,6623.0,1262.0,838.0,424.0,6434.0,3396.0,3038.0,1449.0,219.0,1230.0,4446.0,2515.0,1931.0,2293.0,1009.0,1284.0,206.0,149.0,57.0,950.0,474.0,476.0,413.0,28.0,385.0,724.0,358.0,366.0,78171.0,30844.0,47327.0,,
33.0,628.0,5879.0,0.0,0.0,0.0,SUB-DISTRICT,Nanguneri,Urban,19565.0,76082.0,37422.0,38660.0,8006.0,4163.0,3843.0,13498.0,6526.0,6972.0,401.0,212.0,189.0,59540.0,30708.0,28832.0,16542.0,6714.0,9828.0,31025.0,21556.0,9469.0,25012.0,17949.0,7063.0,2479.0,2122.0,357.0,6872.0,4561.0,2311.0,2321.0,401.0,1920.0,13340.0,10865.0,2475.0,6013.0,3607.0,2406.0,132.0,100.0,32.0,2407.0,1492.0,915.0,669.0,114.0,555.0,2805.0,1901.0,904.0,5332.0,3267.0,2065.0,129.0,99.0,30.0,2183.0,1377.0,806.0,550.0,102.0,448.0,2470.0,1689.0,781.0,681.0,340.0,341.0,3.0,1.0,2.0,224.0,115.0,109.0,119.0,12.0,107.0,335.0,212.0,123.0,45057.0,15866.0,29191.0,,
33.0,628.0,5879.0,642994.0,0.0,0.0,VILLAGE,Melkarai,Rural,382.0,1627.0,822.0,805.0,204.0,114.0,90.0,136.0,59.0,77.0,0.0,0.0,0.0,1223.0,636.0,587.0,404.0,186.0,218.0,755.0,453.0,302.0,357.0,206.0,151.0,180.0,113.0,67.0,83.0,42.0,41.0,19.0,3.0,16.0,75.0,48.0,27.0,398.0,247.0,151.0,7.0,6.0,1.0,259.0,202.0,57.0,69.0,10.0,59.0,63.0,29.0,34.0,299.0,219.0,80.0,7.0,6.0,1.0,233.0,187.0,46.0,26.0,7.0,19.0,33.0,19.0,14.0,99.0,28.0,71.0,0.0,0.0,0.0,26.0,15.0,11.0,43.0,3.0,40.0,30.0,10.0,20.0,872.0,369.0,503.0,,
33.0,628.0,5879.0,642995.0,0.0,0.0,VILLAGE,Tennirkulam,Rural,70.0,253.0,116.0,137.0,25.0,11.0,14.0,73.0,35.0,38.0,0.0,0.0,0.0,163.0,83.0,80.0,90.0,33.0,57.0,138.0,74.0,64.0,134.0,70.0,64.0,17.0,12.0,5.0,84.0,43.0,41.0,1.0,0.0,1.0,32.0,15.0,17.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,42.0,73.0,,
33.0,628.0,5879.0,642996.0,0.0,0.0,VILLAGE,Singikulam (NEW),Rural,482.0,1671.0,825.0,846.0,161.0,86.0,75.0,551.0,254.0,297.0,0.0,0.0,0.0,1298.0,676.0,622.0,373.0,149.0,224.0,901.0,503.0,398.0,709.0,420.0,289.0,181.0,127.0,54.0,269.0,152.0,117.0,108.0,21.0,87.0,151.0,120.0,31.0,192.0,83.0,109.0,9.0,7.0,2.0,87.0,33.0,54.0,30.0,1.0,29.0,66.0,42.0,24.0,169.0,71.0,98.0,9.0,7.0,2.0,80.0,31.0,49.0,26.0,1.0,25.0,54.0,32.0,22.0,23.0,12.0,11.0,0.0,0.0,0.0,7.0,2.0,5.0,4.0,0.0,4.0,12.0,10.0,2.0,770.0,322.0,448.0,,
33.0,628.0,5879.0,642997.0,0.0,0.0,VILLAGE,Singikulam (OLD),Rural,131.0,533.0,246.0,287.0,61.0,27.0,34.0,335.0,153.0,182.0,0.0,0.0,0.0,292.0,142.0,150.0,241.0,104.0,137.0,333.0,158.0,175.0,326.0,154.0,172.0,0.0,0.0,0.0,309.0,145.0,164.0,6.0,0.0,6.0,11.0,9.0,2.0,7.0,4.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,4.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,200.0,88.0,112.0,,
33.0,628.0,5879.0,642998.0,0.0,0.0,VILLAGE,Poolam,Rural,685.0,2758.0,1379.0,1379.0,284.0,145.0,139.0,829.0,419.0,410.0,0.0,0.0,0.0,2302.0,1181.0,1121.0,456.0,198.0,258.0,1411.0,862.0,549.0,877.0,559.0,318.0,125.0,98.0,27.0,477.0,260.0,217.0,19.0,9.0,10.0,256.0,192.0,64.0,534.0,303.0,231.0,24.0,9.0,15.0,442.0,251.0,191.0,6.0,1.0,5.0,62.0,42.0,20.0,289.0,179.0,110.0,21.0,8.0,13.0,207.0,130.0,77.0,5.0,1.0,4.0,56.0,40.0,16.0,245.0,124.0,121.0,3.0,1.0,2.0,235.0,121.0,114.0,1.0,0.0,1.0,6.0,2.0,4.0,1347.0,517.0,830.0,,
33.0,628.0,5879.0,642999.0,0.0,0.0,VILLAGE,Thottakudi,Rural,1085.0,4297.0,2204.0,2093.0,367.0,186.0,181.0,799.0,392.0,407.0,0.0,0.0,0.0,3374.0,1833.0,1541.0,923.0,371.0,552.0,2374.0,1266.0,1108.0,1124.0,644.0,480.0,132.0,104.0,28.0,549.0,255.0,294.0,23.0,4.0,19.0,420.0,281.0,139.0,1250.0,622.0,628.0,25.0,14.0,11.0,923.0,435.0,488.0,17.0,5.0,12.0,285.0,168.0,117.0,1162.0,591.0,571.0,24.0,14.0,10.0,867.0,414.0,453.0,13.0,5.0,8.0,258.0,158.0,100.0,88.0,31.0,57.0,1.0,0.0,1.0,56.0,21.0,35.0,4.0,0.0,4.0,27.0,10.0,17.0,1923.0,938.0,985.0,,
33.0,628.0,5879.0,643000.0,0.0,0.0,VILLAGE,Sathangulam,Rural,889.0,3408.0,1695.0,1713.0,400.0,205.0,195.0,304.0,165.0,139.0,16.0,6.0,10.0,2401.0,1291.0,1110.0,1007.0,404.0,603.0,1732.0,1033.0,699.0,1303.0,856.0,447.0,168.0,156.0,12.0,742.0,464.0,278.0,64.0,18.0,46.0,329.0,218.0,111.0,429.0,177.0,252.0,142.0,73.0,69.0,207.0,68.0,139.0,9.0,2.0,7.0,71.0,34.0,37.0,426.0,176.0,250.0,142.0,73.0,69.0,205.0,68.0,137.0,8.0,1.0,7.0,71.0,34.0,37.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1676.0,662.0,1014.0,,
