State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,628.0,5874.0,0.0,0.0,0.0,SUB-DISTRICT,Shenkottai,Total,37855.0,141416.0,70899.0,70517.0,14657.0,7560.0,7097.0,31010.0,15529.0,15481.0,607.0,306.0,301.0,100815.0,55540.0,45275.0,40601.0,15359.0,25242.0,66982.0,41822.0,25160.0,57241.0,36645.0,20596.0,4200.0,3286.0,914.0,18295.0,12969.0,5326.0,11330.0,1144.0,10186.0,23416.0,19246.0,4170.0,9741.0,5177.0,4564.0,333.0,233.0,100.0,4146.0,2354.0,1792.0,1655.0,203.0,1452.0,3607.0,2387.0,1220.0,8198.0,4399.0,3799.0,264.0,181.0,83.0,3680.0,2120.0,1560.0,1271.0,143.0,1128.0,2983.0,1955.0,1028.0,1543.0,778.0,765.0,69.0,52.0,17.0,466.0,234.0,232.0,384.0,60.0,324.0,624.0,432.0,192.0,74434.0,29077.0,45357.0,,
33.0,628.0,5874.0,0.0,0.0,0.0,SUB-DISTRICT,Shenkottai,Rural,14283.0,51557.0,25878.0,25679.0,5180.0,2703.0,2477.0,17096.0,8549.0,8547.0,191.0,100.0,91.0,36717.0,20296.0,16421.0,14840.0,5582.0,9258.0,25700.0,15377.0,10323.0,21651.0,13174.0,8477.0,1771.0,1319.0,452.0,7787.0,5090.0,2697.0,4223.0,472.0,3751.0,7870.0,6293.0,1577.0,4049.0,2203.0,1846.0,167.0,105.0,62.0,1972.0,1121.0,851.0,398.0,67.0,331.0,1512.0,910.0,602.0,3466.0,1885.0,1581.0,140.0,87.0,53.0,1738.0,999.0,739.0,323.0,53.0,270.0,1265.0,746.0,519.0,583.0,318.0,265.0,27.0,18.0,9.0,234.0,122.0,112.0,75.0,14.0,61.0,247.0,164.0,83.0,25857.0,10501.0,15356.0,,
33.0,628.0,5874.0,0.0,0.0,0.0,SUB-DISTRICT,Shenkottai,Urban,23572.0,89859.0,45021.0,44838.0,9477.0,4857.0,4620.0,13914.0,6980.0,6934.0,416.0,206.0,210.0,64098.0,35244.0,28854.0,25761.0,9777.0,15984.0,41282.0,26445.0,14837.0,35590.0,23471.0,12119.0,2429.0,1967.0,462.0,10508.0,7879.0,2629.0,7107.0,672.0,6435.0,15546.0,12953.0,2593.0,5692.0,2974.0,2718.0,166.0,128.0,38.0,2174.0,1233.0,941.0,1257.0,136.0,1121.0,2095.0,1477.0,618.0,4732.0,2514.0,2218.0,124.0,94.0,30.0,1942.0,1121.0,821.0,948.0,90.0,858.0,1718.0,1209.0,509.0,960.0,460.0,500.0,42.0,34.0,8.0,232.0,112.0,120.0,309.0,46.0,263.0,377.0,268.0,109.0,48577.0,18576.0,30001.0,,
33.0,628.0,5874.0,642776.0,0.0,0.0,VILLAGE,Neduvayal,Rural,946.0,3618.0,1861.0,1757.0,324.0,190.0,134.0,1215.0,609.0,606.0,0.0,0.0,0.0,2632.0,1473.0,1159.0,986.0,388.0,598.0,1862.0,1170.0,692.0,1687.0,1070.0,617.0,112.0,105.0,7.0,907.0,630.0,277.0,271.0,7.0,264.0,397.0,328.0,69.0,175.0,100.0,75.0,12.0,11.0,1.0,149.0,80.0,69.0,2.0,0.0,2.0,12.0,9.0,3.0,174.0,100.0,74.0,12.0,11.0,1.0,149.0,80.0,69.0,2.0,0.0,2.0,11.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1756.0,691.0,1065.0,,
33.0,628.0,5874.0,642777.0,0.0,0.0,VILLAGE,Elathur ,Rural,2475.0,8636.0,4356.0,4280.0,788.0,436.0,352.0,2799.0,1432.0,1367.0,84.0,45.0,39.0,6024.0,3341.0,2683.0,2612.0,1015.0,1597.0,4626.0,2669.0,1957.0,3229.0,1877.0,1352.0,372.0,264.0,108.0,1114.0,687.0,427.0,546.0,39.0,507.0,1197.0,887.0,310.0,1397.0,792.0,605.0,36.0,19.0,17.0,903.0,535.0,368.0,96.0,13.0,83.0,362.0,225.0,137.0,1033.0,593.0,440.0,22.0,9.0,13.0,708.0,435.0,273.0,60.0,11.0,49.0,243.0,138.0,105.0,364.0,199.0,165.0,14.0,10.0,4.0,195.0,100.0,95.0,36.0,2.0,34.0,119.0,87.0,32.0,4010.0,1687.0,2323.0,,
33.0,628.0,5874.0,642778.0,0.0,0.0,VILLAGE,Kanakkupillaivalasai,Rural,889.0,3067.0,1527.0,1540.0,308.0,154.0,154.0,883.0,431.0,452.0,0.0,0.0,0.0,2005.0,1152.0,853.0,1062.0,375.0,687.0,1625.0,899.0,726.0,1621.0,898.0,723.0,87.0,68.0,19.0,720.0,504.0,216.0,450.0,20.0,430.0,364.0,306.0,58.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1442.0,628.0,814.0,,
33.0,628.0,5874.0,642779.0,0.0,0.0,VILLAGE,Tenpottai,Rural,1393.0,5250.0,2629.0,2621.0,587.0,301.0,286.0,1797.0,905.0,892.0,0.0,0.0,0.0,3421.0,1907.0,1514.0,1829.0,722.0,1107.0,2729.0,1666.0,1063.0,2518.0,1555.0,963.0,385.0,227.0,158.0,1286.0,817.0,469.0,356.0,116.0,240.0,491.0,395.0,96.0,211.0,111.0,100.0,30.0,19.0,11.0,54.0,24.0,30.0,16.0,5.0,11.0,111.0,63.0,48.0,197.0,107.0,90.0,30.0,19.0,11.0,53.0,23.0,30.0,10.0,5.0,5.0,104.0,60.0,44.0,14.0,4.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,6.0,7.0,3.0,4.0,2521.0,963.0,1558.0,,
33.0,628.0,5874.0,642780.0,0.0,0.0,VILLAGE,Puliyarai ,Rural,2526.0,9186.0,4584.0,4602.0,940.0,492.0,448.0,4079.0,2031.0,2048.0,27.0,13.0,14.0,6426.0,3540.0,2886.0,2760.0,1044.0,1716.0,4287.0,2689.0,1598.0,3015.0,2012.0,1003.0,453.0,354.0,99.0,1342.0,809.0,533.0,187.0,56.0,131.0,1033.0,793.0,240.0,1272.0,677.0,595.0,23.0,11.0,12.0,629.0,342.0,287.0,92.0,18.0,74.0,528.0,306.0,222.0,1185.0,648.0,537.0,21.0,11.0,10.0,611.0,337.0,274.0,78.0,15.0,63.0,475.0,285.0,190.0,87.0,29.0,58.0,2.0,0.0,2.0,18.0,5.0,13.0,14.0,3.0,11.0,53.0,21.0,32.0,4899.0,1895.0,3004.0,,
33.0,628.0,5874.0,642781.0,0.0,0.0,VILLAGE,Karkudi,Rural,1173.0,4134.0,2034.0,2100.0,400.0,201.0,199.0,2051.0,1009.0,1042.0,69.0,35.0,34.0,3005.0,1665.0,1340.0,1129.0,369.0,760.0,2079.0,1219.0,860.0,1686.0,941.0,745.0,40.0,32.0,8.0,1007.0,586.0,421.0,257.0,53.0,204.0,382.0,270.0,112.0,393.0,278.0,115.0,25.0,20.0,5.0,79.0,57.0,22.0,41.0,20.0,21.0,248.0,181.0,67.0,303.0,203.0,100.0,14.0,12.0,2.0,65.0,46.0,19.0,32.0,12.0,20.0,192.0,133.0,59.0,90.0,75.0,15.0,11.0,8.0,3.0,14.0,11.0,3.0,9.0,8.0,1.0,56.0,48.0,8.0,2055.0,815.0,1240.0,,
33.0,628.0,5874.0,642782.0,0.0,0.0,VILLAGE,Periapillaivalasai,Rural,1875.0,6673.0,3341.0,3332.0,632.0,313.0,319.0,2407.0,1210.0,1197.0,7.0,4.0,3.0,5061.0,2791.0,2270.0,1612.0,550.0,1062.0,2902.0,1736.0,1166.0,2601.0,1622.0,979.0,53.0,49.0,4.0,628.0,452.0,176.0,627.0,41.0,586.0,1293.0,1080.0,213.0,301.0,114.0,187.0,8.0,7.0,1.0,117.0,62.0,55.0,83.0,1.0,82.0,93.0,44.0,49.0,294.0,110.0,184.0,8.0,7.0,1.0,113.0,59.0,54.0,81.0,1.0,80.0,92.0,43.0,49.0,7.0,4.0,3.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,3771.0,1605.0,2166.0,,
