State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,633.0,5903.0,0.0,0.0,0.0,SUB-DISTRICT,Avanashi,Total,96346.0,340899.0,169340.0,171559.0,33103.0,16925.0,16178.0,68346.0,33634.0,34712.0,342.0,164.0,178.0,228191.0,124703.0,103488.0,112708.0,44637.0,68071.0,178988.0,112258.0,66730.0,163612.0,105579.0,58033.0,19542.0,12274.0,7268.0,28217.0,13838.0,14379.0,6504.0,3808.0,2696.0,109349.0,75659.0,33690.0,15376.0,6679.0,8697.0,944.0,399.0,545.0,3530.0,1339.0,2191.0,1086.0,259.0,827.0,9816.0,4682.0,5134.0,12862.0,5796.0,7066.0,811.0,369.0,442.0,2990.0,1162.0,1828.0,781.0,190.0,591.0,8280.0,4075.0,4205.0,2514.0,883.0,1631.0,133.0,30.0,103.0,540.0,177.0,363.0,305.0,69.0,236.0,1536.0,607.0,929.0,161911.0,57082.0,104829.0,,
33.0,633.0,5903.0,0.0,0.0,0.0,SUB-DISTRICT,Avanashi,Rural,56027.0,196776.0,98134.0,98642.0,18221.0,9277.0,8944.0,48714.0,24077.0,24637.0,180.0,87.0,93.0,123243.0,69032.0,54211.0,73533.0,29102.0,44431.0,109470.0,66285.0,43185.0,100038.0,62357.0,37681.0,17637.0,11006.0,6631.0,24774.0,11998.0,12776.0,4641.0,2782.0,1859.0,52986.0,36571.0,16415.0,9432.0,3928.0,5504.0,771.0,307.0,464.0,2787.0,1044.0,1743.0,635.0,141.0,494.0,5239.0,2436.0,2803.0,7842.0,3491.0,4351.0,646.0,279.0,367.0,2319.0,901.0,1418.0,459.0,104.0,355.0,4418.0,2207.0,2211.0,1590.0,437.0,1153.0,125.0,28.0,97.0,468.0,143.0,325.0,176.0,37.0,139.0,821.0,229.0,592.0,87306.0,31849.0,55457.0,,
33.0,633.0,5903.0,0.0,0.0,0.0,SUB-DISTRICT,Avanashi,Urban,40319.0,144123.0,71206.0,72917.0,14882.0,7648.0,7234.0,19632.0,9557.0,10075.0,162.0,77.0,85.0,104948.0,55671.0,49277.0,39175.0,15535.0,23640.0,69518.0,45973.0,23545.0,63574.0,43222.0,20352.0,1905.0,1268.0,637.0,3443.0,1840.0,1603.0,1863.0,1026.0,837.0,56363.0,39088.0,17275.0,5944.0,2751.0,3193.0,173.0,92.0,81.0,743.0,295.0,448.0,451.0,118.0,333.0,4577.0,2246.0,2331.0,5020.0,2305.0,2715.0,165.0,90.0,75.0,671.0,261.0,410.0,322.0,86.0,236.0,3862.0,1868.0,1994.0,924.0,446.0,478.0,8.0,2.0,6.0,72.0,34.0,38.0,129.0,32.0,97.0,715.0,378.0,337.0,74605.0,25233.0,49372.0,,
33.0,633.0,5903.0,644696.0,0.0,0.0,VILLAGE,Pudupalayam,Rural,353.0,1134.0,566.0,568.0,97.0,50.0,47.0,267.0,138.0,129.0,0.0,0.0,0.0,633.0,367.0,266.0,501.0,199.0,302.0,701.0,391.0,310.0,700.0,391.0,309.0,159.0,87.0,72.0,241.0,101.0,140.0,82.0,48.0,34.0,218.0,155.0,63.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,175.0,258.0,,
33.0,633.0,5903.0,644697.0,0.0,0.0,VILLAGE,Mettupalayam,Rural,140.0,453.0,226.0,227.0,36.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,175.0,112.0,166.0,51.0,115.0,324.0,174.0,150.0,315.0,172.0,143.0,94.0,76.0,18.0,86.0,19.0,67.0,46.0,15.0,31.0,89.0,62.0,27.0,9.0,2.0,7.0,1.0,1.0,0.0,6.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,6.0,1.0,1.0,0.0,5.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,52.0,77.0,,
33.0,633.0,5903.0,644698.0,0.0,0.0,VILLAGE,Nalligoundanpalayam,Rural,275.0,951.0,480.0,471.0,84.0,47.0,37.0,317.0,157.0,160.0,0.0,0.0,0.0,576.0,319.0,257.0,375.0,161.0,214.0,642.0,357.0,285.0,597.0,333.0,264.0,290.0,163.0,127.0,204.0,101.0,103.0,9.0,4.0,5.0,94.0,65.0,29.0,45.0,24.0,21.0,10.0,5.0,5.0,16.0,5.0,11.0,2.0,1.0,1.0,17.0,13.0,4.0,44.0,24.0,20.0,9.0,5.0,4.0,16.0,5.0,11.0,2.0,1.0,1.0,17.0,13.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,123.0,186.0,,
33.0,633.0,5903.0,644699.0,0.0,0.0,VILLAGE,Komaragoundanpalayam,Rural,194.0,656.0,332.0,324.0,48.0,25.0,23.0,216.0,107.0,109.0,0.0,0.0,0.0,456.0,254.0,202.0,200.0,78.0,122.0,499.0,251.0,248.0,437.0,233.0,204.0,123.0,77.0,46.0,14.0,8.0,6.0,4.0,0.0,4.0,296.0,148.0,148.0,62.0,18.0,44.0,10.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,51.0,14.0,37.0,62.0,18.0,44.0,10.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,51.0,14.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,81.0,76.0,,
33.0,633.0,5903.0,644700.0,0.0,0.0,VILLAGE,Kurichi,Rural,273.0,837.0,422.0,415.0,67.0,33.0,34.0,240.0,131.0,109.0,0.0,0.0,0.0,439.0,252.0,187.0,398.0,170.0,228.0,508.0,310.0,198.0,456.0,291.0,165.0,94.0,72.0,22.0,77.0,38.0,39.0,22.0,14.0,8.0,263.0,167.0,96.0,52.0,19.0,33.0,4.0,1.0,3.0,10.0,3.0,7.0,7.0,3.0,4.0,31.0,12.0,19.0,46.0,18.0,28.0,4.0,1.0,3.0,9.0,3.0,6.0,5.0,3.0,2.0,28.0,11.0,17.0,6.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,329.0,112.0,217.0,,
33.0,633.0,5903.0,644701.0,0.0,0.0,VILLAGE,Nettichipalayam,Rural,215.0,728.0,355.0,373.0,63.0,28.0,35.0,103.0,50.0,53.0,0.0,0.0,0.0,460.0,260.0,200.0,268.0,95.0,173.0,557.0,287.0,270.0,395.0,211.0,184.0,35.0,16.0,19.0,10.0,7.0,3.0,17.0,10.0,7.0,333.0,178.0,155.0,162.0,76.0,86.0,2.0,1.0,1.0,2.0,0.0,2.0,6.0,3.0,3.0,152.0,72.0,80.0,134.0,75.0,59.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,3.0,1.0,127.0,71.0,56.0,28.0,1.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,25.0,1.0,24.0,171.0,68.0,103.0,,
33.0,633.0,5903.0,644702.0,0.0,0.0,VILLAGE,Setti Kuttai,Rural,300.0,894.0,464.0,430.0,92.0,50.0,42.0,198.0,107.0,91.0,0.0,0.0,0.0,452.0,270.0,182.0,442.0,194.0,248.0,596.0,330.0,266.0,544.0,323.0,221.0,124.0,69.0,55.0,331.0,180.0,151.0,11.0,7.0,4.0,78.0,67.0,11.0,52.0,7.0,45.0,10.0,4.0,6.0,29.0,1.0,28.0,7.0,1.0,6.0,6.0,1.0,5.0,46.0,6.0,40.0,10.0,4.0,6.0,27.0,1.0,26.0,5.0,1.0,4.0,4.0,0.0,4.0,6.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,298.0,134.0,164.0,,
