State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,606.0,5722.0,0.0,0.0,0.0,SUB-DISTRICT,Cheyyar,Total,82922.0,338612.0,169798.0,168814.0,35011.0,17859.0,17152.0,85023.0,42774.0,42249.0,3985.0,1948.0,2037.0,230161.0,129135.0,101026.0,108451.0,40663.0,67788.0,175654.0,103295.0,72359.0,136353.0,87246.0,49107.0,30768.0,20963.0,9805.0,50709.0,24070.0,26639.0,7569.0,5493.0,2076.0,47307.0,36720.0,10587.0,39301.0,16049.0,23252.0,3806.0,1947.0,1859.0,25987.0,8752.0,17235.0,1656.0,653.0,1003.0,7852.0,4697.0,3155.0,32906.0,13590.0,19316.0,2840.0,1494.0,1346.0,22250.0,7585.0,14665.0,1279.0,533.0,746.0,6537.0,3978.0,2559.0,6395.0,2459.0,3936.0,966.0,453.0,513.0,3737.0,1167.0,2570.0,377.0,120.0,257.0,1315.0,719.0,596.0,162958.0,66503.0,96455.0,,
33.0,606.0,5722.0,0.0,0.0,0.0,SUB-DISTRICT,Cheyyar,Rural,70678.0,288321.0,144748.0,143573.0,30031.0,15286.0,14745.0,79229.0,39885.0,39344.0,3716.0,1813.0,1903.0,191888.0,108725.0,83163.0,96433.0,36023.0,60410.0,155904.0,89178.0,66726.0,118517.0,73995.0,44522.0,30164.0,20452.0,9712.0,49602.0,23651.0,25951.0,6009.0,4451.0,1558.0,32742.0,25441.0,7301.0,37387.0,15183.0,22204.0,3779.0,1928.0,1851.0,25572.0,8634.0,16938.0,1416.0,584.0,832.0,6620.0,4037.0,2583.0,31291.0,12866.0,18425.0,2819.0,1479.0,1340.0,21919.0,7497.0,14422.0,1080.0,475.0,605.0,5473.0,3415.0,2058.0,6096.0,2317.0,3779.0,960.0,449.0,511.0,3653.0,1137.0,2516.0,336.0,109.0,227.0,1147.0,622.0,525.0,132417.0,55570.0,76847.0,,
33.0,606.0,5722.0,0.0,0.0,0.0,SUB-DISTRICT,Cheyyar,Urban,12244.0,50291.0,25050.0,25241.0,4980.0,2573.0,2407.0,5794.0,2889.0,2905.0,269.0,135.0,134.0,38273.0,20410.0,17863.0,12018.0,4640.0,7378.0,19750.0,14117.0,5633.0,17836.0,13251.0,4585.0,604.0,511.0,93.0,1107.0,419.0,688.0,1560.0,1042.0,518.0,14565.0,11279.0,3286.0,1914.0,866.0,1048.0,27.0,19.0,8.0,415.0,118.0,297.0,240.0,69.0,171.0,1232.0,660.0,572.0,1615.0,724.0,891.0,21.0,15.0,6.0,331.0,88.0,243.0,199.0,58.0,141.0,1064.0,563.0,501.0,299.0,142.0,157.0,6.0,4.0,2.0,84.0,30.0,54.0,41.0,11.0,30.0,168.0,97.0,71.0,30541.0,10933.0,19608.0,,
33.0,606.0,5722.0,631217.0,0.0,0.0,VILLAGE,Ariyur,Rural,200.0,896.0,445.0,451.0,104.0,59.0,45.0,208.0,96.0,112.0,11.0,5.0,6.0,751.0,375.0,376.0,145.0,70.0,75.0,548.0,269.0,279.0,421.0,230.0,191.0,273.0,218.0,55.0,139.0,4.0,135.0,7.0,6.0,1.0,2.0,2.0,0.0,127.0,39.0,88.0,5.0,5.0,0.0,122.0,34.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,36.0,76.0,4.0,4.0,0.0,108.0,32.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,12.0,1.0,1.0,0.0,14.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,176.0,172.0,,
33.0,606.0,5722.0,631218.0,0.0,0.0,VILLAGE,Panamugai,Rural,225.0,968.0,471.0,497.0,121.0,54.0,67.0,430.0,218.0,212.0,0.0,0.0,0.0,566.0,327.0,239.0,402.0,144.0,258.0,624.0,314.0,310.0,612.0,308.0,304.0,208.0,187.0,21.0,344.0,74.0,270.0,3.0,1.0,2.0,57.0,46.0,11.0,12.0,6.0,6.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,8.0,5.0,3.0,11.0,5.0,6.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,344.0,157.0,187.0,,
33.0,606.0,5722.0,631219.0,0.0,0.0,VILLAGE,Brammadesam,Rural,1359.0,5747.0,2865.0,2882.0,683.0,353.0,330.0,1216.0,603.0,613.0,32.0,13.0,19.0,3840.0,2143.0,1697.0,1907.0,722.0,1185.0,3010.0,1751.0,1259.0,2559.0,1570.0,989.0,400.0,325.0,75.0,1650.0,831.0,819.0,34.0,23.0,11.0,475.0,391.0,84.0,451.0,181.0,270.0,23.0,8.0,15.0,349.0,126.0,223.0,12.0,5.0,7.0,67.0,42.0,25.0,406.0,168.0,238.0,19.0,8.0,11.0,314.0,114.0,200.0,9.0,5.0,4.0,64.0,41.0,23.0,45.0,13.0,32.0,4.0,0.0,4.0,35.0,12.0,23.0,3.0,0.0,3.0,3.0,1.0,2.0,2737.0,1114.0,1623.0,,
33.0,606.0,5722.0,631220.0,0.0,0.0,VILLAGE,Seevaram,Rural,215.0,880.0,435.0,445.0,86.0,49.0,37.0,178.0,87.0,91.0,16.0,9.0,7.0,557.0,320.0,237.0,323.0,115.0,208.0,421.0,243.0,178.0,409.0,237.0,172.0,141.0,80.0,61.0,191.0,90.0,101.0,2.0,2.0,0.0,75.0,65.0,10.0,12.0,6.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,5.0,2.0,12.0,6.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,192.0,267.0,,
33.0,606.0,5722.0,631221.0,0.0,0.0,VILLAGE,Sirunavalpattu,Rural,342.0,1383.0,705.0,678.0,158.0,78.0,80.0,126.0,68.0,58.0,21.0,10.0,11.0,870.0,517.0,353.0,513.0,188.0,325.0,760.0,419.0,341.0,489.0,362.0,127.0,220.0,179.0,41.0,151.0,79.0,72.0,2.0,2.0,0.0,116.0,102.0,14.0,271.0,57.0,214.0,66.0,8.0,58.0,167.0,20.0,147.0,7.0,2.0,5.0,31.0,27.0,4.0,171.0,54.0,117.0,42.0,7.0,35.0,97.0,19.0,78.0,3.0,2.0,1.0,29.0,26.0,3.0,100.0,3.0,97.0,24.0,1.0,23.0,70.0,1.0,69.0,4.0,0.0,4.0,2.0,1.0,1.0,623.0,286.0,337.0,,
33.0,606.0,5722.0,631222.0,0.0,0.0,VILLAGE,Vadailuppai,Rural,584.0,2363.0,1178.0,1185.0,284.0,151.0,133.0,621.0,316.0,305.0,32.0,15.0,17.0,1474.0,849.0,625.0,889.0,329.0,560.0,1364.0,699.0,665.0,749.0,510.0,239.0,200.0,142.0,58.0,357.0,219.0,138.0,25.0,15.0,10.0,167.0,134.0,33.0,615.0,189.0,426.0,5.0,3.0,2.0,582.0,167.0,415.0,1.0,1.0,0.0,27.0,18.0,9.0,602.0,187.0,415.0,3.0,2.0,1.0,572.0,166.0,406.0,1.0,1.0,0.0,26.0,18.0,8.0,13.0,2.0,11.0,2.0,1.0,1.0,10.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,999.0,479.0,520.0,,
33.0,606.0,5722.0,631223.0,0.0,0.0,VILLAGE,Cheyyanur,Rural,288.0,1179.0,573.0,606.0,144.0,72.0,72.0,396.0,191.0,205.0,0.0,0.0,0.0,869.0,464.0,405.0,310.0,109.0,201.0,673.0,389.0,284.0,626.0,370.0,256.0,74.0,49.0,25.0,373.0,175.0,198.0,44.0,42.0,2.0,135.0,104.0,31.0,47.0,19.0,28.0,4.0,1.0,3.0,15.0,5.0,10.0,6.0,1.0,5.0,22.0,12.0,10.0,37.0,17.0,20.0,4.0,1.0,3.0,14.0,5.0,9.0,2.0,1.0,1.0,17.0,10.0,7.0,10.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,5.0,2.0,3.0,506.0,184.0,322.0,,
