State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,606.0,5726.0,0.0,0.0,0.0,SUB-DISTRICT,Thandrampet,Total,41852.0,179553.0,90128.0,89425.0,22506.0,11724.0,10782.0,41937.0,20836.0,21101.0,17077.0,8633.0,8444.0,104948.0,59256.0,45692.0,74605.0,30872.0,43733.0,96021.0,53638.0,42383.0,70106.0,42105.0,28001.0,23796.0,15698.0,8098.0,31111.0,14610.0,16501.0,995.0,595.0,400.0,14204.0,11202.0,3002.0,25915.0,11533.0,14382.0,1782.0,1043.0,739.0,19697.0,7623.0,12074.0,655.0,273.0,382.0,3781.0,2594.0,1187.0,23334.0,10517.0,12817.0,1653.0,982.0,671.0,17922.0,7046.0,10876.0,483.0,203.0,280.0,3276.0,2286.0,990.0,2581.0,1016.0,1565.0,129.0,61.0,68.0,1775.0,577.0,1198.0,172.0,70.0,102.0,505.0,308.0,197.0,83532.0,36490.0,47042.0,,
33.0,606.0,5726.0,0.0,0.0,0.0,SUB-DISTRICT,Thandrampet,Rural,41852.0,179553.0,90128.0,89425.0,22506.0,11724.0,10782.0,41937.0,20836.0,21101.0,17077.0,8633.0,8444.0,104948.0,59256.0,45692.0,74605.0,30872.0,43733.0,96021.0,53638.0,42383.0,70106.0,42105.0,28001.0,23796.0,15698.0,8098.0,31111.0,14610.0,16501.0,995.0,595.0,400.0,14204.0,11202.0,3002.0,25915.0,11533.0,14382.0,1782.0,1043.0,739.0,19697.0,7623.0,12074.0,655.0,273.0,382.0,3781.0,2594.0,1187.0,23334.0,10517.0,12817.0,1653.0,982.0,671.0,17922.0,7046.0,10876.0,483.0,203.0,280.0,3276.0,2286.0,990.0,2581.0,1016.0,1565.0,129.0,61.0,68.0,1775.0,577.0,1198.0,172.0,70.0,102.0,505.0,308.0,197.0,83532.0,36490.0,47042.0,,
33.0,606.0,5726.0,0.0,0.0,0.0,SUB-DISTRICT,Thandrampet,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,606.0,5726.0,631978.0,0.0,0.0,VILLAGE,Melkaripur,Rural,628.0,2479.0,1267.0,1212.0,275.0,130.0,145.0,887.0,444.0,443.0,0.0,0.0,0.0,1498.0,902.0,596.0,981.0,365.0,616.0,1465.0,812.0,653.0,1350.0,761.0,589.0,662.0,374.0,288.0,458.0,201.0,257.0,21.0,12.0,9.0,209.0,174.0,35.0,115.0,51.0,64.0,10.0,6.0,4.0,73.0,26.0,47.0,0.0,0.0,0.0,32.0,19.0,13.0,109.0,49.0,60.0,9.0,6.0,3.0,72.0,26.0,46.0,0.0,0.0,0.0,28.0,17.0,11.0,6.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1014.0,455.0,559.0,,
33.0,606.0,5726.0,631979.0,0.0,0.0,VILLAGE,Kolundampattu,Rural,794.0,3177.0,1574.0,1603.0,367.0,191.0,176.0,1237.0,619.0,618.0,158.0,83.0,75.0,1851.0,1085.0,766.0,1326.0,489.0,837.0,1906.0,990.0,916.0,1675.0,925.0,750.0,394.0,250.0,144.0,938.0,401.0,537.0,8.0,3.0,5.0,335.0,271.0,64.0,231.0,65.0,166.0,23.0,4.0,19.0,184.0,42.0,142.0,9.0,5.0,4.0,15.0,14.0,1.0,217.0,57.0,160.0,22.0,4.0,18.0,179.0,41.0,138.0,5.0,2.0,3.0,11.0,10.0,1.0,14.0,8.0,6.0,1.0,0.0,1.0,5.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,0.0,1271.0,584.0,687.0,,
33.0,606.0,5726.0,631980.0,0.0,0.0,VILLAGE,Sathanur,Rural,2133.0,8749.0,4422.0,4327.0,985.0,536.0,449.0,2036.0,1000.0,1036.0,446.0,227.0,219.0,5492.0,3147.0,2345.0,3257.0,1275.0,1982.0,4313.0,2625.0,1688.0,3505.0,2248.0,1257.0,982.0,633.0,349.0,1313.0,636.0,677.0,44.0,30.0,14.0,1166.0,949.0,217.0,808.0,377.0,431.0,37.0,17.0,20.0,414.0,132.0,282.0,101.0,42.0,59.0,256.0,186.0,70.0,698.0,330.0,368.0,35.0,17.0,18.0,359.0,116.0,243.0,98.0,42.0,56.0,206.0,155.0,51.0,110.0,47.0,63.0,2.0,0.0,2.0,55.0,16.0,39.0,3.0,0.0,3.0,50.0,31.0,19.0,4436.0,1797.0,2639.0,,
33.0,606.0,5726.0,631981.0,0.0,0.0,VILLAGE,Veppurchekkadi,Rural,503.0,2210.0,1148.0,1062.0,308.0,165.0,143.0,258.0,136.0,122.0,35.0,15.0,20.0,985.0,626.0,359.0,1225.0,522.0,703.0,1211.0,662.0,549.0,1197.0,656.0,541.0,322.0,184.0,138.0,804.0,422.0,382.0,18.0,14.0,4.0,53.0,36.0,17.0,14.0,6.0,8.0,8.0,3.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,13.0,5.0,8.0,7.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,486.0,513.0,,
33.0,606.0,5726.0,631982.0,0.0,0.0,VILLAGE,Veeranam,Rural,560.0,2432.0,1220.0,1212.0,314.0,145.0,169.0,1143.0,561.0,582.0,25.0,13.0,12.0,1453.0,802.0,651.0,979.0,418.0,561.0,1406.0,733.0,673.0,1238.0,690.0,548.0,151.0,108.0,43.0,657.0,262.0,395.0,6.0,4.0,2.0,424.0,316.0,108.0,168.0,43.0,125.0,3.0,1.0,2.0,94.0,12.0,82.0,55.0,22.0,33.0,16.0,8.0,8.0,109.0,20.0,89.0,1.0,1.0,0.0,92.0,11.0,81.0,1.0,0.0,1.0,15.0,8.0,7.0,59.0,23.0,36.0,2.0,0.0,2.0,2.0,1.0,1.0,54.0,22.0,32.0,1.0,0.0,1.0,1026.0,487.0,539.0,,
33.0,606.0,5726.0,631983.0,0.0,0.0,VILLAGE,Tharadapattu,Rural,928.0,4086.0,2028.0,2058.0,494.0,264.0,230.0,1708.0,832.0,876.0,874.0,443.0,431.0,2418.0,1345.0,1073.0,1668.0,683.0,985.0,1919.0,1050.0,869.0,1646.0,936.0,710.0,803.0,446.0,357.0,474.0,221.0,253.0,46.0,21.0,25.0,323.0,248.0,75.0,273.0,114.0,159.0,25.0,15.0,10.0,92.0,39.0,53.0,13.0,6.0,7.0,143.0,54.0,89.0,188.0,86.0,102.0,19.0,13.0,6.0,88.0,36.0,52.0,5.0,2.0,3.0,76.0,35.0,41.0,85.0,28.0,57.0,6.0,2.0,4.0,4.0,3.0,1.0,8.0,4.0,4.0,67.0,19.0,48.0,2167.0,978.0,1189.0,,
33.0,606.0,5726.0,631984.0,0.0,0.0,VILLAGE,Kanakkandal,Rural,371.0,1529.0,792.0,737.0,219.0,113.0,106.0,129.0,66.0,63.0,226.0,110.0,116.0,1011.0,587.0,424.0,518.0,205.0,313.0,986.0,509.0,477.0,935.0,479.0,456.0,172.0,98.0,74.0,675.0,309.0,366.0,6.0,2.0,4.0,82.0,70.0,12.0,51.0,30.0,21.0,9.0,7.0,2.0,39.0,21.0,18.0,0.0,0.0,0.0,3.0,2.0,1.0,49.0,28.0,21.0,8.0,6.0,2.0,39.0,21.0,18.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,543.0,283.0,260.0,,
