State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,606.0,5727.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruvannamalai,Total,134338.0,581836.0,292186.0,289650.0,65485.0,34059.0,31426.0,125656.0,62950.0,62706.0,10307.0,5182.0,5125.0,401380.0,221025.0,180355.0,180456.0,71161.0,109295.0,273035.0,169748.0,103287.0,223471.0,146407.0,77064.0,63198.0,41460.0,21738.0,65732.0,30441.0,35291.0,4048.0,2326.0,1722.0,90493.0,72180.0,18313.0,49564.0,23341.0,26223.0,4932.0,2873.0,2059.0,30353.0,11975.0,18378.0,1591.0,480.0,1111.0,12688.0,8013.0,4675.0,41917.0,20140.0,21777.0,4451.0,2675.0,1776.0,25469.0,10205.0,15264.0,1197.0,367.0,830.0,10800.0,6893.0,3907.0,7647.0,3201.0,4446.0,481.0,198.0,283.0,4884.0,1770.0,3114.0,394.0,113.0,281.0,1888.0,1120.0,768.0,308801.0,122438.0,186363.0,,
33.0,606.0,5727.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruvannamalai,Rural,89786.0,389090.0,195919.0,193171.0,44677.0,23394.0,21283.0,98802.0,49702.0,49100.0,7719.0,3895.0,3824.0,251766.0,141788.0,109978.0,137324.0,54131.0,83193.0,203005.0,116427.0,86578.0,161248.0,97532.0,63716.0,61088.0,39959.0,21129.0,62007.0,28398.0,33609.0,2731.0,1604.0,1127.0,35422.0,27571.0,7851.0,41757.0,18895.0,22862.0,4716.0,2743.0,1973.0,28418.0,11080.0,17338.0,957.0,324.0,633.0,7666.0,4748.0,2918.0,35204.0,16282.0,18922.0,4254.0,2555.0,1699.0,23831.0,9429.0,14402.0,700.0,242.0,458.0,6419.0,4056.0,2363.0,6553.0,2613.0,3940.0,462.0,188.0,274.0,4587.0,1651.0,2936.0,257.0,82.0,175.0,1247.0,692.0,555.0,186085.0,79492.0,106593.0,,
33.0,606.0,5727.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruvannamalai,Urban,44552.0,192746.0,96267.0,96479.0,20808.0,10665.0,10143.0,26854.0,13248.0,13606.0,2588.0,1287.0,1301.0,149614.0,79237.0,70377.0,43132.0,17030.0,26102.0,70030.0,53321.0,16709.0,62223.0,48875.0,13348.0,2110.0,1501.0,609.0,3725.0,2043.0,1682.0,1317.0,722.0,595.0,55071.0,44609.0,10462.0,7807.0,4446.0,3361.0,216.0,130.0,86.0,1935.0,895.0,1040.0,634.0,156.0,478.0,5022.0,3265.0,1757.0,6713.0,3858.0,2855.0,197.0,120.0,77.0,1638.0,776.0,862.0,497.0,125.0,372.0,4381.0,2837.0,1544.0,1094.0,588.0,506.0,19.0,10.0,9.0,297.0,119.0,178.0,137.0,31.0,106.0,641.0,428.0,213.0,122716.0,42946.0,79770.0,,
33.0,606.0,5727.0,632051.0,0.0,0.0,VILLAGE,Kilathur,Rural,104.0,421.0,208.0,213.0,48.0,25.0,23.0,24.0,11.0,13.0,0.0,0.0,0.0,270.0,153.0,117.0,151.0,55.0,96.0,258.0,132.0,126.0,110.0,100.0,10.0,75.0,72.0,3.0,7.0,3.0,4.0,1.0,0.0,1.0,27.0,25.0,2.0,148.0,32.0,116.0,0.0,0.0,0.0,133.0,23.0,110.0,6.0,0.0,6.0,9.0,9.0,0.0,142.0,29.0,113.0,0.0,0.0,0.0,129.0,22.0,107.0,6.0,0.0,6.0,7.0,7.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,163.0,76.0,87.0,,
33.0,606.0,5727.0,632052.0,0.0,0.0,VILLAGE,Meppathurai,Rural,262.0,1072.0,557.0,515.0,145.0,68.0,77.0,484.0,247.0,237.0,0.0,0.0,0.0,661.0,387.0,274.0,411.0,170.0,241.0,542.0,335.0,207.0,300.0,224.0,76.0,177.0,120.0,57.0,19.0,14.0,5.0,5.0,2.0,3.0,99.0,88.0,11.0,242.0,111.0,131.0,10.0,4.0,6.0,200.0,99.0,101.0,23.0,0.0,23.0,9.0,8.0,1.0,158.0,90.0,68.0,10.0,4.0,6.0,136.0,80.0,56.0,5.0,0.0,5.0,7.0,6.0,1.0,84.0,21.0,63.0,0.0,0.0,0.0,64.0,19.0,45.0,18.0,0.0,18.0,2.0,2.0,0.0,530.0,222.0,308.0,,
33.0,606.0,5727.0,632053.0,0.0,0.0,VILLAGE,Sirukilambadi,Rural,193.0,831.0,437.0,394.0,86.0,42.0,44.0,452.0,238.0,214.0,5.0,4.0,1.0,538.0,328.0,210.0,293.0,109.0,184.0,514.0,292.0,222.0,179.0,139.0,40.0,84.0,54.0,30.0,6.0,4.0,2.0,5.0,5.0,0.0,84.0,76.0,8.0,335.0,153.0,182.0,2.0,1.0,1.0,310.0,146.0,164.0,15.0,0.0,15.0,8.0,6.0,2.0,251.0,112.0,139.0,2.0,1.0,1.0,232.0,105.0,127.0,10.0,0.0,10.0,7.0,6.0,1.0,84.0,41.0,43.0,0.0,0.0,0.0,78.0,41.0,37.0,5.0,0.0,5.0,1.0,0.0,1.0,317.0,145.0,172.0,,
33.0,606.0,5727.0,632054.0,0.0,0.0,VILLAGE,Mutharasampundi,Rural,136.0,622.0,315.0,307.0,64.0,32.0,32.0,16.0,7.0,9.0,0.0,0.0,0.0,461.0,254.0,207.0,161.0,61.0,100.0,306.0,187.0,119.0,302.0,185.0,117.0,1.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,297.0,183.0,114.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,128.0,188.0,,
33.0,606.0,5727.0,632055.0,0.0,0.0,VILLAGE,Narathampoondi,Rural,618.0,2694.0,1372.0,1322.0,308.0,168.0,140.0,646.0,331.0,315.0,58.0,30.0,28.0,1866.0,1055.0,811.0,828.0,317.0,511.0,1276.0,736.0,540.0,646.0,419.0,227.0,238.0,142.0,96.0,89.0,37.0,52.0,24.0,10.0,14.0,295.0,230.0,65.0,630.0,317.0,313.0,183.0,99.0,84.0,221.0,82.0,139.0,40.0,10.0,30.0,186.0,126.0,60.0,608.0,311.0,297.0,183.0,99.0,84.0,210.0,81.0,129.0,36.0,9.0,27.0,179.0,122.0,57.0,22.0,6.0,16.0,0.0,0.0,0.0,11.0,1.0,10.0,4.0,1.0,3.0,7.0,4.0,3.0,1418.0,636.0,782.0,,
33.0,606.0,5727.0,632056.0,0.0,0.0,VILLAGE,Nellimedu,Rural,137.0,554.0,269.0,285.0,47.0,23.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,327.0,184.0,143.0,227.0,85.0,142.0,346.0,173.0,173.0,346.0,173.0,173.0,297.0,150.0,147.0,40.0,16.0,24.0,0.0,0.0,0.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,96.0,112.0,,
33.0,606.0,5727.0,632057.0,0.0,0.0,VILLAGE,Vada Pulithiur,Rural,539.0,2408.0,1201.0,1207.0,274.0,142.0,132.0,60.0,28.0,32.0,29.0,14.0,15.0,1690.0,929.0,761.0,718.0,272.0,446.0,1092.0,670.0,422.0,538.0,352.0,186.0,133.0,112.0,21.0,176.0,77.0,99.0,7.0,6.0,1.0,222.0,157.0,65.0,554.0,318.0,236.0,33.0,23.0,10.0,375.0,212.0,163.0,16.0,14.0,2.0,130.0,69.0,61.0,523.0,296.0,227.0,31.0,22.0,9.0,366.0,207.0,159.0,11.0,9.0,2.0,115.0,58.0,57.0,31.0,22.0,9.0,2.0,1.0,1.0,9.0,5.0,4.0,5.0,5.0,0.0,15.0,11.0,4.0,1316.0,531.0,785.0,,
