State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,605.0,5715.0,0.0,0.0,0.0,SUB-DISTRICT,Arakonam,Total,122251.0,504026.0,251905.0,252121.0,54498.0,27930.0,26568.0,144469.0,71655.0,72814.0,7680.0,3840.0,3840.0,350465.0,194007.0,156458.0,153561.0,57898.0,95663.0,227349.0,149012.0,78337.0,168631.0,120792.0,47839.0,21022.0,15550.0,5472.0,50024.0,27293.0,22731.0,10226.0,6066.0,4160.0,87359.0,71883.0,15476.0,58718.0,28220.0,30498.0,3398.0,1948.0,1450.0,33461.0,13775.0,19686.0,3088.0,1107.0,1981.0,18771.0,11390.0,7381.0,48150.0,23238.0,24912.0,2952.0,1700.0,1252.0,27674.0,11393.0,16281.0,2474.0,879.0,1595.0,15050.0,9266.0,5784.0,10568.0,4982.0,5586.0,446.0,248.0,198.0,5787.0,2382.0,3405.0,614.0,228.0,386.0,3721.0,2124.0,1597.0,276677.0,102893.0,173784.0,,
33.0,605.0,5715.0,0.0,0.0,0.0,SUB-DISTRICT,Arakonam,Rural,84630.0,349641.0,174769.0,174872.0,38611.0,19691.0,18920.0,106857.0,53031.0,53826.0,5773.0,2912.0,2861.0,231636.0,130515.0,101121.0,118005.0,44254.0,73751.0,169197.0,104982.0,64215.0,119981.0,82535.0,37446.0,19087.0,14070.0,5017.0,45812.0,24789.0,21023.0,5466.0,3074.0,2392.0,49616.0,40602.0,9014.0,49216.0,22447.0,26769.0,3282.0,1863.0,1419.0,30028.0,12087.0,17941.0,2345.0,768.0,1577.0,13561.0,7729.0,5832.0,40489.0,18590.0,21899.0,2854.0,1628.0,1226.0,24711.0,9913.0,14798.0,1901.0,629.0,1272.0,11023.0,6420.0,4603.0,8727.0,3857.0,4870.0,428.0,235.0,193.0,5317.0,2174.0,3143.0,444.0,139.0,305.0,2538.0,1309.0,1229.0,180444.0,69787.0,110657.0,,
33.0,605.0,5715.0,0.0,0.0,0.0,SUB-DISTRICT,Arakonam,Urban,37621.0,154385.0,77136.0,77249.0,15887.0,8239.0,7648.0,37612.0,18624.0,18988.0,1907.0,928.0,979.0,118829.0,63492.0,55337.0,35556.0,13644.0,21912.0,58152.0,44030.0,14122.0,48650.0,38257.0,10393.0,1935.0,1480.0,455.0,4212.0,2504.0,1708.0,4760.0,2992.0,1768.0,37743.0,31281.0,6462.0,9502.0,5773.0,3729.0,116.0,85.0,31.0,3433.0,1688.0,1745.0,743.0,339.0,404.0,5210.0,3661.0,1549.0,7661.0,4648.0,3013.0,98.0,72.0,26.0,2963.0,1480.0,1483.0,573.0,250.0,323.0,4027.0,2846.0,1181.0,1841.0,1125.0,716.0,18.0,13.0,5.0,470.0,208.0,262.0,170.0,89.0,81.0,1183.0,815.0,368.0,96233.0,33106.0,63127.0,,
33.0,605.0,5715.0,630551.0,0.0,0.0,VILLAGE,Vengapattu,Rural,963.0,4037.0,2045.0,1992.0,436.0,232.0,204.0,718.0,362.0,356.0,0.0,0.0,0.0,2464.0,1437.0,1027.0,1573.0,608.0,965.0,2323.0,1245.0,1078.0,1725.0,921.0,804.0,458.0,227.0,231.0,1026.0,491.0,535.0,8.0,5.0,3.0,233.0,198.0,35.0,598.0,324.0,274.0,66.0,42.0,24.0,393.0,173.0,220.0,1.0,0.0,1.0,138.0,109.0,29.0,476.0,300.0,176.0,66.0,42.0,24.0,279.0,155.0,124.0,1.0,0.0,1.0,130.0,103.0,27.0,122.0,24.0,98.0,0.0,0.0,0.0,114.0,18.0,96.0,0.0,0.0,0.0,8.0,6.0,2.0,1714.0,800.0,914.0,,
33.0,605.0,5715.0,630552.0,0.0,0.0,VILLAGE,Paravathur,Rural,636.0,2687.0,1358.0,1329.0,290.0,147.0,143.0,1357.0,671.0,686.0,63.0,37.0,26.0,1796.0,1012.0,784.0,891.0,346.0,545.0,1417.0,786.0,631.0,921.0,755.0,166.0,26.0,25.0,1.0,541.0,420.0,121.0,5.0,5.0,0.0,349.0,305.0,44.0,496.0,31.0,465.0,2.0,1.0,1.0,399.0,15.0,384.0,38.0,2.0,36.0,57.0,13.0,44.0,454.0,27.0,427.0,2.0,1.0,1.0,399.0,15.0,384.0,21.0,1.0,20.0,32.0,10.0,22.0,42.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,16.0,25.0,3.0,22.0,1270.0,572.0,698.0,,
33.0,605.0,5715.0,630553.0,0.0,0.0,VILLAGE,Akkachikuppam,Rural,380.0,1500.0,727.0,773.0,157.0,72.0,85.0,532.0,244.0,288.0,30.0,13.0,17.0,905.0,501.0,404.0,595.0,226.0,369.0,728.0,457.0,271.0,326.0,280.0,46.0,69.0,63.0,6.0,66.0,54.0,12.0,2.0,2.0,0.0,189.0,161.0,28.0,402.0,177.0,225.0,109.0,82.0,27.0,269.0,82.0,187.0,2.0,1.0,1.0,22.0,12.0,10.0,363.0,164.0,199.0,103.0,81.0,22.0,238.0,72.0,166.0,2.0,1.0,1.0,20.0,10.0,10.0,39.0,13.0,26.0,6.0,1.0,5.0,31.0,10.0,21.0,0.0,0.0,0.0,2.0,2.0,0.0,772.0,270.0,502.0,,
33.0,605.0,5715.0,630554.0,0.0,0.0,VILLAGE,Paranji,Rural,1227.0,5008.0,2513.0,2495.0,569.0,289.0,280.0,1542.0,769.0,773.0,186.0,101.0,85.0,3209.0,1843.0,1366.0,1799.0,670.0,1129.0,2488.0,1496.0,992.0,1503.0,1066.0,437.0,349.0,285.0,64.0,634.0,398.0,236.0,34.0,22.0,12.0,486.0,361.0,125.0,985.0,430.0,555.0,228.0,94.0,134.0,676.0,268.0,408.0,32.0,22.0,10.0,49.0,46.0,3.0,882.0,359.0,523.0,204.0,73.0,131.0,612.0,231.0,381.0,29.0,19.0,10.0,37.0,36.0,1.0,103.0,71.0,32.0,24.0,21.0,3.0,64.0,37.0,27.0,3.0,3.0,0.0,12.0,10.0,2.0,2520.0,1017.0,1503.0,,
33.0,605.0,5715.0,630555.0,0.0,0.0,VILLAGE,Nandi Veduthangal,Rural,443.0,1746.0,895.0,851.0,202.0,103.0,99.0,669.0,348.0,321.0,62.0,29.0,33.0,1060.0,601.0,459.0,686.0,294.0,392.0,989.0,610.0,379.0,571.0,401.0,170.0,55.0,44.0,11.0,223.0,131.0,92.0,7.0,5.0,2.0,286.0,221.0,65.0,418.0,209.0,209.0,71.0,65.0,6.0,115.0,25.0,90.0,20.0,1.0,19.0,212.0,118.0,94.0,370.0,197.0,173.0,66.0,61.0,5.0,101.0,25.0,76.0,11.0,1.0,10.0,192.0,110.0,82.0,48.0,12.0,36.0,5.0,4.0,1.0,14.0,0.0,14.0,9.0,0.0,9.0,20.0,8.0,12.0,757.0,285.0,472.0,,
33.0,605.0,5715.0,630556.0,0.0,0.0,VILLAGE,Chithambadi,Rural,256.0,1057.0,542.0,515.0,118.0,63.0,55.0,792.0,407.0,385.0,0.0,0.0,0.0,694.0,403.0,291.0,363.0,139.0,224.0,504.0,331.0,173.0,333.0,256.0,77.0,33.0,26.0,7.0,138.0,83.0,55.0,0.0,0.0,0.0,162.0,147.0,15.0,171.0,75.0,96.0,3.0,1.0,2.0,157.0,66.0,91.0,1.0,1.0,0.0,10.0,7.0,3.0,163.0,69.0,94.0,3.0,1.0,2.0,150.0,61.0,89.0,1.0,1.0,0.0,9.0,6.0,3.0,8.0,6.0,2.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,553.0,211.0,342.0,,
33.0,605.0,5715.0,630557.0,0.0,0.0,VILLAGE,Itchiputhur,Rural,1384.0,5755.0,2891.0,2864.0,580.0,308.0,272.0,2532.0,1252.0,1280.0,123.0,70.0,53.0,3893.0,2200.0,1693.0,1862.0,691.0,1171.0,2311.0,1669.0,642.0,1224.0,1047.0,177.0,112.0,106.0,6.0,162.0,123.0,39.0,25.0,17.0,8.0,925.0,801.0,124.0,1087.0,622.0,465.0,44.0,35.0,9.0,822.0,427.0,395.0,25.0,13.0,12.0,196.0,147.0,49.0,828.0,520.0,308.0,36.0,31.0,5.0,632.0,362.0,270.0,19.0,10.0,9.0,141.0,117.0,24.0,259.0,102.0,157.0,8.0,4.0,4.0,190.0,65.0,125.0,6.0,3.0,3.0,55.0,30.0,25.0,3444.0,1222.0,2222.0,,
