State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,605.0,5713.0,0.0,0.0,0.0,SUB-DISTRICT,Katpadi,Total,92407.0,391100.0,195567.0,195533.0,38635.0,19726.0,18909.0,76967.0,37808.0,39159.0,3102.0,1537.0,1565.0,288381.0,156540.0,131841.0,102719.0,39027.0,63692.0,159474.0,106639.0,52835.0,126118.0,90056.0,36062.0,14116.0,10254.0,3862.0,19888.0,11297.0,8591.0,9677.0,4908.0,4769.0,82437.0,63597.0,18840.0,33356.0,16583.0,16773.0,2114.0,1194.0,920.0,12218.0,5822.0,6396.0,2525.0,745.0,1780.0,16499.0,8822.0,7677.0,28072.0,14294.0,13778.0,1652.0,953.0,699.0,10670.0,5228.0,5442.0,2012.0,605.0,1407.0,13738.0,7508.0,6230.0,5284.0,2289.0,2995.0,462.0,241.0,221.0,1548.0,594.0,954.0,513.0,140.0,373.0,2761.0,1314.0,1447.0,231626.0,88928.0,142698.0,,
33.0,605.0,5713.0,0.0,0.0,0.0,SUB-DISTRICT,Katpadi,Rural,60459.0,248137.0,122543.0,125594.0,25982.0,13211.0,12771.0,54599.0,26852.0,27747.0,2827.0,1403.0,1424.0,173199.0,94536.0,78663.0,74938.0,28007.0,46931.0,109681.0,70538.0,39143.0,83187.0,57857.0,25330.0,13407.0,9677.0,3730.0,18941.0,10729.0,8212.0,6823.0,3251.0,3572.0,44016.0,34200.0,9816.0,26494.0,12681.0,13813.0,1934.0,1089.0,845.0,11336.0,5361.0,5975.0,1897.0,544.0,1353.0,11327.0,5687.0,5640.0,22195.0,10892.0,11303.0,1502.0,862.0,640.0,9968.0,4846.0,5122.0,1536.0,441.0,1095.0,9189.0,4743.0,4446.0,4299.0,1789.0,2510.0,432.0,227.0,205.0,1368.0,515.0,853.0,361.0,103.0,258.0,2138.0,944.0,1194.0,138456.0,52005.0,86451.0,,
33.0,605.0,5713.0,0.0,0.0,0.0,SUB-DISTRICT,Katpadi,Urban,31948.0,142963.0,73024.0,69939.0,12653.0,6515.0,6138.0,22368.0,10956.0,11412.0,275.0,134.0,141.0,115182.0,62004.0,53178.0,27781.0,11020.0,16761.0,49793.0,36101.0,13692.0,42931.0,32199.0,10732.0,709.0,577.0,132.0,947.0,568.0,379.0,2854.0,1657.0,1197.0,38421.0,29397.0,9024.0,6862.0,3902.0,2960.0,180.0,105.0,75.0,882.0,461.0,421.0,628.0,201.0,427.0,5172.0,3135.0,2037.0,5877.0,3402.0,2475.0,150.0,91.0,59.0,702.0,382.0,320.0,476.0,164.0,312.0,4549.0,2765.0,1784.0,985.0,500.0,485.0,30.0,14.0,16.0,180.0,79.0,101.0,152.0,37.0,115.0,623.0,370.0,253.0,93170.0,36923.0,56247.0,,
33.0,605.0,5713.0,630369.0,0.0,0.0,VILLAGE,Thengal ,Rural,378.0,1586.0,759.0,827.0,157.0,80.0,77.0,615.0,285.0,330.0,0.0,0.0,0.0,1143.0,582.0,561.0,443.0,177.0,266.0,908.0,490.0,418.0,814.0,451.0,363.0,47.0,32.0,15.0,735.0,397.0,338.0,1.0,0.0,1.0,31.0,22.0,9.0,94.0,39.0,55.0,0.0,0.0,0.0,88.0,36.0,52.0,5.0,2.0,3.0,1.0,1.0,0.0,93.0,39.0,54.0,0.0,0.0,0.0,87.0,36.0,51.0,5.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,269.0,409.0,,
33.0,605.0,5713.0,630370.0,0.0,0.0,VILLAGE,Balekuppam  ,Rural,423.0,1978.0,995.0,983.0,172.0,79.0,93.0,750.0,370.0,380.0,22.0,11.0,11.0,1385.0,770.0,615.0,593.0,225.0,368.0,922.0,598.0,324.0,731.0,456.0,275.0,198.0,117.0,81.0,315.0,153.0,162.0,37.0,26.0,11.0,181.0,160.0,21.0,191.0,142.0,49.0,1.0,1.0,0.0,183.0,137.0,46.0,2.0,1.0,1.0,5.0,3.0,2.0,190.0,141.0,49.0,1.0,1.0,0.0,183.0,137.0,46.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1056.0,397.0,659.0,,
33.0,605.0,5713.0,630371.0,0.0,0.0,VILLAGE,Kondareddipalli,Rural,38.0,161.0,79.0,82.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,67.0,58.0,36.0,12.0,24.0,51.0,42.0,9.0,38.0,34.0,4.0,29.0,28.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,4.0,3.0,13.0,8.0,5.0,0.0,0.0,0.0,13.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,5.0,0.0,0.0,0.0,13.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,37.0,73.0,,
33.0,605.0,5713.0,630372.0,0.0,0.0,VILLAGE,Ponnai,Rural,2318.0,10190.0,5104.0,5086.0,932.0,456.0,476.0,2888.0,1402.0,1486.0,47.0,24.0,23.0,7357.0,4034.0,3323.0,2833.0,1070.0,1763.0,4103.0,2894.0,1209.0,3415.0,2469.0,946.0,957.0,723.0,234.0,695.0,438.0,257.0,360.0,224.0,136.0,1403.0,1084.0,319.0,688.0,425.0,263.0,27.0,17.0,10.0,476.0,319.0,157.0,45.0,6.0,39.0,140.0,83.0,57.0,650.0,409.0,241.0,25.0,16.0,9.0,458.0,308.0,150.0,36.0,5.0,31.0,131.0,80.0,51.0,38.0,16.0,22.0,2.0,1.0,1.0,18.0,11.0,7.0,9.0,1.0,8.0,9.0,3.0,6.0,6087.0,2210.0,3877.0,,
33.0,605.0,5713.0,630373.0,0.0,0.0,VILLAGE,Paramasathu,Rural,384.0,1584.0,781.0,803.0,139.0,77.0,62.0,348.0,184.0,164.0,7.0,4.0,3.0,1040.0,578.0,462.0,544.0,203.0,341.0,692.0,466.0,226.0,408.0,321.0,87.0,70.0,61.0,9.0,108.0,77.0,31.0,13.0,11.0,2.0,217.0,172.0,45.0,284.0,145.0,139.0,3.0,3.0,0.0,226.0,112.0,114.0,14.0,2.0,12.0,41.0,28.0,13.0,260.0,139.0,121.0,3.0,3.0,0.0,207.0,110.0,97.0,14.0,2.0,12.0,36.0,24.0,12.0,24.0,6.0,18.0,0.0,0.0,0.0,19.0,2.0,17.0,0.0,0.0,0.0,5.0,4.0,1.0,892.0,315.0,577.0,,
33.0,605.0,5713.0,630374.0,0.0,0.0,VILLAGE,Madandakuppam,Rural,324.0,1360.0,682.0,678.0,134.0,67.0,67.0,193.0,98.0,95.0,0.0,0.0,0.0,850.0,492.0,358.0,510.0,190.0,320.0,682.0,392.0,290.0,681.0,391.0,290.0,166.0,100.0,66.0,306.0,122.0,184.0,14.0,6.0,8.0,195.0,163.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,290.0,388.0,,
33.0,605.0,5713.0,630375.0,0.0,0.0,VILLAGE,Keeraisathu,Rural,834.0,3362.0,1666.0,1696.0,312.0,170.0,142.0,840.0,430.0,410.0,185.0,91.0,94.0,2092.0,1165.0,927.0,1270.0,501.0,769.0,1809.0,1101.0,708.0,559.0,406.0,153.0,332.0,259.0,73.0,56.0,32.0,24.0,8.0,1.0,7.0,163.0,114.0,49.0,1250.0,695.0,555.0,6.0,3.0,3.0,826.0,460.0,366.0,69.0,10.0,59.0,349.0,222.0,127.0,1163.0,678.0,485.0,6.0,3.0,3.0,818.0,454.0,364.0,62.0,10.0,52.0,277.0,211.0,66.0,87.0,17.0,70.0,0.0,0.0,0.0,8.0,6.0,2.0,7.0,0.0,7.0,72.0,11.0,61.0,1553.0,565.0,988.0,,
