State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,605.0,5717.0,0.0,0.0,0.0,SUB-DISTRICT,Vellore,Total,166169.0,696110.0,343919.0,352191.0,74081.0,37826.0,36255.0,131460.0,64343.0,67117.0,15868.0,7973.0,7895.0,511479.0,271670.0,239809.0,184631.0,72249.0,112382.0,281061.0,196281.0,84780.0,229811.0,169578.0,60233.0,19479.0,13742.0,5737.0,22065.0,12445.0,9620.0,13512.0,6524.0,6988.0,174755.0,136867.0,37888.0,51250.0,26703.0,24547.0,3059.0,1687.0,1372.0,19205.0,9049.0,10156.0,3834.0,1307.0,2527.0,25152.0,14660.0,10492.0,42234.0,22300.0,19934.0,2738.0,1534.0,1204.0,16109.0,7707.0,8402.0,2731.0,1029.0,1702.0,20656.0,12030.0,8626.0,9016.0,4403.0,4613.0,321.0,153.0,168.0,3096.0,1342.0,1754.0,1103.0,278.0,825.0,4496.0,2630.0,1866.0,415049.0,147638.0,267411.0,,
33.0,605.0,5717.0,0.0,0.0,0.0,SUB-DISTRICT,Vellore,Rural,61916.0,254484.0,126298.0,128186.0,27608.0,14127.0,13481.0,57496.0,28274.0,29222.0,14246.0,7115.0,7131.0,172463.0,94952.0,77511.0,82021.0,31346.0,50675.0,112040.0,72525.0,39515.0,79965.0,56273.0,23692.0,17651.0,12465.0,5186.0,18149.0,9896.0,8253.0,3562.0,1928.0,1634.0,40603.0,31984.0,8619.0,32075.0,16252.0,15823.0,2754.0,1512.0,1242.0,16766.0,7867.0,8899.0,1621.0,690.0,931.0,10934.0,6183.0,4751.0,26396.0,13584.0,12812.0,2451.0,1370.0,1081.0,14165.0,6742.0,7423.0,1165.0,525.0,640.0,8615.0,4947.0,3668.0,5679.0,2668.0,3011.0,303.0,142.0,161.0,2601.0,1125.0,1476.0,456.0,165.0,291.0,2319.0,1236.0,1083.0,142444.0,53773.0,88671.0,,
33.0,605.0,5717.0,0.0,0.0,0.0,SUB-DISTRICT,Vellore,Urban,104253.0,441626.0,217621.0,224005.0,46473.0,23699.0,22774.0,73964.0,36069.0,37895.0,1622.0,858.0,764.0,339016.0,176718.0,162298.0,102610.0,40903.0,61707.0,169021.0,123756.0,45265.0,149846.0,113305.0,36541.0,1828.0,1277.0,551.0,3916.0,2549.0,1367.0,9950.0,4596.0,5354.0,134152.0,104883.0,29269.0,19175.0,10451.0,8724.0,305.0,175.0,130.0,2439.0,1182.0,1257.0,2213.0,617.0,1596.0,14218.0,8477.0,5741.0,15838.0,8716.0,7122.0,287.0,164.0,123.0,1944.0,965.0,979.0,1566.0,504.0,1062.0,12041.0,7083.0,4958.0,3337.0,1735.0,1602.0,18.0,11.0,7.0,495.0,217.0,278.0,647.0,113.0,534.0,2177.0,1394.0,783.0,272605.0,93865.0,178740.0,,
33.0,605.0,5717.0,630791.0,0.0,0.0,VILLAGE,Kandaneri,Rural,550.0,2191.0,1091.0,1100.0,194.0,103.0,91.0,135.0,70.0,65.0,0.0,0.0,0.0,1483.0,873.0,610.0,708.0,218.0,490.0,969.0,647.0,322.0,898.0,602.0,296.0,177.0,139.0,38.0,262.0,171.0,91.0,96.0,57.0,39.0,363.0,235.0,128.0,71.0,45.0,26.0,1.0,1.0,0.0,7.0,3.0,4.0,7.0,1.0,6.0,56.0,40.0,16.0,47.0,32.0,15.0,1.0,1.0,0.0,6.0,3.0,3.0,4.0,0.0,4.0,36.0,28.0,8.0,24.0,13.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,20.0,12.0,8.0,1222.0,444.0,778.0,,
33.0,605.0,5717.0,630792.0,0.0,0.0,VILLAGE,Kalanipakkam,Rural,959.0,3939.0,1939.0,2000.0,437.0,216.0,221.0,887.0,433.0,454.0,1.0,1.0,0.0,2715.0,1474.0,1241.0,1224.0,465.0,759.0,1950.0,1212.0,738.0,1387.0,860.0,527.0,386.0,237.0,149.0,587.0,323.0,264.0,44.0,26.0,18.0,370.0,274.0,96.0,563.0,352.0,211.0,19.0,11.0,8.0,292.0,152.0,140.0,38.0,20.0,18.0,214.0,169.0,45.0,454.0,281.0,173.0,19.0,11.0,8.0,232.0,118.0,114.0,33.0,18.0,15.0,170.0,134.0,36.0,109.0,71.0,38.0,0.0,0.0,0.0,60.0,34.0,26.0,5.0,2.0,3.0,44.0,35.0,9.0,1989.0,727.0,1262.0,,
33.0,605.0,5717.0,630793.0,0.0,0.0,VILLAGE,Erayangadu,Rural,1111.0,4661.0,2356.0,2305.0,521.0,269.0,252.0,829.0,414.0,415.0,0.0,0.0,0.0,3073.0,1754.0,1319.0,1588.0,602.0,986.0,2043.0,1385.0,658.0,1605.0,1161.0,444.0,400.0,295.0,105.0,262.0,148.0,114.0,232.0,102.0,130.0,711.0,616.0,95.0,438.0,224.0,214.0,17.0,11.0,6.0,204.0,79.0,125.0,15.0,7.0,8.0,202.0,127.0,75.0,364.0,176.0,188.0,14.0,9.0,5.0,199.0,76.0,123.0,13.0,6.0,7.0,138.0,85.0,53.0,74.0,48.0,26.0,3.0,2.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,64.0,42.0,22.0,2618.0,971.0,1647.0,,
33.0,605.0,5717.0,630794.0,0.0,0.0,VILLAGE,Okkanapuram,Rural,284.0,1271.0,636.0,635.0,126.0,61.0,65.0,268.0,139.0,129.0,27.0,12.0,15.0,933.0,513.0,420.0,338.0,123.0,215.0,633.0,385.0,248.0,289.0,172.0,117.0,12.0,7.0,5.0,177.0,82.0,95.0,15.0,10.0,5.0,85.0,73.0,12.0,344.0,213.0,131.0,0.0,0.0,0.0,294.0,175.0,119.0,14.0,6.0,8.0,36.0,32.0,4.0,344.0,213.0,131.0,0.0,0.0,0.0,294.0,175.0,119.0,14.0,6.0,8.0,36.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,251.0,387.0,,
33.0,605.0,5717.0,630795.0,0.0,0.0,VILLAGE,Seduvalai ,Rural,1753.0,7149.0,3510.0,3639.0,759.0,358.0,401.0,1560.0,770.0,790.0,24.0,12.0,12.0,5196.0,2825.0,2371.0,1953.0,685.0,1268.0,3046.0,2054.0,992.0,2583.0,1859.0,724.0,447.0,285.0,162.0,413.0,243.0,170.0,130.0,84.0,46.0,1593.0,1247.0,346.0,463.0,195.0,268.0,29.0,15.0,14.0,141.0,52.0,89.0,26.0,10.0,16.0,267.0,118.0,149.0,318.0,134.0,184.0,23.0,13.0,10.0,123.0,47.0,76.0,14.0,4.0,10.0,158.0,70.0,88.0,145.0,61.0,84.0,6.0,2.0,4.0,18.0,5.0,13.0,12.0,6.0,6.0,109.0,48.0,61.0,4103.0,1456.0,2647.0,,
33.0,605.0,5717.0,630796.0,0.0,0.0,VILLAGE,Sathiyamangalam,Rural,1259.0,5135.0,2564.0,2571.0,572.0,284.0,288.0,1181.0,618.0,563.0,0.0,0.0,0.0,3644.0,2023.0,1621.0,1491.0,541.0,950.0,2007.0,1406.0,601.0,1792.0,1315.0,477.0,255.0,184.0,71.0,590.0,360.0,230.0,77.0,44.0,33.0,870.0,727.0,143.0,215.0,91.0,124.0,11.0,7.0,4.0,72.0,16.0,56.0,6.0,2.0,4.0,126.0,66.0,60.0,194.0,90.0,104.0,11.0,7.0,4.0,67.0,16.0,51.0,5.0,2.0,3.0,111.0,65.0,46.0,21.0,1.0,20.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,1.0,15.0,1.0,14.0,3128.0,1158.0,1970.0,,
33.0,605.0,5717.0,630797.0,0.0,0.0,VILLAGE,Poigai,Rural,1510.0,6343.0,3118.0,3225.0,698.0,361.0,337.0,1635.0,791.0,844.0,55.0,30.0,25.0,4440.0,2420.0,2020.0,1903.0,698.0,1205.0,2591.0,1734.0,857.0,2199.0,1564.0,635.0,325.0,215.0,110.0,264.0,103.0,161.0,111.0,58.0,53.0,1499.0,1188.0,311.0,392.0,170.0,222.0,29.0,16.0,13.0,93.0,37.0,56.0,14.0,5.0,9.0,256.0,112.0,144.0,346.0,157.0,189.0,27.0,16.0,11.0,84.0,34.0,50.0,10.0,4.0,6.0,225.0,103.0,122.0,46.0,13.0,33.0,2.0,0.0,2.0,9.0,3.0,6.0,4.0,1.0,3.0,31.0,9.0,22.0,3752.0,1384.0,2368.0,,
