State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,607.0,5733.0,0.0,0.0,0.0,SUB-DISTRICT,Sankarapuram,Total,91183.0,407970.0,206075.0,201895.0,51338.0,26474.0,24864.0,109862.0,55600.0,54262.0,47344.0,23807.0,23537.0,228560.0,130660.0,97900.0,179410.0,75415.0,103995.0,210805.0,121158.0,89647.0,165690.0,99930.0,65760.0,52957.0,34793.0,18164.0,81909.0,42715.0,39194.0,3370.0,1807.0,1563.0,27454.0,20615.0,6839.0,45115.0,21228.0,23887.0,4782.0,2517.0,2265.0,32619.0,14493.0,18126.0,1498.0,499.0,999.0,6216.0,3719.0,2497.0,40260.0,19477.0,20783.0,4508.0,2401.0,2107.0,29359.0,13456.0,15903.0,1140.0,420.0,720.0,5253.0,3200.0,2053.0,4855.0,1751.0,3104.0,274.0,116.0,158.0,3260.0,1037.0,2223.0,358.0,79.0,279.0,963.0,519.0,444.0,197165.0,84917.0,112248.0,,
33.0,607.0,5733.0,0.0,0.0,0.0,SUB-DISTRICT,Sankarapuram,Rural,87644.0,392306.0,198257.0,194049.0,49434.0,25490.0,23944.0,107558.0,54449.0,53109.0,47257.0,23766.0,23491.0,217580.0,124707.0,92873.0,174726.0,73550.0,101176.0,205105.0,116930.0,88175.0,160539.0,96042.0,64497.0,52634.0,34528.0,18106.0,80845.0,41995.0,38850.0,3218.0,1728.0,1490.0,23842.0,17791.0,6051.0,44566.0,20888.0,23678.0,4763.0,2505.0,2258.0,32556.0,14461.0,18095.0,1389.0,450.0,939.0,5858.0,3472.0,2386.0,39764.0,19168.0,20596.0,4494.0,2393.0,2101.0,29312.0,13432.0,15880.0,1039.0,372.0,667.0,4919.0,2971.0,1948.0,4802.0,1720.0,3082.0,269.0,112.0,157.0,3244.0,1029.0,2215.0,350.0,78.0,272.0,939.0,501.0,438.0,187201.0,81327.0,105874.0,,
33.0,607.0,5733.0,0.0,0.0,0.0,SUB-DISTRICT,Sankarapuram,Urban,3539.0,15664.0,7818.0,7846.0,1904.0,984.0,920.0,2304.0,1151.0,1153.0,87.0,41.0,46.0,10980.0,5953.0,5027.0,4684.0,1865.0,2819.0,5700.0,4228.0,1472.0,5151.0,3888.0,1263.0,323.0,265.0,58.0,1064.0,720.0,344.0,152.0,79.0,73.0,3612.0,2824.0,788.0,549.0,340.0,209.0,19.0,12.0,7.0,63.0,32.0,31.0,109.0,49.0,60.0,358.0,247.0,111.0,496.0,309.0,187.0,14.0,8.0,6.0,47.0,24.0,23.0,101.0,48.0,53.0,334.0,229.0,105.0,53.0,31.0,22.0,5.0,4.0,1.0,16.0,8.0,8.0,8.0,1.0,7.0,24.0,18.0,6.0,9964.0,3590.0,6374.0,,
33.0,607.0,5733.0,633231.0,0.0,0.0,VILLAGE,Gudaram,Rural,189.0,954.0,465.0,489.0,125.0,57.0,68.0,0.0,0.0,0.0,945.0,459.0,486.0,358.0,209.0,149.0,596.0,256.0,340.0,551.0,269.0,282.0,548.0,268.0,280.0,1.0,0.0,1.0,510.0,251.0,259.0,1.0,1.0,0.0,36.0,16.0,20.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,403.0,196.0,207.0,,
33.0,607.0,5733.0,633232.0,0.0,0.0,VILLAGE,Alannur,Rural,273.0,1128.0,571.0,557.0,156.0,79.0,77.0,0.0,0.0,0.0,1126.0,570.0,556.0,429.0,270.0,159.0,699.0,301.0,398.0,683.0,330.0,353.0,669.0,324.0,345.0,4.0,4.0,0.0,636.0,304.0,332.0,10.0,4.0,6.0,19.0,12.0,7.0,14.0,6.0,8.0,4.0,2.0,2.0,5.0,1.0,4.0,1.0,0.0,1.0,4.0,3.0,1.0,14.0,6.0,8.0,4.0,2.0,2.0,5.0,1.0,4.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,241.0,204.0,,
33.0,607.0,5733.0,633233.0,0.0,0.0,VILLAGE,Kurmbalur,Rural,160.0,770.0,398.0,372.0,95.0,54.0,41.0,1.0,1.0,0.0,769.0,397.0,372.0,155.0,93.0,62.0,615.0,305.0,310.0,520.0,272.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,272.0,248.0,8.0,4.0,4.0,512.0,268.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,272.0,248.0,8.0,4.0,4.0,512.0,268.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,126.0,124.0,,
33.0,607.0,5733.0,633234.0,0.0,0.0,VILLAGE,Moolakkadu,Rural,375.0,1725.0,869.0,856.0,220.0,110.0,110.0,4.0,1.0,3.0,1401.0,710.0,691.0,868.0,497.0,371.0,857.0,372.0,485.0,955.0,484.0,471.0,942.0,480.0,462.0,329.0,210.0,119.0,551.0,238.0,313.0,6.0,2.0,4.0,56.0,30.0,26.0,13.0,4.0,9.0,3.0,0.0,3.0,8.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,12.0,3.0,9.0,3.0,0.0,3.0,8.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,770.0,385.0,385.0,,
33.0,607.0,5733.0,633235.0,0.0,0.0,VILLAGE,Lakkinayakkanpatti,Rural,1044.0,4500.0,2256.0,2244.0,599.0,312.0,287.0,926.0,458.0,468.0,1196.0,612.0,584.0,2412.0,1361.0,1051.0,2088.0,895.0,1193.0,2705.0,1419.0,1286.0,2607.0,1384.0,1223.0,825.0,469.0,356.0,1535.0,744.0,791.0,60.0,32.0,28.0,187.0,139.0,48.0,98.0,35.0,63.0,10.0,1.0,9.0,48.0,9.0,39.0,9.0,5.0,4.0,31.0,20.0,11.0,90.0,29.0,61.0,10.0,1.0,9.0,48.0,9.0,39.0,7.0,3.0,4.0,25.0,16.0,9.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,4.0,2.0,1795.0,837.0,958.0,,
33.0,607.0,5733.0,633236.0,0.0,0.0,VILLAGE,Pavunjipattu,Rural,593.0,2826.0,1456.0,1370.0,391.0,198.0,193.0,249.0,132.0,117.0,44.0,24.0,20.0,1497.0,903.0,594.0,1329.0,553.0,776.0,1237.0,829.0,408.0,1019.0,701.0,318.0,611.0,387.0,224.0,283.0,205.0,78.0,8.0,8.0,0.0,117.0,101.0,16.0,218.0,128.0,90.0,7.0,5.0,2.0,178.0,96.0,82.0,0.0,0.0,0.0,33.0,27.0,6.0,208.0,122.0,86.0,3.0,2.0,1.0,174.0,95.0,79.0,0.0,0.0,0.0,31.0,25.0,6.0,10.0,6.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1589.0,627.0,962.0,,
33.0,607.0,5733.0,633237.0,0.0,0.0,VILLAGE,Manalur,Rural,459.0,2066.0,1093.0,973.0,275.0,143.0,132.0,818.0,431.0,387.0,4.0,2.0,2.0,1173.0,705.0,468.0,893.0,388.0,505.0,1140.0,685.0,455.0,871.0,614.0,257.0,215.0,186.0,29.0,525.0,322.0,203.0,34.0,26.0,8.0,97.0,80.0,17.0,269.0,71.0,198.0,7.0,3.0,4.0,213.0,48.0,165.0,13.0,5.0,8.0,36.0,15.0,21.0,265.0,70.0,195.0,6.0,3.0,3.0,211.0,48.0,163.0,12.0,4.0,8.0,36.0,15.0,21.0,4.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,926.0,408.0,518.0,,
