State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,607.0,5729.0,0.0,0.0,0.0,SUB-DISTRICT,Tindivanam,Total,105834.0,446682.0,223525.0,223157.0,48842.0,24791.0,24051.0,147460.0,73835.0,73625.0,6165.0,3038.0,3127.0,297702.0,165062.0,132640.0,148980.0,58463.0,90517.0,210287.0,130931.0,79356.0,157412.0,106674.0,50738.0,33985.0,24412.0,9573.0,61889.0,32685.0,29204.0,2268.0,1275.0,993.0,59270.0,48302.0,10968.0,52875.0,24257.0,28618.0,3670.0,2165.0,1505.0,34419.0,14184.0,20235.0,1977.0,549.0,1428.0,12809.0,7359.0,5450.0,44713.0,20927.0,23786.0,3306.0,1991.0,1315.0,29048.0,12012.0,17036.0,1280.0,385.0,895.0,11079.0,6539.0,4540.0,8162.0,3330.0,4832.0,364.0,174.0,190.0,5371.0,2172.0,3199.0,697.0,164.0,533.0,1730.0,820.0,910.0,236395.0,92594.0,143801.0,,
33.0,607.0,5729.0,0.0,0.0,0.0,SUB-DISTRICT,Tindivanam,Rural,83460.0,351852.0,176189.0,175663.0,38513.0,19489.0,19024.0,127605.0,63964.0,63641.0,5566.0,2743.0,2823.0,225923.0,126991.0,98932.0,125929.0,49198.0,76731.0,177055.0,105126.0,71929.0,129395.0,84187.0,45208.0,33079.0,23686.0,9393.0,59871.0,31500.0,28371.0,1685.0,996.0,689.0,34760.0,28005.0,6755.0,47660.0,20939.0,26721.0,3577.0,2096.0,1481.0,33809.0,13898.0,19911.0,1673.0,448.0,1225.0,8601.0,4497.0,4104.0,40285.0,18047.0,22238.0,3221.0,1926.0,1295.0,28587.0,11827.0,16760.0,1107.0,333.0,774.0,7370.0,3961.0,3409.0,7375.0,2892.0,4483.0,356.0,170.0,186.0,5222.0,2071.0,3151.0,566.0,115.0,451.0,1231.0,536.0,695.0,174797.0,71063.0,103734.0,,
33.0,607.0,5729.0,0.0,0.0,0.0,SUB-DISTRICT,Tindivanam,Urban,22374.0,94830.0,47336.0,47494.0,10329.0,5302.0,5027.0,19855.0,9871.0,9984.0,599.0,295.0,304.0,71779.0,38071.0,33708.0,23051.0,9265.0,13786.0,33232.0,25805.0,7427.0,28017.0,22487.0,5530.0,906.0,726.0,180.0,2018.0,1185.0,833.0,583.0,279.0,304.0,24510.0,20297.0,4213.0,5215.0,3318.0,1897.0,93.0,69.0,24.0,610.0,286.0,324.0,304.0,101.0,203.0,4208.0,2862.0,1346.0,4428.0,2880.0,1548.0,85.0,65.0,20.0,461.0,185.0,276.0,173.0,52.0,121.0,3709.0,2578.0,1131.0,787.0,438.0,349.0,8.0,4.0,4.0,149.0,101.0,48.0,131.0,49.0,82.0,499.0,284.0,215.0,61598.0,21531.0,40067.0,,
33.0,607.0,5729.0,632513.0,0.0,0.0,VILLAGE,Mambakkam,Rural,218.0,895.0,444.0,451.0,56.0,29.0,27.0,89.0,52.0,37.0,4.0,2.0,2.0,608.0,362.0,246.0,287.0,82.0,205.0,618.0,321.0,297.0,490.0,268.0,222.0,134.0,105.0,29.0,262.0,93.0,169.0,14.0,4.0,10.0,80.0,66.0,14.0,128.0,53.0,75.0,5.0,2.0,3.0,61.0,17.0,44.0,4.0,2.0,2.0,58.0,32.0,26.0,91.0,39.0,52.0,2.0,1.0,1.0,38.0,9.0,29.0,2.0,1.0,1.0,49.0,28.0,21.0,37.0,14.0,23.0,3.0,1.0,2.0,23.0,8.0,15.0,2.0,1.0,1.0,9.0,4.0,5.0,277.0,123.0,154.0,,
33.0,607.0,5729.0,632514.0,0.0,0.0,VILLAGE,Sembakkam,Rural,238.0,996.0,499.0,497.0,71.0,37.0,34.0,407.0,195.0,212.0,19.0,9.0,10.0,672.0,371.0,301.0,324.0,128.0,196.0,553.0,333.0,220.0,351.0,209.0,142.0,253.0,146.0,107.0,73.0,44.0,29.0,0.0,0.0,0.0,25.0,19.0,6.0,202.0,124.0,78.0,2.0,0.0,2.0,172.0,102.0,70.0,4.0,4.0,0.0,24.0,18.0,6.0,196.0,122.0,74.0,2.0,0.0,2.0,167.0,101.0,66.0,4.0,4.0,0.0,23.0,17.0,6.0,6.0,2.0,4.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,443.0,166.0,277.0,,
33.0,607.0,5729.0,632515.0,0.0,0.0,VILLAGE,Konalur,Rural,45.0,190.0,109.0,81.0,18.0,17.0,1.0,7.0,4.0,3.0,0.0,0.0,0.0,128.0,79.0,49.0,62.0,30.0,32.0,126.0,75.0,51.0,126.0,75.0,51.0,122.0,74.0,48.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,34.0,30.0,,
33.0,607.0,5729.0,632516.0,0.0,0.0,VILLAGE,Melsiviri,Rural,194.0,797.0,406.0,391.0,62.0,35.0,27.0,408.0,213.0,195.0,38.0,20.0,18.0,554.0,312.0,242.0,243.0,94.0,149.0,531.0,272.0,259.0,522.0,267.0,255.0,169.0,83.0,86.0,278.0,124.0,154.0,0.0,0.0,0.0,75.0,60.0,15.0,9.0,5.0,4.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,7.0,4.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,134.0,132.0,,
33.0,607.0,5729.0,632517.0,0.0,0.0,VILLAGE,Attipakkam,Rural,221.0,985.0,494.0,491.0,124.0,62.0,62.0,665.0,345.0,320.0,0.0,0.0,0.0,559.0,313.0,246.0,426.0,181.0,245.0,558.0,297.0,261.0,273.0,175.0,98.0,81.0,73.0,8.0,158.0,86.0,72.0,1.0,0.0,1.0,33.0,16.0,17.0,285.0,122.0,163.0,11.0,6.0,5.0,222.0,97.0,125.0,11.0,1.0,10.0,41.0,18.0,23.0,122.0,46.0,76.0,2.0,0.0,2.0,90.0,31.0,59.0,4.0,1.0,3.0,26.0,14.0,12.0,163.0,76.0,87.0,9.0,6.0,3.0,132.0,66.0,66.0,7.0,0.0,7.0,15.0,4.0,11.0,427.0,197.0,230.0,,
33.0,607.0,5729.0,632518.0,0.0,0.0,VILLAGE,Neduntondi,Rural,131.0,553.0,273.0,280.0,55.0,25.0,30.0,259.0,135.0,124.0,22.0,11.0,11.0,337.0,191.0,146.0,216.0,82.0,134.0,307.0,168.0,139.0,304.0,166.0,138.0,16.0,14.0,2.0,266.0,140.0,126.0,1.0,1.0,0.0,21.0,11.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,105.0,141.0,,
33.0,607.0,5729.0,632519.0,0.0,0.0,VILLAGE,Vellimedupettai,Rural,111.0,496.0,238.0,258.0,70.0,31.0,39.0,164.0,80.0,84.0,15.0,7.0,8.0,281.0,155.0,126.0,215.0,83.0,132.0,293.0,152.0,141.0,286.0,150.0,136.0,59.0,33.0,26.0,198.0,98.0,100.0,1.0,1.0,0.0,28.0,18.0,10.0,7.0,2.0,5.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,2.0,5.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,86.0,117.0,,
