State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,607.0,5731.0,0.0,0.0,0.0,SUB-DISTRICT,Viluppuram,Total,163568.0,697569.0,349406.0,348163.0,79030.0,40550.0,38480.0,189653.0,94321.0,95332.0,5197.0,2609.0,2588.0,478296.0,263202.0,215094.0,219273.0,86204.0,133069.0,322852.0,203008.0,119844.0,237231.0,160198.0,77033.0,34178.0,25324.0,8854.0,100376.0,53642.0,46734.0,4940.0,3010.0,1930.0,97737.0,78222.0,19515.0,85621.0,42810.0,42811.0,5077.0,3144.0,1933.0,57600.0,25593.0,32007.0,3239.0,1408.0,1831.0,19705.0,12665.0,7040.0,74400.0,37528.0,36872.0,4604.0,2864.0,1740.0,50828.0,22873.0,27955.0,2410.0,1027.0,1383.0,16558.0,10764.0,5794.0,11221.0,5282.0,5939.0,473.0,280.0,193.0,6772.0,2720.0,4052.0,829.0,381.0,448.0,3147.0,1901.0,1246.0,374717.0,146398.0,228319.0,,
33.0,607.0,5731.0,0.0,0.0,0.0,SUB-DISTRICT,Viluppuram,Rural,128957.0,551695.0,276792.0,274903.0,63517.0,32796.0,30721.0,168895.0,84184.0,84711.0,4531.0,2286.0,2245.0,361902.0,202079.0,159823.0,189793.0,74713.0,115080.0,270919.0,162407.0,108512.0,193878.0,124943.0,68935.0,33313.0,24535.0,8778.0,97865.0,51924.0,45941.0,3607.0,2107.0,1500.0,59093.0,46377.0,12716.0,77041.0,37464.0,39577.0,4934.0,3037.0,1897.0,56025.0,24829.0,31196.0,2351.0,1064.0,1287.0,13731.0,8534.0,5197.0,67741.0,33465.0,34276.0,4486.0,2776.0,1710.0,49674.0,22312.0,27362.0,1775.0,822.0,953.0,11806.0,7555.0,4251.0,9300.0,3999.0,5301.0,448.0,261.0,187.0,6351.0,2517.0,3834.0,576.0,242.0,334.0,1925.0,979.0,946.0,280776.0,114385.0,166391.0,,
33.0,607.0,5731.0,0.0,0.0,0.0,SUB-DISTRICT,Viluppuram,Urban,34611.0,145874.0,72614.0,73260.0,15513.0,7754.0,7759.0,20758.0,10137.0,10621.0,666.0,323.0,343.0,116394.0,61123.0,55271.0,29480.0,11491.0,17989.0,51933.0,40601.0,11332.0,43353.0,35255.0,8098.0,865.0,789.0,76.0,2511.0,1718.0,793.0,1333.0,903.0,430.0,38644.0,31845.0,6799.0,8580.0,5346.0,3234.0,143.0,107.0,36.0,1575.0,764.0,811.0,888.0,344.0,544.0,5974.0,4131.0,1843.0,6659.0,4063.0,2596.0,118.0,88.0,30.0,1154.0,561.0,593.0,635.0,205.0,430.0,4752.0,3209.0,1543.0,1921.0,1283.0,638.0,25.0,19.0,6.0,421.0,203.0,218.0,253.0,139.0,114.0,1222.0,922.0,300.0,93941.0,32013.0,61928.0,,
33.0,607.0,5731.0,632816.0,0.0,0.0,VILLAGE,Nallapalayam,Rural,1075.0,4595.0,2344.0,2251.0,543.0,289.0,254.0,948.0,469.0,479.0,208.0,98.0,110.0,2649.0,1571.0,1078.0,1946.0,773.0,1173.0,2152.0,1264.0,888.0,210.0,180.0,30.0,54.0,51.0,3.0,11.0,7.0,4.0,8.0,8.0,0.0,137.0,114.0,23.0,1942.0,1084.0,858.0,159.0,155.0,4.0,1723.0,887.0,836.0,6.0,5.0,1.0,54.0,37.0,17.0,1697.0,897.0,800.0,121.0,118.0,3.0,1535.0,749.0,786.0,5.0,4.0,1.0,36.0,26.0,10.0,245.0,187.0,58.0,38.0,37.0,1.0,188.0,138.0,50.0,1.0,1.0,0.0,18.0,11.0,7.0,2443.0,1080.0,1363.0,,
33.0,607.0,5731.0,632817.0,0.0,0.0,VILLAGE,Kadayam,Rural,812.0,3457.0,1754.0,1703.0,430.0,222.0,208.0,391.0,197.0,194.0,118.0,59.0,59.0,1935.0,1156.0,779.0,1522.0,598.0,924.0,1846.0,1020.0,826.0,1777.0,993.0,784.0,508.0,334.0,174.0,910.0,439.0,471.0,14.0,9.0,5.0,345.0,211.0,134.0,69.0,27.0,42.0,15.0,7.0,8.0,46.0,15.0,31.0,1.0,0.0,1.0,7.0,5.0,2.0,66.0,25.0,41.0,15.0,7.0,8.0,43.0,13.0,30.0,1.0,0.0,1.0,7.0,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.0,734.0,877.0,,
33.0,607.0,5731.0,632818.0,0.0,0.0,VILLAGE,Karuvakshi,Rural,1119.0,5111.0,2573.0,2538.0,671.0,367.0,304.0,675.0,338.0,337.0,182.0,95.0,87.0,2909.0,1698.0,1211.0,2202.0,875.0,1327.0,2473.0,1436.0,1037.0,2334.0,1374.0,960.0,610.0,446.0,164.0,1351.0,652.0,699.0,10.0,7.0,3.0,363.0,269.0,94.0,139.0,62.0,77.0,1.0,1.0,0.0,100.0,37.0,63.0,3.0,1.0,2.0,35.0,23.0,12.0,121.0,52.0,69.0,1.0,1.0,0.0,84.0,28.0,56.0,3.0,1.0,2.0,33.0,22.0,11.0,18.0,10.0,8.0,0.0,0.0,0.0,16.0,9.0,7.0,0.0,0.0,0.0,2.0,1.0,1.0,2638.0,1137.0,1501.0,,
33.0,607.0,5731.0,632819.0,0.0,0.0,VILLAGE,Chennappanayakkanpalayam,Rural,303.0,1391.0,696.0,695.0,161.0,88.0,73.0,594.0,290.0,304.0,0.0,0.0,0.0,888.0,485.0,403.0,503.0,211.0,292.0,807.0,427.0,380.0,552.0,364.0,188.0,172.0,131.0,41.0,184.0,82.0,102.0,15.0,11.0,4.0,181.0,140.0,41.0,255.0,63.0,192.0,11.0,7.0,4.0,220.0,39.0,181.0,5.0,2.0,3.0,19.0,15.0,4.0,229.0,56.0,173.0,10.0,7.0,3.0,201.0,34.0,167.0,1.0,1.0,0.0,17.0,14.0,3.0,26.0,7.0,19.0,1.0,0.0,1.0,19.0,5.0,14.0,4.0,1.0,3.0,2.0,1.0,1.0,584.0,269.0,315.0,,
33.0,607.0,5731.0,632820.0,0.0,0.0,VILLAGE,Panamalai,Rural,1370.0,5694.0,2880.0,2814.0,691.0,373.0,318.0,1065.0,545.0,520.0,95.0,51.0,44.0,4093.0,2258.0,1835.0,1601.0,622.0,979.0,2419.0,1606.0,813.0,1509.0,1062.0,447.0,253.0,169.0,84.0,643.0,392.0,251.0,88.0,73.0,15.0,525.0,428.0,97.0,910.0,544.0,366.0,27.0,16.0,11.0,616.0,348.0,268.0,82.0,48.0,34.0,185.0,132.0,53.0,872.0,517.0,355.0,26.0,15.0,11.0,599.0,336.0,263.0,78.0,45.0,33.0,169.0,121.0,48.0,38.0,27.0,11.0,1.0,1.0,0.0,17.0,12.0,5.0,4.0,3.0,1.0,16.0,11.0,5.0,3275.0,1274.0,2001.0,,
33.0,607.0,5731.0,632821.0,0.0,0.0,VILLAGE,Sangitamanagalam,Rural,841.0,3624.0,1815.0,1809.0,416.0,200.0,216.0,1101.0,543.0,558.0,97.0,46.0,51.0,2654.0,1438.0,1216.0,970.0,377.0,593.0,2000.0,1147.0,853.0,555.0,465.0,90.0,108.0,103.0,5.0,30.0,23.0,7.0,20.0,18.0,2.0,397.0,321.0,76.0,1445.0,682.0,763.0,17.0,11.0,6.0,1345.0,605.0,740.0,7.0,6.0,1.0,76.0,60.0,16.0,1401.0,662.0,739.0,17.0,11.0,6.0,1312.0,592.0,720.0,6.0,6.0,0.0,66.0,53.0,13.0,44.0,20.0,24.0,0.0,0.0,0.0,33.0,13.0,20.0,1.0,0.0,1.0,10.0,7.0,3.0,1624.0,668.0,956.0,,
33.0,607.0,5731.0,632822.0,0.0,0.0,VILLAGE,Nangathur,Rural,798.0,3186.0,1591.0,1595.0,345.0,200.0,145.0,235.0,114.0,121.0,0.0,0.0,0.0,2444.0,1263.0,1181.0,742.0,328.0,414.0,1539.0,838.0,701.0,1201.0,671.0,530.0,212.0,178.0,34.0,588.0,239.0,349.0,45.0,9.0,36.0,356.0,245.0,111.0,338.0,167.0,171.0,37.0,31.0,6.0,148.0,61.0,87.0,44.0,19.0,25.0,109.0,56.0,53.0,285.0,158.0,127.0,35.0,29.0,6.0,119.0,57.0,62.0,34.0,19.0,15.0,97.0,53.0,44.0,53.0,9.0,44.0,2.0,2.0,0.0,29.0,4.0,25.0,10.0,0.0,10.0,12.0,3.0,9.0,1647.0,753.0,894.0,,
