State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,625.0,5853.0,0.0,0.0,0.0,SUB-DISTRICT,Aruppukkottai,Total,66798.0,246236.0,122528.0,123708.0,24139.0,12422.0,11717.0,27401.0,13517.0,13884.0,232.0,126.0,106.0,187443.0,100284.0,87159.0,58793.0,22244.0,36549.0,118237.0,72892.0,45345.0,102089.0,65640.0,36449.0,9172.0,5315.0,3857.0,22345.0,10457.0,11888.0,6832.0,3265.0,3567.0,63740.0,46603.0,17137.0,16148.0,7252.0,8896.0,736.0,342.0,394.0,9817.0,3809.0,6008.0,476.0,138.0,338.0,5119.0,2963.0,2156.0,14896.0,6834.0,8062.0,711.0,330.0,381.0,9180.0,3642.0,5538.0,366.0,119.0,247.0,4639.0,2743.0,1896.0,1252.0,418.0,834.0,25.0,12.0,13.0,637.0,167.0,470.0,110.0,19.0,91.0,480.0,220.0,260.0,127999.0,49636.0,78363.0,,
33.0,625.0,5853.0,0.0,0.0,0.0,SUB-DISTRICT,Aruppukkottai,Rural,32938.0,121181.0,60338.0,60843.0,12650.0,6489.0,6161.0,17668.0,8758.0,8910.0,21.0,9.0,12.0,87192.0,47630.0,39562.0,33989.0,12708.0,21281.0,64133.0,36044.0,28089.0,51658.0,30587.0,21071.0,8720.0,4966.0,3754.0,19998.0,9395.0,10603.0,897.0,454.0,443.0,22043.0,15772.0,6271.0,12475.0,5457.0,7018.0,695.0,318.0,377.0,8554.0,3326.0,5228.0,224.0,83.0,141.0,3002.0,1730.0,1272.0,11547.0,5132.0,6415.0,671.0,306.0,365.0,7952.0,3167.0,4785.0,179.0,71.0,108.0,2745.0,1588.0,1157.0,928.0,325.0,603.0,24.0,12.0,12.0,602.0,159.0,443.0,45.0,12.0,33.0,257.0,142.0,115.0,57048.0,24294.0,32754.0,,
33.0,625.0,5853.0,0.0,0.0,0.0,SUB-DISTRICT,Aruppukkottai,Urban,33860.0,125055.0,62190.0,62865.0,11489.0,5933.0,5556.0,9733.0,4759.0,4974.0,211.0,117.0,94.0,100251.0,52654.0,47597.0,24804.0,9536.0,15268.0,54104.0,36848.0,17256.0,50431.0,35053.0,15378.0,452.0,349.0,103.0,2347.0,1062.0,1285.0,5935.0,2811.0,3124.0,41697.0,30831.0,10866.0,3673.0,1795.0,1878.0,41.0,24.0,17.0,1263.0,483.0,780.0,252.0,55.0,197.0,2117.0,1233.0,884.0,3349.0,1702.0,1647.0,40.0,24.0,16.0,1228.0,475.0,753.0,187.0,48.0,139.0,1894.0,1155.0,739.0,324.0,93.0,231.0,1.0,0.0,1.0,35.0,8.0,27.0,65.0,7.0,58.0,223.0,78.0,145.0,70951.0,25342.0,45609.0,,
33.0,625.0,5853.0,641623.0,0.0,0.0,VILLAGE,Villipathiri  ,Rural,1075.0,3806.0,1873.0,1933.0,411.0,204.0,207.0,198.0,99.0,99.0,0.0,0.0,0.0,2538.0,1384.0,1154.0,1268.0,489.0,779.0,1759.0,1123.0,636.0,1477.0,974.0,503.0,153.0,90.0,63.0,204.0,61.0,143.0,10.0,8.0,2.0,1110.0,815.0,295.0,282.0,149.0,133.0,8.0,3.0,5.0,38.0,22.0,16.0,1.0,1.0,0.0,235.0,123.0,112.0,248.0,129.0,119.0,8.0,3.0,5.0,30.0,17.0,13.0,1.0,1.0,0.0,209.0,108.0,101.0,34.0,20.0,14.0,0.0,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,26.0,15.0,11.0,2047.0,750.0,1297.0,,
33.0,625.0,5853.0,641624.0,0.0,0.0,VILLAGE,Palavanatham,Rural,1947.0,6826.0,3362.0,3464.0,773.0,386.0,387.0,983.0,467.0,516.0,0.0,0.0,0.0,4420.0,2423.0,1997.0,2406.0,939.0,1467.0,3421.0,1971.0,1450.0,1741.0,1223.0,518.0,81.0,49.0,32.0,260.0,138.0,122.0,27.0,12.0,15.0,1373.0,1024.0,349.0,1680.0,748.0,932.0,11.0,5.0,6.0,1103.0,394.0,709.0,18.0,6.0,12.0,548.0,343.0,205.0,1612.0,730.0,882.0,10.0,5.0,5.0,1057.0,384.0,673.0,17.0,6.0,11.0,528.0,335.0,193.0,68.0,18.0,50.0,1.0,0.0,1.0,46.0,10.0,36.0,1.0,0.0,1.0,20.0,8.0,12.0,3405.0,1391.0,2014.0,,
33.0,625.0,5853.0,641625.0,0.0,0.0,VILLAGE,Gopalapuram,Rural,371.0,1307.0,593.0,714.0,96.0,40.0,56.0,322.0,139.0,183.0,0.0,0.0,0.0,1097.0,542.0,555.0,210.0,51.0,159.0,610.0,315.0,295.0,258.0,176.0,82.0,3.0,2.0,1.0,3.0,1.0,2.0,11.0,9.0,2.0,241.0,164.0,77.0,352.0,139.0,213.0,0.0,0.0,0.0,327.0,117.0,210.0,3.0,2.0,1.0,22.0,20.0,2.0,345.0,136.0,209.0,0.0,0.0,0.0,323.0,117.0,206.0,3.0,2.0,1.0,19.0,17.0,2.0,7.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,697.0,278.0,419.0,,
33.0,625.0,5853.0,641626.0,0.0,0.0,VILLAGE,Kovilangulam ,Rural,1040.0,3569.0,1747.0,1822.0,382.0,189.0,193.0,1277.0,620.0,657.0,0.0,0.0,0.0,2677.0,1439.0,1238.0,892.0,308.0,584.0,1888.0,1049.0,839.0,1624.0,961.0,663.0,168.0,88.0,80.0,609.0,244.0,365.0,37.0,16.0,21.0,810.0,613.0,197.0,264.0,88.0,176.0,18.0,8.0,10.0,121.0,33.0,88.0,3.0,0.0,3.0,122.0,47.0,75.0,211.0,75.0,136.0,17.0,7.0,10.0,86.0,29.0,57.0,3.0,0.0,3.0,105.0,39.0,66.0,53.0,13.0,40.0,1.0,1.0,0.0,35.0,4.0,31.0,0.0,0.0,0.0,17.0,8.0,9.0,1681.0,698.0,983.0,,
33.0,625.0,5853.0,641627.0,0.0,0.0,VILLAGE,Kattangudi,Rural,417.0,1608.0,807.0,801.0,163.0,100.0,63.0,168.0,81.0,87.0,0.0,0.0,0.0,1171.0,633.0,538.0,437.0,174.0,263.0,933.0,503.0,430.0,904.0,498.0,406.0,25.0,16.0,9.0,527.0,231.0,296.0,1.0,0.0,1.0,351.0,251.0,100.0,29.0,5.0,24.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,0.0,0.0,19.0,4.0,15.0,24.0,4.0,20.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0,0.0,16.0,3.0,13.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,675.0,304.0,371.0,,
33.0,625.0,5853.0,641628.0,0.0,0.0,VILLAGE,Poyyankulam,Rural,312.0,1234.0,596.0,638.0,167.0,81.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,396.0,312.0,526.0,200.0,326.0,674.0,354.0,320.0,350.0,180.0,170.0,60.0,29.0,31.0,50.0,12.0,38.0,10.0,5.0,5.0,230.0,134.0,96.0,324.0,174.0,150.0,5.0,3.0,2.0,58.0,19.0,39.0,5.0,3.0,2.0,256.0,149.0,107.0,320.0,173.0,147.0,4.0,3.0,1.0,56.0,19.0,37.0,5.0,3.0,2.0,255.0,148.0,107.0,4.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,560.0,242.0,318.0,,
33.0,625.0,5853.0,641629.0,0.0,0.0,VILLAGE,Kurunjakulam,Rural,351.0,1267.0,629.0,638.0,129.0,66.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,484.0,321.0,462.0,145.0,317.0,750.0,401.0,349.0,717.0,385.0,332.0,72.0,35.0,37.0,133.0,48.0,85.0,1.0,0.0,1.0,511.0,302.0,209.0,33.0,16.0,17.0,1.0,0.0,1.0,7.0,2.0,5.0,0.0,0.0,0.0,25.0,14.0,11.0,33.0,16.0,17.0,1.0,0.0,1.0,7.0,2.0,5.0,0.0,0.0,0.0,25.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,228.0,289.0,,
