State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,625.0,5851.0,0.0,0.0,0.0,SUB-DISTRICT,Kariapatti,Total,28032.0,105428.0,52993.0,52435.0,11999.0,6133.0,5866.0,25128.0,12671.0,12457.0,5.0,2.0,3.0,71296.0,40177.0,31119.0,34132.0,12816.0,21316.0,52943.0,31080.0,21863.0,44768.0,27689.0,17079.0,6702.0,4031.0,2671.0,14891.0,6770.0,8121.0,1031.0,455.0,576.0,22144.0,16433.0,5711.0,8175.0,3391.0,4784.0,790.0,442.0,348.0,4889.0,1828.0,3061.0,186.0,52.0,134.0,2310.0,1069.0,1241.0,7356.0,3105.0,4251.0,759.0,417.0,342.0,4447.0,1707.0,2740.0,152.0,46.0,106.0,1998.0,935.0,1063.0,819.0,286.0,533.0,31.0,25.0,6.0,442.0,121.0,321.0,34.0,6.0,28.0,312.0,134.0,178.0,52485.0,21913.0,30572.0,,
33.0,625.0,5851.0,0.0,0.0,0.0,SUB-DISTRICT,Kariapatti,Rural,19843.0,74251.0,37337.0,36914.0,8585.0,4358.0,4227.0,18796.0,9461.0,9335.0,0.0,0.0,0.0,48070.0,27637.0,20433.0,26181.0,9700.0,16481.0,39850.0,22250.0,17600.0,33055.0,19567.0,13488.0,6300.0,3731.0,2569.0,13073.0,5824.0,7249.0,510.0,239.0,271.0,13172.0,9773.0,3399.0,6795.0,2683.0,4112.0,705.0,382.0,323.0,4383.0,1615.0,2768.0,96.0,33.0,63.0,1611.0,653.0,958.0,6153.0,2473.0,3680.0,683.0,365.0,318.0,4025.0,1524.0,2501.0,81.0,27.0,54.0,1364.0,557.0,807.0,642.0,210.0,432.0,22.0,17.0,5.0,358.0,91.0,267.0,15.0,6.0,9.0,247.0,96.0,151.0,34401.0,15087.0,19314.0,,
33.0,625.0,5851.0,0.0,0.0,0.0,SUB-DISTRICT,Kariapatti,Urban,8189.0,31177.0,15656.0,15521.0,3414.0,1775.0,1639.0,6332.0,3210.0,3122.0,5.0,2.0,3.0,23226.0,12540.0,10686.0,7951.0,3116.0,4835.0,13093.0,8830.0,4263.0,11713.0,8122.0,3591.0,402.0,300.0,102.0,1818.0,946.0,872.0,521.0,216.0,305.0,8972.0,6660.0,2312.0,1380.0,708.0,672.0,85.0,60.0,25.0,506.0,213.0,293.0,90.0,19.0,71.0,699.0,416.0,283.0,1203.0,632.0,571.0,76.0,52.0,24.0,422.0,183.0,239.0,71.0,19.0,52.0,634.0,378.0,256.0,177.0,76.0,101.0,9.0,8.0,1.0,84.0,30.0,54.0,19.0,0.0,19.0,65.0,38.0,27.0,18084.0,6826.0,11258.0,,
33.0,625.0,5851.0,641372.0,0.0,0.0,VILLAGE,Mangulam,Rural,158.0,631.0,306.0,325.0,81.0,36.0,45.0,267.0,133.0,134.0,0.0,0.0,0.0,403.0,242.0,161.0,228.0,64.0,164.0,303.0,169.0,134.0,154.0,133.0,21.0,27.0,19.0,8.0,12.0,10.0,2.0,11.0,9.0,2.0,104.0,95.0,9.0,149.0,36.0,113.0,2.0,1.0,1.0,9.0,7.0,2.0,4.0,3.0,1.0,134.0,25.0,109.0,126.0,25.0,101.0,2.0,1.0,1.0,7.0,5.0,2.0,1.0,0.0,1.0,116.0,19.0,97.0,23.0,11.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,18.0,6.0,12.0,328.0,137.0,191.0,,
33.0,625.0,5851.0,641373.0,0.0,0.0,VILLAGE,Kurandi,Rural,504.0,1974.0,998.0,976.0,245.0,124.0,121.0,254.0,129.0,125.0,0.0,0.0,0.0,1145.0,680.0,465.0,829.0,318.0,511.0,1163.0,606.0,557.0,732.0,465.0,267.0,119.0,78.0,41.0,315.0,168.0,147.0,17.0,6.0,11.0,281.0,213.0,68.0,431.0,141.0,290.0,7.0,2.0,5.0,376.0,111.0,265.0,4.0,2.0,2.0,44.0,26.0,18.0,393.0,126.0,267.0,5.0,2.0,3.0,347.0,103.0,244.0,4.0,2.0,2.0,37.0,19.0,18.0,38.0,15.0,23.0,2.0,0.0,2.0,29.0,8.0,21.0,0.0,0.0,0.0,7.0,7.0,0.0,811.0,392.0,419.0,,
33.0,625.0,5851.0,641374.0,0.0,0.0,VILLAGE,Aviyoor,Rural,1455.0,5629.0,2902.0,2727.0,838.0,446.0,392.0,503.0,254.0,249.0,0.0,0.0,0.0,3481.0,2059.0,1422.0,2148.0,843.0,1305.0,2351.0,1541.0,810.0,2242.0,1503.0,739.0,406.0,245.0,161.0,570.0,204.0,366.0,28.0,18.0,10.0,1238.0,1036.0,202.0,109.0,38.0,71.0,2.0,2.0,0.0,80.0,22.0,58.0,2.0,1.0,1.0,25.0,13.0,12.0,92.0,31.0,61.0,1.0,1.0,0.0,73.0,21.0,52.0,1.0,1.0,0.0,17.0,8.0,9.0,17.0,7.0,10.0,1.0,1.0,0.0,7.0,1.0,6.0,1.0,0.0,1.0,8.0,5.0,3.0,3278.0,1361.0,1917.0,,
33.0,625.0,5851.0,641375.0,0.0,0.0,VILLAGE,D.Kadambankulam,Rural,821.0,3588.0,1833.0,1755.0,380.0,196.0,184.0,1036.0,521.0,515.0,0.0,0.0,0.0,2327.0,1350.0,977.0,1261.0,483.0,778.0,1662.0,893.0,769.0,1572.0,866.0,706.0,155.0,108.0,47.0,994.0,448.0,546.0,9.0,5.0,4.0,414.0,305.0,109.0,90.0,27.0,63.0,1.0,1.0,0.0,69.0,14.0,55.0,3.0,0.0,3.0,17.0,12.0,5.0,82.0,26.0,56.0,1.0,1.0,0.0,61.0,13.0,48.0,3.0,0.0,3.0,17.0,12.0,5.0,8.0,1.0,7.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1926.0,940.0,986.0,,
33.0,625.0,5851.0,641376.0,0.0,0.0,VILLAGE,Arasakulam ,Rural,580.0,2336.0,1198.0,1138.0,349.0,176.0,173.0,458.0,233.0,225.0,0.0,0.0,0.0,1500.0,898.0,602.0,836.0,300.0,536.0,1300.0,718.0,582.0,1292.0,716.0,576.0,774.0,377.0,397.0,222.0,76.0,146.0,5.0,4.0,1.0,291.0,259.0,32.0,8.0,2.0,6.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,8.0,2.0,6.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.0,480.0,556.0,,
33.0,625.0,5851.0,641377.0,0.0,0.0,VILLAGE,Mustakurichi,Rural,378.0,1478.0,741.0,737.0,178.0,80.0,98.0,539.0,279.0,260.0,0.0,0.0,0.0,886.0,528.0,358.0,592.0,213.0,379.0,776.0,424.0,352.0,708.0,410.0,298.0,237.0,115.0,122.0,284.0,145.0,139.0,3.0,1.0,2.0,184.0,149.0,35.0,68.0,14.0,54.0,1.0,0.0,1.0,56.0,9.0,47.0,0.0,0.0,0.0,11.0,5.0,6.0,38.0,7.0,31.0,0.0,0.0,0.0,35.0,4.0,31.0,0.0,0.0,0.0,3.0,3.0,0.0,30.0,7.0,23.0,1.0,0.0,1.0,21.0,5.0,16.0,0.0,0.0,0.0,8.0,2.0,6.0,702.0,317.0,385.0,,
33.0,625.0,5851.0,641378.0,0.0,0.0,VILLAGE,Melakallankulam,Rural,555.0,2168.0,1089.0,1079.0,287.0,144.0,143.0,188.0,100.0,88.0,0.0,0.0,0.0,1312.0,776.0,536.0,856.0,313.0,543.0,1274.0,674.0,600.0,1052.0,644.0,408.0,334.0,220.0,114.0,479.0,221.0,258.0,1.0,0.0,1.0,238.0,203.0,35.0,222.0,30.0,192.0,0.0,0.0,0.0,11.0,8.0,3.0,0.0,0.0,0.0,211.0,22.0,189.0,209.0,25.0,184.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,202.0,19.0,183.0,13.0,5.0,8.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,9.0,3.0,6.0,894.0,415.0,479.0,,
33.0,625.0,5851.0,641379.0,0.0,0.0,VILLAGE,Thimmapuram,Rural,227.0,796.0,391.0,405.0,104.0,55.0,49.0,284.0,136.0,148.0,0.0,0.0,0.0,495.0,284.0,211.0,301.0,107.0,194.0,330.0,227.0,103.0,156.0,94.0,62.0,1.0,1.0,0.0,58.0,24.0,34.0,0.0,0.0,0.0,97.0,69.0,28.0,174.0,133.0,41.0,69.0,64.0,5.0,98.0,63.0,35.0,0.0,0.0,0.0,7.0,6.0,1.0,160.0,129.0,31.0,68.0,63.0,5.0,85.0,60.0,25.0,0.0,0.0,0.0,7.0,6.0,1.0,14.0,4.0,10.0,1.0,1.0,0.0,13.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,164.0,302.0,,
33.0,625.0,5851.0,641380.0,0.0,0.0,VILLAGE,V.Nangoor,Rural,175.0,621.0,329.0,292.0,83.0,44.0,39.0,215.0,112.0,103.0,0.0,0.0,0.0,368.0,235.0,133.0,253.0,94.0,159.0,348.0,206.0,142.0,130.0,107.0,23.0,1.0,1.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,123.0,103.0,20.0,218.0,99.0,119.0,37.0,24.0,13.0,171.0,69.0,102.0,2.0,1.0,1.0,8.0,5.0,3.0,217.0,99.0,118.0,37.0,24.0,13.0,170.0,69.0,101.0,2.0,1.0,1.0,8.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,123.0,150.0,,
33.0,625.0,5851.0,641381.0,0.0,0.0,VILLAGE,Pappanam,Rural,217.0,855.0,437.0,418.0,118.0,59.0,59.0,480.0,246.0,234.0,0.0,0.0,0.0,534.0,326.0,208.0,321.0,111.0,210.0,487.0,270.0,217.0,203.0,162.0,41.0,14.0,12.0,2.0,9.0,8.0,1.0,0.0,0.0,0.0,180.0,142.0,38.0,284.0,108.0,176.0,12.0,12.0,0.0,258.0,87.0,171.0,2.0,1.0,1.0,12.0,8.0,4.0,283.0,107.0,176.0,12.0,12.0,0.0,258.0,87.0,171.0,2.0,1.0,1.0,11.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,368.0,167.0,201.0,,
