State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,625.0,5852.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchuli,Total,25806.0,103290.0,52072.0,51218.0,11411.0,5915.0,5496.0,23049.0,11570.0,11479.0,11.0,5.0,6.0,68480.0,38960.0,29520.0,34810.0,13112.0,21698.0,56430.0,31867.0,24563.0,46958.0,27836.0,19122.0,10566.0,6699.0,3867.0,21545.0,10731.0,10814.0,536.0,270.0,266.0,14311.0,10136.0,4175.0,9472.0,4031.0,5441.0,1256.0,667.0,589.0,6032.0,2210.0,3822.0,118.0,41.0,77.0,2066.0,1113.0,953.0,7953.0,3419.0,4534.0,1186.0,622.0,564.0,5020.0,1828.0,3192.0,97.0,32.0,65.0,1650.0,937.0,713.0,1519.0,612.0,907.0,70.0,45.0,25.0,1012.0,382.0,630.0,21.0,9.0,12.0,416.0,176.0,240.0,46860.0,20205.0,26655.0,,
33.0,625.0,5852.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchuli,Rural,25806.0,103290.0,52072.0,51218.0,11411.0,5915.0,5496.0,23049.0,11570.0,11479.0,11.0,5.0,6.0,68480.0,38960.0,29520.0,34810.0,13112.0,21698.0,56430.0,31867.0,24563.0,46958.0,27836.0,19122.0,10566.0,6699.0,3867.0,21545.0,10731.0,10814.0,536.0,270.0,266.0,14311.0,10136.0,4175.0,9472.0,4031.0,5441.0,1256.0,667.0,589.0,6032.0,2210.0,3822.0,118.0,41.0,77.0,2066.0,1113.0,953.0,7953.0,3419.0,4534.0,1186.0,622.0,564.0,5020.0,1828.0,3192.0,97.0,32.0,65.0,1650.0,937.0,713.0,1519.0,612.0,907.0,70.0,45.0,25.0,1012.0,382.0,630.0,21.0,9.0,12.0,416.0,176.0,240.0,46860.0,20205.0,26655.0,,
33.0,625.0,5852.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchuli,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,625.0,5852.0,641473.0,0.0,0.0,VILLAGE,Poombidagai,Rural,459.0,1716.0,842.0,874.0,198.0,97.0,101.0,454.0,218.0,236.0,0.0,0.0,0.0,1114.0,634.0,480.0,602.0,208.0,394.0,1033.0,547.0,486.0,718.0,415.0,303.0,133.0,75.0,58.0,244.0,125.0,119.0,0.0,0.0,0.0,341.0,215.0,126.0,315.0,132.0,183.0,32.0,13.0,19.0,127.0,50.0,77.0,11.0,7.0,4.0,145.0,62.0,83.0,306.0,130.0,176.0,32.0,13.0,19.0,124.0,50.0,74.0,10.0,6.0,4.0,140.0,61.0,79.0,9.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,5.0,1.0,4.0,683.0,295.0,388.0,,
33.0,625.0,5852.0,641474.0,0.0,0.0,VILLAGE,V.Karisalkulam,Rural,125.0,568.0,297.0,271.0,55.0,28.0,27.0,24.0,12.0,12.0,0.0,0.0,0.0,429.0,253.0,176.0,139.0,44.0,95.0,219.0,162.0,57.0,208.0,154.0,54.0,11.0,10.0,1.0,99.0,57.0,42.0,2.0,2.0,0.0,96.0,85.0,11.0,11.0,8.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,2.0,10.0,8.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,135.0,214.0,,
33.0,625.0,5852.0,641475.0,0.0,0.0,VILLAGE,Thulukkanedungulam,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,625.0,5852.0,641476.0,0.0,0.0,VILLAGE,Kallattur,Rural,91.0,329.0,170.0,159.0,38.0,16.0,22.0,297.0,153.0,144.0,0.0,0.0,0.0,204.0,130.0,74.0,125.0,40.0,85.0,168.0,94.0,74.0,89.0,65.0,24.0,26.0,19.0,7.0,29.0,20.0,9.0,0.0,0.0,0.0,34.0,26.0,8.0,79.0,29.0,50.0,12.0,4.0,8.0,56.0,18.0,38.0,0.0,0.0,0.0,11.0,7.0,4.0,69.0,27.0,42.0,10.0,3.0,7.0,49.0,18.0,31.0,0.0,0.0,0.0,10.0,6.0,4.0,10.0,2.0,8.0,2.0,1.0,1.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,161.0,76.0,85.0,,
33.0,625.0,5852.0,641477.0,0.0,0.0,VILLAGE,Pillaiyarkulam,Rural,524.0,2134.0,1071.0,1063.0,281.0,141.0,140.0,174.0,86.0,88.0,0.0,0.0,0.0,1345.0,803.0,542.0,789.0,268.0,521.0,1187.0,661.0,526.0,978.0,569.0,409.0,67.0,41.0,26.0,654.0,368.0,286.0,17.0,7.0,10.0,240.0,153.0,87.0,209.0,92.0,117.0,36.0,19.0,17.0,145.0,53.0,92.0,2.0,0.0,2.0,26.0,20.0,6.0,195.0,89.0,106.0,34.0,18.0,16.0,134.0,51.0,83.0,1.0,0.0,1.0,26.0,20.0,6.0,14.0,3.0,11.0,2.0,1.0,1.0,11.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,947.0,410.0,537.0,,
33.0,625.0,5852.0,641478.0,0.0,0.0,VILLAGE,Kallumadaipulangulam,Rural,158.0,629.0,327.0,302.0,73.0,48.0,25.0,38.0,21.0,17.0,0.0,0.0,0.0,416.0,244.0,172.0,213.0,83.0,130.0,352.0,197.0,155.0,225.0,164.0,61.0,141.0,92.0,49.0,5.0,2.0,3.0,0.0,0.0,0.0,79.0,70.0,9.0,127.0,33.0,94.0,9.0,1.0,8.0,101.0,18.0,83.0,0.0,0.0,0.0,17.0,14.0,3.0,126.0,33.0,93.0,9.0,1.0,8.0,100.0,18.0,82.0,0.0,0.0,0.0,17.0,14.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,130.0,147.0,,
33.0,625.0,5852.0,641479.0,0.0,0.0,VILLAGE,Karungulamnedungulam,Rural,48.0,171.0,90.0,81.0,15.0,12.0,3.0,63.0,34.0,29.0,0.0,0.0,0.0,87.0,50.0,37.0,84.0,40.0,44.0,105.0,61.0,44.0,58.0,44.0,14.0,39.0,29.0,10.0,5.0,4.0,1.0,2.0,2.0,0.0,12.0,9.0,3.0,47.0,17.0,30.0,3.0,2.0,1.0,44.0,15.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,17.0,30.0,3.0,2.0,1.0,44.0,15.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,29.0,37.0,,
