State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,625.0,5850.0,0.0,0.0,0.0,SUB-DISTRICT,Virudhunagar,Total,68688.0,251097.0,125551.0,125546.0,25319.0,12890.0,12429.0,48617.0,24208.0,24409.0,151.0,71.0,80.0,188015.0,101201.0,86814.0,63082.0,24350.0,38732.0,115258.0,74527.0,40731.0,103702.0,69057.0,34645.0,4417.0,2717.0,1700.0,10504.0,4998.0,5506.0,2210.0,848.0,1362.0,86571.0,60494.0,26077.0,11556.0,5470.0,6086.0,367.0,183.0,184.0,3378.0,1433.0,1945.0,1087.0,204.0,883.0,6724.0,3650.0,3074.0,9030.0,4342.0,4688.0,334.0,163.0,171.0,2874.0,1177.0,1697.0,732.0,141.0,591.0,5090.0,2861.0,2229.0,2526.0,1128.0,1398.0,33.0,20.0,13.0,504.0,256.0,248.0,355.0,63.0,292.0,1634.0,789.0,845.0,135839.0,51024.0,84815.0,,
33.0,625.0,5850.0,0.0,0.0,0.0,SUB-DISTRICT,Virudhunagar,Rural,28021.0,101182.0,50692.0,50490.0,10745.0,5475.0,5270.0,26589.0,13295.0,13294.0,12.0,5.0,7.0,68457.0,38591.0,29866.0,32725.0,12101.0,20624.0,53518.0,30407.0,23111.0,46123.0,27098.0,19025.0,4007.0,2454.0,1553.0,8752.0,4137.0,4615.0,938.0,355.0,583.0,32426.0,20152.0,12274.0,7395.0,3309.0,4086.0,307.0,150.0,157.0,3228.0,1386.0,1842.0,686.0,150.0,536.0,3174.0,1623.0,1551.0,5722.0,2588.0,3134.0,276.0,131.0,145.0,2741.0,1135.0,1606.0,477.0,98.0,379.0,2228.0,1224.0,1004.0,1673.0,721.0,952.0,31.0,19.0,12.0,487.0,251.0,236.0,209.0,52.0,157.0,946.0,399.0,547.0,47664.0,20285.0,27379.0,,
33.0,625.0,5850.0,0.0,0.0,0.0,SUB-DISTRICT,Virudhunagar,Urban,40667.0,149915.0,74859.0,75056.0,14574.0,7415.0,7159.0,22028.0,10913.0,11115.0,139.0,66.0,73.0,119558.0,62610.0,56948.0,30357.0,12249.0,18108.0,61740.0,44120.0,17620.0,57579.0,41959.0,15620.0,410.0,263.0,147.0,1752.0,861.0,891.0,1272.0,493.0,779.0,54145.0,40342.0,13803.0,4161.0,2161.0,2000.0,60.0,33.0,27.0,150.0,47.0,103.0,401.0,54.0,347.0,3550.0,2027.0,1523.0,3308.0,1754.0,1554.0,58.0,32.0,26.0,133.0,42.0,91.0,255.0,43.0,212.0,2862.0,1637.0,1225.0,853.0,407.0,446.0,2.0,1.0,1.0,17.0,5.0,12.0,146.0,11.0,135.0,688.0,390.0,298.0,88175.0,30739.0,57436.0,,
33.0,625.0,5850.0,641318.0,0.0,0.0,VILLAGE,Sengottai,Rural,345.0,1266.0,649.0,617.0,145.0,80.0,65.0,880.0,443.0,437.0,0.0,0.0,0.0,877.0,505.0,372.0,389.0,144.0,245.0,703.0,376.0,327.0,700.0,375.0,325.0,106.0,52.0,54.0,179.0,59.0,120.0,2.0,1.0,1.0,413.0,263.0,150.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,563.0,273.0,290.0,,
33.0,625.0,5850.0,641319.0,0.0,0.0,VILLAGE,Ellinganayakkampatti,Rural,278.0,1082.0,551.0,531.0,118.0,63.0,55.0,253.0,119.0,134.0,0.0,0.0,0.0,670.0,402.0,268.0,412.0,149.0,263.0,644.0,361.0,283.0,640.0,359.0,281.0,33.0,22.0,11.0,269.0,114.0,155.0,2.0,1.0,1.0,336.0,222.0,114.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,190.0,248.0,,
33.0,625.0,5850.0,641320.0,0.0,0.0,VILLAGE,Vadamalaikurichi,Rural,611.0,2135.0,1070.0,1065.0,213.0,110.0,103.0,1106.0,563.0,543.0,0.0,0.0,0.0,1464.0,814.0,650.0,671.0,256.0,415.0,1157.0,641.0,516.0,479.0,332.0,147.0,21.0,15.0,6.0,168.0,109.0,59.0,18.0,12.0,6.0,272.0,196.0,76.0,678.0,309.0,369.0,8.0,2.0,6.0,427.0,171.0,256.0,14.0,7.0,7.0,229.0,129.0,100.0,525.0,253.0,272.0,7.0,2.0,5.0,339.0,136.0,203.0,12.0,6.0,6.0,167.0,109.0,58.0,153.0,56.0,97.0,1.0,0.0,1.0,88.0,35.0,53.0,2.0,1.0,1.0,62.0,20.0,42.0,978.0,429.0,549.0,,
33.0,625.0,5850.0,641321.0,0.0,0.0,VILLAGE,Pullalakkottai,Rural,350.0,1297.0,662.0,635.0,121.0,62.0,59.0,539.0,281.0,258.0,0.0,0.0,0.0,943.0,538.0,405.0,354.0,124.0,230.0,710.0,413.0,297.0,396.0,264.0,132.0,148.0,96.0,52.0,49.0,34.0,15.0,4.0,2.0,2.0,195.0,132.0,63.0,314.0,149.0,165.0,7.0,3.0,4.0,192.0,82.0,110.0,17.0,5.0,12.0,98.0,59.0,39.0,303.0,145.0,158.0,7.0,3.0,4.0,189.0,82.0,107.0,9.0,1.0,8.0,98.0,59.0,39.0,11.0,4.0,7.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,4.0,4.0,0.0,0.0,0.0,587.0,249.0,338.0,,
33.0,625.0,5850.0,641322.0,0.0,0.0,VILLAGE,Periaparali,Rural,807.0,2828.0,1424.0,1404.0,308.0,155.0,153.0,542.0,277.0,265.0,0.0,0.0,0.0,1792.0,1032.0,760.0,1036.0,392.0,644.0,1436.0,812.0,624.0,1256.0,730.0,526.0,117.0,79.0,38.0,762.0,351.0,411.0,25.0,12.0,13.0,352.0,288.0,64.0,180.0,82.0,98.0,4.0,1.0,3.0,171.0,77.0,94.0,1.0,1.0,0.0,4.0,3.0,1.0,180.0,82.0,98.0,4.0,1.0,3.0,171.0,77.0,94.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,612.0,780.0,,
33.0,625.0,5850.0,641323.0,0.0,0.0,VILLAGE,Sengunrapuram ,Rural,722.0,2630.0,1264.0,1366.0,266.0,127.0,139.0,1125.0,549.0,576.0,1.0,1.0,0.0,1826.0,985.0,841.0,804.0,279.0,525.0,1394.0,764.0,630.0,1345.0,737.0,608.0,52.0,31.0,21.0,365.0,183.0,182.0,3.0,1.0,2.0,925.0,522.0,403.0,49.0,27.0,22.0,3.0,2.0,1.0,21.0,11.0,10.0,1.0,1.0,0.0,24.0,13.0,11.0,43.0,23.0,20.0,2.0,2.0,0.0,20.0,10.0,10.0,0.0,0.0,0.0,21.0,11.0,10.0,6.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1236.0,500.0,736.0,,
33.0,625.0,5850.0,641324.0,0.0,0.0,VILLAGE,Moolippatti ,Rural,946.0,3386.0,1691.0,1695.0,301.0,157.0,144.0,971.0,495.0,476.0,0.0,0.0,0.0,2290.0,1318.0,972.0,1096.0,373.0,723.0,2116.0,1118.0,998.0,1812.0,984.0,828.0,296.0,148.0,148.0,391.0,186.0,205.0,15.0,5.0,10.0,1110.0,645.0,465.0,304.0,134.0,170.0,8.0,4.0,4.0,240.0,102.0,138.0,1.0,0.0,1.0,55.0,28.0,27.0,292.0,129.0,163.0,8.0,4.0,4.0,235.0,100.0,135.0,0.0,0.0,0.0,49.0,25.0,24.0,12.0,5.0,7.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,1.0,6.0,3.0,3.0,1270.0,573.0,697.0,,
